Date,Open,High,Low,Close,Adj Close,Volume
2011-08-29,10.15,10.28,10.11,10.28,8.884537,240200.0
2011-08-30,10.26,10.38,10.21,10.21,8.824039,214100.0
2011-08-31,10.21,10.38,10.21,10.36,8.953677,403100.0
2011-09-01,10.37,10.5,10.37,10.4,8.988246,446500.0
2011-09-02,10.43,10.45,10.34,10.34,8.936392,86700.0
2011-09-05,10.07,10.3,10.07,10.26,8.867251,23900.0
2011-09-06,10.17,10.26,10.17,10.26,8.867251,93900.0
2011-09-07,10.36,10.4,10.34,10.4,8.988246,85800.0
2011-09-08,10.41,10.44,10.37,10.44,9.022818,185500.0
2011-09-09,10.45,10.45,10.4,10.4,8.988246,77000.0
2011-09-12,10.17,10.27,10.14,10.16,8.780826,545100.0
2011-09-13,10.27,10.27,10.09,10.1,8.728971,181100.0
2011-09-14,10.14,10.14,9.99,10.06,8.694402,224100.0
2011-09-15,10.09,10.16,10.08,10.16,8.780826,46200.0
2011-09-16,10.26,10.27,10.15,10.15,8.772183,77500.0
2011-09-19,10.15,10.15,10.05,10.05,8.685758,143600.0
2011-09-20,10.05,10.08,10.01,10.08,8.711685,67000.0
2011-09-21,10.06,10.15,10.06,10.13,8.754898,46200.0
2011-09-22,10.06,10.06,9.9,9.9,8.55612,287000.0
2011-09-23,9.89,9.89,9.45,9.56,8.262274,577200.0
2011-09-26,9.54,9.54,8.71,9.12,7.882,419000.0
2011-09-27,9.1,9.4,9.1,9.4,8.123993,533100.0
2011-09-28,9.1,9.47,9.1,9.29,8.028925,440800.0
2011-09-29,9.29,9.29,9.16,9.21,7.959784,135100.0
2011-09-30,9.19,9.23,9.1,9.11,7.873358,143100.0
2011-10-03,9.01,9.01,8.64,8.64,7.46716,662800.0
2011-10-04,8.69,8.7,8.5,8.53,7.372091,307200.0
2011-10-05,8.64,8.68,8.61,8.61,7.441231,258400.0
2011-10-06,8.79,9.14,8.79,9.14,7.899286,587300.0
2011-10-07,9.09,9.38,9.09,9.15,7.907929,383400.0
2011-10-10,9.33,9.33,9.04,9.19,7.942498,47800.0
2011-10-11,9.19,9.52,9.19,9.45,8.167205,414300.0
2011-10-12,9.54,9.57,9.42,9.49,8.201775,486100.0
2011-10-13,9.54,9.57,9.42,9.43,8.14992,279000.0
2011-10-14,9.4,9.53,9.38,9.53,8.236345,36900.0
2011-10-17,9.55,9.78,9.55,9.77,8.443767,193100.0
2011-10-18,9.6,9.6,9.51,9.58,8.279558,43600.0
2011-10-19,9.7,9.7,9.49,9.49,8.201775,66400.0
2011-10-20,9.4,9.4,9.22,9.28,8.020282,68600.0
2011-10-21,9.23,9.29,9.23,9.28,8.020282,64800.0
2011-10-25,9.3,9.57,9.3,9.57,8.270915,26000.0
2011-10-26,9.5,9.61,9.5,9.58,8.279558,78700.0
2011-10-27,9.68,9.79,9.68,9.79,8.461053,101500.0
2011-10-28,9.86,9.97,9.86,9.89,8.547478,143900.0
2011-10-31,9.89,9.89,9.83,9.84,8.504265,73300.0
2011-11-01,9.79,9.87,9.68,9.68,8.365984,83600.0
2011-11-02,9.61,9.76,9.61,9.76,8.435124,11000.0
2011-11-03,9.66,9.66,9.6,9.6,8.296844,21000.0
2011-11-04,9.77,9.77,9.72,9.72,8.400554,22400.0
2011-11-07,9.73,9.74,9.72,9.72,8.400554,1200.0
2011-11-08,9.79,9.92,9.79,9.92,8.573406,113700.0
2011-11-09,9.9,9.98,9.84,9.84,8.504265,136100.0
2011-11-10,9.6,9.76,9.6,9.76,8.435124,40300.0
2011-11-11,9.8,9.88,9.8,9.87,8.530192,107300.0
2011-11-14,9.97,9.97,9.96,9.97,8.616617,157600.0
2011-11-15,9.97,10.0,9.97,9.97,8.616617,49300.0
2011-11-16,9.95,9.97,9.95,9.97,8.616617,1600.0
2011-11-17,10.01,10.06,10.01,10.06,8.694402,43700.0
2011-11-18,9.97,9.97,9.96,9.96,8.607975,4200.0
2011-11-21,9.45,9.95,9.45,9.83,8.495622,115500.0
2011-11-22,9.88,9.88,9.84,9.84,8.504265,56300.0
2011-11-23,9.88,9.89,9.88,9.89,8.547478,53700.0
2011-11-24,9.9,9.95,9.9,9.94,8.59069,21300.0
2011-11-25,9.94,9.94,9.86,9.88,8.538835,87000.0
2011-11-28,9.9,9.99,9.9,9.99,8.633902,69300.0
2011-11-29,10.0,10.08,10.0,10.05,8.685758,50800.0
2011-11-30,10.06,10.09,10.05,10.09,8.720329,89700.0
2011-12-01,10.35,10.37,10.31,10.33,8.92775,458600.0
2011-12-02,10.29,10.36,10.29,10.36,8.953677,50100.0
2011-12-06,10.38,10.42,10.38,10.42,9.005532,210300.0
2011-12-07,10.43,10.52,10.43,10.52,9.091958,2441600.0
2011-12-08,10.49,10.56,10.49,10.54,9.109242,238900.0
2011-12-09,10.46,10.46,10.43,10.45,9.031459,21400.0
2011-12-13,10.4,10.42,10.4,10.42,9.005532,8000.0
2011-12-14,10.43,10.43,10.36,10.36,8.953677,51500.0
2011-12-15,10.27,10.31,10.22,10.31,8.910464,36400.0
2011-12-16,10.47,10.56,10.47,10.56,9.126528,176500.0
2011-12-19,10.54,10.57,10.54,10.57,9.135171,217300.0
2011-12-20,10.6,10.6,10.57,10.57,9.135171,87600.0
2011-12-21,10.63,10.63,10.62,10.63,9.187025,720200.0
2011-12-22,10.58,10.58,10.58,10.58,9.143812,13700.0
2011-12-23,10.62,10.62,10.6,10.6,9.161098,57700.0
2011-12-26,10.57,10.57,10.56,10.56,9.126528,81000.0
2011-12-27,10.52,10.52,10.5,10.5,9.074673,1000.0
2011-12-28,10.5,10.5,10.47,10.49,9.066029,1300.0
2011-12-29,10.49,10.55,10.49,10.54,9.109242,39800.0
2011-12-30,10.48,10.54,10.48,10.54,9.109242,70000.0
2012-01-04,10.54,10.56,10.54,10.55,9.117885,6800.0
2012-01-05,10.56,10.58,10.56,10.58,9.143812,90000.0
2012-01-06,10.59,10.59,10.58,10.58,9.143812,173200.0
2012-01-09,10.57,10.61,10.57,10.6,9.161098,106300.0
