Date,Open,High,Low,Close,Adj Close,Volume
2009-09-02,1.503,1.719,1.503,1.719,1.067619,116504297.0
2009-09-03,1.809,1.944,1.773,1.908,1.185002,141466807.0
2009-09-04,1.908,1.917,1.8,1.8,1.117926,27410262.0
2009-09-07,1.755,1.8,1.656,1.692,1.05085,23058760.0
2009-09-08,1.683,1.737,1.656,1.665,1.034082,9555003.0
2009-09-09,1.683,1.8,1.656,1.692,1.05085,24506010.0
2009-09-10,1.719,1.773,1.683,1.692,1.05085,25577760.0
2009-09-11,1.701,1.728,1.656,1.665,1.034082,12909255.0
2009-09-14,1.665,1.719,1.611,1.611,1.000544,11701505.0
2009-09-15,1.62,1.647,1.593,1.62,1.006133,5030502.0
2009-09-16,1.647,1.656,1.593,1.62,1.006133,7124253.0
2009-09-17,1.62,1.62,1.575,1.575,0.978185,5636002.0
2009-09-18,1.584,1.593,1.557,1.575,0.978185,2485252.0
2009-09-21,1.593,1.647,1.584,1.593,0.989364,5896502.0
2009-09-22,1.611,1.665,1.611,1.647,1.022902,9697003.0
2009-09-23,1.656,1.719,1.647,1.665,1.034082,27480512.0
2009-09-24,1.665,1.692,1.656,1.665,1.034082,5710252.0
2009-09-25,1.665,1.683,1.629,1.629,1.011723,1538750.0
2009-09-28,1.629,1.656,1.611,1.611,1.000544,1360000.0
2009-09-29,1.62,1.656,1.593,1.593,0.989364,1741000.0
2009-09-30,1.593,1.62,1.584,1.62,1.006133,1267500.0
2009-10-01,1.62,1.683,1.62,1.647,1.022902,3912502.0
2009-10-02,1.647,1.656,1.62,1.656,1.028492,1746000.0
2009-10-05,1.665,1.665,1.62,1.62,1.006133,1021500.0
2009-10-06,1.629,1.683,1.629,1.647,1.022902,6510753.0
2009-10-07,1.656,1.665,1.629,1.629,1.011723,1800250.0
2009-10-08,1.629,1.683,1.611,1.647,1.022902,15595007.0
2009-10-09,1.656,1.656,1.629,1.629,1.011723,4838502.0
2009-10-12,1.629,1.647,1.62,1.62,1.006133,2955002.0
2009-10-13,1.629,1.692,1.62,1.629,1.011723,20098008.0
2009-10-14,1.647,1.755,1.575,1.665,1.034082,55261272.0
2009-10-15,1.728,1.728,1.557,1.584,0.983775,20871508.0
2009-10-16,1.593,1.8,1.557,1.764,1.095568,27295762.0
2009-10-19,1.755,1.845,1.728,1.827,1.134695,42558517.0
2009-10-20,1.845,1.872,1.764,1.773,1.101157,25007510.0
2009-10-21,1.8,1.809,1.728,1.728,1.073209,8235003.0
2009-10-22,1.755,1.755,1.692,1.719,1.067619,4300252.0
2009-10-26,1.716,1.737,1.701,1.719,1.067619,1315250.0
2009-10-27,1.692,1.773,1.692,1.755,1.089978,6407753.0
2009-10-28,1.773,1.773,1.701,1.701,1.05644,5202752.0
2009-10-29,1.683,1.728,1.683,1.701,1.05644,1821500.0
2009-10-30,1.728,1.728,1.665,1.683,1.045261,1922250.0
2009-11-02,1.683,1.683,1.647,1.683,1.045261,1634250.0
2009-11-03,1.656,1.701,1.656,1.665,1.034082,1795750.0
2009-11-04,1.665,1.701,1.665,1.701,1.05644,328500.0
2009-11-05,1.701,1.755,1.701,1.719,1.067619,1798250.0
2009-11-06,1.728,1.728,1.701,1.701,1.05644,657000.0
2009-11-09,1.701,1.737,1.701,1.728,1.073209,663750.0
2009-11-10,1.737,1.764,1.719,1.719,1.067619,2235252.0
2009-11-11,1.719,1.755,1.719,1.728,1.073209,518500.0
2009-11-12,1.728,1.728,1.683,1.701,1.05644,884500.0
2009-11-13,1.701,1.701,1.683,1.692,1.05085,668500.0
2009-11-16,1.764,1.944,1.737,1.863,1.157053,28385012.0
