Date,Open,High,Low,Close,Adj Close,Volume
2016-06-30,9.9579,9.9579,9.9579,9.9579,9.9579,0.0
2016-07-04,,,,,,
2016-07-05,,,,,,
2016-07-06,,,,,,
2016-07-07,,,,,,
2016-07-08,,,,,,
2016-07-11,,,,,,
2016-07-12,,,,,,
2016-07-13,,,,,,
2016-07-14,,,,,,
2016-07-15,,,,,,
2016-07-20,,,,,,
2016-07-21,,,,,,
2016-07-22,,,,,,
2016-07-25,,,,,,
2016-07-26,,,,,,
2016-07-27,,,,,,
2016-07-28,,,,,,
2016-07-29,,,,,,
2016-08-01,,,,,,
2016-08-02,,,,,,
2016-08-03,,,,,,
2016-08-04,,,,,,
2016-08-05,,,,,,
2016-08-08,,,,,,
2016-08-09,,,,,,
2016-08-10,,,,,,
2016-08-11,,,,,,
2016-08-15,,,,,,
2016-08-16,,,,,,
2016-08-17,,,,,,
2016-08-18,,,,,,
2016-08-19,8.9,8.95,8.9,8.95,8.95,50200.0
2016-08-22,8.9,8.95,8.9,8.9,8.9,65200.0
2016-08-23,8.95,8.95,8.9,8.9,8.9,33000.0
2016-08-24,8.9,8.95,8.9,8.95,8.95,62000.0
2016-08-25,8.9,9.0,8.9,8.95,8.95,118000.0
2016-08-26,8.9,8.95,8.9,8.95,8.95,29600.0
2016-08-29,8.95,9.0,8.95,9.0,9.0,85500.0
2016-08-30,9.0,9.0,8.95,9.0,9.0,20900.0
2016-08-31,9.0,9.0,9.0,9.0,9.0,900.0
2016-09-01,9.0,9.0,9.0,9.0,9.0,43900.0
2016-09-02,8.95,9.0,8.85,9.0,9.0,161200.0
2016-09-05,8.9,9.0,8.9,8.9,8.9,97000.0
2016-09-06,9.0,9.0,8.95,8.95,8.95,47800.0
2016-09-07,9.0,9.0,8.95,8.95,8.95,123300.0
2016-09-08,8.9,9.0,8.9,8.9,8.9,176900.0
2016-09-09,8.95,9.0,8.95,9.0,9.0,245400.0
2016-09-12,8.95,9.0,8.85,8.9,8.9,443700.0
2016-09-13,8.95,9.0,8.95,9.0,9.0,293300.0
2016-09-14,8.95,9.0,8.95,9.0,9.0,180700.0
2016-09-15,8.35,8.45,8.35,8.45,8.45,159700.0
2016-09-16,8.4,8.5,8.4,8.5,8.5,69900.0
2016-09-19,8.5,8.5,8.4,8.45,8.45,117200.0
2016-09-20,8.45,8.45,8.4,8.4,8.4,15800.0
2016-09-21,8.4,8.5,8.4,8.45,8.45,20700.0
2016-09-22,8.5,8.5,8.45,8.45,8.45,46800.0
2016-09-23,8.45,8.5,8.45,8.5,8.5,64900.0
