Date,Open,High,Low,Close,Adj Close,Volume
2011-09-29,2.81482,3.06614,2.63889,2.63889,2.069937,359907639
2011-09-30,2.73942,2.73942,2.26191,2.26191,1.774234,115188907
2011-10-03,2.13122,2.16138,1.94021,1.94021,1.521894,35507720
2011-10-04,2.01058,2.37249,1.99048,2.25185,1.766343,131498608
2011-10-05,2.31217,2.39259,2.18148,2.18148,1.711145,59210105
2011-10-06,2.28201,2.30212,2.25185,2.30212,1.805775,23950074
2011-10-07,2.35238,2.38254,2.26191,2.26191,1.774234,41610827
2011-10-10,2.23175,2.2418,2.19153,2.21164,1.734803,7205872
2011-10-11,2.25185,2.28201,2.20159,2.21164,1.734803,10439363
2011-10-12,2.22169,2.23175,2.19153,2.23175,1.750577,4187841
2011-10-13,2.25185,2.37249,2.25185,2.28201,1.790001,28545757
2011-10-14,2.28201,2.30212,2.22169,2.25185,1.766343,9993323
2011-10-17,2.27196,2.32222,2.25185,2.27196,1.782118,8404530
2011-10-18,2.02064,2.15132,2.02064,2.06085,1.816395,5654481
2011-10-19,2.10106,2.10106,2.04074,2.04074,1.79867,1773814
2011-10-20,2.04074,2.05079,1.9,1.99048,1.754372,4845362
2011-10-21,1.94021,1.99048,1.94021,1.99048,1.754372,1081876
2011-10-25,1.95027,1.99048,1.94021,1.95027,1.718932,868604
2011-10-26,1.95027,1.99048,1.95027,1.95027,1.718932,827820
2011-10-27,1.97037,1.98042,1.95027,1.95027,1.718932,1035123
2011-10-28,1.98042,2.00053,1.96032,1.96032,1.727789,761769
2011-10-31,1.96032,2.02064,1.96032,1.99048,1.754372,1309073
2011-11-01,2.01058,2.01058,1.97037,1.97037,1.736647,1378307
2011-11-02,1.97037,1.99048,1.96032,1.98042,1.745505,486625
2011-11-03,2.00053,2.18148,2.00053,2.10106,1.851835,12282610
2011-11-04,2.14127,2.21164,2.11111,2.11111,1.860693,7946354
2011-11-07,2.12116,2.19153,2.12116,2.16138,1.905,7673597
2011-11-08,2.17143,2.47302,2.17143,2.47302,2.179674,65456652
2011-11-09,2.46296,2.50318,2.4127,2.44286,2.153091,17739735
2011-11-10,2.40265,2.56349,2.39259,2.45291,2.161949,34872282
2011-11-11,2.47302,2.48307,2.4127,2.4127,2.126508,10377092
2011-11-14,2.47302,2.51323,2.4328,2.51323,2.215114,13931684
2011-11-15,2.51323,2.73942,2.51323,2.71429,2.392324,65449689
2011-11-16,2.76455,2.78968,2.66402,2.71429,2.392324,21204203
2011-11-17,2.68915,2.86508,2.63889,2.81482,2.48093,29700646
2011-11-18,2.78968,2.91534,2.76455,2.76455,2.436623,28123392
2011-11-21,2.73942,2.81482,2.66402,2.68915,2.370167,11758781
2011-11-22,2.71429,3.1164,2.71429,3.1164,2.746737,60901356
2011-11-23,3.09127,3.21693,2.96561,3.1164,2.746737,67678894
2011-11-24,3.16667,3.21693,3.04101,3.04101,2.680289,29539897
2011-11-25,3.06614,3.06614,2.63889,2.76455,2.436623,44414989
2011-11-28,2.78968,2.83995,2.71429,2.78968,2.458772,18942172
2011-11-29,2.78968,2.89021,2.71429,2.78968,2.458772,18492153
2011-11-30,2.81482,2.83995,2.73942,2.73942,2.414474,6867065
2011-12-01,2.78968,2.78968,2.73942,2.73942,2.414474,13697523
2011-12-02,2.76455,2.91534,2.76455,2.89021,2.547377,25145748
2011-12-06,2.89021,3.01587,2.89021,2.94048,2.591684,21555146
2011-12-07,2.94048,3.04101,2.91534,2.94048,2.591684,27269709
2011-12-08,2.91534,2.91534,2.83995,2.83995,2.503079,8640680
2011-12-09,2.78968,2.81482,2.73942,2.76455,2.436623,6783706
2011-12-13,2.76455,2.83995,2.76455,2.78968,2.458772,5161290
2011-12-14,2.78968,2.81482,2.68915,2.71429,2.392324,3910111
2011-12-15,2.63889,2.68915,2.58862,2.61376,2.303719,4256876
2011-12-16,2.61376,2.73942,2.58862,2.73942,2.414474,5273099
2011-12-19,2.73942,2.73942,2.66402,2.66402,2.348017,2444665
2011-12-20,2.71429,2.76455,2.68915,2.76455,2.436623,1701795
2011-12-21,2.81482,2.91534,2.73942,2.73942,2.414474,14913489
2011-12-22,2.76455,2.81482,2.71429,2.73942,2.414474,4882565
2011-12-23,2.73942,2.86508,2.71429,2.73942,2.414474,16254792
2011-12-26,2.78968,2.83995,2.63889,2.68915,2.370167,9085526
2011-12-27,2.71429,2.78968,2.68915,2.71429,2.392324,7210846
2011-12-28,2.71429,2.91534,2.71429,2.91534,2.569526,31577913
2011-12-29,2.94048,2.99074,2.78968,2.81482,2.48093,33204706
2011-12-30,2.81482,2.83995,2.66402,2.71429,2.392324,9716587
2012-01-04,2.71429,3.06614,2.71429,2.96561,2.613833,64874334
2012-01-05,3.01587,3.04101,2.78968,2.81482,2.48093,41269433
2012-01-06,2.83995,2.91534,2.81482,2.89021,2.547377,10879434
2012-01-09,2.89021,2.96561,2.83995,2.96561,2.613833,17034267
2012-01-10,3.1164,3.1164,2.91534,2.94048,2.591684,67152479
2012-01-11,2.96561,3.04101,2.94048,2.99074,2.635982,25571097
2012-01-12,2.96561,2.99074,2.94048,2.94048,2.591684,10575244
2012-01-13,2.94048,2.96561,2.83995,2.86508,2.525228,9917126
2012-01-16,2.89021,2.96561,2.89021,2.91534,2.569526,8083826
2012-01-17,2.94048,2.99074,2.91534,2.96561,2.613833,21185900
2012-01-18,3.01587,3.16667,2.99074,3.01587,2.658132,96861283
2012-01-19,3.09127,3.36773,3.04101,3.36773,2.968254,119028391
2012-01-20,3.36773,3.44312,3.2672,3.2672,2.879649,77531959
2012-01-23,3.31746,3.56878,3.29233,3.51852,3.101158,76502805
2012-01-24,3.51852,3.54365,3.36773,3.39286,2.990403,36378313
2012-01-25,3.39286,3.49339,3.36773,3.36773,2.968254,23789126
2012-01-26,3.41799,3.41799,3.34259,3.39286,2.990403,17035063
2012-01-27,3.41799,3.41799,3.34259,3.34259,2.946096,9187785
2012-01-30,3.34259,3.34259,3.16667,3.1918,2.813193,22287074
2012-01-31,3.21693,3.2672,3.1918,3.24206,2.857491,9612737
2012-02-01,3.24206,3.24206,3.09127,3.14154,2.768895,18283458
2012-02-02,3.14154,3.1918,3.1164,3.1164,2.746737,8511563
2012-02-03,3.1164,3.16667,3.1164,3.14154,2.768895,6496824
2012-02-06,3.16667,3.24206,3.1164,3.24206,2.857491,14996052
2012-02-07,3.29233,3.29233,3.14154,3.16667,2.791044,34564312
2012-02-08,3.1918,3.21693,3.16667,3.16667,2.791044,9239114
2012-02-09,3.1918,3.1918,3.09127,3.09127,2.724587,8573834
2012-02-10,3.09127,3.16667,3.09127,3.09127,2.724587,5902170
2012-02-13,3.14154,3.1918,3.14154,3.16667,2.791044,8208169
2012-02-14,3.1918,3.1918,3.06614,3.1164,2.746737,7653304
2012-02-15,3.14154,3.24206,3.1164,3.21693,2.835342,10074891
2012-02-16,3.21693,3.31746,3.21693,3.24206,2.857491,32231256
2012-02-17,3.29233,3.29233,3.1918,3.1918,2.813193,11129909
2012-02-20,3.21693,3.2672,3.1918,3.21693,2.835342,6767790
2012-02-21,3.21693,3.24206,3.16667,3.16667,2.791044,5384509
2012-02-22,3.16667,3.1918,3.06614,3.06614,2.702438,9358084
2012-02-23,3.09127,3.14154,3.06614,3.1164,2.746737,4288707
2012-02-24,3.14154,3.14154,3.1164,3.1164,2.746737,2859271
2012-02-27,3.16667,3.29233,3.16667,3.1918,2.813193,17157814
2012-02-28,3.1918,3.1918,3.14154,3.16667,2.791044,5763703
2012-02-29,3.21693,3.21693,3.16667,3.16667,2.791044,5271308
2012-03-01,3.1918,3.21693,3.14154,3.16667,2.791044,4752851
2012-03-02,3.1918,3.21693,3.14154,3.14154,2.768895,5527552
2012-03-05,3.16667,3.1918,3.14154,3.16667,2.791044,2552494
2012-03-06,3.16667,3.1918,3.1164,3.14154,2.768895,3022010
2012-03-08,3.16667,3.1918,3.1164,3.16667,2.791044,2511113
2012-03-09,3.1918,3.2672,3.1918,3.21693,2.835342,20377577
2012-03-12,3.24206,3.29233,3.16667,3.16667,2.791044,15380219
2012-03-13,3.1918,3.24206,3.16667,3.1918,2.813193,3695844
2012-03-14,3.21693,3.24206,3.16667,3.1918,2.813193,3600748
2012-03-15,3.1918,3.2672,3.1918,3.21693,2.835342,3472228
2012-03-16,3.24206,3.39286,3.24206,3.36773,2.968254,33273740
2012-03-19,3.36773,3.39286,3.2672,3.29233,2.901798,6723425
2012-03-20,3.29233,3.39286,3.2672,3.36773,2.968254,7507675
2012-03-21,3.41799,3.49339,3.36773,3.39286,2.990403,29928441
2012-03-22,3.41799,3.41799,3.2672,3.29233,2.901798,10045447
2012-03-23,3.2672,3.36773,3.2672,3.31746,2.923947,5367400
2012-03-26,3.34259,3.46825,3.31746,3.36773,2.968254,16037740
2012-03-27,3.41799,3.44312,3.36773,3.39286,2.990403,7338570
2012-03-28,3.39286,3.39286,3.34259,3.34259,2.946096,3577073
2012-03-29,3.31746,3.39286,3.31746,3.39286,2.990403,2871407
2012-03-30,3.39286,3.39286,3.34259,3.34259,2.946096,1295346
2012-04-02,3.36773,3.41799,3.31746,3.36773,2.968254,5362227
2012-04-03,3.39286,3.41799,3.36773,3.39286,2.990403,2782278
2012-04-04,3.39286,3.39286,3.34259,3.34259,2.946096,1844043
2012-04-05,3.34259,3.36773,3.2672,3.29233,2.901798,6301457
2012-04-10,3.29233,3.31746,3.21693,3.2672,2.879649,4254488
2012-04-11,3.2672,3.31746,3.21693,3.29233,2.901798,2937656
2012-04-12,3.29233,3.31746,3.2672,3.29233,2.901798,1499466
2012-04-17,3.29233,3.34259,3.2672,3.2672,2.879649,638621
2012-04-18,3.29233,3.36773,3.29233,3.31746,2.923947,3691269
2012-04-19,3.34259,3.41799,3.31746,3.34259,2.946096,11256837
2012-04-20,3.36773,3.44312,3.34259,3.44312,3.034702,29230932
2012-04-23,3.46825,3.49339,3.39286,3.39286,2.990403,9337791
2012-04-24,3.41799,3.69445,3.39286,3.64418,3.211912,51437830
2012-04-25,3.61905,3.66931,3.51852,3.64418,3.211912,20080350
2012-04-26,3.66931,3.69445,3.54365,3.54365,3.123307,19591536
2012-04-27,3.53863,3.59392,3.51098,3.53863,3.332621,7704868
2012-04-30,3.56627,3.67685,3.56627,3.59392,3.384692,9171471
2012-05-02,3.64921,3.64921,3.59392,3.59392,3.384692,7057023
2012-05-03,3.62156,3.62156,3.56627,3.56627,3.358652,2040838
2012-05-04,3.59392,3.62156,3.51098,3.53863,3.332621,6040402
2012-05-08,3.53863,3.56627,3.48333,3.51098,3.306581,3031957
2012-05-09,3.53863,3.59392,3.45569,3.45569,3.254509,6662746
2012-05-10,3.48333,3.53863,3.42804,3.42804,3.228469,4305763
2012-05-11,3.42804,3.51098,3.4004,3.42804,3.228469,1945162
2012-05-14,3.4004,3.45569,3.23452,3.28982,3.098296,5034452
2012-05-15,3.17923,3.23452,3.04101,3.0963,2.916042,16828592
2012-05-16,3.04101,3.0963,2.98572,3.06865,2.890002,4682316
2012-05-17,3.0963,3.20688,3.0963,3.15159,2.968113,4672911
2012-05-18,3.0963,3.12394,3.06865,3.12394,2.942073,1453220
2012-05-21,3.0963,3.12394,3.04101,3.0963,2.916042,753287
2012-05-22,3.0963,3.15159,3.04101,3.0963,2.916042,2270532
2012-05-23,3.06865,3.06865,3.01336,3.06865,2.890002,1286466
2012-05-24,3.0963,3.0963,3.01336,3.0963,2.916042,859452
2012-05-25,3.06865,3.15159,3.06865,3.15159,2.968113,1840986
2012-05-28,3.15159,3.17923,3.12394,3.15159,2.968113,1904288
2012-05-29,3.17923,3.17923,3.12394,3.17923,2.994144,2158217
2012-05-30,3.17923,3.26217,3.12394,3.17923,2.994144,5642508
2012-05-31,3.0963,3.15159,3.0963,3.15159,2.968113,1027292
2012-06-01,3.15159,3.15159,3.01336,3.06865,2.890002,3158379
2012-06-05,3.06865,3.0963,2.98572,2.98572,2.8119,1265848
2012-06-06,3.04101,3.06865,2.95807,3.01336,2.837931,1534607
2012-06-07,3.01336,3.04101,2.90278,2.90278,2.733788,2714003
2012-06-08,2.93042,2.95807,2.87513,2.90278,2.733788,1362427
2012-06-11,2.98572,2.98572,2.93042,2.98572,2.8119,1430250
2012-06-12,2.95807,3.06865,2.95807,3.06865,2.890002,1785281
2012-06-13,3.06865,3.0963,3.04101,3.0963,2.916042,783852
2012-06-14,3.06865,3.06865,3.04101,3.06865,2.890002,521242
2012-06-15,3.04101,3.0963,3.04101,3.04101,2.863971,1315946
2012-06-18,3.06865,3.12394,3.04101,3.12394,2.942073,910274
2012-06-19,3.12394,3.12394,3.06865,3.06865,2.890002,522870
2012-06-20,3.0963,3.20688,3.06865,3.20688,3.020185,2589752
2012-06-21,3.26217,3.34511,3.15159,3.15159,2.968113,13029603
2012-06-22,3.15159,3.17923,3.0963,3.12394,2.942073,4068292
2012-06-25,3.0963,3.15159,3.06865,3.06865,2.890002,600278
2012-06-26,3.0963,3.15159,3.06865,3.15159,2.968113,942287
2012-06-27,3.15159,3.17923,3.12394,3.17923,2.994144,896167
2012-06-28,3.17923,3.17923,3.12394,3.12394,2.942073,919679
2012-06-29,3.12394,3.15159,3.12394,3.15159,2.968113,362988
2012-07-02,3.17923,3.17923,3.12394,3.15159,2.968113,517444
2012-07-03,3.15159,3.20688,3.15159,3.20688,3.020185,1667721
2012-07-04,3.20688,3.20688,3.15159,3.17923,2.994144,1219728
2012-07-05,3.17923,3.23452,3.17923,3.17923,2.994144,656345
2012-07-06,3.17923,3.23452,3.15159,3.17923,2.994144,859814
2012-07-09,3.15159,3.17923,3.0963,3.0963,2.916042,1612197
2012-07-10,3.0963,3.15159,3.0963,3.12394,2.942073,850590
2012-07-11,3.15159,3.17923,3.12394,3.15159,2.968113,585629
2012-07-12,3.15159,3.15159,3.06865,3.06865,2.890002,975204
2012-07-13,3.0963,3.15159,3.06865,3.12394,2.942073,1112296
2012-07-16,3.12394,3.15159,3.0963,3.12394,2.942073,147040
2012-07-17,3.15159,3.26217,3.15159,3.20688,3.020185,3144453
2012-07-18,3.26217,3.31746,3.20688,3.23452,3.046215,12929948
2012-07-19,3.26217,3.26217,3.15159,3.15159,2.968113,9085382
2012-07-20,3.17923,3.23452,3.15159,3.17923,2.994144,1631549
2012-07-23,3.15159,3.17923,3.0963,3.12394,2.942073,1338373
2012-07-24,3.12394,3.20688,3.12394,3.17923,2.994144,931797
2012-07-25,3.15159,3.20688,3.12394,3.17923,2.994144,1524298
2012-07-26,3.20688,3.23452,3.0963,3.0963,2.916042,1808431
2012-07-27,3.15159,3.17923,3.0963,3.15159,2.968113,1225877
2012-07-30,3.15159,3.17923,3.12394,3.15159,2.968113,676963
2012-07-31,3.20688,3.20688,3.12394,3.12394,2.942073,540775
2012-08-01,3.15159,3.20688,3.12394,3.20688,3.020185,1462263
2012-08-03,3.20688,3.23452,3.15159,3.20688,3.020185,1593206
2012-08-06,3.23452,3.34511,3.20688,3.34511,3.150367,19942479
2012-08-07,3.37275,3.4004,3.28982,3.28982,3.098296,10305471
2012-08-08,3.28982,3.37275,3.26217,3.28982,3.098296,3813097
2012-08-09,3.31746,3.31746,3.26217,3.28982,3.098296,1548172
2012-08-10,3.23452,3.28982,3.20688,3.26217,3.072256,1228952
2012-08-14,3.26217,3.26217,3.0963,3.15159,2.968113,3906059
2012-08-15,3.15159,3.17923,3.12394,3.12394,2.942073,1457380
2012-08-16,3.12394,3.17923,3.0963,3.0963,2.916042,2820892
2012-08-17,3.15159,3.26217,3.15159,3.23452,3.046215,2050785
2012-08-20,3.26217,3.26217,3.17923,3.20688,3.020185,686007
2012-08-21,3.20688,3.26217,3.17923,3.17923,2.994144,1013908
2012-08-22,3.17923,3.23452,3.15159,3.15159,2.968113,1250113
2012-08-23,3.15159,3.20688,3.15159,3.17923,2.994144,858548
2012-08-24,3.15159,3.17923,3.0963,3.15159,2.968113,2296756
2012-08-27,3.15159,3.17923,3.0963,3.0963,2.916042,1878244
