Date,Open,High,Low,Close,Adj Close,Volume
2004-09-17,1.88333,1.95,1.36667,1.36667,1.154361,2024329500.0
2004-09-20,1.38667,1.40667,1.28667,1.30667,1.103682,327618000.0
2004-09-21,1.34667,1.39333,1.34,1.38,1.16562,415542600.0
2004-09-22,1.4,1.40667,1.3,1.31333,1.109307,337770900.0
2004-09-23,1.29333,1.33333,1.24667,1.25333,1.058628,84691800.0
2004-09-24,1.26,1.27333,1.20667,1.22,1.030476,57645900.0
2004-09-27,1.22,1.33333,1.21333,1.33333,1.1262,172821600.0
2004-09-28,1.33333,1.37333,1.3,1.30667,1.103682,183180600.0
2004-09-29,1.33333,1.33333,1.26667,1.26667,1.069896,17857800.0
2004-09-30,1.28,1.29333,1.24,1.26,1.064262,16794900.0
2004-10-01,1.27,1.27333,1.24667,1.26667,1.069896,10980000.0
2004-10-04,1.26667,1.28,1.26,1.26,1.064262,15631200.0
2004-10-05,1.26,1.26667,1.06667,1.09333,0.923484,59422500.0
2004-10-06,1.11333,1.13333,1.0,1.04,0.878438,62221500.0
2004-10-07,1.03333,1.07333,1.02667,1.04667,0.884072,25533900.0
2004-10-08,1.06,1.09333,1.04,1.05333,0.889698,59076000.0
2004-10-11,1.06,1.06667,1.04667,1.04667,0.884072,20429100.0
2004-10-12,1.04667,1.04667,0.99333,0.99333,0.839018,22196700.0
2004-10-13,1.0,1.0,0.95333,0.97333,0.822125,11577600.0
2004-10-14,0.97333,0.98667,0.94,0.94,0.793973,19872000.0
2004-10-15,0.94,0.96667,0.93333,0.93333,0.788339,5515200.0
2004-10-18,0.94,0.94667,0.90667,0.90667,0.765821,7249500.0
2004-10-19,0.92,0.93333,0.90667,0.92667,0.782714,12468600.0
2004-10-20,0.92,0.95333,0.92,0.93333,0.788339,12126600.0
2004-10-21,0.93333,0.93333,0.85333,0.87333,0.73766,24794100.0
2004-10-22,0.88,0.89333,0.86667,0.87333,0.73766,10199700.0
2004-10-25,,,,,,
2004-10-26,0.86667,0.88,0.84,0.84,0.709508,9295200.0
2004-10-27,0.83333,0.83333,0.73333,0.73333,0.619409,22116600.0
2004-10-28,0.74667,0.75333,0.69333,0.70667,0.59689,14285700.0
2004-10-29,0.70667,0.71333,0.68667,0.7,0.591257,5519700.0
2004-11-01,0.7,0.72,0.7,0.7,0.591257,2002500.0
2004-11-02,0.71333,0.72667,0.70667,0.71333,0.602516,8060400.0
2004-11-03,0.72,0.76667,0.72,0.74667,0.630677,21917700.0
2004-11-04,0.76,0.85333,0.76,0.80667,0.681356,61333200.0
2004-11-05,0.82667,0.84,0.72667,0.74667,0.630677,41588100.0
2004-11-08,0.76,0.77333,0.72667,0.75333,0.636302,16944300.0
2004-11-09,0.75333,0.78667,0.75333,0.78667,0.664463,17753400.0
2004-11-10,0.79333,0.81333,0.76,0.76667,0.64757,23436000.0
2004-11-11,0.78,0.78667,0.75333,0.77333,0.653195,12187800.0
2004-11-12,0.77333,0.80667,0.77333,0.79333,0.670088,15162300.0
2004-11-15,0.8,0.84667,0.78667,0.84667,0.715142,42630300.0
2004-11-16,0.85333,0.9,0.82667,0.87333,0.73766,92468700.0
2004-11-17,0.88,0.98667,0.87333,0.98667,0.833393,145454400.0
2004-11-18,0.98,1.24667,0.96667,1.14667,0.968537,483430500.0
2004-11-19,1.14667,1.19333,1.07333,1.10667,0.934751,120715200.0
2004-11-22,1.11333,1.17333,1.11333,1.13333,0.95727,107053200.0
2004-11-23,1.17333,1.17333,1.11333,1.13333,0.95727,38779200.0
2004-11-24,1.13333,1.19333,1.12,1.18,0.99669,145052100.0
2004-11-25,1.19333,1.19333,1.14,1.14667,0.968537,97698600.0
2004-11-26,1.15333,1.17333,1.08,1.09333,0.923484,125991000.0
2004-11-29,1.1,1.14,1.06,1.08667,0.917858,153320400.0
2004-11-30,1.08667,1.09333,1.06,1.06,0.895331,34124400.0
2004-12-01,1.06,1.08667,1.03333,1.03333,0.872805,25427700.0
2004-12-02,1.05333,1.06,0.98667,1.00667,0.850286,62023500.0
2004-12-03,1.00667,1.02,0.99333,1.00667,0.850286,15543000.0
2004-12-06,,,,,,
2004-12-07,1.01333,1.03333,0.99333,0.99333,0.839018,25792200.0
2004-12-08,0.99333,1.01333,0.98667,1.0,0.844652,15690600.0
2004-12-09,1.0,1.07333,1.0,1.07333,0.906591,106894800.0
2004-12-10,,,,,,
2004-12-13,1.08,1.1,1.05333,1.06,0.895331,103443300.0
2004-12-14,1.08,1.08,1.00667,1.00667,0.850286,46908900.0
2004-12-15,1.02,1.02,1.00667,1.02,0.861545,12249000.0
2004-12-16,1.02667,1.04667,1.01333,1.01333,0.855911,11928600.0
2004-12-17,1.02667,1.02667,1.0,1.0,0.844652,13824000.0
2004-12-20,1.00667,1.00667,0.98,0.98,0.827759,14639400.0
