Date,Open,High,Low,Close,Adj Close,Volume
2013-08-09,3.92,3.96,2.66,2.88,2.56478,507144900.0
2013-08-13,2.88,2.88,2.28,2.28,2.030451,124383100.0
2013-08-14,2.28,2.36,2.08,2.14,1.905774,51306500.0
2013-08-15,2.16,2.26,2.1,2.14,1.905774,38304400.0
2013-08-16,2.12,2.34,2.12,2.28,2.030451,71065000.0
2013-08-19,2.24,2.24,2.02,2.02,1.798908,30897800.0
2013-08-20,1.99,1.99,1.91,1.95,1.73657,14632600.0
2013-08-21,1.94,2.04,1.94,1.98,1.763286,17470700.0
2013-08-22,1.96,1.98,1.93,1.95,1.73657,10351300.0
2013-08-23,2.0,2.04,1.87,1.87,1.665326,14486300.0
2013-08-26,1.9,1.92,1.63,1.64,1.4605,42246500.0
2013-08-27,1.64,1.64,1.47,1.48,1.318012,9388800.0
2013-08-28,1.43,1.48,1.39,1.45,1.291296,7259000.0
2013-08-29,1.47,1.56,1.46,1.52,1.353634,8614200.0
2013-08-30,1.53,1.53,1.49,1.5,1.335823,2905900.0
2013-09-02,1.51,1.56,1.51,1.56,1.389256,3473200.0
2013-09-03,1.56,1.6,1.48,1.48,1.318012,5116300.0
2013-09-04,1.49,1.51,1.45,1.47,1.309107,2476000.0
2013-09-05,1.49,1.53,1.49,1.49,1.326917,4490000.0
2013-09-06,1.51,1.93,1.5,1.93,1.718759,114804300.0
2013-09-09,1.98,2.3,1.97,2.08,1.852341,158019900.0
2013-09-10,2.16,2.18,1.85,1.86,1.65642,44697000.0
2013-09-11,1.91,1.96,1.86,1.9,1.692042,16983600.0
2013-09-12,1.93,2.2,1.9,1.97,1.754381,69342300.0
2013-09-13,2.0,2.02,1.95,1.97,1.754381,12623400.0
2013-09-16,1.99,2.12,1.98,2.12,1.887963,22155800.0
2013-09-17,2.08,2.14,2.02,2.04,1.816719,19380000.0
2013-09-18,2.08,2.08,2.0,2.0,1.781097,10599200.0
2013-09-19,2.06,2.06,2.0,2.02,1.798908,10511600.0
2013-09-20,2.04,2.28,2.02,2.18,1.941396,134697000.0
2013-09-23,2.14,2.16,1.9,1.91,1.724682,40634800.0
2013-09-24,1.92,2.02,1.87,1.9,1.715652,29133100.0
2013-09-25,1.93,1.96,1.9,1.93,1.742741,9842800.0
2013-09-26,1.93,2.2,1.92,2.02,1.824009,72322700.0
2013-09-27,2.08,2.18,1.98,2.02,1.824009,43147600.0
2013-09-30,1.98,2.28,1.98,2.22,2.004604,157415900.0
2013-10-01,2.24,2.6,2.24,2.34,2.112961,277307500.0
2013-10-02,2.28,2.4,2.22,2.22,2.004604,56738900.0
2013-10-03,2.24,2.28,2.2,2.22,2.004604,22855900.0
2013-10-04,2.22,2.34,2.22,2.26,2.040723,35636500.0
2013-10-07,2.26,2.44,2.26,2.28,2.058783,55453300.0
2013-10-08,2.32,2.36,2.26,2.3,2.076842,18785800.0
2013-10-09,2.3,2.32,2.22,2.22,2.004604,9249700.0
2013-10-10,2.24,2.26,2.22,2.24,2.022664,6452500.0
2013-10-11,2.26,2.3,2.22,2.22,2.004604,4919200.0
2013-10-14,2.22,2.24,2.2,2.2,1.986545,2034800.0
2013-10-15,2.2,2.26,2.2,2.2,1.986545,6102100.0
2013-10-16,2.22,2.22,2.12,2.14,1.932366,5959600.0
2013-10-17,2.16,2.24,2.14,2.18,1.968485,6368800.0
2013-10-18,2.2,2.26,2.2,2.22,2.004604,5765000.0
2013-10-21,2.22,2.22,2.14,2.14,1.932366,4369400.0
2013-10-22,2.2,2.2,2.14,2.18,1.968485,1588400.0
2013-10-24,2.18,2.22,2.14,2.22,2.004604,4852800.0
2013-10-25,2.22,2.26,2.16,2.16,1.950426,3863500.0
2013-10-28,2.18,2.2,2.14,2.16,1.950426,1345100.0
2013-10-29,2.18,2.18,2.12,2.12,1.914307,1766800.0
2013-10-30,2.12,2.12,2.02,2.06,1.860128,3604500.0
2013-10-31,2.04,2.06,2.02,2.04,1.842069,2052200.0
2013-11-01,2.04,2.08,2.02,2.04,1.842069,3543200.0
2013-11-04,2.04,2.06,2.0,2.0,1.80595,2804600.0
2013-11-05,2.0,2.08,2.0,2.04,1.842069,3342700.0
2013-11-06,2.04,2.12,2.04,2.1,1.896247,2333000.0
2013-11-07,2.08,2.14,2.04,2.04,1.842069,3302600.0
2013-11-08,2.04,2.1,2.04,2.04,1.842069,3474500.0
2013-11-11,2.02,2.06,2.02,2.04,1.842069,679100.0
2013-11-12,2.06,2.22,2.06,2.12,1.914307,5987600.0
