Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,2.09601,2.13378,2.07713,2.07713,-6.7e-05,13379778.0
2000-01-05,2.0016,2.02048,1.92606,1.96383,-6.3e-05,10406200.0
2000-01-06,1.96383,1.98271,1.90718,1.96383,-6.3e-05,12032003.0
2000-01-07,1.96383,2.02048,1.90718,1.92606,-6.2e-05,13677665.0
2000-01-10,1.92606,1.96383,1.81277,1.81277,-5.8e-05,12503327.0
2000-01-11,1.85053,1.85053,1.69947,1.73723,-5.6e-05,12780031.0
2000-01-12,1.71835,1.90718,1.71835,1.79388,-5.8e-05,13943778.0
2000-01-13,1.85053,1.86941,1.79388,1.81277,-5.8e-05,6774621.0
2000-01-14,1.85053,1.94495,1.85053,1.94495,-6.3e-05,12156454.0
2000-01-17,2.0016,2.0016,1.94495,1.94495,-6.3e-05,16310990.0
2000-01-18,1.98271,2.05824,1.98271,2.03936,-6.6e-05,21185752.0
2000-01-19,2.05824,2.11489,2.03936,2.07713,-6.7e-05,18344568.0
2000-01-20,2.15266,2.36037,2.15266,2.30372,-7.4e-05,46874237.0
2000-01-21,2.34149,2.47367,2.32261,2.4359,-7.9e-05,61491903.0
2000-01-24,2.45479,2.47367,2.26596,2.36037,-7.6e-05,14869215.0
2000-01-25,2.36037,2.36037,2.26596,2.28484,-7.4e-05,7234030.0
2000-01-26,2.30372,2.30372,2.22819,2.24707,-7.2e-05,5531438.0
2000-01-27,2.24707,2.26596,2.15266,2.15266,-6.9e-05,11317073.0
2000-01-28,2.19042,2.20931,2.15266,2.19042,-7.1e-05,4921100.0
2000-01-31,2.19042,2.19042,2.15266,2.15266,-6.9e-05,3860621.0
2000-02-01,2.19042,2.20931,2.15266,2.15266,-6.9e-05,2106395.0
2000-02-02,2.19042,2.19042,2.07713,2.11489,-6.8e-05,3108621.0
2000-02-03,2.11489,2.11489,2.0016,2.03936,-6.6e-05,2421494.0
2000-02-04,2.03936,2.05824,1.98271,2.03936,-6.6e-05,1374254.0
2000-02-07,1.92606,1.98271,1.92606,1.96383,-6.3e-05,14514398.0
2000-02-08,1.94495,2.02048,1.94495,1.96383,-6.3e-05,11113186.0
2000-02-09,1.98271,2.0016,1.90718,1.94495,-6.3e-05,12160426.0
2000-02-10,1.90718,2.0016,1.8883,1.96383,-6.3e-05,12654257.0
2000-02-11,1.98271,2.02048,1.92606,1.92606,-6.2e-05,15884680.0
2000-02-14,1.92606,1.94495,1.81277,1.83165,-5.9e-05,16696258.0
2000-02-15,1.86941,1.8883,1.73723,1.73723,-5.6e-05,13224877.0
2000-02-16,1.73723,1.83165,1.69947,1.69947,-5.5e-05,25605077.0
2000-02-17,1.73723,1.73723,1.62394,1.64282,-5.3e-05,12904482.0
2000-02-18,1.64282,1.6617,1.58617,1.6617,-5.4e-05,10897383.0
2000-02-21,1.6617,1.6617,1.6617,1.6617,-5.4e-05,0.0
2000-02-22,1.6617,1.6617,1.49175,1.51064,-4.9e-05,15950877.0
2000-02-23,1.52952,1.5484,1.49175,1.52952,-4.9e-05,11735440.0
2000-02-24,1.52952,1.56729,1.35957,1.39734,-4.5e-05,20734287.0
2000-02-25,1.35957,1.49175,1.35957,1.49175,-4.8e-05,19473892.0
2000-02-28,1.47287,1.47287,1.39734,1.39734,-4.5e-05,8320988.0
2000-02-29,1.41622,1.41622,1.34069,1.35957,-4.4e-05,5023044.0
2000-03-01,1.37846,1.39734,1.28404,1.32181,-4.3e-05,7452481.0
2000-03-02,1.32181,1.47287,1.30293,1.45399,-4.7e-05,9558876.0
2000-03-03,1.51064,1.52952,1.47287,1.49175,-4.8e-05,20290766.0
2000-03-06,1.52952,1.5484,1.47287,1.47287,-4.8e-05,10404876.0
2000-03-07,1.47287,1.49175,1.41622,1.43511,-4.6e-05,9733636.0
2000-03-08,1.37846,1.47287,1.37846,1.45399,-4.7e-05,4881382.0
2000-03-09,1.51064,1.5484,1.45399,1.47287,-4.8e-05,9094171.0
2000-03-10,1.51064,1.52952,1.45399,1.45399,-4.7e-05,8244199.0
2000-03-13,1.49175,1.52952,1.43511,1.43511,-4.6e-05,22381273.0
2000-03-14,1.45399,1.47287,1.43511,1.47287,-4.8e-05,9400002.0
2000-03-15,1.45399,1.51064,1.41622,1.41622,-4.6e-05,11988313.0
2000-03-16,1.41622,1.45399,1.41622,1.41622,-4.6e-05,4862846.0
2000-03-17,1.49175,1.5484,1.45399,1.49175,-4.8e-05,33568600.0
2000-03-20,1.52952,1.64282,1.51064,1.62394,-5.2e-05,61201959.0
2000-03-21,1.64282,1.6617,1.52952,1.5484,-5e-05,33335586.0
2000-03-22,1.56729,1.62394,1.49175,1.60505,-5.2e-05,37623841.0
2000-03-23,1.64282,1.71835,1.64282,1.71835,-5.5e-05,69152243.0
2000-03-24,1.75612,1.775,1.69947,1.69947,-5.5e-05,38754489.0
2000-03-27,1.73723,1.73723,1.6617,1.69947,-5.5e-05,12157778.0
2000-03-28,1.68058,1.75612,1.68058,1.71835,-5.5e-05,24631978.0
2000-03-29,1.71835,1.79388,1.71835,1.75612,-5.7e-05,34258375.0
2000-03-30,1.79388,1.79388,1.6617,1.6617,-5.4e-05,24226851.0
2000-03-31,1.6617,1.69947,1.64282,1.6617,-5.4e-05,10018284.0
2000-04-03,1.6617,1.6617,1.62394,1.62394,-5.2e-05,7640481.0
2000-04-04,1.62394,1.62394,1.56729,1.58617,-5.1e-05,5798875.0
2000-04-05,1.58617,1.60505,1.5484,1.56729,-5.1e-05,7347889.0
2000-04-06,1.56729,1.56729,1.56729,1.56729,-5.1e-05,0.0
2000-04-07,1.58617,1.62394,1.58617,1.58617,-5.1e-05,8453382.0
2000-04-10,1.62394,1.68058,1.60505,1.6617,-5.4e-05,7791410.0
2000-04-11,1.69947,1.69947,1.6617,1.68058,-5.4e-05,13320201.0
2000-04-12,1.69947,1.85053,1.69947,1.81277,-5.8e-05,46351279.0
2000-04-13,1.81277,1.81277,1.81277,1.81277,-5.8e-05,0.0
2000-04-14,1.81277,1.81277,1.81277,1.81277,-5.8e-05,0.0
2000-04-17,1.64282,1.73723,1.62394,1.73723,-5.6e-05,25710992.0
2000-04-18,1.79388,1.79388,1.68058,1.69947,-5.5e-05,22657978.0
