Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,15.75,16.0,15.5,15.5,11.838039,12544500.0
2000-01-05,14.75,15.0,14.0,14.5,11.074293,12549800.0
2000-01-06,14.5,14.5,13.75,14.0,10.692423,6348900.0
2000-01-07,14.0,14.75,13.75,14.5,11.074293,5095300.0
2000-01-10,15.0,15.5,14.25,14.5,11.074293,10684700.0
2000-01-11,14.5,14.75,14.0,14.0,10.692423,4222700.0
2000-01-12,13.75,14.25,13.75,14.25,10.883359,2827700.0
2000-01-13,14.0,14.5,14.0,14.0,10.692423,1833300.0
2000-01-14,14.25,15.0,14.25,14.75,11.265232,7936800.0
2000-01-17,15.0,15.25,14.25,14.5,11.074293,8004700.0
2000-01-18,14.5,15.0,14.5,15.0,11.456166,5741700.0
2000-01-19,14.5,15.25,14.5,15.0,11.456166,8145400.0
2000-01-20,15.25,15.5,14.75,14.75,11.265232,13959800.0
2000-01-21,14.75,14.75,14.0,14.5,11.074293,8200600.0
2000-01-24,14.5,14.5,14.0,14.5,11.074293,3202700.0
2000-01-25,14.0,14.5,14.0,14.25,10.883359,2903500.0
2000-01-26,14.25,14.5,14.0,14.0,10.692423,1175000.0
2000-01-27,14.0,14.5,13.75,14.25,10.883359,1842300.0
2000-01-28,14.25,14.25,14.0,14.25,10.883359,1480800.0
2000-01-31,14.0,14.25,14.0,14.25,10.883359,975000.0
2000-02-01,14.25,14.5,14.0,14.0,10.692423,2521700.0
2000-02-02,14.0,14.25,13.75,13.75,10.501486,4015700.0
2000-02-03,13.75,14.0,13.25,13.5,10.31055,3926000.0
2000-02-04,13.5,13.75,13.25,13.75,10.501486,2298800.0
2000-02-07,13.75,14.0,13.5,13.5,10.31055,1242200.0
2000-02-08,13.75,13.75,13.25,13.25,10.119614,2993300.0
2000-02-09,13.5,13.5,12.75,13.0,9.928678,4366200.0
2000-02-10,12.75,13.0,12.5,12.5,9.546803,3902600.0
2000-02-11,12.75,13.0,12.25,12.5,9.546803,3409200.0
