Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,26.6,30.0,26.6,28.4,3.042485,8254000.0
2000-01-05,27.0,27.799999,26.799999,26.799999,2.871076,5197000.0
2000-01-06,26.6,26.6,25.4,25.4,2.721096,2952000.0
2000-01-07,25.4,25.4,24.799999,24.799999,2.656818,1851000.0
2000-01-10,25.6,26.6,24.799999,25.0,2.678244,1558000.0
2000-01-11,25.799999,30.6,25.799999,28.799999,3.085337,7219000.0
2000-01-12,28.799999,29.6,28.4,29.0,3.106763,2277000.0
2000-01-13,28.6,29.0,28.4,28.799999,3.085337,1231000.0
2000-01-14,28.799999,31.4,28.799999,30.200001,3.235319,1843000.0
2000-01-17,30.6,31.200001,30.0,30.0,3.213892,1760000.0
2000-01-18,30.0,30.0,28.6,29.799999,3.192466,2169000.0
2000-01-19,29.799999,30.200001,29.799999,30.0,3.213892,1286000.0
2000-01-20,30.6,32.0,30.6,30.799999,3.299597,2226000.0
2000-01-21,31.0,31.799999,31.0,31.4,3.363875,2169000.0
2000-01-24,32.0,35.400002,31.0,31.0,3.321023,2697000.0
2000-01-25,30.799999,30.799999,29.6,29.799999,3.192466,574000.0
2000-01-26,30.0,32.0,29.6,31.4,3.363875,4206000.0
2000-01-27,31.200001,31.200001,30.4,31.0,3.321023,1109000.0
2000-01-28,31.0,32.0,30.0,32.0,3.428151,1802000.0
2000-01-31,31.0,31.0,30.200001,30.200001,3.235319,2999000.0
2000-02-01,30.6,32.0,30.6,31.6,3.3853,2641000.0
2000-02-02,31.6,32.400002,31.6,32.0,3.428151,2512000.0
2000-02-03,32.200001,34.599998,32.200001,33.200001,3.556708,5195000.0
2000-02-04,33.400002,33.599998,32.400002,33.0,3.535281,351000.0
2000-02-07,33.0,34.0,32.599998,33.799999,3.620985,104000.0
2000-02-08,33.0,33.0,31.0,31.799999,3.406726,5658000.0
2000-02-09,31.799999,32.0,31.0,31.799999,3.406726,3588000.0
2000-02-10,31.4,32.799999,31.0,31.4,3.363875,7797000.0
2000-02-11,31.799999,32.0,30.0,31.6,3.3853,9313000.0
2000-02-14,31.6,31.799999,31.0,31.0,3.321023,1853000.0
2000-02-15,31.200001,31.4,30.0,30.0,3.213892,2203000.0
2000-02-16,30.6,30.799999,30.200001,30.200001,3.235319,3512000.0
2000-02-17,30.200001,30.6,29.6,30.0,3.213892,1228000.0
2000-02-18,29.799999,29.799999,29.200001,29.4,3.149615,1217000.0
2000-02-21,,,,,,
2000-02-22,29.0,29.4,27.6,27.6,2.956781,2078000.0
2000-02-23,27.6,28.799999,27.4,28.200001,3.02106,3639000.0
2000-02-24,28.4,28.799999,27.6,28.200001,3.02106,3383000.0
2000-02-25,28.200001,30.0,28.0,29.799999,3.192466,2529000.0
2000-02-28,29.6,29.799999,28.799999,28.799999,3.085337,1236000.0
2000-02-29,29.200001,29.200001,28.200001,28.200001,3.02106,840000.0
2000-03-01,28.200001,28.200001,26.200001,26.6,2.849651,3640000.0
2000-03-02,27.200001,28.6,27.200001,28.200001,3.02106,2671000.0
2000-03-03,28.4,30.0,28.4,29.0,3.106763,1837000.0
2000-03-06,28.6,29.6,28.6,29.6,3.171041,1368000.0
2000-03-07,28.799999,29.4,28.799999,29.200001,3.128189,614000.0
2000-03-08,29.0,29.4,29.0,29.200001,3.128189,1624000.0
2000-03-09,29.4,29.799999,28.799999,29.200001,3.128189,1068000.0
2000-03-10,29.4,29.4,28.200001,28.200001,3.02106,2387000.0
2000-03-13,28.6,28.799999,27.0,27.0,2.892503,1714000.0
2000-03-14,28.4,28.4,27.200001,27.799999,2.978207,1773000.0
2000-03-15,27.799999,27.799999,27.4,27.6,2.956781,307000.0
2000-03-16,28.0,28.200001,27.4,27.4,2.935355,1634000.0
2000-03-17,28.4,29.0,28.0,28.0,2.999633,2190000.0
2000-03-20,28.0,28.6,28.0,28.200001,3.02106,1527000.0
2000-03-21,27.799999,28.4,27.6,28.0,2.999633,868000.0
2000-03-22,28.0,28.200001,27.6,27.799999,2.978207,1497000.0
2000-03-23,27.799999,28.200001,27.799999,28.0,2.999633,936000.0
2000-03-24,28.0,28.4,27.799999,27.799999,2.978207,1286000.0
2000-03-27,28.200001,28.4,28.0,28.4,3.042485,453000.0
2000-03-28,28.6,29.0,27.799999,28.0,2.999633,1748000.0
2000-03-29,28.200001,28.200001,27.799999,27.799999,2.978207,1112000.0
2000-03-30,28.200001,28.4,28.0,28.200001,3.02106,1244000.0
2000-03-31,28.0,28.0,27.4,27.6,2.956781,1933000.0
2000-04-03,27.0,27.4,26.799999,27.0,3.875394,1125000.0
2000-04-04,27.0,27.6,27.0,27.4,3.932807,550000.0
2000-04-05,27.4,27.4,27.0,27.0,3.875394,1948000.0
2000-04-06,,,,,,
2000-04-07,27.200001,27.6,27.0,27.200001,3.904099,2994000.0
2000-04-10,27.0,27.200001,26.6,27.200001,3.904099,1186000.0
2000-04-11,27.200001,27.4,27.0,27.200001,3.904099,1788000.0
2000-04-12,27.4,27.799999,27.4,27.799999,3.99022,1019000.0
2000-04-13,,,,,,
2000-04-14,,,,,,
2000-04-17,26.0,26.200001,25.200001,26.0,3.73186,4870000.0
2000-04-18,26.0,26.4,25.6,26.0,3.73186,1946000.0
2000-04-19,25.799999,26.0,25.799999,26.0,3.73186,2062000.0
2000-04-20,26.0,26.6,25.799999,25.799999,3.703153,2178000.0
2000-04-21,26.0,26.6,26.0,26.6,3.81798,115000.0
2000-04-24,26.6,26.799999,26.0,26.799999,3.846686,109000.0
2000-04-25,26.799999,26.799999,25.799999,26.0,3.73186,1208000.0
2000-04-26,26.200001,26.200001,25.6,25.6,3.674446,1439000.0
2000-04-27,25.6,25.799999,24.799999,25.0,3.588327,1948000.0
2000-04-28,24.799999,25.4,24.799999,25.0,3.588327,439000.0
2000-05-01,,,,,,
2000-05-02,25.0,25.0,24.799999,25.0,3.588327,890000.0
2000-05-03,25.0,25.0,23.200001,23.4,3.358674,1844000.0
2000-05-04,23.200001,23.6,22.799999,23.200001,3.329967,2194000.0
2000-05-05,,,,,,
2000-05-08,23.0,23.0,21.200001,21.6,3.100315,3047000.0
2000-05-09,21.6,22.200001,21.4,21.6,3.100315,2600000.0
2000-05-10,21.6,21.6,21.200001,21.4,3.071609,2033000.0
2000-05-11,20.799999,21.4,20.4,21.0,3.014194,1847000.0
2000-05-12,21.0,23.200001,21.0,23.0,3.30126,1497000.0
2000-05-15,23.0,23.0,22.0,22.4,3.215141,1008000.0
2000-05-16,22.6,24.200001,22.6,24.200001,3.4735,2309000.0
2000-05-17,,,,,,
2000-05-18,24.0,25.200001,23.799999,24.200001,3.4735,3910000.0
2000-05-19,24.6,25.0,23.4,24.4,3.502207,1082000.0
2000-05-22,24.4,24.4,23.200001,23.200001,3.329967,944000.0
2000-05-23,23.0,23.0,21.4,21.4,3.071609,2027000.0
2000-05-24,21.0,21.6,20.6,21.4,3.071609,2056000.0
2000-05-25,22.200001,22.799999,21.0,21.0,3.014194,2348000.0
2000-05-26,21.4,22.0,21.0,22.0,3.157727,1381000.0
2000-05-29,22.0,23.200001,21.799999,22.4,3.215141,2561000.0
2000-05-30,22.799999,23.4,22.4,23.200001,3.329967,308000.0
2000-05-31,23.6,24.200001,23.4,23.4,3.358674,2018000.0
2000-06-01,23.4,23.799999,22.6,23.4,3.358674,2207000.0
2000-06-02,23.6,24.0,23.200001,23.4,3.358674,3159000.0
2000-06-05,24.0,24.799999,23.799999,24.200001,3.4735,2109000.0
2000-06-06,24.0,24.0,23.4,23.6,3.387381,1642000.0
2000-06-07,23.200001,24.0,23.0,23.0,3.30126,1774000.0
2000-06-08,23.6,23.6,22.799999,23.0,3.30126,1184000.0
2000-06-09,23.0,23.200001,23.0,23.200001,3.329967,795000.0
2000-06-12,23.4,23.4,23.0,23.0,3.30126,674000.0
2000-06-13,23.0,23.200001,23.0,23.200001,3.329967,124000.0
2000-06-14,23.0,24.0,23.0,24.0,3.444794,1074000.0
2000-06-15,24.0,26.4,23.6,25.4,3.64574,1814000.0
2000-06-16,25.6,26.200001,25.200001,25.4,3.64574,1690000.0
2000-06-19,25.6,25.6,23.6,23.6,3.387381,1419000.0
2000-06-20,24.0,24.200001,22.4,23.0,3.30126,3021000.0
2000-06-21,22.6,23.4,22.6,23.200001,3.329967,1777000.0
2000-06-22,23.799999,24.0,23.200001,23.6,3.387381,1355000.0
2000-06-23,23.6,23.6,22.6,23.200001,3.329967,2485000.0
2000-06-26,23.4,23.4,22.799999,22.799999,3.272554,418000.0
2000-06-27,23.200001,23.6,23.200001,23.200001,3.329967,1865000.0
2000-06-28,23.6,23.6,23.200001,23.6,3.387381,44000.0
2000-06-29,23.200001,23.6,23.200001,23.6,3.387381,761000.0
2000-06-30,23.200001,23.200001,22.799999,23.0,3.30126,2355000.0
2000-07-03,23.0,24.799999,23.0,24.799999,3.55962,1275000.0
2000-07-04,24.6,24.6,23.799999,24.200001,3.4735,217000.0
2000-07-05,24.0,24.6,24.0,24.4,3.502207,862000.0
2000-07-06,24.0,24.200001,24.0,24.0,3.444794,1598000.0
2000-07-07,24.0,24.6,24.0,24.6,3.530913,1096000.0
2000-07-10,24.6,26.6,24.6,25.6,3.674446,2621000.0
2000-07-11,25.200001,25.6,24.799999,25.0,3.588327,604000.0
2000-07-12,24.799999,25.4,24.799999,24.799999,3.55962,2393000.0
2000-07-13,24.6,24.6,24.4,24.6,3.530913,1320000.0
2000-07-14,24.4,24.799999,24.4,24.6,3.530913,50000.0
2000-07-17,,,,,,
2000-07-18,24.4,24.6,24.4,24.6,3.530913,1007000.0
2000-07-19,,,,,,
2000-07-20,25.0,25.4,24.4,24.4,3.502207,557000.0
2000-07-21,24.4,25.6,24.200001,25.4,3.64574,791000.0
2000-07-24,24.799999,26.0,24.799999,25.4,3.64574,1331000.0
2000-07-25,25.0,25.0,24.0,24.200001,3.4735,1255000.0
2000-07-26,24.200001,24.200001,23.0,23.4,3.358674,2368000.0
2000-07-27,23.4,24.4,23.4,24.200001,3.4735,2377000.0
2000-07-28,24.0,24.200001,23.4,23.6,3.387381,1237000.0
2000-07-31,23.6,23.6,23.200001,23.6,3.387381,1396000.0
2000-08-01,23.4,23.799999,23.4,23.799999,3.416087,919000.0
2000-08-02,23.799999,23.799999,23.200001,23.200001,3.329967,2928000.0
2000-08-03,23.6,23.799999,23.0,23.4,3.358674,1415000.0
2000-08-04,23.799999,23.799999,23.4,23.6,3.387381,2551000.0
2000-08-07,23.799999,23.799999,23.0,23.0,3.30126,844000.0
2000-08-08,23.0,24.0,23.0,23.6,3.387381,2498000.0
2000-08-09,23.799999,23.799999,23.4,23.4,3.358674,292000.0
2000-08-10,23.6,24.200001,23.6,23.799999,3.416087,3335000.0
2000-08-11,24.0,25.0,23.799999,24.799999,3.55962,3289000.0
2000-08-14,,,,,,
2000-08-15,25.0,25.799999,25.0,25.6,3.674446,2946000.0
2000-08-16,25.4,25.4,25.0,25.4,3.64574,589000.0
2000-08-17,25.4,25.6,25.0,25.200001,3.617033,775000.0
2000-08-18,25.0,25.200001,24.799999,25.0,3.588327,574000.0
2000-08-21,25.0,25.200001,25.0,25.200001,3.617033,619000.0
2000-08-22,24.799999,26.0,24.799999,26.0,3.73186,2047000.0
2000-08-23,26.200001,27.200001,26.200001,26.6,3.81798,3128000.0
2000-08-24,26.799999,26.799999,26.4,26.6,3.81798,171000.0
2000-08-25,26.4,26.4,25.200001,25.200001,3.617033,516000.0
2000-08-28,25.200001,25.6,25.0,25.6,3.674446,867000.0
2000-08-29,25.4,25.4,25.200001,25.200001,3.617033,497000.0
2000-08-30,25.6,25.6,24.4,25.0,3.588327,2368000.0
2000-08-31,24.4,24.6,24.0,24.6,3.530913,2656000.0
2000-09-01,24.799999,24.799999,24.4,24.4,3.502207,1493000.0
2000-09-04,24.6,24.799999,24.6,24.6,3.530913,954000.0
2000-09-05,24.4,24.4,23.799999,23.799999,3.416087,1302000.0
2000-09-06,24.0,24.0,23.4,23.6,3.387381,1883000.0
2000-09-07,23.799999,23.799999,23.4,23.799999,3.416087,837000.0
2000-09-08,23.799999,23.799999,23.4,23.6,3.387381,1677000.0
2000-09-11,23.6,23.6,22.799999,23.0,3.30126,1368000.0
2000-09-12,23.0,23.200001,22.200001,22.799999,3.272554,3735000.0
2000-09-13,22.6,23.0,22.4,22.6,3.243847,1948000.0
2000-09-14,22.4,22.4,21.6,22.0,3.157727,4487000.0
2000-09-15,22.0,22.799999,22.0,22.4,3.215141,1280000.0
2000-09-18,22.200001,22.200001,21.0,21.0,3.014194,3994000.0
2000-09-19,20.799999,21.799999,20.799999,21.200001,3.042901,4059000.0
2000-09-20,21.200001,21.4,21.0,21.0,3.014194,1047000.0
2000-09-21,21.200001,21.6,21.200001,21.200001,3.042901,2295000.0
2000-09-22,21.0,21.0,20.4,20.799999,2.985487,2545000.0
2000-09-25,21.200001,22.0,21.200001,22.0,3.157727,624000.0
2000-09-26,22.0,22.4,22.0,22.200001,3.186434,952000.0
2000-09-27,22.0,22.6,22.0,22.4,3.215141,910000.0
2000-09-28,22.4,22.4,21.6,21.6,3.100315,297000.0
2000-09-29,21.799999,21.799999,21.4,21.4,3.071609,689000.0
2000-10-02,21.200001,21.4,21.0,21.0,3.014194,836000.0
2000-10-03,20.799999,20.799999,20.0,20.200001,2.899368,2161000.0
2000-10-04,20.4,20.4,19.6,19.6,2.813248,4263000.0
2000-10-05,19.6,20.200001,19.5,19.6,2.813248,4161000.0
2000-10-06,19.6,19.799999,19.5,19.5,2.798895,2021000.0
2000-10-09,19.6,19.6,18.6,18.799999,2.698422,4163000.0
2000-10-10,18.799999,19.200001,17.4,17.6,2.526182,3805000.0
2000-10-11,17.299999,17.5,16.799999,17.5,2.511829,3087000.0
2000-10-12,17.4,19.0,17.4,19.0,2.727129,4390000.0
2000-10-13,18.1,18.700001,18.0,18.0,2.583596,6143000.0
2000-10-16,18.6,18.799999,18.0,18.0,2.583596,2821000.0
2000-10-17,18.200001,18.799999,18.1,18.5,2.655361,3429000.0
2000-10-18,18.5,20.200001,18.5,19.9,2.856308,4898000.0
2000-10-19,19.9,21.799999,19.9,21.200001,3.042901,5892000.0
2000-10-20,22.0,22.0,21.0,21.0,3.014194,3606000.0
2000-10-23,,,,,,
2000-10-24,21.200001,21.6,21.200001,21.200001,3.042901,1787000.0
2000-10-25,21.4,21.4,20.6,20.799999,2.985487,1499000.0
2000-10-26,21.0,21.200001,21.0,21.0,3.014194,1430000.0
2000-10-27,21.0,21.200001,20.200001,20.200001,2.899368,906000.0
2000-10-30,20.6,21.0,20.4,20.6,2.956781,2147000.0
2000-10-31,20.6,21.0,20.6,20.6,2.956781,483000.0
2000-11-01,20.799999,22.0,20.799999,21.799999,3.129021,2923000.0
2000-11-02,21.799999,22.0,21.200001,21.4,3.071609,956000.0
2000-11-03,21.799999,22.799999,21.799999,22.799999,3.272554,2945000.0
2000-11-06,23.0,24.200001,23.0,24.0,3.444794,6192000.0
2000-11-07,24.0,24.4,23.200001,23.799999,3.416087,2487000.0
2000-11-08,24.0,24.0,23.0,23.200001,3.329967,6290000.0
2000-11-09,23.0,23.6,22.0,22.200001,3.186434,2169000.0
2000-11-10,22.6,22.799999,22.4,22.6,3.243847,2359000.0
2000-11-13,22.6,23.200001,22.6,23.200001,3.329967,734000.0
2000-11-14,23.200001,23.200001,22.799999,22.799999,3.272554,371000.0
2000-11-15,23.0,23.4,23.0,23.4,3.358674,529000.0
2000-11-16,23.6,23.6,23.200001,23.200001,3.329967,344000.0
2000-11-17,23.4,24.0,23.4,24.0,3.444794,991000.0
2000-11-20,23.799999,24.0,23.4,23.4,3.358674,404000.0
2000-11-21,23.200001,23.6,23.0,23.200001,3.329967,3072000.0
2000-11-22,23.4,23.6,23.0,23.0,3.30126,2401000.0
2000-11-23,22.799999,22.799999,22.4,22.4,3.215141,1614000.0
2000-11-24,22.4,23.200001,22.4,22.799999,3.272554,621000.0
2000-11-27,23.0,23.200001,22.799999,22.799999,3.272554,223000.0
2000-11-28,22.799999,22.799999,22.6,22.799999,3.272554,139000.0
2000-11-29,22.799999,23.0,22.4,22.4,3.215141,841000.0
2000-11-30,22.4,22.4,22.0,22.0,3.157727,1250000.0
2000-12-01,22.0,22.0,21.4,21.4,3.071609,637000.0
2000-12-04,21.6,22.0,21.4,21.6,3.100315,889000.0
2000-12-05,,,,,,
2000-12-06,22.200001,22.200001,21.799999,21.799999,3.129021,1219000.0
2000-12-07,21.6,21.799999,21.6,21.6,3.100315,386000.0
2000-12-08,21.6,22.200001,21.6,21.799999,3.129021,1459000.0
2000-12-11,,,,,,
2000-12-12,21.6,22.0,21.6,21.799999,3.129021,514000.0
2000-12-13,21.6,21.6,20.799999,21.200001,3.042901,3327000.0
2000-12-14,21.0,21.4,21.0,21.200001,3.042901,2843000.0
2000-12-15,21.0,21.4,21.0,21.200001,3.042901,1707000.0
2000-12-18,21.200001,21.4,21.0,21.4,3.071609,502000.0
2000-12-19,21.799999,22.799999,21.799999,22.799999,3.272554,2494000.0
2000-12-20,22.6,23.0,21.799999,21.799999,3.129021,412000.0
2000-12-21,21.6,22.4,21.4,22.4,3.215141,1026000.0
2000-12-22,22.0,22.0,21.6,21.6,3.100315,814000.0
2000-12-25,,,,,,
2000-12-26,,,,,,
2000-12-27,22.0,22.200001,22.0,22.0,3.157727,663000.0
2000-12-28,22.0,22.200001,22.0,22.200001,3.186434,271000.0
2000-12-29,22.200001,22.200001,21.6,21.6,3.100315,305000.0
2001-01-01,,,,,,
2001-01-02,,,,,,
2001-01-03,21.6,22.0,21.6,22.0,3.157727,1442000.0
2001-01-04,22.4,22.4,21.6,22.0,3.157727,4206000.0
2001-01-05,22.200001,23.200001,22.200001,22.6,3.243847,6341000.0
2001-01-08,23.200001,23.4,22.799999,22.799999,3.272554,4009000.0
2001-01-09,23.0,24.0,23.0,23.6,3.387381,3459000.0
2001-01-10,24.0,25.0,24.0,24.4,3.502207,6609000.0
2001-01-11,24.4,24.799999,24.200001,24.4,3.502207,1709000.0
2001-01-12,24.6,24.799999,23.6,23.6,3.387381,3848000.0
2001-01-15,23.6,24.799999,23.6,24.4,3.502207,5548000.0
2001-01-16,24.6,24.799999,24.200001,24.4,3.502207,2517000.0
2001-01-17,24.6,24.799999,24.4,24.4,3.502207,1526000.0
2001-01-18,24.4,24.6,24.4,24.4,3.502207,1882000.0
2001-01-19,24.6,25.4,24.6,24.6,3.530913,4730000.0
2001-01-22,24.799999,25.200001,24.799999,25.200001,3.617033,1695000.0
2001-01-23,25.200001,25.200001,24.6,25.0,3.588327,2121000.0
2001-01-24,25.0,25.0,23.799999,24.0,3.444794,1573000.0
2001-01-25,24.200001,24.6,24.0,24.200001,3.4735,2137000.0
2001-01-26,24.4,24.4,23.200001,23.4,3.358674,5037000.0
2001-01-29,23.4,23.4,23.0,23.4,3.358674,1339000.0
2001-01-30,23.6,24.200001,23.4,23.6,3.387381,2693000.0
2001-01-31,23.799999,24.6,23.799999,24.6,3.530913,3440000.0
2001-02-01,24.4,24.799999,24.200001,24.200001,3.4735,2419000.0
2001-02-02,24.6,24.6,23.6,23.6,3.387381,1066000.0
2001-02-05,23.799999,24.0,23.6,23.799999,3.416087,1603000.0
2001-02-06,23.799999,23.799999,23.6,23.799999,3.416087,1097000.0
2001-02-07,23.6,24.200001,23.6,24.200001,3.4735,1007000.0
2001-02-08,,,,,,
2001-02-09,24.200001,24.6,23.799999,23.799999,3.416087,1826000.0
2001-02-12,24.0,24.0,23.4,23.6,3.387381,397000.0
2001-02-13,23.799999,23.799999,23.4,23.6,3.387381,840000.0
2001-02-14,23.4,24.0,23.200001,23.4,3.358674,975000.0
2001-02-15,23.4,24.0,23.4,24.0,3.444794,416000.0
2001-02-16,23.6,24.0,23.6,23.799999,3.416087,276000.0
2001-02-19,23.6,24.0,23.6,24.0,3.444794,606000.0
2001-02-20,23.6,24.0,23.6,23.799999,3.416087,586000.0
2001-02-21,23.6,23.799999,23.6,23.6,3.387381,918000.0
2001-02-22,23.6,23.799999,23.200001,23.4,3.358674,348000.0
2001-02-23,23.799999,24.0,23.6,23.6,3.387381,569000.0
2001-02-26,24.0,24.4,24.0,24.200001,3.4735,1658000.0
2001-02-27,24.4,24.799999,23.799999,23.799999,3.416087,1023000.0
2001-02-28,24.0,24.0,23.0,23.200001,3.329967,2074000.0
2001-03-01,23.4,23.799999,23.0,23.0,3.30126,2002000.0
2001-03-02,23.0,23.200001,22.200001,22.4,3.215141,1569000.0
2001-03-05,22.200001,22.799999,22.0,22.6,3.243847,643000.0
2001-03-06,22.799999,23.200001,22.799999,23.0,3.30126,507000.0
2001-03-07,23.200001,23.6,23.200001,23.4,3.358674,708000.0
2001-03-08,23.4,24.200001,23.4,24.0,3.444794,1834000.0
2001-03-09,24.0,24.200001,23.799999,23.799999,3.416087,1044000.0
2001-03-12,23.799999,23.799999,23.200001,23.200001,3.329967,345000.0
2001-03-13,23.0,23.0,22.6,22.6,3.243847,1457000.0
2001-03-14,22.799999,22.799999,22.6,22.6,3.243847,552000.0
2001-03-15,22.6,22.6,22.4,22.6,3.243847,673000.0
2001-03-16,22.799999,22.799999,22.6,22.6,3.243847,1323000.0
2001-03-19,22.799999,22.799999,22.6,22.6,3.243847,994000.0
2001-03-20,22.799999,23.0,22.799999,22.799999,3.272554,1691000.0
2001-03-21,22.799999,23.6,22.799999,23.4,3.358674,1051000.0
2001-03-22,23.4,24.6,23.4,24.0,3.444794,3397000.0
2001-03-23,24.0,24.0,23.6,23.6,3.387381,1797000.0
2001-03-26,24.0,24.0,23.6,23.6,3.387381,1456000.0
2001-03-27,23.6,23.6,23.4,23.4,3.358674,702000.0
2001-03-28,23.4,23.799999,23.4,23.799999,3.416087,608000.0
2001-03-29,23.6,24.200001,23.6,24.200001,3.4735,1492000.0
2001-03-30,23.799999,24.0,23.4,24.0,3.444794,2755000.0
2001-04-02,23.799999,23.799999,22.799999,22.799999,3.272554,4218000.0
2001-04-03,23.0,23.200001,22.799999,22.799999,3.272554,5958000.0
2001-04-04,22.0,22.4,22.0,22.4,4.791189,1939000.0
2001-04-05,22.6,22.6,22.200001,22.6,4.83397,960000.0
2001-04-06,,,,,,
2001-04-09,22.200001,22.4,22.0,22.0,4.705632,2048000.0
2001-04-10,22.200001,22.4,22.200001,22.4,4.791189,2031000.0
2001-04-11,22.6,22.799999,22.4,22.6,4.83397,1030000.0
2001-04-12,22.6,22.799999,22.6,22.799999,4.876746,482000.0
2001-04-13,,,,,,
2001-04-16,,,,,,
2001-04-17,22.799999,23.0,22.799999,22.799999,4.876746,212000.0
2001-04-18,22.6,23.799999,22.6,23.0,4.919526,4126000.0
2001-04-19,23.200001,23.4,23.0,23.200001,4.962305,2698000.0
2001-04-20,23.0,23.0,22.799999,23.0,4.919526,1125000.0
2001-04-23,23.200001,23.200001,22.799999,23.0,4.919526,369000.0
2001-04-24,23.0,23.200001,22.799999,23.200001,4.962305,1402000.0
2001-04-25,23.0,23.200001,23.0,23.200001,4.962305,359000.0
2001-04-26,23.0,23.0,22.4,22.4,4.791189,3217000.0
2001-04-27,22.4,23.0,22.4,22.799999,4.876746,225000.0
2001-04-30,,,,,,
2001-05-01,,,,,,
2001-05-02,22.799999,22.799999,22.6,22.6,4.83397,374000.0
2001-05-03,22.799999,22.799999,22.4,22.4,4.791189,606000.0
2001-05-04,22.6,22.6,22.4,22.6,4.83397,1643000.0
2001-05-07,,,,,,
2001-05-08,,,,,,
2001-05-09,22.4,22.6,22.4,22.6,4.83397,1012000.0
2001-05-10,22.6,22.6,22.4,22.4,4.791189,2729000.0
2001-05-11,22.6,22.6,22.4,22.6,4.83397,1310000.0
2001-05-14,22.6,22.6,22.4,22.4,4.791189,1897000.0
2001-05-15,22.6,22.799999,22.4,22.4,4.791189,1941000.0
2001-05-16,22.4,22.6,22.200001,22.4,4.791189,841000.0
2001-05-17,22.6,22.6,21.799999,22.200001,4.748412,2283000.0
2001-05-18,22.200001,22.200001,21.6,21.6,4.620076,2750000.0
2001-05-21,21.6,21.799999,21.6,21.6,4.620076,1035000.0
2001-05-22,,,,,,
2001-05-23,21.799999,22.6,21.799999,22.4,4.791189,2003000.0
2001-05-24,22.4,22.6,22.200001,22.200001,4.748412,1637000.0
2001-05-25,22.4,22.6,21.799999,22.200001,4.748412,4006000.0
2001-05-28,22.0,22.0,21.6,22.0,4.705632,3398000.0
2001-05-29,22.0,22.0,21.6,22.0,4.705632,3631000.0
2001-05-30,22.0,22.200001,21.4,21.6,4.620076,3891000.0
2001-05-31,21.799999,22.200001,21.6,21.6,4.620076,6332000.0
2001-06-01,21.799999,22.200001,21.799999,21.799999,4.662854,5502000.0
2001-06-04,22.0,22.200001,22.0,22.200001,4.748412,272000.0
2001-06-05,22.0,22.0,21.799999,21.799999,4.662854,2380000.0
2001-06-06,22.0,22.6,22.0,22.0,4.705632,2252000.0
2001-06-07,22.200001,22.200001,22.0,22.0,4.705632,2851000.0
2001-06-08,22.200001,22.6,22.200001,22.200001,4.748412,2467000.0
2001-06-11,22.200001,23.0,22.200001,22.6,4.83397,6130000.0
2001-06-12,22.799999,23.200001,22.799999,22.799999,4.876746,3797000.0
2001-06-13,23.0,23.4,23.0,23.0,4.919526,2542000.0
2001-06-14,23.200001,23.200001,22.799999,22.799999,4.876746,3150000.0
2001-06-15,23.0,23.200001,23.0,23.200001,4.962305,1193000.0
2001-06-18,23.0,23.200001,23.0,23.0,4.919526,623000.0
