Date,Open,High,Low,Close,Adj Close,Volume
2016-08-22,4.34,4.38,4.32,4.32,4.226087,841200
2016-08-23,4.32,4.38,4.3,4.34,4.245652,585000
2016-08-24,4.36,4.36,4.32,4.32,4.226087,869600
2016-08-25,4.34,4.34,4.3,4.3,4.206522,624700
2016-08-26,4.3,4.44,4.3,4.44,4.343478,2922000
2016-08-29,4.42,4.56,4.38,4.52,4.421739,3072400
2016-08-30,4.6,4.6,4.52,4.52,4.421739,2553400
2016-08-31,4.52,4.52,4.4,4.46,4.363043,2106300
2016-09-01,4.48,4.52,4.36,4.36,4.265218,2073400
2016-09-02,4.34,4.42,4.22,4.26,4.167392,1921200
2016-09-05,4.26,4.28,3.6,3.94,3.854348,2114600
2016-09-06,4.0,4.44,4.0,4.06,3.971739,1354400
2016-09-07,4.08,4.2,4.06,4.06,3.971739,900300
2016-09-08,4.0,4.1,3.8,4.0,3.913043,1283500
2016-09-09,3.94,3.94,3.8,3.84,3.756522,460900
2016-09-12,3.7,3.8,3.66,3.68,3.6,962700
2016-09-13,3.72,3.74,3.68,3.72,3.639131,359900
2016-09-14,3.76,3.86,3.72,3.86,3.776087,437900
2016-09-15,3.88,3.92,3.86,3.92,3.834783,483500
2016-09-16,3.92,3.98,3.9,3.94,3.854348,585500
2016-09-19,4.0,4.14,3.98,4.06,3.971739,4778200
2016-09-20,4.06,4.06,3.9,3.96,3.873913,1943200
2016-09-21,4.0,4.04,3.98,3.98,3.893478,489600
2016-09-22,4.02,4.04,3.98,4.0,3.913043,390600
2016-09-23,4.02,4.02,3.92,3.96,3.873913,680200
2016-09-26,3.9,3.96,3.9,3.92,3.834783,570200
2016-09-27,3.92,4.04,3.88,3.94,3.854348,3801500
2016-09-28,3.98,4.06,3.92,3.92,3.834783,3391300
2016-09-29,3.96,3.98,3.86,3.9,3.815217,1003200
2016-09-30,3.9,3.92,3.78,3.84,3.756522,1062000
2016-10-03,3.84,3.86,3.78,3.78,3.697826,1397400
2016-10-04,3.78,3.82,3.78,3.8,3.717391,696200
2016-10-05,3.82,3.84,3.8,3.8,3.717391,365200
2016-10-06,3.8,4.0,3.8,3.96,3.873913,4633000
2016-10-07,3.98,4.42,3.94,4.36,4.265218,62956400
2016-10-10,4.1,4.14,3.9,3.94,3.854348,18062600
2016-10-11,4.02,4.2,4.0,4.0,3.913043,35910600
2016-10-12,3.98,4.02,3.04,3.5,3.423913,13663800
2016-10-13,3.42,3.68,3.22,3.36,3.286957,9279800
2016-10-14,3.52,3.66,3.44,3.56,3.482609,8674800
2016-10-17,3.56,3.64,3.48,3.58,3.502174,1715500
2016-10-18,3.6,3.64,3.56,3.6,3.521739,685800
2016-10-19,3.6,3.74,3.56,3.72,3.639131,2534700
2016-10-20,3.76,3.84,3.74,3.82,3.736956,1902900
2016-10-21,3.86,3.86,3.8,3.86,3.776087,985800
2016-10-25,3.86,3.92,3.82,3.88,3.795652,1434100
2016-10-26,3.88,3.9,3.8,3.86,3.776087,967100
