Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,4.65965,4.80147,4.42668,4.60897,-0.554807,2022503.0
2000-01-05,4.60897,4.65965,4.42668,4.5685,-0.549936,626852.0
2000-01-06,4.60897,4.60897,4.40635,4.51783,-0.543836,697820.0
2000-01-07,4.40635,4.51783,4.40635,4.49759,-0.5414,283862.0
2000-01-10,4.33544,4.51783,4.33544,4.49759,-0.5414,189234.0
2000-01-11,4.33544,4.49759,4.33544,4.47727,-0.538954,201064.0
2000-01-12,4.51783,4.51783,4.33544,4.51783,-0.543836,94617.0
2000-01-13,4.38612,4.51783,4.38612,4.51783,-0.543836,201064.0
2000-01-14,4.38612,4.42668,4.38612,4.42668,-0.532864,272032.0
2000-01-17,,,,,,
2000-01-18,4.38612,4.45703,4.38612,4.38612,-0.527982,721480.0
2000-01-19,4.33544,4.42668,4.29498,4.33544,-0.521881,520405.0
2000-01-20,4.33544,4.42668,4.26453,4.35577,-0.524328,2554738.0
2000-01-21,4.2443,4.42668,4.2443,4.42668,-0.532864,70968.0
2000-01-24,,,,,,
2000-01-25,,,,,,
2000-01-26,4.2443,4.42668,4.2443,4.31521,-0.519445,437618.0
2000-01-27,,,,,,
2000-01-28,,,,,,
2000-01-31,,,,,,
2000-02-01,,,,,,
2000-02-02,4.15315,4.40635,4.15315,4.40635,-0.530417,484926.0
2000-02-03,4.17339,4.17339,4.15315,4.15315,-0.499938,638682.0
2000-02-04,,,,,,
2000-02-07,,,,,,
2000-02-08,4.17339,4.17339,4.15315,4.15315,-0.499938,224724.0
2000-02-09,,,,,,
2000-02-10,4.15315,4.17339,4.08224,4.17339,-0.502374,272032.0
2000-02-11,4.10247,4.15315,4.10247,4.15315,-0.499938,201064.0
2000-02-14,4.15315,4.33544,4.10247,4.33544,-0.521881,816097.0
2000-02-15,4.10247,4.15315,4.10247,4.10247,-0.493837,437618.0
2000-02-16,4.10247,4.33544,4.08224,4.29498,-0.517011,319341.0
2000-02-17,4.01133,4.10247,3.82904,3.82904,-0.460923,1111778.0
2000-02-18,3.82904,3.82904,3.77836,3.77836,-0.454822,591373.0
2000-02-21,,,,,,
2000-02-22,3.77836,3.77836,3.59598,3.64665,-0.438967,390309.0
2000-02-23,3.77836,4.06201,3.68721,4.06201,-0.488967,236554.0
2000-02-24,3.80871,3.80871,3.71757,3.71757,-0.447504,130107.0
2000-02-25,3.71757,3.77836,3.68721,3.77836,-0.454822,615033.0
2000-02-28,,,,,,
2000-02-29,3.55551,3.55551,3.41369,3.41369,-0.410925,354820.0
2000-03-01,3.25163,3.39345,3.18072,3.21107,-0.386534,958023.0
2000-03-02,3.23139,3.30231,3.18072,3.23139,-0.38898,1490258.0
2000-03-03,3.32254,3.41369,3.23139,3.23139,-0.38898,354820.0
2000-03-06,3.23139,3.25163,3.23139,3.23139,-0.38898,82787.0
2000-03-07,,,,,,
2000-03-08,,,,,,
2000-03-09,3.25163,3.25163,3.18072,3.18072,-0.382881,887065.0
2000-03-10,3.23139,3.23139,3.18072,3.18072,-0.382881,1797780.0
2000-03-13,3.23139,3.23139,3.18072,3.18072,-0.382881,307511.0
2000-03-14,,,,,,
