Date,Open,High,Low,Close,Adj Close,Volume
2013-11-28,7.8,8.35,7.65,7.65,4.723403,630980500
2013-11-29,7.7,7.8,6.75,6.9,4.260324,241213500
2013-12-02,6.9,7.15,6.8,7.1,4.383812,125869500
2013-12-03,7.1,7.25,6.6,6.8,4.19858,85307000
2013-12-04,6.95,7.05,6.9,6.95,4.291195,60748500
2013-12-06,6.95,7.0,6.5,6.6,4.075093,49406500
2013-12-09,6.7,6.8,6.55,6.6,4.075093,32028000
2013-12-11,6.6,6.7,6.5,6.6,4.075093,30250500
2013-12-12,6.6,6.9,6.6,6.8,4.19858,87128000
2013-12-13,6.85,6.95,6.6,6.65,4.105964,71050500
2013-12-16,6.65,6.8,6.6,6.6,4.075093,38393000
2013-12-17,6.75,7.1,6.7,7.0,4.322068,75746500
2013-12-18,7.05,7.2,7.0,7.05,4.35294,41162000
2013-12-19,7.1,7.1,6.9,7.0,4.322068,30642000
2013-12-20,7.05,7.3,7.0,7.25,4.476427,61078000
2013-12-23,7.25,7.3,7.05,7.15,4.414683,32982500
2013-12-24,7.15,7.45,7.15,7.25,4.476427,44748000
2013-12-25,7.3,7.35,7.25,7.3,4.507299,12689500
2013-12-26,7.35,7.35,6.8,6.9,4.260324,57362000
2013-12-27,6.9,6.95,6.7,6.95,4.291195,28108000
2014-01-02,6.95,6.95,6.25,6.25,3.858989,23352500
2014-01-03,6.2,6.55,6.15,6.55,4.044221,20635500
2014-01-06,6.45,6.55,6.35,6.5,4.013349,6905500
2014-01-07,6.5,6.65,6.45,6.55,4.044221,17776000
2014-01-08,6.55,6.6,6.3,6.3,3.889861,14178500
2014-01-09,6.4,6.45,6.25,6.35,3.920733,12842500
2014-01-10,6.3,6.45,6.3,6.4,3.951605,6239000
2014-01-13,6.35,6.5,6.3,6.5,4.013349,2664000
2014-01-14,6.45,6.6,6.45,6.55,4.044221,10564000
2014-01-15,6.6,6.85,6.6,6.6,4.075093,32479500
2014-01-16,6.65,7.05,6.65,6.95,4.291195,28421500
2014-01-17,6.9,7.0,6.7,6.9,4.260324,34481000
2014-01-20,6.9,7.0,6.85,6.85,4.229453,2383500
2014-01-21,6.9,7.0,6.8,6.8,4.19858,12179500
2014-01-22,6.75,6.85,6.7,6.8,4.19858,11581500
2014-01-23,6.85,7.25,6.85,7.1,4.383812,57481000
2014-01-24,7.25,7.3,7.05,7.2,4.445555,30026500
2014-01-27,7.1,7.15,7.0,7.05,4.35294,10016000
2014-01-28,7.05,7.1,6.95,7.0,4.322068,15227000
2014-01-29,7.05,7.4,7.05,7.4,4.569043,53084000
2014-01-30,7.35,7.5,7.2,7.25,4.476427,28856500
2014-01-31,7.3,7.65,7.3,7.55,4.661659,36557000
2014-02-03,7.6,7.95,7.6,7.7,4.754275,45855500
2014-02-04,7.7,8.15,7.7,8.15,5.032122,41506000
2014-02-05,8.2,8.2,7.85,7.95,4.908634,33114500
2014-02-06,8.05,8.2,7.95,8.05,4.970378,21102000
2014-02-07,8.1,8.4,7.85,7.85,4.84689,58203500
2014-02-10,7.9,7.9,7.55,7.6,4.692531,26990500
2014-02-11,7.65,7.85,7.65,7.8,4.816018,23611000
2014-02-12,7.85,8.05,7.8,8.0,4.939506,16386500
2014-02-13,8.0,8.15,7.9,8.1,5.00125,12760000
2014-02-17,8.1,8.15,7.95,8.0,4.939506,7013500
2014-02-18,8.05,8.1,7.75,8.0,4.939506,14480500
2014-02-19,8.05,8.25,8.05,8.25,5.093865,20934000
2014-02-20,8.2,8.5,8.2,8.35,5.15561,27976500
2014-02-21,8.45,8.45,8.2,8.2,5.062994,9343500
2014-02-24,8.1,8.4,8.1,8.4,5.186481,9870500
2014-02-25,8.35,8.35,8.0,8.0,4.939506,46736000
2014-02-26,8.05,8.15,8.0,8.0,4.939506,14321000
2014-02-27,8.0,8.2,8.0,8.15,5.032122,15911000
2014-02-28,8.15,8.2,8.1,8.1,5.00125,6676000
2014-03-03,8.1,8.25,8.05,8.15,5.032122,14704500
2014-03-04,8.15,8.3,8.15,8.15,5.032122,5947000
2014-03-05,8.2,8.3,8.15,8.2,5.062994,7809000
2014-03-06,8.25,8.45,8.2,8.35,5.15561,20032500
2014-03-07,8.35,8.45,8.3,8.4,5.186481,4810500
2014-03-10,8.4,8.45,8.3,8.4,5.186481,6595500
2014-03-11,8.4,8.8,8.4,8.75,5.402585,15566000
