Date,Open,High,Low,Close,Adj Close,Volume
2004-04-22,0.342,0.346,0.318,0.318,0.036826,31637000.0
2004-04-23,0.318,0.32,0.3,0.308,0.035668,5937000.0
2004-04-26,0.306,0.306,0.288,0.288,0.033352,2083000.0
2004-04-27,0.29,0.302,0.282,0.288,0.033352,3904000.0
2004-04-28,0.288,0.292,0.288,0.29,0.033584,1208000.0
2004-04-29,0.286,0.29,0.28,0.29,0.033584,1430000.0
2004-04-30,0.29,0.296,0.286,0.286,0.03312,410000.0
2004-05-03,,,,,,
2004-05-04,0.27,0.29,0.27,0.286,0.03312,1689000.0
2004-05-05,,,,,,
2004-05-06,,,,,,
2004-05-07,,,,,,
2004-05-10,0.268,0.268,0.26,0.26,0.03011,310000.0
2004-05-11,,,,,,
2004-05-12,,,,,,
2004-05-13,0.266,0.266,0.256,0.256,0.029646,741000.0
2004-05-14,0.254,0.26,0.238,0.24,0.027793,961000.0
2004-05-17,,,,,,
2004-05-18,0.212,0.218,0.21,0.218,0.025246,373000.0
2004-05-19,0.23,0.236,0.216,0.236,0.02733,305000.0
2004-05-20,0.218,0.224,0.216,0.224,0.02594,185000.0
2004-05-21,0.218,0.22,0.216,0.22,0.025477,295000.0
2004-05-24,,,,,,
2004-05-25,,,,,,
2004-05-26,0.23,0.23,0.23,0.23,0.026635,290000.0
2004-05-27,0.24,0.24,0.23,0.23,0.026635,1888000.0
2004-05-28,0.238,0.242,0.232,0.236,0.02733,1238000.0
2004-05-31,0.22,0.246,0.22,0.246,0.028488,834000.0
2004-06-01,0.246,0.246,0.236,0.236,0.02733,480000.0
2004-06-02,,,,,,
2004-06-03,0.234,0.234,0.232,0.232,0.026867,910000.0
2004-06-04,0.24,0.25,0.24,0.25,0.028951,1717000.0
2004-06-07,0.254,0.278,0.252,0.278,0.032194,7388000.0
2004-06-08,0.28,0.308,0.278,0.28,0.032426,16664000.0
2004-06-09,,,,,,
2004-06-10,0.264,0.266,0.26,0.266,0.030804,420000.0
2004-06-11,0.262,0.262,0.262,0.262,0.030341,8000.0
2004-06-14,0.254,0.278,0.254,0.278,0.032194,110000.0
2004-06-15,0.26,0.28,0.258,0.28,0.032426,200000.0
2004-06-16,,,,,,
2004-06-17,0.288,0.288,0.264,0.264,0.030573,30000.0
2004-06-18,,,,,,
2004-06-21,0.304,0.304,0.286,0.29,0.033584,110000.0
2004-06-22,0.272,0.272,0.27,0.272,0.031499,590000.0
2004-06-23,0.272,0.272,0.272,0.272,0.031499,260000.0
2004-06-24,,,,,,
2004-06-25,,,,,,
2004-06-28,,,,,,
2004-06-29,0.272,0.272,0.266,0.266,0.030804,25000.0
2004-06-30,,,,,,
2004-07-01,,,,,,
2004-07-02,,,,,,
2004-07-05,,,,,,
2004-07-06,0.262,0.268,0.258,0.268,0.031036,1931000.0
2004-07-07,0.264,0.264,0.256,0.256,0.029646,550000.0
2004-07-08,0.29,0.29,0.25,0.25,0.028951,1478000.0
2004-07-09,,,,,,
2004-07-12,,,,,,
2004-07-13,,,,,,
2004-07-14,0.258,0.28,0.236,0.24,0.027793,45348000.0
2004-07-15,,,,,,
2004-07-16,,,,,,
2004-07-19,,,,,,
2004-07-20,0.234,0.236,0.232,0.232,0.026867,964000.0
2004-07-21,0.24,0.24,0.23,0.23,0.026635,879000.0
2004-07-22,0.24,0.24,0.23,0.23,0.026635,1234000.0
2004-07-23,,,,,,
2004-07-26,,,,,,
2004-07-27,0.23,0.23,0.228,0.228,0.026404,565000.0
2004-07-28,0.224,0.228,0.222,0.228,0.026404,400000.0
2004-07-29,0.22,0.228,0.218,0.22,0.025477,548000.0
2004-07-30,0.224,0.224,0.222,0.222,0.025709,0.0
2004-08-02,0.222,0.222,0.222,0.222,0.025709,0.0
2004-08-03,0.22,0.22,0.218,0.218,0.025246,314000.0
2004-08-04,0.21,0.21,0.21,0.21,0.024319,15000.0
2004-08-05,0.21,0.218,0.196,0.218,0.025246,464000.0
2004-08-06,0.204,0.23,0.202,0.23,0.026635,182000.0
2004-08-09,,,,,,
2004-08-10,0.181,0.198,0.171,0.19,0.022003,1941000.0
2004-08-11,0.2,0.23,0.19,0.21,0.024319,1499000.0
2004-08-12,0.21,0.21,0.21,0.21,0.024319,0.0
2004-08-13,,,,,,
2004-08-16,0.19,0.19,0.19,0.19,0.022003,22000.0
2004-08-17,0.19,0.206,0.182,0.206,0.023856,2520000.0
2004-08-18,0.206,0.24,0.182,0.183,0.021192,4748000.0
2004-08-19,0.181,0.191,0.18,0.181,0.020961,1667000.0
2004-08-20,0.19,0.19,0.18,0.18,0.020845,2006000.0
2004-08-23,,,,,,
2004-08-24,0.19,0.19,0.179,0.179,0.020729,0.0
2004-08-25,0.18,0.19,0.17,0.18,0.020845,1622000.0
2004-08-26,0.177,0.177,0.171,0.173,0.020034,7976000.0
2004-08-27,0.17,0.18,0.17,0.18,0.020845,2904000.0
2004-08-30,0.176,0.181,0.176,0.176,0.020382,8878000.0
2004-08-31,0.177,0.183,0.177,0.183,0.021192,2878000.0
2004-09-01,,,,,,
2004-09-02,,,,,,
2004-09-03,0.176,0.18,0.176,0.176,0.020382,944000.0
2004-09-06,0.18,0.18,0.176,0.176,0.020382,178000.0
2004-09-07,0.182,0.182,0.176,0.179,0.020729,70000.0
