Date,Open,High,Low,Close,Adj Close,Volume
2006-11-28,1.13171,1.18049,1.08293,1.16098,0.971771,137924.0
2006-11-29,1.16098,1.23902,1.07317,1.23902,1.037092,157117.0
2006-11-30,1.21951,1.33659,1.21951,1.22927,1.028931,246082.0
2006-12-01,1.23902,1.25854,1.21951,1.22927,1.028931,38832.0
2006-12-04,1.22927,1.27805,1.22927,1.26829,1.061592,37505.0
2006-12-05,,,,,,
2006-12-06,1.2878,1.47317,1.2878,1.4439,1.208582,185289.0
2006-12-07,1.46341,1.57073,1.41463,1.50244,1.257582,149706.0
2006-12-08,1.50244,1.53171,1.45366,1.47317,1.233082,60075.0
2006-12-11,,,,,,
2006-12-12,1.49268,1.52195,1.46341,1.49268,1.249412,52839.0
2006-12-13,1.5122,1.61951,1.5122,1.6,1.339242,136325.0
2006-12-14,1.58049,1.59024,1.24878,1.38537,1.159591,140794.0
2006-12-15,1.37561,1.37561,1.2878,1.29756,1.086092,54776.0
2006-12-18,1.25854,1.26829,1.17073,1.17073,0.979932,64729.0
2006-12-19,1.09268,1.1122,0.81951,0.91707,0.767612,36203.0
2006-12-20,1.02439,1.18049,0.98537,1.18049,0.988101,67886.0
2006-12-21,1.1122,1.16098,1.07317,1.10244,0.922771,39027.0
2006-12-22,1.1122,1.14146,1.09268,1.1122,0.930941,14816.0
2006-12-25,,,,,,
2006-12-26,1.1122,1.16098,1.1122,1.12195,0.939102,25563.0
2006-12-27,1.14146,1.19024,1.13171,1.13171,0.947271,46791.0
2006-12-28,1.16098,1.16098,1.07317,1.09268,0.914602,23150.0
2006-12-29,1.09268,1.12195,1.07317,1.10244,0.922771,9804.0
2007-01-03,,,,,,
2007-01-04,,,,,,
2007-01-05,,,,,,
2007-01-08,,,,,,
2007-01-09,,,,,,
2007-01-10,,,,,,
2007-01-11,,,,,,
2007-01-12,,,,,,
2007-01-15,,,,,,
2007-01-16,,,,,,
2007-01-17,1.00488,1.0439,1.00488,1.00488,0.841111,21474.0
2007-01-18,1.01463,1.01463,0.9639,0.98537,0.82478,8897.0
2007-01-19,0.98537,0.99512,0.97561,0.98537,0.82478,4525.0
2007-01-22,0.98537,0.99512,0.9678,0.9678,0.810074,2388.0
2007-01-23,0.9678,0.99512,0.9678,0.9678,0.810074,2086.0
2007-01-24,0.97561,0.98537,0.97171,0.97171,0.813347,1645.0
2007-01-25,0.98537,0.99512,0.97171,0.99512,0.832942,5289.0
2007-01-26,0.99512,1.03415,0.98537,1.01463,0.849272,14309.0
2007-01-29,1.01463,1.02439,0.99512,1.00488,0.841111,5079.0
2007-01-30,1.00488,1.00488,0.97561,0.97561,0.816611,2578.0
2007-01-31,0.98537,0.98537,0.97561,0.98537,0.82478,2147.0
2007-02-01,0.97561,1.00488,0.97561,0.99512,0.832942,1855.0
2007-02-02,0.99512,1.03415,0.97561,1.01463,0.849272,9820.0
2007-02-05,1.02439,1.0439,1.00488,1.00488,0.841111,8533.0
2007-02-06,1.01463,1.02439,1.00488,1.02439,0.857441,7708.0
2007-02-07,1.02439,1.09268,1.02439,1.09268,0.914602,40846.0
2007-02-08,1.1122,1.23902,1.1122,1.2,1.004431,63893.0
2007-02-09,1.24878,1.31707,1.18049,1.18049,0.988101,124671.0
2007-02-12,1.2,1.20976,1.10244,1.1122,0.930941,55791.0
2007-02-13,1.1122,1.14146,1.08293,1.12195,0.939102,35024.0
2007-02-14,1.14146,1.17073,1.12195,1.17073,0.979932,22273.0
2007-02-15,1.19024,1.19024,1.12195,1.12195,0.939102,18747.0
2007-02-16,1.12195,1.12195,1.10244,1.1122,0.930941,7554.0
2007-02-19,1.10244,1.15122,1.10244,1.12195,0.939102,10388.0
2007-02-20,1.14146,1.17073,1.14146,1.14146,0.955432,14739.0
2007-02-21,1.15122,1.15122,1.1122,1.12195,0.939102,8687.0
2007-02-22,,,,,,
2007-02-23,1.16098,1.18049,1.0439,1.06341,0.890102,44218.0
2007-02-26,1.06341,1.09268,1.05366,1.05366,0.881941,7472.0
2007-02-27,1.05366,1.06341,0.99512,0.99512,0.832942,7616.0
2007-02-28,0.93659,0.97561,0.93659,0.9678,0.810074,10368.0
2007-03-01,0.97171,1.00488,0.97171,0.97561,0.816611,9584.0
2007-03-02,0.97561,0.99512,0.9678,0.9678,0.810074,3700.0
2007-03-06,0.96,0.97561,0.9522,0.9561,0.800281,1953.0
2007-03-07,0.9639,0.97561,0.9561,0.9561,0.800281,2967.0
2007-03-08,0.9561,0.98537,0.9561,0.96,0.803545,10875.0
2007-03-09,0.9678,0.97171,0.9561,0.9639,0.80681,3603.0
2007-03-12,0.96,0.9678,0.9561,0.96,0.803545,1701.0
2007-03-13,0.9639,0.97171,0.9639,0.9678,0.810074,3777.0
2007-03-14,0.94439,0.94829,0.93268,0.93268,0.923869,4238.0
2007-03-15,0.93659,0.94829,0.93268,0.93659,0.927742,1184.0
2007-03-16,0.93659,0.94829,0.93659,0.94049,0.931605,2112.0
2007-03-19,0.9522,0.97171,0.94829,0.96,0.95093,4961.0
2007-03-20,0.97561,0.98537,0.9522,0.9522,0.943204,13602.0
2007-03-21,0.96,0.9639,0.94049,0.94049,0.931605,3977.0
2007-03-22,0.9522,0.9561,0.94439,0.9561,0.947067,974.0
2007-03-23,0.96,0.97561,0.9561,0.9678,0.958657,3557.0
2007-03-26,0.97171,0.98537,0.9678,0.9678,0.958657,2219.0
2007-03-27,0.97561,0.98537,0.97171,0.97171,0.96253,774.0
2007-03-28,0.97171,0.97171,0.94829,0.9561,0.947067,1332.0
2007-03-29,0.94439,0.9561,0.94439,0.9561,0.947067,456.0
2007-03-30,0.9561,0.96,0.94829,0.9522,0.943204,149.0
2007-04-02,0.9561,0.9639,0.9561,0.96,0.95093,600.0
2007-04-03,0.9639,0.99512,0.9639,0.99512,0.985719,5161.0
2007-04-04,1.00488,1.00488,0.9678,0.97171,0.96253,7129.0
2007-04-05,0.97561,0.98537,0.9678,0.97561,0.966393,2404.0
2007-04-09,0.98537,0.98537,0.97561,0.97561,0.966393,1553.0
2007-04-10,0.98537,0.99512,0.96,0.9639,0.954794,7872.0
2007-04-11,,,,,,
2007-04-12,0.9639,0.97171,0.96,0.96,0.95093,620.0
2007-04-17,0.96,0.9639,0.96,0.9639,0.954794,456.0
2007-04-18,0.9639,0.9639,0.9561,0.9561,0.947067,620.0
2007-04-19,0.96,0.9639,0.94829,0.94829,0.939331,1199.0
2007-04-20,0.9561,0.99512,0.9561,0.9678,0.958657,10583.0
2007-04-23,0.9801,1.00995,0.96995,1.0,0.990553,14519.0
2007-04-24,,,,,,
2007-04-25,,,,,,
2007-04-26,,,,,,
2007-04-27,,,,,,
2007-04-30,,,,,,
2007-05-02,,,,,,
2007-05-03,,,,,,
2007-05-04,,,,,,
2007-05-08,,,,,,
2007-05-09,,,,,,
2007-05-10,,,,,,
2007-05-11,,,,,,
2007-05-14,,,,,,
2007-05-15,,,,,,
2007-05-16,,,,,,
2007-05-17,,,,,,
2007-05-18,,,,,,
2007-05-21,,,,,,
2007-05-22,,,,,,
2007-05-23,,,,,,
2007-05-24,,,,,,
2007-05-25,,,,,,
2007-05-28,,,,,,
2007-05-29,,,,,,
2007-05-30,,,,,,
2007-06-01,1.08,1.11024,1.08,1.11024,1.099751,678.0
2007-06-04,,,,,,
2007-06-05,,,,,,
2007-06-06,,,,,,
2007-06-07,,,,,,
2007-06-08,,,,,,
2007-06-11,,,,,,
2007-06-12,,,,,,
2007-06-13,,,,,,
2007-06-14,,,,,,
2007-06-15,,,,,,
2007-06-18,,,,,,
2007-06-19,,,,,,
2007-06-20,,,,,,
2007-06-21,,,,,,
2007-06-22,,,,,,
2007-06-25,,,,,,
2007-06-26,,,,,,
2007-06-27,,,,,,
2007-06-28,1.15122,1.15122,1.12195,1.13171,1.121018,3884.0
2007-06-29,,,,,,
2007-07-02,,,,,,
2007-07-03,,,,,,
2007-07-04,,,,,,
2007-07-05,,,,,,
2007-07-06,,,,,,
2007-07-09,,,,,,
2007-07-10,,,,,,
2007-07-11,,,,,,
2007-07-12,,,,,,
2007-07-13,,,,,,
2007-07-16,,,,,,
2007-07-17,,,,,,
2007-07-18,,,,,,
2007-07-19,,,,,,
2007-07-20,,,,,,
2007-07-23,,,,,,
2007-07-24,,,,,,
2007-07-25,,,,,,
2007-07-26,,,,,,
2007-07-27,1.15122,1.17073,1.14146,1.14146,1.130676,5487.0
2007-07-31,,,,,,
2007-08-01,,,,,,
2007-08-02,,,,,,
2007-08-03,,,,,,
2007-08-06,,,,,,
2007-08-07,,,,,,
2007-08-08,,,,,,
2007-08-09,,,,,,
2007-08-10,,,,,,
2007-08-14,,,,,,
2007-08-15,,,,,,
2007-08-16,,,,,,
2007-08-17,,,,,,
2007-08-20,,,,,,
2007-08-21,,,,,,
2007-08-22,,,,,,
2007-08-23,,,,,,
2007-08-24,,,,,,
2007-08-27,,,,,,
2007-08-28,,,,,,
2007-08-29,,,,,,
2007-08-30,,,,,,
2007-08-31,,,,,,
2007-09-03,,,,,,
2007-09-04,,,,,,
2007-09-05,,,,,,
2007-09-06,,,,,,
2007-09-07,,,,,,
2007-09-10,,,,,,
2007-09-11,,,,,,
2007-09-12,,,,,,
2007-09-13,,,,,,
2007-09-14,,,,,,
2007-09-17,,,,,,
2007-09-18,,,,,,
2007-09-19,,,,,,
2007-09-20,,,,,,
2007-09-21,,,,,,
2007-09-24,,,,,,
2007-09-25,,,,,,
2007-09-26,,,,,,
2007-09-27,,,,,,
2007-09-28,,,,,,
2007-10-01,,,,,,
2007-10-02,,,,,,
2007-10-03,,,,,,
2007-10-04,,,,,,
2007-10-05,,,,,,
2007-10-08,,,,,,
2007-10-09,,,,,,
2007-10-10,,,,,,
2007-10-11,,,,,,
2007-10-12,,,,,,
2007-10-15,,,,,,
2007-10-16,,,,,,
2007-10-17,,,,,,
2007-10-18,,,,,,
2007-10-19,,,,,,
2007-10-22,,,,,,
2007-10-24,,,,,,
2007-10-25,,,,,,
2007-10-26,,,,,,
2007-10-29,,,,,,
2007-10-30,,,,,,
2007-10-31,,,,,,
2007-11-01,,,,,,
2007-11-02,,,,,,
2007-11-05,,,,,,
2007-11-06,,,,,,
2007-11-07,,,,,,
2007-11-08,,,,,,
2007-11-09,,,,,,
2007-11-12,,,,,,
2007-11-13,,,,,,
2007-11-14,,,,,,
2007-11-15,,,,,,
2007-11-16,,,,,,
2007-11-19,,,,,,
2007-11-20,,,,,,
2007-11-21,,,,,,
2007-11-22,,,,,,
2007-11-23,,,,,,
2007-11-26,,,,,,
2007-11-27,,,,,,
2007-11-28,,,,,,
2007-11-29,,,,,,
2007-11-30,,,,,,
2007-12-03,,,,,,
2007-12-04,,,,,,
2007-12-06,,,,,,
2007-12-07,,,,,,
2007-12-11,,,,,,
2007-12-12,,,,,,
2007-12-13,,,,,,
2007-12-14,,,,,,
2007-12-17,,,,,,
2007-12-18,,,,,,
2007-12-19,,,,,,
2007-12-20,,,,,,
2007-12-21,,,,,,
2007-12-24,,,,,,
2007-12-25,,,,,,
2007-12-26,,,,,,
2007-12-27,,,,,,
2007-12-28,,,,,,
2008-01-02,1.05366,1.06341,1.00488,1.02439,1.014712,1834.0
2008-01-03,,,,,,
2008-01-04,,,,,,
2008-01-07,,,,,,
2008-01-08,,,,,,
2008-01-09,,,,,,
2008-01-10,,,,,,
2008-01-11,,,,,,
2008-01-14,,,,,,
2008-01-15,,,,,,
2008-01-16,,,,,,
2008-01-17,,,,,,
2008-01-18,,,,,,
2008-01-21,,,,,,
2008-01-22,,,,,,
2008-01-23,,,,,,
2008-01-24,,,,,,
2008-01-25,,,,,,
2008-01-28,,,,,,
2008-01-29,,,,,,
2008-01-30,,,,,,
2008-01-31,,,,,,
2008-02-01,,,,,,
2008-02-04,,,,,,
2008-02-05,,,,,,
2008-02-06,,,,,,
2008-02-07,,,,,,
2008-02-08,,,,,,
2008-02-11,,,,,,
2008-02-12,,,,,,
2008-02-13,,,,,,
2008-02-14,,,,,,
2008-02-15,,,,,,
2008-02-18,,,,,,
2008-02-19,,,,,,
2008-02-20,,,,,,
2008-02-22,,,,,,
2008-02-25,,,,,,
2008-02-26,,,,,,
2008-02-27,,,,,,
2008-02-28,,,,,,
2008-02-29,,,,,,
2008-03-03,,,,,,
2008-03-04,,,,,,
2008-03-05,,,,,,
2008-03-06,,,,,,
2008-03-07,,,,,,
2008-03-10,,,,,,
2008-03-11,,,,,,
2008-03-12,,,,,,
2008-03-13,,,,,,
2008-03-14,,,,,,
2008-03-17,,,,,,
2008-03-18,,,,,,
2008-03-19,,,,,,
2008-03-20,,,,,,
2008-03-21,,,,,,
