Date,Open,High,Low,Close,Adj Close,Volume
2014-11-06,7.70833,8.125,7.16667,7.25,6.815695,295162560
2014-11-07,7.375,7.41667,6.95833,6.95833,6.541498,43023360
2014-11-10,6.91667,6.91667,6.25,6.25,5.8756,34214160
2014-11-11,6.41667,7.04167,6.41667,6.75,6.345647,55077720
2014-11-12,7.0,7.75,7.0,7.0,6.580672,119733000
2014-11-13,7.08333,7.16667,6.70833,6.75,6.345647,23061600
2014-11-14,6.83333,7.16667,6.70833,6.83333,6.423986,12549960
2014-11-17,6.875,6.91667,6.75,6.75,6.345647,6723720
2014-11-18,6.79167,6.875,6.70833,6.70833,6.306474,8977080
2014-11-19,6.75,6.95833,6.70833,6.75,6.345647,15577560
2014-11-20,6.79167,6.83333,6.75,6.75,6.345647,5517240
2014-11-21,6.75,6.83333,6.70833,6.75,6.345647,3901320
2014-11-24,6.75,7.0,6.75,6.83333,6.423986,7933560
2014-11-25,6.95833,7.125,6.875,6.95833,6.541498,13003320
2014-11-26,6.95833,7.04167,6.83333,6.875,6.46316,5365920
2014-11-27,6.875,6.91667,6.83333,6.83333,6.423986,2014200
2014-11-28,6.83333,6.875,6.83333,6.83333,6.423986,2740680
2014-12-01,6.875,6.875,6.79167,6.79167,6.384821,1574760
2014-12-02,6.83333,7.0,6.83333,6.91667,6.502333,5265000
2014-12-03,7.0,7.08333,6.95833,6.95833,6.541498,6647880
2014-12-04,6.95833,6.95833,6.91667,6.91667,6.502333,2234400
2014-12-08,6.91667,6.95833,6.79167,6.79167,6.384821,4743840
2014-12-09,6.79167,6.83333,6.75,6.75,6.345647,2864880
2014-12-11,6.75,6.75,6.625,6.66667,6.267309,2940600
2014-12-12,6.66667,6.70833,6.58333,6.58333,6.188962,1737000
2014-12-15,6.54167,6.625,5.83333,6.375,5.993112,5057760
2014-12-16,6.33333,6.58333,6.20833,6.375,5.993112,2367000
2014-12-17,6.54167,6.66667,6.41667,6.54167,6.149797,1793520
2014-12-18,6.625,6.625,6.54167,6.54167,6.149797,1025760
2014-12-19,6.625,6.625,6.45833,6.45833,6.07145,1156080
2014-12-22,6.41667,6.58333,6.41667,6.5,6.110624,1344600
2014-12-23,6.41667,6.58333,6.41667,6.54167,6.149797,1049040
2014-12-24,6.5,6.5,6.375,6.375,5.993112,968760
2014-12-25,6.375,6.45833,6.29167,6.29167,5.914773,888240
2014-12-26,6.375,6.375,6.25,6.33333,5.953938,437160
2014-12-29,6.33333,6.375,6.29167,6.33333,5.953938,345960
2014-12-30,6.29167,6.375,6.29167,6.29167,5.914773,281160
2015-01-05,6.29167,6.375,6.29167,6.29167,5.914773,440280
