Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,8.6,8.6,8.6,8.6,4.553167,400.0
2000-01-05,8.6,8.6,8.6,8.6,4.553167,1000.0
2000-01-06,10.0,10.0,7.8,7.8,4.129618,0.0
2000-01-07,9.0,9.0,9.0,9.0,4.764943,1400.0
2000-01-10,9.0,9.0,8.8,8.8,4.659056,0.0
2000-01-11,9.4,9.4,9.0,9.0,4.764943,0.0
2000-01-12,9.3,9.3,9.0,9.0,4.764943,0.0
2000-01-13,9.3,9.3,7.2,7.2,3.811954,0.0
2000-01-14,9.3,9.3,7.2,7.2,3.811954,0.0
2000-01-17,9.3,9.3,9.0,9.0,4.764943,0.0
2000-01-18,9.2,9.2,9.2,9.2,4.870831,1000.0
2000-01-19,9.3,9.3,9.3,9.3,4.923775,1000.0
2000-01-20,9.4,9.4,9.4,9.4,4.976718,1000.0
2000-01-21,11.25,11.25,8.9,8.9,4.711999,0.0
2000-01-24,11.0,11.0,9.0,9.0,4.764943,0.0
2000-01-25,10.75,10.75,9.0,9.0,4.764943,0.0
2000-01-26,10.75,10.75,9.0,9.0,4.764943,0.0
2000-01-27,10.75,10.75,9.0,9.0,4.764943,0.0
2000-01-28,10.75,10.75,9.0,9.0,4.764943,0.0
2000-01-31,9.4,9.4,9.4,9.4,4.976718,267800.0
2000-02-01,10.75,10.75,8.7,8.7,4.606112,0.0
2000-02-02,10.75,10.75,9.0,9.0,4.764943,0.0
2000-02-03,10.75,10.75,7.1,7.1,3.759011,0.0
2000-02-04,10.75,10.75,8.7,8.7,4.606112,0.0
2000-02-07,10.75,10.75,8.6,8.6,4.553167,0.0
2000-02-08,10.75,10.75,8.6,8.6,4.553167,0.0
2000-02-09,10.75,10.75,7.2,7.2,3.811954,0.0
2000-02-10,10.75,10.75,7.4,7.4,3.917842,0.0
2000-02-11,10.75,10.75,7.4,7.4,3.917842,0.0
2000-02-14,10.75,10.75,7.2,7.2,3.811954,0.0
2000-02-15,11.0,11.0,7.2,7.2,3.811954,0.0
2000-02-16,10.0,10.0,7.2,7.2,3.811954,0.0
2000-02-17,10.0,10.0,7.2,7.2,3.811954,0.0
2000-02-18,10.0,10.0,7.2,7.2,3.811954,0.0
2000-02-21,7.2,7.2,7.2,7.2,3.811954,0.0
2000-02-22,10.0,10.0,9.0,9.0,4.764943,0.0
2000-02-23,10.0,10.0,9.0,9.0,4.764943,0.0
2000-02-24,10.0,10.0,7.2,7.2,3.811954,0.0
2000-02-25,10.0,10.0,9.0,9.0,4.764943,0.0
2000-02-28,10.0,10.0,9.0,9.0,4.764943,0.0
2000-02-29,7.2,7.2,6.7,6.7,3.547235,3000.0
2000-03-01,8.1,8.7,8.1,8.7,4.606112,3700.0
