Date,Open,High,Low,Close,Adj Close,Volume
2016-08-22,4.64,4.76,4.6,4.62,4.256595,28963700
2016-08-23,4.62,4.68,4.58,4.62,4.256595,14064300
2016-08-24,4.32,4.42,4.3,4.34,4.24681,7624200
2016-08-25,4.36,4.42,4.32,4.32,4.22724,7654700
2016-08-26,4.32,4.34,4.28,4.28,4.188098,3650800
2016-08-29,4.28,4.32,4.24,4.24,4.148957,2455400
2016-08-30,4.28,4.3,4.24,4.28,4.188098,1898400
2016-08-31,4.26,4.36,4.24,4.32,4.22724,4520200
2016-09-01,4.34,4.4,4.28,4.28,4.188098,8740500
2016-09-02,4.3,4.34,4.16,4.2,4.109816,5351600
2016-09-05,4.2,4.26,2.96,3.86,3.777117,6566100
2016-09-06,3.88,4.02,3.86,3.98,3.89454,4733400
2016-09-07,4.04,4.04,3.84,3.84,3.757546,4673100
2016-09-08,3.88,3.88,3.54,3.54,3.463988,5648300
2016-09-09,3.54,3.64,3.46,3.52,3.444417,2624600
2016-09-12,3.4,3.42,3.28,3.3,3.229141,3064400
2016-09-13,3.42,3.42,3.3,3.4,3.326994,1799200
2016-09-14,3.42,3.6,3.42,3.58,3.503129,7131000
2016-09-15,3.58,3.66,3.56,3.6,3.522699,1939700
2016-09-16,3.64,3.7,3.6,3.7,3.620552,1843400
2016-09-19,3.7,3.78,3.68,3.78,3.698834,1598000
2016-09-20,3.76,3.78,3.62,3.66,3.581411,2105300
2016-09-21,3.7,3.76,3.66,3.7,3.620552,832100
2016-09-22,3.74,3.74,3.66,3.72,3.640123,1118200
2016-09-23,3.72,3.72,3.64,3.66,3.581411,1017300
2016-09-26,3.62,3.7,3.62,3.68,3.600982,908800
2016-09-27,3.68,3.78,3.66,3.66,3.581411,4445900
2016-09-28,3.72,3.76,3.64,3.64,3.561841,3564100
2016-09-29,3.66,3.7,3.64,3.68,3.600982,488900
2016-09-30,3.66,3.68,3.62,3.64,3.561841,602300
2016-10-03,3.66,3.68,3.6,3.62,3.54227,661600
2016-10-04,3.62,3.66,3.58,3.64,3.561841,295300
2016-10-05,3.66,3.68,3.62,3.64,3.561841,682500
2016-10-06,3.66,3.68,3.62,3.66,3.581411,1244300
2016-10-07,3.68,3.72,3.62,3.64,3.561841,3223600
2016-10-10,3.48,3.56,3.46,3.46,3.385705,2289800
2016-10-11,3.46,3.52,3.38,3.42,3.346565,965200
2016-10-12,3.42,3.42,2.9,3.04,2.974724,3824000
2016-10-13,3.0,3.0,2.7,2.86,2.798589,2045200
2016-10-14,3.0,3.22,2.96,3.22,3.150859,3269800
2016-10-17,3.28,3.36,3.24,3.3,3.229141,1134700
2016-10-18,3.34,3.38,3.26,3.3,3.229141,1910700
2016-10-19,3.28,3.36,3.26,3.3,3.229141,1833300
2016-10-20,3.34,3.34,3.28,3.28,3.20957,1551900
2016-10-21,3.3,3.4,3.28,3.34,3.268282,3190100
2016-10-25,3.34,3.36,3.28,3.3,3.229141,1622100
2016-10-26,3.3,3.32,3.22,3.22,3.150859,1145800
2016-10-27,3.26,3.28,3.2,3.2,3.131288,900900
2016-10-28,3.24,3.24,3.14,3.16,3.092147,2217400
2016-10-31,3.18,3.2,3.16,3.18,3.111718,285900
2016-11-01,3.2,3.22,3.18,3.2,3.131288,765900
2016-11-02,3.2,3.22,3.12,3.18,3.111718,1250500
2016-11-03,3.28,3.38,3.28,3.32,3.248712,8832700
2016-11-04,3.4,3.64,3.4,3.64,3.561841,24196400
2016-11-07,3.66,3.7,3.54,3.54,3.463988,9400200
2016-11-08,3.54,3.6,3.52,3.54,3.463988,3102400
2016-11-09,3.48,3.54,3.44,3.5,3.424847,1822400
2016-11-10,3.56,3.56,3.52,3.54,3.463988,955800
2016-11-11,3.48,3.5,3.36,3.36,3.287853,2549100
2016-11-14,3.36,3.36,3.26,3.28,3.20957,1684400
2016-11-15,3.28,3.28,3.16,3.2,3.131288,2250200
2016-11-16,3.2,3.24,3.18,3.18,3.111718,704100
2016-11-17,3.22,3.32,3.2,3.26,3.19,2321200
2016-11-18,3.28,3.28,3.18,3.2,3.131288,1324100
2016-11-21,3.2,3.32,3.2,3.26,3.19,1066400
2016-11-22,3.3,3.3,3.22,3.22,3.150859,679300
2016-11-23,3.24,3.28,3.24,3.24,3.170429,279600
2016-11-24,3.26,3.4,3.26,3.3,3.229141,4774000
2016-11-25,3.3,3.34,3.28,3.34,3.268282,1292700
2016-11-28,3.36,3.4,3.34,3.34,3.268282,1437300
2016-11-29,3.36,3.36,3.28,3.28,3.20957,840300
2016-11-30,3.3,3.32,3.26,3.26,3.19,786800
2016-12-01,3.28,3.38,3.26,3.32,3.248712,2914300
2016-12-02,3.32,3.32,3.2,3.2,3.131288,943100
2016-12-06,3.2,3.26,3.2,3.2,3.131288,870400
2016-12-07,3.22,3.24,3.18,3.18,3.111718,1938000
2016-12-08,3.2,3.22,3.18,3.18,3.111718,1074300
2016-12-09,3.18,3.22,3.18,3.18,3.111718,567700
2016-12-13,3.18,3.24,3.18,3.22,3.150859,1748200
2016-12-14,3.22,3.46,3.2,3.36,3.287853,13829300
2016-12-15,3.4,3.5,3.38,3.4,3.326994,7652700
2016-12-16,3.42,3.44,3.32,3.32,3.248712,3209800
2016-12-19,3.34,3.34,3.26,3.26,3.19,1329100
2016-12-20,3.24,3.3,3.2,3.22,3.150859,1242100
2016-12-21,3.22,3.24,3.18,3.2,3.131288,733800
2016-12-22,3.22,3.26,3.2,3.24,3.170429,1512300
2016-12-23,3.24,3.24,3.16,3.22,3.150859,1289200
2016-12-26,3.22,3.24,3.2,3.22,3.150859,390900
2016-12-27,3.22,3.26,3.2,3.2,3.131288,991900
2016-12-28,3.2,3.24,3.2,3.22,3.150859,317500
2016-12-29,3.22,3.28,3.22,3.26,3.19,1036900
2016-12-30,3.26,3.3,3.22,3.22,3.150859,1021000
2017-01-04,3.22,3.42,3.22,3.28,3.20957,12918900
2017-01-05,3.32,3.34,3.26,3.28,3.20957,1399900
2017-01-06,3.28,3.32,3.28,3.28,3.20957,1067000
2017-01-09,3.28,3.38,3.28,3.28,3.20957,2394300
2017-01-10,3.32,3.42,3.32,3.4,3.326994,5545700
2017-01-11,3.42,3.56,3.4,3.52,3.444417,13387900
2017-01-12,3.58,3.66,3.52,3.54,3.463988,14846100
2017-01-16,3.54,3.6,3.5,3.52,3.444417,4451700
2017-01-17,3.5,3.54,3.38,3.42,3.346565,2926300
2017-01-18,3.42,3.5,3.4,3.42,3.346565,2177200
2017-01-19,3.42,3.46,3.42,3.44,3.366135,1518200
2017-01-20,3.42,3.52,3.42,3.52,3.444417,2547800
2017-01-23,3.54,3.84,3.54,3.74,3.659693,21927500
2017-01-24,3.72,3.8,3.68,3.7,3.620552,6033800
2017-01-25,3.72,3.74,3.64,3.64,3.561841,2195000
2017-01-26,3.64,3.68,3.6,3.64,3.561841,1478100
2017-01-27,3.66,3.66,3.54,3.56,3.483558,2201700
2017-01-30,3.56,3.74,3.56,3.72,3.640123,5918000
2017-01-31,3.74,3.76,3.66,3.68,3.600982,3254800
2017-02-01,3.7,3.74,3.58,3.6,3.522699,3580900
2017-02-02,3.64,3.68,3.6,3.6,3.522699,1557400
