Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,18.5,18.5,17.0,17.0,1.859833,0.0
2000-01-05,18.5,18.5,17.0,17.0,1.859833,0.0
2000-01-06,18.5,18.5,17.0,17.0,1.859833,0.0
2000-01-07,18.5,18.5,18.5,18.5,2.023936,2000.0
2000-01-10,19.0,19.0,18.0,18.0,1.969235,0.0
2000-01-11,19.0,19.0,18.0,18.0,1.969235,0.0
2000-01-12,19.625,19.625,17.0,17.0,1.859833,0.0
2000-01-13,19.875,19.875,17.0,17.0,1.859833,0.0
2000-01-14,19.875,19.875,17.0,17.0,1.859833,0.0
2000-01-17,19.625,19.625,17.0,17.0,1.859833,0.0
2000-01-18,19.625,19.625,17.0,17.0,1.859833,0.0
2000-01-19,19.625,19.625,17.0,17.0,1.859833,0.0
2000-01-20,19.625,19.625,17.0,17.0,1.859833,0.0
2000-01-21,19.625,19.625,17.0,17.0,1.859833,0.0
2000-01-24,19.625,19.625,17.0,17.0,1.859833,0.0
2000-01-25,19.625,19.625,17.0,17.0,1.859833,0.0
2000-01-26,19.25,19.25,17.0,17.0,1.859833,0.0
2000-01-27,19.625,19.625,17.0,17.0,1.859833,0.0
2000-01-28,19.625,19.625,17.0,17.0,1.859833,0.0
2000-01-31,19.25,19.25,18.0,18.0,1.969235,0.0
2000-02-01,19.625,19.625,17.0,17.0,1.859833,0.0
2000-02-02,19.25,19.25,17.0,17.0,1.859833,0.0
2000-02-03,19.625,19.625,17.0,17.0,1.859833,0.0
2000-02-04,19.25,19.25,17.0,17.0,1.859833,0.0
2000-02-07,19.25,19.25,19.25,19.25,2.105988,4000.0
2000-02-08,19.5,19.5,18.0,18.0,1.969235,0.0
2000-02-09,19.5,19.5,18.0,18.0,1.969235,0.0
2000-02-10,19.375,19.375,18.0,18.0,1.969235,0.0
2000-02-11,19.375,19.375,18.0,18.0,1.969235,0.0
2000-02-14,19.5,19.5,18.0,18.0,1.969235,0.0
2000-02-15,19.0,19.0,19.0,19.0,2.078637,6000.0
