Date,Open,High,Low,Close,Adj Close,Volume
2016-06-28,,,,,,
2016-06-29,,,,,,
2016-06-30,,,,,,
2016-07-04,,,,,,
2016-07-05,,,,,,
2016-07-06,,,,,,
2016-07-07,,,,,,
2016-07-08,,,,,,
2016-07-11,,,,,,
2016-07-12,,,,,,
2016-07-13,,,,,,
2016-07-14,,,,,,
2016-07-15,,,,,,
2016-07-20,,,,,,
2016-07-21,,,,,,
2016-07-22,,,,,,
2016-07-25,,,,,,
2016-07-26,,,,,,
2016-07-27,,,,,,
2016-07-28,,,,,,
2016-07-29,,,,,,
2016-08-01,,,,,,
2016-08-02,,,,,,
2016-08-03,,,,,,
2016-08-04,,,,,,
2016-08-05,,,,,,
2016-08-08,,,,,,
2016-08-09,,,,,,
2016-08-10,,,,,,
2016-08-11,,,,,,
2016-08-15,,,,,,
2016-08-16,,,,,,
2016-08-17,,,,,,
2016-08-18,,,,,,
2016-08-19,,,,,,
2016-08-22,1.63,1.64,1.62,1.63,1.594565,5310900.0
2016-08-23,1.63,1.68,1.63,1.63,1.594565,24340600.0
2016-08-24,1.64,1.64,1.62,1.63,1.594565,9722000.0
2016-08-25,1.63,1.66,1.63,1.63,1.594565,11711600.0
2016-08-26,1.64,1.75,1.64,1.72,1.682609,77194300.0
2016-08-29,1.74,1.81,1.71,1.76,1.721739,123947000.0
2016-08-30,1.77,1.79,1.72,1.73,1.692391,33050900.0
2016-08-31,1.73,1.93,1.73,1.92,1.878261,190303000.0
2016-09-01,1.9,1.95,1.84,1.86,1.819565,125168800.0
2016-09-02,1.86,1.87,1.8,1.84,1.8,66503400.0
2016-09-05,1.85,1.86,1.53,1.71,1.672826,61771900.0
2016-09-06,1.71,1.75,1.69,1.73,1.692391,25410900.0
2016-09-07,1.73,1.84,1.73,1.8,1.76087,134349800.0
2016-09-08,1.83,1.85,1.57,1.61,1.575,113466000.0
2016-09-09,1.61,1.66,1.54,1.57,1.53587,55093900.0
2016-09-12,1.54,1.56,1.46,1.47,1.438043,27382800.0
2016-09-13,1.5,1.56,1.5,1.52,1.486956,33050000.0
