Date,Open,High,Low,Close,Adj Close,Volume
2013-05-17,0.87,0.92,0.87,0.9,0.787951,323723000.0
2013-05-20,,,,,,
2013-05-21,,,,,,
2013-05-22,,,,,,
2013-05-23,0.9,0.95,0.89,0.9,0.787951,579923000.0
2013-05-27,,,,,,
2013-05-28,,,,,,
2013-05-29,0.94,1.0,0.94,0.96,0.840481,958862000.0
2013-05-30,0.96,0.97,0.91,0.93,0.814216,368613000.0
2013-05-31,,,,,,
2013-06-03,,,,,,
2013-06-04,,,,,,
2013-06-05,,,,,,
2013-06-06,0.9,0.9,0.86,0.86,0.75293,97735000.0
2013-06-07,,,,,,
2013-06-10,,,,,,
2013-06-11,,,,,,
2013-06-12,,,,,,
2013-06-13,,,,,,
2013-06-14,,,,,,
2013-06-17,,,,,,
2013-06-18,,,,,,
2013-06-19,,,,,,
2013-06-20,,,,,,
2013-06-21,0.87,0.89,0.86,0.88,0.770441,37549000.0
2013-06-24,,,,,,
2013-06-25,0.87,0.87,0.81,0.86,0.75293,96613000.0
2013-06-26,0.86,0.87,0.85,0.87,0.761685,26185000.0
2013-06-27,,,,,,
2013-06-28,0.89,0.89,0.87,0.87,0.761685,26049000.0
2013-07-02,0.87,0.88,0.86,0.87,0.761685,19479000.0
2013-07-03,0.87,0.88,0.86,0.86,0.75293,19156000.0
2013-07-04,0.86,0.87,0.85,0.86,0.75293,17941000.0
2013-07-05,0.87,0.9,0.86,0.89,0.779196,95307000.0
2013-07-08,,,,,,
2013-07-09,,,,,,
2013-07-10,,,,,,
2013-07-11,,,,,,
2013-07-12,,,,,,
2013-07-15,,,,,,
2013-07-16,,,,,,
2013-07-17,,,,,,
2013-07-18,,,,,,
2013-07-19,1.0,1.02,0.98,1.0,0.875501,168500000.0
2013-07-23,,,,,,
2013-07-24,,,,,,
2013-07-25,,,,,,
2013-07-26,,,,,,
2013-07-29,,,,,,
2013-07-30,,,,,,
2013-07-31,,,,,,
2013-08-01,,,,,,
2013-08-02,,,,,,
2013-08-05,,,,,,
2013-08-06,,,,,,
2013-08-07,,,,,,
2013-08-08,,,,,,
2013-08-09,,,,,,
2013-08-13,,,,,,
2013-08-14,,,,,,
2013-08-15,,,,,,
2013-08-16,,,,,,
2013-08-19,,,,,,
2013-08-20,,,,,,
2013-08-21,,,,,,
2013-08-22,,,,,,
2013-08-23,,,,,,
2013-08-26,,,,,,
2013-08-27,,,,,,
2013-08-28,,,,,,
2013-08-29,,,,,,
2013-08-30,,,,,,
2013-09-02,0.95,0.96,0.93,0.95,0.831726,12149000.0
2013-09-03,0.96,0.97,0.94,0.95,0.831726,8610000.0
2013-09-04,,,,,,
2013-09-05,0.96,0.96,0.95,0.95,0.831726,2141000.0
2013-09-06,,,,,,
2013-09-09,0.96,1.0,0.96,0.99,0.866746,19176000.0
2013-09-10,1.0,1.02,0.99,1.01,0.884256,28650000.0
2013-09-11,,,,,,
2013-09-12,,,,,,
2013-09-13,,,,,,
2013-09-16,,,,,,
2013-09-17,,,,,,
2013-09-18,,,,,,
2013-09-19,,,,,,
2013-09-20,,,,,,
2013-09-23,,,,,,
2013-09-24,1.01,1.02,1.0,1.0,0.875501,27005000.0
2013-09-25,,,,,,
2013-09-26,,,,,,
2013-09-27,,,,,,
2013-09-30,,,,,,
2013-10-01,,,,,,
2013-10-02,,,,,,
2013-10-03,,,,,,
2013-10-04,,,,,,
2013-10-07,,,,,,
2013-10-08,,,,,,
2013-10-09,,,,,,
2013-10-10,,,,,,
2013-10-11,,,,,,
2013-10-14,,,,,,
2013-10-15,,,,,,
2013-10-16,,,,,,
2013-10-17,,,,,,
2013-10-18,,,,,,
2013-10-21,,,,,,
2013-10-22,,,,,,
2013-10-24,,,,,,
2013-10-25,,,,,,
2013-10-28,,,,,,
2013-10-29,,,,,,
2013-10-30,,,,,,
2013-10-31,,,,,,
2013-11-01,,,,,,
2013-11-04,1.0,1.01,1.0,1.0,0.875501,7002000.0
2013-11-05,1.0,1.01,1.0,1.01,0.884256,2523000.0
2013-11-06,,,,,,
2013-11-07,,,,,,
2013-11-08,,,,,,
2013-11-11,1.0,1.01,1.0,1.01,0.884256,6750000.0
2013-11-12,,,,,,
2013-11-13,,,,,,
2013-11-14,,,,,,
2013-11-15,,,,,,
2013-11-18,,,,,,
2013-11-19,,,,,,
2013-11-20,,,,,,
2013-11-21,1.01,1.01,1.0,1.01,0.884256,8114000.0
2013-11-22,1.0,1.0,1.0,1.0,0.961147,2480000.0
2013-11-25,,,,,,
2013-11-26,,,,,,
2013-11-27,,,,,,
2013-11-28,,,,,,
2013-11-29,,,,,,
2013-12-02,1.01,1.01,1.0,1.01,0.970759,1471000.0
2013-12-03,,,,,,
2013-12-04,,,,,,
2013-12-06,,,,,,
2013-12-09,,,,,,
2013-12-11,,,,,,
2013-12-12,,,,,,
2013-12-13,,,,,,
2013-12-16,1.0,1.0,0.98,0.99,0.951536,5418000.0
2013-12-17,0.99,1.0,0.99,1.0,0.961147,1466000.0
2013-12-18,1.0,1.0,0.99,1.0,0.961147,1582000.0
2013-12-19,,,,,,
2013-12-20,1.0,1.0,0.99,0.99,0.951536,1262000.0
2013-12-23,0.99,1.02,0.99,1.01,0.970759,10984000.0
2013-12-24,1.01,1.01,1.0,1.0,0.961147,364000.0
2013-12-25,1.0,1.0,0.99,1.0,0.961147,562000.0
2013-12-26,1.0,1.01,0.98,1.0,0.961147,6165000.0
2013-12-27,,,,,,
2014-01-02,,,,,,
2014-01-03,0.94,0.96,0.93,0.95,0.91309,4872000.0
2014-01-06,,,,,,
2014-01-07,0.95,0.97,0.95,0.97,0.932313,3979000.0
2014-01-08,0.98,0.98,0.96,0.97,0.932313,2991000.0
