Date,Open,High,Low,Close,Adj Close,Volume
2006-08-07,1.49029,1.49029,1.47333,1.47333,1.444935,588127.0
2006-08-08,,,,,,
2006-08-09,,,,,,
2006-08-10,,,,,,
2006-08-11,,,,,,
2006-08-14,,,,,,
2006-08-15,,,,,,
2006-08-16,,,,,,
2006-08-17,,,,,,
2006-08-18,,,,,,
2006-08-21,,,,,,
2006-08-22,,,,,,
2006-08-23,,,,,,
2006-08-24,1.47333,1.47333,1.46456,1.47333,1.444935,2114549.0
2006-08-25,,,,,,
2006-08-28,1.70904,1.73419,1.5827,1.5827,1.552197,879729.0
2006-08-29,,,,,,
2006-08-30,,,,,,
2006-08-31,,,,,,
2006-09-01,,,,,,
2006-09-04,1.57393,1.57393,1.55755,1.55755,1.527531,957489.0
2006-09-05,,,,,,
2006-09-06,1.54878,1.54878,1.53182,1.53182,1.502297,1626822.0
2006-09-07,,,,,,
2006-09-08,,,,,,
2006-09-11,,,,,,
2006-09-12,1.49848,1.51544,1.49029,1.49848,1.4696,4467549.0
2006-09-13,1.51544,1.52363,1.49848,1.52363,1.494265,2017595.0
2006-09-14,,,,,,
2006-09-15,,,,,,
2006-09-18,,,,,,
2006-09-19,1.51544,1.51544,1.49848,1.49848,1.4696,1243926.0
2006-09-20,,,,,,
2006-09-21,,,,,,
2006-09-22,,,,,,
2006-09-25,,,,,,
2006-09-26,,,,,,
2006-09-27,,,,,,
2006-09-28,,,,,,
2006-09-29,,,,,,
2006-10-02,,,,,,
2006-10-03,,,,,,
2006-10-04,1.46456,1.47333,1.45637,1.47333,1.444935,2239065.0
2006-10-05,,,,,,
2006-10-06,,,,,,
2006-10-09,,,,,,
2006-10-10,1.49029,1.49848,1.49029,1.49029,1.461568,3398339.0
2006-10-11,,,,,,
2006-10-12,,,,,,
2006-10-13,,,,,,
2006-10-16,,,,,,
2006-10-17,,,,,,
2006-10-18,,,,,,
2006-10-19,,,,,,
2006-10-20,1.51544,1.52363,1.49848,1.49848,1.4696,9636666.0
2006-10-23,,,,,,
2006-10-24,,,,,,
2006-10-25,,,,,,
2006-10-26,,,,,,
2006-10-27,,,,,,
2006-10-30,1.46456,1.47333,1.45637,1.45637,1.428301,1237773.0
2006-10-31,1.46456,1.47333,1.46456,1.46456,1.436333,3404737.0
2006-11-01,1.47333,1.49029,1.47333,1.47333,1.444935,3367579.0
2006-11-02,,,,,,
2006-11-03,,,,,,
2006-11-06,,,,,,
2006-11-07,1.49029,1.54878,1.49029,1.52363,1.494265,3371763.0
2006-11-08,,,,,,
2006-11-09,,,,,,
2006-11-10,1.51544,1.52363,1.49848,1.49848,1.4696,2913565.0
2006-11-13,,,,,,
2006-11-14,,,,,,
2006-11-15,,,,,,
2006-11-16,1.47333,1.49029,1.45637,1.47333,1.444935,1147709.0
2006-11-17,,,,,,
2006-11-20,1.43941,1.45637,1.43122,1.43122,1.403636,666134.0
2006-11-21,,,,,,
2006-11-22,,,,,,
2006-11-23,,,,,,
2006-11-24,,,,,,
2006-11-27,,,,,,
2006-11-28,1.46456,1.46456,1.43941,1.43941,1.411668,6711535.0
2006-11-29,1.43941,1.46456,1.43941,1.45637,1.428301,6906429.0
2006-11-30,1.46456,1.47333,1.43941,1.43941,1.411668,11932822.0
2006-12-01,,,,,,
2006-12-04,,,,,,
2006-12-05,,,,,,
2006-12-06,1.46456,1.46456,1.45637,1.45637,1.428301,698862.0
2006-12-07,,,,,,
2006-12-08,,,,,,
2006-12-11,,,,,,
2006-12-12,,,,,,
2006-12-13,,,,,,
2006-12-14,,,,,,
2006-12-15,,,,,,
2006-12-18,,,,,,
2006-12-19,,,,,,
2006-12-20,,,,,,
2006-12-21,1.28792,1.28792,1.22885,1.25458,1.2304,944694.0
2006-12-22,1.22885,1.27973,1.22066,1.23762,1.213767,2276961.0
2006-12-25,,,,,,
2006-12-26,1.26277,1.26277,1.25458,1.26277,1.238433,46754.0
2006-12-27,1.26277,1.28792,1.25458,1.25458,1.2304,39372.0
2006-12-28,1.28792,1.28792,1.22066,1.22066,1.197134,413904.0
2006-12-29,1.2037,1.25458,1.2037,1.2037,1.180501,330729.0
2007-01-03,1.13644,1.17855,1.13644,1.14462,1.12256,1284775.0
2007-01-04,1.1534,1.17855,1.1534,1.1534,1.13117,836666.0
2007-01-05,1.1534,1.1534,1.11129,1.12825,1.106505,647677.0
2007-01-08,1.14462,1.14462,1.12825,1.12825,1.106505,352384.0
2007-01-09,1.13644,1.13644,1.06917,1.06917,1.048564,540142.0
2007-01-10,1.0604,1.12825,1.0604,1.10251,1.081261,217779.0
2007-01-11,1.12825,1.14462,1.12825,1.14462,1.12256,679422.0
2007-01-12,1.17855,1.17855,1.1534,1.17036,1.147804,378960.0
2007-01-15,1.17855,1.17855,1.1534,1.17036,1.147804,362473.0
2007-01-16,1.17855,1.19551,1.17855,1.17855,1.155836,340818.0
2007-01-17,1.17855,1.17855,1.17036,1.17036,1.147804,387572.0
2007-01-18,1.17036,1.17036,1.16159,1.17036,1.147804,235004.0
2007-01-19,1.17036,1.17855,1.16159,1.16159,1.139203,480837.0
2007-01-22,1.16159,1.16159,1.12825,1.12825,1.106505,575822.0
2007-01-23,1.12825,1.13644,1.11947,1.13644,1.114537,363949.0
2007-01-24,1.13644,1.13644,1.12825,1.12825,1.106505,147647.0
2007-01-25,1.13644,1.13644,1.12825,1.12825,1.106505,362720.0
2007-01-26,1.12825,1.12825,1.11947,1.12825,1.106505,372070.0
2007-01-29,1.12825,1.12825,1.11129,1.11129,1.089872,356076.0
2007-01-30,1.11129,1.11947,1.11129,1.11947,1.097895,2214.0
2007-01-31,1.11947,1.12825,1.10251,1.10251,1.081261,678191.0
2007-02-01,1.11129,1.11129,1.09432,1.09432,1.073229,454260.0
2007-02-02,1.09432,1.11129,1.09432,1.10251,1.081261,1519287.0
2007-02-05,1.11129,1.11129,1.09432,1.09432,1.073229,654814.0
2007-02-06,1.11129,1.11129,1.09432,1.09432,1.073229,325808.0
2007-02-07,1.10251,1.11129,1.10251,1.10251,1.081261,635128.0
2007-02-08,1.11129,1.1534,1.10251,1.1534,1.13117,3467980.0
2007-02-09,1.17855,1.17855,1.14462,1.14462,1.12256,1302245.0
2007-02-12,1.13644,1.13644,1.12825,1.12825,1.106505,699600.0
2007-02-13,1.13644,1.13644,1.11129,1.11947,1.097895,704767.0
2007-02-14,1.13644,1.14462,1.12825,1.12825,1.106505,537435.0
2007-02-15,1.13644,1.14462,1.12825,1.14462,1.12256,424976.0
2007-02-16,1.13644,1.13644,1.11947,1.11947,1.097895,683359.0
2007-02-19,1.11129,1.11129,1.10251,1.11129,1.089872,377483.0
2007-02-20,1.11129,1.11129,1.10251,1.10251,1.081261,465334.0
2007-02-21,1.10251,1.10251,1.08614,1.08614,1.065207,1313565.0
