Date,Open,High,Low,Close,Adj Close,Volume
2013-07-18,3.191,3.24832,2.88527,3.05724,2.881818,1644194037
2013-07-19,3.05724,3.05724,2.92349,2.9426,2.773756,361246892
2013-07-23,2.9426,3.05724,2.88527,2.90438,2.737729,411613855
2013-07-24,2.92349,2.9426,2.86616,2.86616,2.701701,113772083
2013-07-25,2.86616,2.90438,2.82795,2.86616,2.701701,129677660
2013-07-26,2.86616,2.90438,2.78973,2.90438,2.737729,69924983
2013-07-29,2.82795,2.86616,2.75152,2.86616,2.701701,14261743
2013-07-30,2.82795,2.84706,2.78973,2.84706,2.683697,18841033
2013-07-31,2.80884,2.82795,2.7133,2.80884,2.647671,22664610
2013-08-01,2.78973,2.84706,2.75152,2.82795,2.665684,15075025
2013-08-02,2.78973,2.80884,2.73241,2.78973,2.629657,20725608
2013-08-05,2.77063,2.77063,2.7133,2.75152,2.59364,6264993
2013-08-06,2.69419,2.75152,2.67509,2.73241,2.575626,10134624
2013-08-07,2.7133,2.7133,2.61776,2.61776,2.467555,7969536
2013-08-08,2.63687,2.69419,2.63687,2.67509,2.521595,11320530
2013-08-09,2.69419,2.69419,2.63687,2.67509,2.521595,6510443
2013-08-13,2.67509,2.7133,2.63687,2.65598,2.503582,3767579
2013-08-14,2.65598,2.65598,2.57955,2.63687,2.485568,8388737
2013-08-15,2.63687,2.65598,2.59866,2.63687,2.485568,6507826
2013-08-16,2.59866,2.63687,2.59866,2.61776,2.467555,4364195
2013-08-19,2.61776,2.67509,2.56044,2.59866,2.449551,7494336
2013-08-20,2.56044,2.56044,2.4649,2.48401,2.341479,14502483
2013-08-21,2.48401,2.56044,2.48401,2.48401,2.341479,5694021
2013-08-22,2.4649,2.52222,2.42669,2.4649,2.323466,6549171
2013-08-23,2.48401,2.48401,2.40758,2.44579,2.305452,4468341
2013-08-26,2.44579,2.44579,2.35025,2.42669,2.287448,5466888
2013-08-27,2.36936,2.40758,2.31204,2.35025,2.215394,8811602
2013-08-28,2.25472,2.25472,2.10185,2.23561,2.107332,7075658
2013-08-29,2.19739,2.27382,2.19739,2.2165,2.089319,2919756
2013-08-30,2.2165,2.23561,2.17828,2.2165,2.089319,1461186
2013-09-02,2.17828,2.25472,2.17828,2.25472,2.125345,2699950
2013-09-03,2.25472,2.33115,2.19739,2.19739,2.071305,3993141
2013-09-04,2.17828,2.27382,2.17828,2.23561,2.107332,3773335
2013-09-05,2.2165,2.29293,2.2165,2.25472,2.125345,2434089
2013-09-06,2.25472,2.31204,2.25472,2.29293,2.161363,5099498
2013-09-09,2.36936,2.48401,2.35025,2.38847,2.251421,64571661
2013-09-10,2.42669,2.52222,2.40758,2.40758,2.269434,48812621
2013-09-11,2.44579,2.44579,2.36936,2.40758,2.269434,8776014
2013-09-12,2.42669,2.42669,2.36936,2.36936,2.233407,7553998
2013-09-13,2.36936,2.44579,2.35025,2.38847,2.251421,5402516
2013-09-16,2.42669,2.56044,2.40758,2.4649,2.323466,28012175
2013-09-17,2.4649,2.48401,2.42669,2.42669,2.287448,6991923
2013-09-18,2.4649,2.4649,2.42669,2.42669,2.287448,2928653
2013-09-19,2.50312,2.54133,2.4649,2.4649,2.323466,32015260
2013-09-20,2.48401,2.63687,2.4649,2.61776,2.467555,77861024
2013-09-23,2.59866,2.59866,2.48401,2.48401,2.341479,26189356
2013-09-24,2.48401,2.54133,2.44579,2.4649,2.323466,15369146
2013-09-25,2.50312,2.50312,2.4649,2.48401,2.341479,4528526
2013-09-26,2.48401,2.52222,2.44579,2.44579,2.305452,12173586
2013-09-27,2.44579,2.48401,2.42669,2.44579,2.305452,5504046
2013-09-30,2.38847,2.40758,2.38847,2.38847,2.251421,4131305
2013-10-01,2.38847,2.42669,2.38847,2.42669,2.287448,3235334
2013-10-02,2.44579,2.44579,2.40758,2.40758,2.269434,1822296
2013-10-03,2.40758,2.48401,2.40758,2.42669,2.287448,7665994
2013-10-04,2.42669,2.4649,2.42669,2.42669,2.287448,2232600
2013-10-07,2.42669,2.44579,2.38847,2.38847,2.251421,4271562
2013-10-08,2.42669,2.42669,2.40758,2.40758,2.269434,1862070
2013-10-09,2.42669,2.42669,2.38847,2.38847,2.251421,4565160
2013-10-10,2.42669,2.50312,2.40758,2.44579,2.305452,15867896
2013-10-11,2.48401,2.48401,2.40758,2.42669,2.287448,8033384
2013-10-14,2.42669,2.42669,2.40758,2.40758,2.269434,2387511
2013-10-15,2.40758,2.44579,2.40758,2.40758,2.269434,2378614
