Date,Open,High,Low,Close,Adj Close,Volume
2010-07-28,6.5,7.55,6.3,7.2,6.504892,55234300.0
2010-07-29,7.35,7.55,6.7,6.7,6.053164,15478700.0
2010-07-30,6.7,6.85,6.4,6.5,5.872473,6242700.0
2010-08-02,6.5,7.15,6.4,6.75,6.098338,10447600.0
2010-08-03,6.8,6.8,6.5,6.55,5.917645,2936400.0
2010-08-04,6.55,6.95,6.55,6.7,6.053164,5432000.0
2010-08-05,6.7,6.75,6.65,6.65,6.007992,1052200.0
2010-08-06,6.7,6.7,6.6,6.65,6.007992,1569200.0
2010-08-09,6.7,6.85,6.6,6.6,5.962818,2985400.0
2010-08-10,6.55,6.55,6.4,6.45,5.827299,2143500.0
2010-08-11,6.45,6.8,6.4,6.55,5.917645,2347200.0
2010-08-16,6.55,6.7,6.55,6.55,5.917645,850700.0
2010-08-17,6.6,6.7,6.4,6.45,5.827299,1204800.0
2010-08-18,6.5,6.5,6.45,6.45,5.827299,615600.0
2010-08-19,6.45,6.55,6.45,6.5,5.872473,1670000.0
2010-08-20,6.55,6.55,6.45,6.45,5.827299,771800.0
2010-08-23,6.45,6.5,6.4,6.45,5.900485,508100.0
2010-08-24,6.45,6.6,6.45,6.5,5.946224,741000.0
2010-08-25,6.5,6.5,6.3,6.35,5.809004,2110500.0
2010-08-26,6.35,6.45,6.35,6.4,5.854744,843400.0
2010-08-27,6.4,6.5,6.4,6.5,5.946224,350000.0
2010-08-30,6.5,6.8,6.5,6.65,6.083445,2907700.0
2010-08-31,6.7,7.05,6.55,7.05,6.449367,4271800.0
2010-09-01,7.05,7.05,6.85,6.85,6.266406,1354400.0
2010-09-02,6.9,7.05,6.9,6.95,6.357886,842100.0
2010-09-03,6.95,7.3,6.95,7.1,6.495107,2468100.0
2010-09-06,7.2,7.2,6.9,6.9,6.312146,462900.0
2010-09-07,6.85,6.9,6.7,6.75,6.174926,813000.0
2010-09-08,6.75,6.9,6.75,6.85,6.266406,117700.0
2010-09-09,6.85,7.0,6.85,6.95,6.357886,922400.0
2010-09-10,6.95,6.95,6.9,6.9,6.312146,72800.0
2010-09-13,7.0,7.05,6.95,7.0,6.403626,379300.0
2010-09-14,7.0,7.0,6.85,7.0,6.403626,80500.0
2010-09-15,6.85,7.0,6.85,7.0,6.403626,126100.0
2010-09-16,7.0,7.0,7.0,7.0,6.403626,306400.0
2010-09-17,7.0,7.05,7.0,7.05,6.449367,186200.0
2010-09-20,7.1,7.15,7.0,7.0,6.403626,282900.0
2010-09-21,7.0,7.05,7.0,7.05,6.449367,130700.0
2010-09-22,7.05,7.1,7.0,7.0,6.403626,98300.0
2010-09-23,7.05,7.1,7.05,7.05,6.449367,61600.0
