Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,5.54,6.02,5.54,5.81,-0.182494,15190610.0
2000-01-05,5.54,5.65,5.54,5.54,-0.174013,6541626.0
2000-01-06,5.6,5.65,5.44,5.6,-0.175898,6408392.0
2000-01-07,5.65,5.65,5.54,5.6,-0.175898,2797925.0
2000-01-10,5.7,5.7,5.65,5.7,-0.179039,1276049.0
2000-01-11,5.7,5.86,5.54,5.6,-0.175898,3978270.0
2000-01-12,5.54,5.6,5.49,5.49,-0.172443,1730172.0
2000-01-13,5.65,5.7,5.6,5.6,-0.175898,1606320.0
2000-01-14,5.7,5.81,5.6,5.7,-0.179039,3961381.0
2000-01-17,5.86,5.86,5.76,5.76,-0.180923,3910714.0
2000-01-18,5.76,5.97,5.76,5.97,-0.18752,4537479.0
2000-01-19,5.97,6.23,5.92,6.13,-0.192545,5738466.0
2000-01-20,6.13,6.5,6.13,6.34,-0.199142,13432290.0
2000-01-21,6.34,6.61,6.13,6.34,-0.199142,14616388.0
2000-01-24,6.5,6.77,6.5,6.77,-0.212648,6293923.0
2000-01-25,6.66,7.14,6.55,7.09,-0.222699,10566810.0
2000-01-26,7.14,7.25,6.77,6.77,-0.212648,5031010.0
2000-01-27,6.82,6.98,6.77,6.87,-0.215789,3586072.0
2000-01-28,6.87,6.87,6.77,6.82,-0.214218,4346072.0
2000-01-31,6.82,6.93,6.71,6.77,-0.212648,3766220.0
2000-02-01,6.93,6.98,6.5,6.55,-0.205738,7562465.0
2000-02-02,6.71,6.87,6.66,6.82,-0.214218,5869824.0
2000-02-03,6.77,7.03,6.77,6.93,-0.217674,4342319.0
2000-02-04,6.93,6.98,6.71,6.71,-0.210763,3124443.0
2000-02-07,6.82,6.93,6.82,6.93,-0.217674,797530.0
2000-02-08,6.87,6.87,6.71,6.71,-0.210763,1900937.0
2000-02-09,6.77,6.82,6.66,6.71,-0.210763,1983505.0
2000-02-10,6.66,6.93,6.61,6.87,-0.215789,3951998.0
2000-02-11,7.03,7.73,6.98,7.51,-0.235892,16924535.0
2000-02-14,7.67,8.05,7.51,7.94,-0.249398,18962460.0
2000-02-15,7.94,7.94,7.57,7.73,-0.242802,7303503.0
2000-02-16,7.73,7.73,7.19,7.19,-0.22584,6734910.0
2000-02-17,7.25,7.51,7.03,7.14,-0.22427,12135599.0
2000-02-18,7.03,7.25,7.03,7.25,-0.227725,3283949.0
2000-02-21,,,,,,
2000-02-22,7.19,7.57,6.77,6.77,-0.212648,6250762.0
