Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,5.0,5.0,4.8,4.8,4.3645,47000.0
2000-01-05,4.6,4.7,4.5,4.7,4.273572,68800.0
2000-01-06,4.7,4.8,4.5,4.5,4.091718,183000.0
2000-01-07,4.6,4.6,4.5,4.6,4.182645,125500.0
2000-01-10,4.7,4.7,4.6,4.6,4.182645,46100.0
2000-01-11,4.7,4.7,4.4,4.4,4.000791,82700.0
2000-01-12,4.5,4.5,4.3,4.5,4.091718,147500.0
2000-01-13,4.6,4.7,4.5,4.5,4.091718,276100.0
2000-01-14,4.6,4.6,4.5,4.5,4.091718,100000.0
2000-01-17,4.7,4.7,4.5,4.5,4.091718,60000.0
2000-01-18,4.6,5.0,4.6,4.6,4.182645,2824400.0
2000-01-19,4.7,5.2,4.7,5.0,4.546353,2916500.0
2000-01-20,5.1,5.6,5.1,5.1,4.63728,3721000.0
2000-01-21,5.2,5.3,4.8,4.8,4.3645,1175000.0
2000-01-24,5.0,5.2,4.9,5.0,4.546353,1103200.0
2000-01-25,5.1,5.6,5.0,5.5,5.000989,2457700.0
2000-01-26,5.7,5.8,5.1,5.1,4.63728,1507800.0
2000-01-27,5.2,6.2,5.2,5.7,5.182843,6439900.0
2000-01-28,6.1,6.5,5.9,6.0,5.455624,6575500.0
2000-01-31,6.1,6.3,5.9,6.0,5.455624,1673300.0
2000-02-01,6.1,6.1,5.7,5.8,5.27377,857400.0
2000-02-02,5.8,5.9,5.3,5.3,4.819135,784000.0
2000-02-03,5.5,5.7,5.3,5.5,5.000989,852000.0
2000-02-04,5.6,5.8,5.5,5.6,5.091916,970300.0
2000-02-07,5.7,6.0,5.7,5.8,5.27377,1553900.0
2000-02-08,5.9,6.1,5.8,5.8,5.27377,1158300.0
2000-02-09,5.9,5.9,5.3,5.4,4.910062,906000.0
2000-02-10,5.4,5.5,5.1,5.2,4.728208,436000.0
2000-02-11,5.3,5.4,5.0,5.0,4.546353,513300.0
2000-02-14,5.2,5.2,4.8,4.8,4.3645,286500.0
2000-02-15,4.9,5.2,4.8,4.8,4.3645,1028000.0
2000-02-16,4.8,4.8,4.7,4.7,4.273572,283800.0
2000-02-17,4.8,4.8,4.5,4.5,4.091718,290000.0
2000-02-18,4.6,4.6,4.5,4.6,4.182645,184700.0
2000-02-21,4.6,4.6,4.6,4.6,4.182645,0.0
2000-02-22,4.6,4.7,4.2,4.2,3.818937,197800.0
2000-02-23,4.2,4.3,4.1,4.2,3.818937,114000.0
2000-02-24,4.3,4.5,4.2,4.3,3.909864,174600.0
2000-02-25,4.3,4.6,4.3,4.6,4.182645,417100.0
2000-02-28,4.5,4.8,4.3,4.3,3.909864,521100.0
2000-02-29,4.5,4.5,4.1,4.1,3.72801,117100.0
2000-03-01,4.1,4.1,4.0,4.1,3.72801,97200.0
2000-03-02,4.1,4.2,4.1,4.2,3.818937,208200.0
2000-03-03,4.2,4.4,4.2,4.2,3.818937,237300.0
2000-03-06,4.3,4.3,3.9,3.9,3.546156,106500.0
2000-03-07,3.9,3.9,3.8,3.8,3.455229,38000.0
2000-03-08,3.9,3.9,3.6,3.7,3.364302,65000.0
2000-03-09,3.7,3.8,3.7,3.7,3.364302,171800.0
2000-03-10,3.8,3.9,3.7,3.7,3.364302,94100.0
2000-03-13,3.7,3.7,3.5,3.6,3.273374,106800.0
2000-03-14,3.6,3.7,3.5,3.7,3.364302,75900.0
2000-03-15,3.7,4.0,3.7,3.7,3.364302,581500.0
2000-03-16,3.8,3.9,3.8,3.8,3.455229,143500.0
2000-03-17,3.9,4.2,3.8,3.9,3.546156,1233000.0
2000-03-20,3.9,4.0,3.9,3.9,3.546156,173100.0
2000-03-21,4.0,4.1,3.9,4.0,3.637083,214000.0
2000-03-22,4.0,4.0,3.8,4.0,3.637083,93000.0
2000-03-23,4.0,4.2,4.0,4.0,3.637083,569800.0
2000-03-24,4.1,4.1,3.9,3.9,3.546156,197500.0
2000-03-27,4.0,4.5,4.0,4.4,4.000791,2347800.0
2000-03-28,4.4,4.5,4.2,4.2,3.818937,852100.0
2000-03-29,4.3,4.3,4.0,4.0,3.637083,194500.0
2000-03-30,4.1,4.3,3.9,3.9,3.546156,659900.0
2000-03-31,3.9,4.0,3.9,4.0,3.637083,43000.0
2000-04-03,4.0,4.0,3.9,4.0,3.637083,62700.0
2000-04-04,4.0,4.0,3.9,3.9,3.546156,88500.0
2000-04-05,3.9,3.9,3.7,3.7,3.364302,136500.0
2000-04-06,3.7,3.7,3.7,3.7,3.364302,0.0
2000-04-07,3.8,3.9,3.8,3.8,3.455229,65000.0
2000-04-10,3.9,3.9,3.9,3.9,3.546156,63000.0
2000-04-11,3.8,3.9,3.8,3.9,3.546156,24100.0
2000-04-12,4.0,4.2,4.0,4.0,3.637083,348000.0
2000-04-13,4.0,4.0,4.0,4.0,3.637083,0.0
2000-04-14,4.0,4.0,4.0,4.0,3.637083,0.0
2000-04-17,3.8,4.0,3.8,3.9,3.546156,75500.0
2000-04-18,4.0,4.2,4.0,4.1,3.72801,318500.0
2000-04-19,4.1,4.1,4.0,4.0,3.637083,79000.0
2000-04-20,4.1,4.2,4.1,4.1,3.72801,284500.0
2000-04-21,4.1,4.2,4.1,4.1,3.72801,126000.0
2000-04-24,4.2,4.2,4.1,4.1,3.72801,87200.0
2000-04-25,4.1,4.2,4.0,4.0,3.637083,139000.0
2000-04-26,4.1,4.3,4.1,4.1,3.72801,544100.0
2000-04-27,4.1,4.1,4.1,4.1,3.72801,76200.0
2000-04-28,4.1,4.2,4.0,4.0,3.637083,229100.0
2000-05-01,4.0,4.0,4.0,4.0,3.637083,0.0
2000-05-02,4.0,4.0,3.9,3.9,3.546156,78500.0
2000-05-03,3.9,3.9,3.8,3.8,3.455229,177700.0
2000-05-04,3.7,3.9,3.7,3.9,3.546156,65700.0
2000-05-05,3.9,3.9,3.9,3.9,3.546156,0.0
2000-05-08,3.9,4.0,3.7,3.7,3.364302,322200.0
2000-05-09,3.7,3.7,3.7,3.7,3.364302,0.0
2000-05-10,3.5,3.6,3.5,3.5,3.182447,36000.0
2000-05-11,3.5,3.5,3.4,3.5,3.182447,40100.0
2000-05-12,3.5,3.5,3.5,3.5,3.182447,46300.0
2000-05-15,3.5,3.5,3.3,3.3,3.000593,201000.0
2000-05-16,3.4,3.4,3.4,3.4,3.091521,153700.0
2000-05-17,3.4,3.4,3.4,3.4,3.091521,0.0
2000-05-18,3.4,3.4,3.3,3.3,3.000593,94500.0
2000-05-19,3.4,3.6,3.4,3.5,3.182447,488100.0
2000-05-22,3.6,3.7,3.4,3.4,3.091521,945800.0
2000-05-23,3.4,3.4,3.2,3.2,2.909666,271600.0
2000-05-24,3.1,3.2,3.1,3.1,2.818739,88600.0
2000-05-25,3.0,3.0,2.9,2.9,2.636885,35000.0
2000-05-26,2.9,3.0,2.9,3.0,2.727812,17000.0
2000-05-29,3.0,3.0,3.0,3.0,2.727812,25000.0
2000-05-30,3.0,3.0,3.0,3.0,2.727812,0.0
2000-05-31,3.0,3.1,3.0,3.0,2.727812,78100.0
2000-06-01,3.1,3.2,3.0,3.0,2.727812,93000.0
2000-06-02,3.1,3.4,3.1,3.2,2.909666,455900.0
2000-06-05,3.3,3.7,3.3,3.5,3.182447,2490500.0
2000-06-06,3.5,3.7,3.4,3.4,3.091521,623300.0
2000-06-07,3.5,3.8,3.5,3.6,3.273374,1052900.0
2000-06-08,3.6,3.6,3.5,3.6,3.273374,126000.0
2000-06-09,3.6,3.6,3.5,3.5,3.182447,113000.0
2000-06-12,3.5,3.6,3.4,3.6,3.273374,20200.0
2000-06-13,3.4,3.4,3.3,3.3,3.000593,38000.0
2000-06-14,3.4,3.4,3.3,3.4,3.091521,49000.0
2000-06-15,3.4,3.5,3.4,3.4,3.091521,79000.0
2000-06-16,3.5,3.5,3.4,3.4,3.091521,32500.0
2000-06-19,3.5,3.5,3.3,3.3,3.000593,0.0
2000-06-20,3.4,3.4,3.4,3.4,3.091521,10000.0
2000-06-21,3.3,3.3,3.3,3.3,3.000593,44100.0
2000-06-22,3.2,3.2,3.1,3.1,2.818739,50000.0
2000-06-23,3.2,3.2,3.0,3.2,2.909666,29000.0
2000-06-26,3.2,3.2,3.0,3.0,2.727812,0.0
2000-06-27,3.2,3.2,3.1,3.1,2.818739,25000.0
2000-06-28,3.2,3.2,3.0,3.0,2.727812,0.0
2000-06-29,3.0,3.0,3.0,3.0,2.727812,52000.0
2000-06-30,3.0,3.0,3.0,3.0,2.727812,25000.0
2000-07-03,2.9,2.9,2.9,2.9,2.636885,50000.0
2000-07-04,2.8,3.0,2.8,3.0,2.727812,5800.0
2000-07-05,3.0,3.1,3.0,3.0,2.727812,44600.0
2000-07-06,3.0,3.0,3.0,3.0,2.727812,5600.0
2000-07-07,3.0,3.2,3.0,3.0,2.727812,190700.0
2000-07-10,3.1,3.1,3.0,3.0,2.727812,166000.0
2000-07-11,3.1,3.2,3.0,3.0,2.727812,40500.0
2000-07-12,3.1,3.2,3.1,3.1,2.818739,250500.0
2000-07-13,3.1,3.1,3.0,3.0,2.727812,60300.0
