Date,Open,High,Low,Close,Adj Close,Volume
2015-06-30,11.7007,11.7007,11.7007,11.7007,10.839847,0.0
2015-07-02,,,,,,
2015-07-03,,,,,,
2015-07-06,,,,,,
2015-07-07,,,,,,
2015-07-08,,,,,,
2015-07-09,,,,,,
2015-07-10,,,,,,
2015-07-13,,,,,,
2015-07-14,,,,,,
2015-07-15,,,,,,
2015-07-16,,,,,,
2015-07-17,,,,,,
2015-07-20,,,,,,
2015-07-21,,,,,,
2015-07-22,,,,,,
2015-07-23,,,,,,
2015-07-24,,,,,,
2015-07-27,,,,,,
2015-07-28,,,,,,
2015-07-29,,,,,,
2015-07-31,11.7838,11.7838,11.7838,11.7838,10.916834,0.0
2015-08-03,,,,,,
2015-08-04,,,,,,
2015-08-05,,,,,,
2015-08-06,,,,,,
2015-08-07,,,,,,
2015-08-10,,,,,,
2015-08-11,,,,,,
2015-08-13,,,,,,
2015-08-14,,,,,,
2015-08-17,,,,,,
2015-08-18,,,,,,
2015-08-19,,,,,,
2015-08-20,,,,,,
2015-08-21,,,,,,
2015-08-24,,,,,,
2015-08-25,,,,,,
2015-08-26,,,,,,
2015-08-27,,,,,,
2015-08-28,,,,,,
2015-08-31,11.6582,11.6582,11.6582,11.6582,10.800474,0.0
2015-09-01,,,,,,
2015-09-02,,,,,,
2015-09-03,,,,,,
2015-09-04,,,,,,
2015-09-07,11.6,11.6,11.6,11.6,10.746558,193500.0
2015-09-08,11.6,11.8,11.6,11.7,10.839199,454000.0
2015-09-09,11.9,11.9,11.7,11.7,10.839199,239800.0
2015-09-10,11.7,11.8,11.7,11.8,10.931843,294500.0
2015-09-11,11.9,11.9,11.8,11.8,10.931843,774800.0
2015-09-14,11.9,11.9,11.8,11.9,11.024484,408100.0
2015-09-15,11.8,11.9,11.8,11.8,10.931843,68100.0
2015-09-16,11.9,11.9,11.8,11.8,10.931843,76700.0
2015-09-17,11.8,11.9,11.8,11.9,11.024484,499200.0
2015-09-18,11.8,11.9,11.8,11.8,10.931843,572600.0
2015-09-21,11.8,11.9,11.8,11.8,10.931843,114100.0
2015-09-22,11.9,11.9,11.7,11.7,10.839199,18000.0
2015-09-23,11.7,11.8,11.7,11.8,10.931843,66800.0
2015-09-24,11.8,11.9,11.8,11.9,11.024484,97100.0
2015-09-25,11.9,11.9,11.8,11.9,11.024484,125000.0
2015-09-28,11.8,12.0,11.8,11.9,11.024484,445300.0
2015-09-29,11.9,12.0,11.9,12.0,11.117127,424300.0
2015-09-30,11.7498,11.7498,11.7498,11.7498,10.885335,0.0
2015-10-01,12.1,12.4,12.1,12.3,11.395056,475700.0
2015-10-02,12.4,12.5,12.4,12.4,11.487699,389800.0
2015-10-05,12.3,12.5,12.3,12.4,11.487699,465700.0
2015-10-06,12.4,12.4,12.4,12.4,11.487699,194600.0
2015-10-07,12.4,12.6,12.4,12.5,11.58034,562900.0
2015-10-08,12.6,12.7,12.5,12.6,11.672983,335000.0
2015-10-09,12.6,12.7,12.6,12.7,11.765627,290100.0
2015-10-12,12.7,12.7,12.5,12.7,11.765627,216100.0
2015-10-13,12.6,12.9,12.6,12.8,11.858269,654400.0
2015-10-14,12.7,13.1,12.7,13.0,12.043555,840700.0
2015-10-15,13.0,13.1,12.6,12.7,11.765627,771100.0
2015-10-16,12.6,12.8,12.6,12.8,11.858269,534300.0
2015-10-19,12.7,13.0,12.7,13.0,12.043555,948900.0
2015-10-20,13.0,13.0,12.8,12.8,11.858269,288300.0
2015-10-21,12.8,13.2,12.8,13.2,12.22884,2849300.0
2015-10-22,13.3,13.3,13.1,13.3,12.321484,2195000.0
2015-10-26,13.3,13.4,13.2,13.4,12.414125,629600.0
2015-10-27,13.5,13.5,13.2,13.2,12.22884,178900.0
2015-10-28,13.3,13.3,13.1,13.2,12.22884,173100.0
2015-10-29,13.2,13.5,13.1,13.4,12.414125,950400.0
2015-10-30,13.4,13.5,13.2,13.4,12.414125,344900.0
2015-11-02,11.8321,13.5,11.8321,13.4,12.414125,1341400.0
2015-11-03,13.4,13.4,13.3,13.4,12.414125,250900.0
2015-11-04,13.4,13.5,13.4,13.5,12.506768,316600.0
2015-11-05,13.2,13.3,13.1,13.1,12.333534,388600.0
2015-11-06,13.1,13.1,13.0,13.1,12.333534,204200.0
2015-11-09,13.0,13.1,12.8,12.8,12.051085,607900.0
2015-11-10,12.7,13.1,12.7,13.1,12.333534,419000.0
2015-11-11,13.1,13.2,13.0,13.2,12.427684,253500.0
2015-11-12,13.2,13.2,13.0,13.2,12.427684,166700.0
2015-11-13,13.2,13.2,13.0,13.2,12.427684,131000.0
2015-11-16,13.0,13.2,13.0,13.2,12.427684,168500.0
2015-11-17,13.2,13.2,13.2,13.2,12.427684,213700.0
2015-11-18,13.1,13.3,13.1,13.2,12.427684,469600.0
2015-11-19,13.2,13.2,13.1,13.2,12.427684,384200.0
2015-11-20,13.2,13.3,13.2,13.3,12.521832,175200.0
2015-11-23,13.2,13.3,13.2,13.2,12.427684,247800.0
2015-11-24,13.3,13.3,13.1,13.2,12.427684,445600.0
2015-11-25,13.2,13.2,13.1,13.2,12.427684,408200.0
2015-11-26,13.2,13.2,13.1,13.1,12.333534,95400.0
2015-11-27,13.1,13.2,13.1,13.1,12.333534,113400.0
2015-11-30,11.6965,11.6965,11.6965,11.6965,11.012152,0.0
2015-12-01,13.1,13.1,13.0,13.1,12.333534,306200.0
2015-12-02,13.1,13.3,13.1,13.3,12.521832,435200.0
2015-12-03,13.3,13.4,13.2,13.3,12.521832,159700.0
2015-12-04,13.3,13.4,13.3,13.3,12.521832,241200.0
2015-12-08,13.3,13.3,13.1,13.1,12.333534,169500.0
2015-12-09,13.2,13.2,13.0,13.0,12.239386,591700.0
2015-12-11,13.0,13.1,13.0,13.0,12.239386,136200.0
2015-12-14,13.0,13.0,12.5,12.5,11.768639,867300.0
2015-12-15,12.5,12.9,12.5,12.8,12.051085,315900.0
2015-12-16,12.9,12.9,12.8,12.9,12.145234,250000.0
2015-12-17,12.9,12.9,12.6,12.7,11.956938,592400.0
2015-12-18,12.7,12.7,12.5,12.6,11.862788,269200.0
2015-12-21,12.7,12.8,12.6,12.7,11.956938,125400.0
2015-12-22,12.6,13.0,12.6,12.9,12.145234,194900.0
2015-12-23,12.9,13.0,12.8,13.0,12.239386,251100.0
2015-12-24,13.0,13.0,12.9,12.9,12.145234,281400.0
2015-12-25,12.9,12.9,12.9,12.9,12.145234,0.0
2015-12-28,13.1,13.1,12.8,12.9,12.145234,399000.0
2015-12-29,12.8,13.0,12.8,13.0,12.239386,31100.0
2015-12-30,13.0,13.1,13.0,13.0,12.239386,196500.0
2016-01-04,11.8079,13.2,11.8079,13.1,12.333534,90400.0
2016-01-05,13.1,13.1,13.1,13.1,12.333534,85900.0
2016-01-06,13.0,13.2,12.9,13.2,12.427684,1347000.0
2016-01-07,13.1,13.2,13.0,13.2,12.427684,365700.0
2016-01-08,13.0,13.2,12.9,13.2,12.427684,814900.0
2016-01-11,13.1,13.3,13.1,13.3,12.521832,551100.0
2016-01-12,13.3,13.4,13.1,13.4,12.61598,734800.0
2016-01-13,13.3,13.4,13.3,13.4,12.61598,432800.0
2016-01-14,13.4,13.4,13.3,13.3,12.521832,55600.0
2016-01-15,13.4,13.4,13.3,13.4,12.61598,101400.0
2016-01-18,13.4,13.4,13.3,13.4,12.61598,23700.0
2016-01-19,13.4,13.5,13.3,13.5,12.710131,317400.0
2016-01-20,13.4,13.4,13.3,13.3,12.521832,139900.0
2016-01-21,13.4,13.4,13.2,13.2,12.427684,323600.0
2016-01-22,13.3,13.4,13.3,13.4,12.61598,450000.0
2016-01-25,13.4,13.4,13.3,13.4,12.61598,232500.0
2016-01-26,13.4,13.4,13.2,13.3,12.521832,272600.0
2016-01-27,13.3,13.3,13.2,13.3,12.521832,442800.0
2016-01-28,13.3,13.3,13.2,13.3,12.521832,648900.0
2016-01-29,13.3,13.4,13.2,13.4,12.61598,558600.0
2016-02-01,11.8906,13.5,11.8906,13.4,12.61598,264400.0
2016-02-02,13.5,13.6,13.5,13.6,12.80428,753900.0
2016-02-03,13.6,13.8,13.5,13.6,12.80428,601900.0
2016-02-04,13.8,13.9,13.7,13.8,12.992578,1494400.0
2016-02-05,13.5,13.7,13.5,13.6,13.021301,908600.0
2016-02-08,13.6,13.7,13.6,13.7,13.117044,474600.0
2016-02-09,13.7,13.7,13.6,13.7,13.117044,817300.0
2016-02-10,13.6,13.8,13.6,13.7,13.117044,268200.0
2016-02-11,13.7,13.7,13.6,13.7,13.117044,381200.0
2016-02-12,13.7,13.7,13.5,13.7,13.117044,148500.0
2016-02-15,13.7,13.7,13.6,13.7,13.117044,193900.0
2016-02-16,13.7,13.7,13.5,13.6,13.021301,543100.0
2016-02-17,13.6,13.6,13.5,13.5,12.925556,1800700.0
2016-02-18,13.5,13.5,13.5,13.5,12.925556,780100.0
2016-02-19,13.5,13.6,13.5,13.6,13.021301,34600.0
2016-02-23,13.6,13.6,13.5,13.6,13.021301,136500.0
2016-02-24,13.6,13.7,13.6,13.6,13.021301,600100.0
2016-02-25,13.6,13.7,13.6,13.6,13.021301,575700.0
2016-02-26,13.6,13.7,13.6,13.7,13.117044,149000.0
2016-02-29,11.744,11.744,11.744,11.744,11.244277,0.0
2016-03-01,13.6,13.9,13.6,13.7,13.117044,314200.0
2016-03-02,13.8,14.1,13.8,14.0,13.40428,480600.0
2016-03-03,14.1,14.3,14.0,14.2,13.59577,591300.0
2016-03-04,14.3,14.3,14.2,14.3,13.691514,252000.0
2016-03-07,14.3,14.6,14.3,14.5,13.883005,468000.0
2016-03-08,14.5,14.7,14.5,14.6,13.978749,588300.0
2016-03-09,14.6,14.9,14.5,14.9,14.265983,821700.0
2016-03-10,15.0,15.0,14.8,14.9,14.265983,415000.0
2016-03-11,14.9,15.0,14.7,14.9,14.265983,1075000.0
2016-03-14,14.9,15.1,14.8,15.0,14.361729,668600.0
2016-03-15,15.1,15.1,15.0,15.0,14.361729,279000.0
2016-03-16,15.0,15.1,14.9,15.1,14.457475,628900.0
2016-03-17,15.1,15.2,14.9,14.9,14.265983,569200.0
2016-03-18,15.0,15.1,14.9,15.0,14.361729,419500.0
2016-03-21,14.9,15.1,14.9,15.0,14.361729,296500.0
2016-03-22,15.1,15.2,15.1,15.1,14.457475,375100.0
2016-03-23,15.2,15.4,15.2,15.3,14.648963,413200.0
2016-03-24,15.3,15.4,15.3,15.4,14.744708,124200.0
2016-03-25,15.4,15.4,15.3,15.4,14.744708,145100.0
2016-03-28,15.4,15.4,15.3,15.4,14.744708,144600.0
2016-03-29,15.4,15.5,15.3,15.3,14.648963,487600.0
2016-03-30,15.4,15.4,15.4,15.4,14.744708,1804200.0
2016-03-31,11.5566,11.5566,11.5566,11.5566,11.06485,0.0
2016-04-01,15.6,15.7,15.6,15.7,15.031943,442500.0
2016-04-04,15.7,15.9,15.7,15.9,15.223432,495900.0
2016-04-05,15.9,16.0,15.9,15.9,15.223432,203900.0
2016-04-07,15.9,16.200001,15.9,16.200001,15.510668,438300.0
2016-04-08,16.200001,16.9,16.200001,16.9,16.180882,2806000.0
2016-04-11,16.6,17.200001,16.6,17.200001,16.468115,1496400.0
2016-04-12,17.200001,17.5,17.200001,17.4,16.659605,1110300.0
2016-04-18,17.4,17.5,17.200001,17.299999,16.56386,838000.0
2016-04-19,17.299999,17.299999,16.299999,17.0,16.276627,1013300.0
2016-04-20,17.0,17.200001,17.0,17.1,16.372372,681200.0
2016-04-21,17.0,17.299999,17.0,17.200001,16.468115,494700.0
2016-04-22,17.1,17.4,17.1,17.4,16.659605,663300.0
