Date,Open,High,Low,Close,Adj Close,Volume
2015-06-30,10.319,10.319,10.319,10.319,10.319,0.0
2015-07-02,,,,,,
2015-07-03,,,,,,
2015-07-06,,,,,,
2015-07-07,,,,,,
2015-07-08,,,,,,
2015-07-09,,,,,,
2015-07-10,,,,,,
2015-07-13,,,,,,
2015-07-14,,,,,,
2015-07-15,,,,,,
2015-07-16,,,,,,
2015-07-17,,,,,,
2015-07-20,,,,,,
2015-07-21,,,,,,
2015-07-22,,,,,,
2015-07-23,,,,,,
2015-07-24,,,,,,
2015-07-27,,,,,,
2015-07-28,,,,,,
2015-07-29,,,,,,
2015-07-31,10.3652,10.3652,10.3652,10.3652,10.3652,0.0
2015-08-03,,,,,,
2015-08-04,,,,,,
2015-08-05,,,,,,
2015-08-06,,,,,,
2015-08-07,,,,,,
2015-08-10,,,,,,
2015-08-11,,,,,,
2015-08-13,,,,,,
2015-08-14,,,,,,
2015-08-17,,,,,,
2015-08-18,,,,,,
2015-08-19,,,,,,
2015-08-20,,,,,,
2015-08-21,,,,,,
2015-08-24,,,,,,
2015-08-25,,,,,,
2015-08-26,,,,,,
2015-08-27,,,,,,
2015-08-28,,,,,,
2015-08-31,10.2254,10.2254,10.2254,10.2254,10.2254,0.0
2015-09-01,,,,,,
2015-09-02,,,,,,
2015-09-03,,,,,,
2015-09-04,,,,,,
2015-09-07,,,,,,
2015-09-08,,,,,,
2015-09-09,,,,,,
2015-09-10,,,,,,
2015-09-11,,,,,,
2015-09-14,10.1,10.1,10.0,10.0,10.0,1197500.0
2015-09-15,10.0,10.0,9.95,9.95,9.95,912800.0
2015-09-16,10.0,10.0,9.95,9.95,9.95,797000.0
2015-09-17,10.0,10.1,10.0,10.0,10.0,895800.0
2015-09-18,10.0,10.1,10.0,10.0,10.0,564800.0
2015-09-21,10.1,10.1,10.0,10.0,10.0,463700.0
2015-09-22,10.1,10.1,10.0,10.0,10.0,170500.0
2015-09-23,10.1,10.1,10.1,10.1,10.1,863500.0
2015-09-24,,,,,,
2015-09-25,10.1,10.2,10.1,10.1,10.1,339100.0
2015-09-28,10.1,10.2,10.0,10.0,10.0,295600.0
2015-09-29,10.1,10.1,10.0,10.1,10.1,72000.0
2015-09-30,10.2948,10.2948,10.2948,10.2948,10.2948,0.0
2015-10-01,10.1,10.3,10.1,10.3,10.3,1178000.0
2015-10-02,10.3,10.3,10.2,10.3,10.3,688300.0
2015-10-05,10.3,10.3,10.2,10.3,10.3,833100.0
2015-10-06,10.3,10.4,10.2,10.3,10.3,1088400.0
2015-10-07,10.3,10.4,10.2,10.4,10.4,3344600.0
2015-10-08,10.4,10.4,10.4,10.4,10.4,1664200.0
2015-10-09,10.4,10.4,10.4,10.4,10.4,1007000.0
2015-10-12,10.3,10.4,10.3,10.4,10.4,1719700.0
2015-10-13,10.3,10.5,10.3,10.5,10.5,2401100.0
2015-10-14,10.5,10.5,10.4,10.5,10.5,1772100.0
2015-10-15,10.4,10.5,10.3,10.4,10.4,815100.0
2015-10-16,10.3,10.4,10.3,10.4,10.4,857600.0
2015-10-19,10.3,10.4,10.3,10.4,10.4,1515200.0
2015-10-20,10.4,10.4,10.4,10.4,10.4,572800.0
2015-10-21,10.4,10.5,10.3,10.4,10.4,1989200.0
2015-10-22,10.3,10.5,10.3,10.4,10.4,2215200.0
2015-10-26,10.4,10.6,10.4,10.5,10.5,2949300.0
2015-10-27,10.6,10.6,10.5,10.5,10.5,1901300.0
2015-10-28,10.5,10.5,10.4,10.5,10.5,1383600.0
2015-10-29,10.5,10.5,10.4,10.5,10.5,1850600.0
2015-10-30,10.4,10.5,10.4,10.4,10.4,1323400.0
2015-11-02,10.3633,10.6,10.3633,10.6,10.6,2161400.0
2015-11-03,10.5,10.6,10.4,10.6,10.6,3231900.0
2015-11-04,10.5,10.6,10.5,10.6,10.6,856600.0
2015-11-05,10.5,10.6,10.5,10.6,10.6,2533300.0
2015-11-06,10.6,10.6,10.6,10.6,10.6,793300.0
2015-11-09,10.6,10.6,10.5,10.5,10.5,2085000.0
2015-11-10,10.5,10.6,10.4,10.6,10.6,3117700.0
2015-11-11,10.7,10.7,10.6,10.6,10.6,1694100.0
2015-11-12,10.6,10.7,10.6,10.7,10.7,894400.0
2015-11-13,10.6,10.7,10.6,10.7,10.7,487700.0
2015-11-16,10.6,10.7,10.6,10.7,10.7,680600.0
2015-11-17,10.6,10.7,10.6,10.7,10.7,780000.0
2015-11-18,10.7,10.8,10.7,10.8,10.8,1771700.0
2015-11-19,10.8,10.8,10.7,10.7,10.7,945200.0
2015-11-20,10.7,10.7,10.6,10.7,10.7,777900.0
2015-11-23,10.7,10.8,10.7,10.7,10.7,410500.0
2015-11-24,10.8,10.8,10.6,10.6,10.6,3103300.0
2015-11-25,10.5,10.7,10.5,10.7,10.7,186000.0
2015-11-26,10.6,10.7,10.6,10.7,10.7,304400.0
2015-11-27,10.6,10.6,10.6,10.6,10.6,148200.0
2015-11-30,10.2433,10.2433,10.2433,10.2433,10.2433,0.0
2015-12-01,10.6,10.7,10.6,10.7,10.7,129700.0
2015-12-02,,,,,,
2015-12-03,10.9,10.9,10.6,10.7,10.7,260300.0
2015-12-04,10.7,10.8,10.7,10.7,10.7,416600.0
2015-12-08,10.6,10.8,10.6,10.7,10.7,343500.0
2015-12-09,10.6,10.8,10.6,10.7,10.7,614500.0
