Date,Open,High,Low,Close,Adj Close,Volume
2004-04-08,11.0,11.2,9.9,10.0,2.007056,1422944.0
2004-04-09,10.0,11.2,9.9,11.0,2.207762,96551104.0
2004-04-12,11.1,11.8,11.0,11.4,2.288044,90136704.0
2004-04-13,,,,,,
2004-04-14,,,,,,
2004-04-15,,,,,,
2004-04-16,11.6,11.8,11.2,11.3,2.267973,46683400.0
2004-04-19,11.3,12.0,11.3,11.6,2.328185,82971600.0
2004-04-20,11.7,11.7,11.4,11.7,2.348256,38186300.0
2004-04-21,11.7,12.0,11.5,11.9,2.388397,57510000.0
2004-04-22,12.0,12.1,11.0,11.1,2.227833,85844496.0
2004-04-23,11.3,11.3,10.7,10.8,2.167621,29187900.0
2004-04-26,10.7,11.0,10.6,10.7,2.14755,18090800.0
2004-04-27,10.8,11.2,10.7,11.1,2.227833,27527600.0
2004-04-28,10.9,11.2,10.8,10.9,2.187691,38609700.0
2004-04-29,10.8,10.9,10.4,10.4,2.087338,16712900.0
2004-04-30,10.4,10.6,10.1,10.2,2.047197,17799400.0
2004-05-03,,,,,,
2004-05-04,10.4,10.4,10.1,10.2,2.047197,9068800.0
2004-05-05,,,,,,
2004-05-06,10.3,10.4,9.85,9.85,1.97695,8276100.0
2004-05-07,9.9,9.9,9.1,9.6,1.926774,19850900.0
2004-05-10,9.3,9.35,8.9,8.9,1.786279,12252100.0
2004-05-11,9.0,9.35,8.9,9.15,1.836456,17115900.0
2004-05-12,9.3,9.6,9.3,9.4,1.886633,22279500.0
2004-05-13,9.5,9.65,9.05,9.05,1.816385,15014000.0
2004-05-14,9.15,9.15,9.0,9.1,1.826421,4291900.0
2004-05-17,8.95,9.0,8.55,8.55,1.716033,6385100.0
2004-05-18,8.75,8.85,8.5,8.7,1.746139,5372600.0
2004-05-19,8.9,9.45,8.85,9.4,1.886633,11371900.0
2004-05-20,9.25,9.3,8.85,8.9,1.786279,8124800.0
2004-05-21,9.05,9.75,9.0,9.6,1.926774,19758000.0
2004-05-24,9.7,10.1,9.5,9.6,1.926774,28017800.0
2004-05-25,9.45,9.5,9.15,9.2,1.846492,7009600.0
2004-05-26,9.5,9.6,9.15,9.25,1.856526,8860000.0
2004-05-27,9.35,9.6,9.35,9.55,1.916739,11679500.0
2004-05-28,9.7,9.85,9.4,9.4,1.886633,18402500.0
2004-05-31,9.15,9.35,9.1,9.35,1.876598,5185800.0
