Date,Open,High,Low,Close,Adj Close,Volume
2000-01-05,5.5,5.75,5.5,5.75,2.802844,22000.0
2000-01-06,5.25,5.25,5.13,5.13,2.500624,3200.0
2000-01-07,,,,,,
2000-01-10,,,,,,
2000-01-11,5.88,7.13,5.88,7.13,3.475526,518400.0
2000-01-12,7.25,8.63,7.25,7.63,3.719252,1884000.0
2000-01-13,7.88,8.0,7.13,7.25,3.534021,653000.0
2000-01-14,7.5,8.25,7.25,7.75,3.777746,1374800.0
2000-01-17,8.0,8.0,7.5,7.63,3.719252,426400.0
2000-01-18,8.0,9.0,8.0,8.38,4.08484,2279600.0
2000-01-19,8.38,8.75,8.25,8.25,4.021472,893000.0
2000-01-20,8.5,8.63,8.25,8.25,4.021472,539400.0
2000-01-21,8.13,8.63,7.63,7.75,3.777746,256600.0
2000-01-24,7.88,8.13,7.75,7.75,3.777746,323600.0
2000-01-25,7.63,7.88,7.63,7.63,3.719252,178000.0
2000-01-26,7.75,7.75,7.25,7.25,3.534021,199000.0
2000-01-27,7.38,7.38,7.25,7.38,3.597389,200200.0
2000-01-28,7.5,8.0,7.5,7.63,3.719252,622600.0
2000-01-31,7.75,8.25,7.63,7.88,3.841115,524800.0
2000-02-01,8.0,8.25,7.63,7.63,3.719252,284800.0
2000-02-02,7.88,8.0,7.38,7.38,3.597389,256200.0
2000-02-03,7.5,7.63,7.25,7.38,3.597389,138200.0
2000-02-04,7.5,8.0,7.5,7.88,3.841115,320600.0
2000-02-07,8.0,8.5,7.75,8.38,4.08484,681200.0
2000-02-08,8.5,9.75,8.5,9.0,4.38706,3355400.0
2000-02-09,9.38,9.75,9.0,9.0,4.38706,2183600.0
2000-02-10,9.13,9.5,9.0,9.13,4.450428,388600.0
2000-02-11,9.38,11.5,9.38,11.13,5.42533,3620000.0
2000-02-14,11.25,11.63,9.88,9.88,4.816017,1598200.0
2000-02-15,10.0,10.38,8.5,8.5,4.143334,622400.0
2000-02-16,9.0,9.0,8.5,8.63,4.206703,288800.0
2000-02-17,9.0,9.0,7.75,7.88,3.841115,199800.0
2000-02-18,7.75,8.75,7.75,8.63,4.206703,565200.0
2000-02-21,,,,,,
2000-02-22,8.38,8.38,7.38,7.5,3.655883,322800.0
2000-02-23,7.63,8.38,7.63,8.0,3.899609,371800.0
2000-02-24,8.25,9.75,8.25,9.75,4.752647,1934000.0
2000-02-25,10.0,10.25,9.38,9.75,4.752647,1001400.0
2000-02-28,9.75,10.63,9.5,9.63,4.694154,1807600.0
2000-02-29,10.13,10.25,9.38,9.63,4.694154,871800.0
2000-03-01,10.0,10.88,9.63,10.75,5.240099,1561200.0
2000-03-02,10.88,11.0,10.25,10.75,5.240099,1466600.0
2000-03-03,11.13,11.38,10.13,10.13,4.93788,1527600.0
2000-03-06,10.38,10.38,9.75,9.88,4.816017,691600.0
2000-03-07,10.0,10.25,9.75,9.88,4.816017,477400.0
2000-03-08,9.75,10.5,9.75,10.38,5.059741,1211200.0
2000-03-09,10.63,11.75,10.38,11.75,5.727551,2253800.0
2000-03-10,12.0,13.88,12.0,12.88,6.278369,5732000.0
2000-03-13,12.5,13.38,12.5,12.63,6.156507,1869200.0
2000-03-14,12.63,13.25,12.63,12.75,6.215003,926600.0
2000-03-15,13.0,13.75,12.38,12.63,6.156507,2464600.0
2000-03-16,13.13,15.63,12.88,15.0,7.311767,5561200.0
2000-03-17,16.0,17.129999,15.88,16.5,8.042943,4396400.0
2000-03-20,16.5,18.25,15.88,17.629999,8.593762,1238400.0
2000-03-21,17.629999,18.379999,16.25,16.379999,7.984448,779000.0
2000-03-22,16.879999,17.25,16.129999,16.5,8.042943,615400.0
2000-03-23,16.879999,18.25,16.75,17.5,8.530396,1679600.0
2000-03-24,17.75,18.0,16.629999,16.75,8.164805,673400.0
2000-03-27,17.0,17.129999,16.379999,16.379999,7.984448,324600.0
2000-03-28,16.5,16.629999,15.88,16.0,7.799218,184400.0
2000-03-29,16.129999,16.379999,15.38,15.63,7.61886,222800.0
2000-03-30,16.0,16.75,14.5,14.88,7.253273,622800.0
2000-03-31,14.88,14.88,13.63,13.63,6.643958,531400.0
2000-04-03,13.63,14.25,13.5,13.63,6.643958,579600.0
2000-04-04,13.63,13.63,12.75,13.25,6.458727,139600.0
2000-04-05,13.13,13.5,12.25,12.5,6.093139,372800.0
2000-04-06,,,,,,
2000-04-07,13.0,13.5,12.75,13.13,6.400233,380800.0
2000-04-10,13.5,14.38,13.5,13.88,6.765821,760800.0
2000-04-11,13.5,13.88,13.13,13.13,6.400233,311400.0
2000-04-12,13.25,13.63,13.25,13.63,6.643958,206600.0
2000-04-13,,,,,,
2000-04-14,,,,,,
2000-04-17,11.38,12.63,11.38,12.13,5.912782,116000.0
2000-04-18,12.88,12.88,11.38,11.38,5.547194,89000.0
2000-04-19,11.63,11.88,11.5,11.5,5.605688,71400.0
2000-04-20,11.63,12.25,11.5,11.5,5.605688,80400.0
2000-04-21,11.88,12.13,11.75,12.0,5.849413,140200.0
2000-04-24,12.13,12.13,11.75,11.75,5.727551,17400.0
2000-04-25,12.0,12.63,12.0,12.13,5.912782,212200.0
2000-04-26,12.38,12.63,12.13,12.13,5.912782,165200.0
2000-04-27,12.25,12.63,12.25,12.5,6.093139,135600.0
2000-04-28,12.63,13.38,12.63,13.0,6.336864,655600.0
2000-05-01,,,,,,
2000-05-02,13.25,13.25,12.38,12.38,6.034645,171400.0
2000-05-03,12.25,12.25,11.75,11.75,5.727551,35000.0
2000-05-04,12.0,12.13,11.75,11.75,5.727551,45000.0
2000-05-05,,,,,,
2000-05-08,11.88,11.88,11.13,11.13,5.42533,8600.0
2000-05-09,11.13,11.5,10.5,10.63,5.181605,169200.0
