Date,Open,High,Low,Close,Adj Close,Volume
2017-04-03,8.5,9.15,8.5,8.7,8.573455,199575300
2017-04-04,8.85,9.0,8.45,8.45,8.327091,35832100
2017-04-05,8.5,8.75,8.5,8.5,8.376364,16711300
2017-04-07,8.5,8.75,8.5,8.7,8.573455,14023400
2017-04-10,8.7,8.85,8.45,8.5,8.376364,15599500
2017-04-11,8.55,8.65,8.5,8.55,8.425636,3428800
2017-04-12,8.5,8.55,8.4,8.4,8.277818,4595900
2017-04-17,8.4,8.4,8.1,8.1,7.982183,866600
2017-04-18,8.15,8.15,7.85,7.85,7.735818,1558700
2017-04-19,7.85,7.85,7.65,7.7,7.588,1221700
2017-04-20,7.7,8.55,7.7,8.5,8.376364,4509500
2017-04-21,8.5,8.55,8.4,8.45,8.327091,1715900
2017-04-24,8.25,8.45,8.25,8.4,8.277818,508200
2017-04-25,8.45,8.55,8.35,8.5,8.376364,1310300
2017-04-26,8.5,8.8,8.45,8.75,8.622727,2567100
2017-04-27,8.7,8.7,8.6,8.65,8.524181,602700
2017-04-28,8.7,8.7,8.55,8.6,8.47491,264200
2017-05-02,8.6,8.8,8.6,8.75,8.622727,1947900
2017-05-03,8.75,8.9,8.7,8.85,8.721273,2522700
2017-05-04,8.8,8.9,8.75,8.9,8.770545,1366800
2017-05-08,8.85,9.1,8.75,9.05,8.918364,5369500
2017-05-09,9.05,9.05,8.8,8.85,8.721273,2586700
2017-05-11,8.85,8.85,8.7,8.75,8.622727,1244300
2017-05-12,8.75,8.75,8.5,8.75,8.622727,479000
2017-05-15,8.6,8.6,8.6,8.6,8.47491,15500
2017-05-16,8.6,8.75,8.6,8.7,8.573455,207200
2017-05-17,8.7,8.8,8.65,8.75,8.622727,729700
2017-05-18,8.75,9.0,8.7,8.95,8.819818,1214000
2017-05-19,8.95,9.0,8.8,8.8,8.672,376400
2017-05-22,8.9,8.9,8.7,8.8,8.672,370100
