Date,Open,High,Low,Close,Adj Close,Volume
2015-06-30,12.3853,12.3853,12.3853,12.3853,12.3853,0.0
2015-07-02,,,,,,
2015-07-03,,,,,,
2015-07-06,,,,,,
2015-07-07,,,,,,
2015-07-08,,,,,,
2015-07-09,,,,,,
2015-07-10,,,,,,
2015-07-13,,,,,,
2015-07-14,,,,,,
2015-07-15,,,,,,
2015-07-16,,,,,,
2015-07-17,,,,,,
2015-07-20,,,,,,
2015-07-21,,,,,,
2015-07-22,,,,,,
2015-07-23,,,,,,
2015-07-24,,,,,,
2015-07-27,,,,,,
2015-07-28,,,,,,
2015-07-29,,,,,,
2015-07-31,12.4404,12.4404,12.4404,12.4404,12.4404,0.0
2015-08-03,,,,,,
2015-08-04,,,,,,
2015-08-05,,,,,,
2015-08-06,,,,,,
2015-08-07,,,,,,
2015-08-10,,,,,,
2015-08-11,,,,,,
2015-08-13,,,,,,
2015-08-14,,,,,,
2015-08-17,,,,,,
2015-08-18,,,,,,
2015-08-19,,,,,,
2015-08-20,,,,,,
2015-08-21,,,,,,
2015-08-24,,,,,,
2015-08-25,,,,,,
2015-08-26,,,,,,
2015-08-27,,,,,,
2015-08-28,,,,,,
2015-08-31,12.2889,12.2889,12.2889,12.2889,12.2889,0.0
2015-09-01,,,,,,
2015-09-02,,,,,,
2015-09-03,,,,,,
2015-09-04,,,,,,
2015-09-07,,,,,,
2015-09-08,,,,,,
2015-09-09,,,,,,
2015-09-10,,,,,,
2015-09-11,,,,,,
2015-09-14,,,,,,
2015-09-15,,,,,,
2015-09-16,,,,,,
2015-09-17,,,,,,
2015-09-18,,,,,,
2015-09-21,,,,,,
2015-09-22,,,,,,
2015-09-23,,,,,,
2015-09-24,,,,,,
2015-09-25,,,,,,
2015-09-28,,,,,,
2015-09-29,,,,,,
2015-09-30,12.3643,12.3643,12.3643,12.3643,12.3643,0.0
2015-10-01,,,,,,
2015-10-02,,,,,,
2015-10-05,,,,,,
2015-10-06,12.8,12.8,12.6,12.7,12.7,3828100.0
2015-10-07,12.7,12.7,12.6,12.6,12.6,11614400.0
2015-10-08,12.7,12.7,12.6,12.6,12.6,6407300.0
2015-10-09,12.7,12.7,12.5,12.7,12.7,4622300.0
2015-10-12,12.6,12.7,12.3,12.4,12.4,32124400.0
2015-10-13,12.4,12.4,12.1,12.2,12.2,26350500.0
2015-10-14,12.2,12.3,12.1,12.3,12.3,3181900.0
2015-10-15,12.3,12.4,12.2,12.3,12.3,4726000.0
2015-10-16,12.3,12.4,12.2,12.4,12.4,6531700.0
2015-10-19,12.4,12.4,12.3,12.3,12.3,1186400.0
2015-10-20,12.3,12.4,12.3,12.3,12.3,4842800.0
2015-10-21,12.4,12.5,12.3,12.3,12.3,9399000.0
2015-10-22,12.4,12.4,12.2,12.3,12.3,7444600.0
2015-10-26,12.4,12.4,12.3,12.3,12.3,3676700.0
2015-10-27,12.4,12.5,12.4,12.5,12.5,10977600.0
2015-10-28,12.5,12.5,12.2,12.3,12.3,12708100.0
2015-10-29,,,,,,
2015-10-30,12.4,12.6,12.4,12.6,12.6,7871700.0
2015-11-02,12.4258,12.6,12.4,12.6,12.6,21660800.0
2015-11-03,12.6,12.7,12.5,12.6,12.6,3475100.0
2015-11-04,12.4,12.5,12.3,12.5,12.5,3127200.0
2015-11-05,12.4,12.5,12.3,12.3,12.3,4055700.0
2015-11-06,12.4,12.4,12.3,12.3,12.3,409300.0
2015-11-09,12.3,12.4,12.3,12.3,12.3,2682400.0
2015-11-10,12.3,12.4,12.3,12.4,12.4,3199800.0
2015-11-11,12.3,12.4,12.3,12.3,12.3,451400.0
2015-11-12,12.3,12.4,12.3,12.4,12.4,6984500.0
2015-11-13,12.3,12.4,12.3,12.3,12.3,2398000.0
2015-11-16,12.3,12.4,12.3,12.4,12.4,2522700.0
2015-11-17,12.4,12.5,12.3,12.5,12.5,6322600.0
2015-11-18,12.4,12.5,12.3,12.4,12.4,2014700.0
2015-11-19,12.4,12.5,12.4,12.4,12.4,2205700.0
2015-11-20,12.4,12.5,12.3,12.3,12.3,4102000.0
2015-11-23,12.5,12.5,12.4,12.4,12.4,815100.0
2015-11-24,12.4,12.5,12.4,12.5,12.5,3326700.0
2015-11-25,12.5,12.5,12.4,12.5,12.5,389000.0
2015-11-26,12.5,12.5,12.4,12.4,12.4,7775300.0
2015-11-27,12.5,12.5,12.4,12.5,12.5,3132400.0
2015-11-30,12.2578,12.2578,12.2578,12.2578,12.2578,0.0
2015-12-01,12.4,12.5,12.4,12.4,12.4,5372700.0
2015-12-02,,,,,,
2015-12-03,12.5,12.5,12.4,12.4,12.4,4766600.0
2015-12-04,12.4,12.5,12.4,12.5,12.5,2011300.0
2015-12-08,12.5,12.5,12.4,12.5,12.5,5975400.0
2015-12-09,12.4,12.5,12.3,12.3,12.3,26535100.0
2015-12-11,12.4,12.5,12.3,12.3,12.3,4054500.0
2015-12-14,12.3,12.4,12.3,12.3,12.3,2406400.0
2015-12-15,12.4,12.5,12.3,12.4,12.4,2011700.0
2015-12-16,12.4,12.5,12.3,12.4,12.4,636700.0
2015-12-17,12.4,12.5,12.3,12.4,12.4,7213900.0
2015-12-18,12.3,12.5,12.3,12.4,12.4,2651500.0
2015-12-21,12.7,13.0,12.5,12.9,12.9,35988000.0
2015-12-22,12.9,13.0,12.4,12.4,12.4,12155500.0
2015-12-23,12.4,12.6,12.4,12.4,12.4,5253000.0
2015-12-24,12.4,12.6,12.4,12.4,12.4,8431500.0
2015-12-25,,,,,,
2015-12-28,12.4,12.5,12.1,12.2,12.2,19818300.0
2015-12-29,12.3,12.3,12.2,12.3,12.3,4919300.0
2015-12-30,,,,,,
2016-01-04,12.3241,12.4,12.1,12.2,12.2,5429300.0
2016-01-05,12.2,12.3,12.2,12.2,12.2,2539200.0
2016-01-06,12.2,12.4,12.2,12.3,12.3,7313400.0
2016-01-07,12.3,12.5,12.2,12.3,12.3,5750000.0
2016-01-08,12.3,12.5,12.3,12.4,12.4,9470800.0
2016-01-11,12.4,12.4,12.2,12.3,12.3,5614900.0
2016-01-12,12.3,12.5,12.3,12.3,12.3,6335300.0
2016-01-13,12.3,12.4,12.2,12.4,12.4,10929100.0
2016-01-14,12.3,12.5,12.3,12.5,12.5,11514500.0
2016-01-15,12.4,12.5,12.4,12.5,12.5,6006600.0
2016-01-18,12.5,12.5,12.4,12.5,12.5,2149400.0
2016-01-19,12.5,12.6,12.5,12.6,12.6,17649000.0
2016-01-20,12.6,12.7,12.5,12.6,12.6,3979200.0
2016-01-21,12.6,12.6,12.4,12.5,12.5,7780700.0
2016-01-22,12.5,12.6,12.5,12.6,12.6,14182300.0
2016-01-25,12.6,12.7,12.3,12.5,12.5,19872400.0
2016-01-26,12.5,12.5,12.4,12.4,12.4,4927700.0
2016-01-27,12.5,12.7,12.5,12.6,12.6,13003300.0
2016-01-28,12.6,12.8,12.6,12.6,12.6,6771600.0
2016-01-29,12.7,12.8,12.6,12.7,12.7,5417900.0
2016-02-01,12.3861,12.9,12.3861,12.9,12.9,11019800.0
2016-02-02,12.8,12.9,12.7,12.8,12.8,20216300.0
2016-02-03,12.8,13.0,12.7,12.9,12.9,35594700.0
2016-02-04,12.6,12.6,12.5,12.6,12.6,13728100.0
2016-02-05,12.5,12.6,12.5,12.5,12.5,5990100.0
2016-02-08,12.5,12.7,12.5,12.6,12.6,5141200.0
2016-02-09,12.6,12.6,12.5,12.6,12.6,2686500.0
2016-02-10,12.6,12.6,12.5,12.5,12.5,6947200.0
2016-02-11,12.5,12.6,12.5,12.5,12.5,7702200.0
2016-02-12,12.5,12.6,12.5,12.5,12.5,5091500.0
2016-02-15,,,,,,
2016-02-16,,,,,,
2016-02-17,,,,,,
2016-02-18,12.6,12.7,12.6,12.6,12.6,8179500.0
2016-02-19,12.7,12.7,12.6,12.7,12.7,3391900.0
2016-02-23,12.6,12.9,12.6,12.9,12.9,7071700.0
2016-02-24,12.8,12.9,12.7,12.9,12.9,4977900.0
2016-02-25,12.9,13.1,12.9,13.0,13.0,8477600.0
2016-02-26,13.0,13.3,13.0,13.2,13.2,12109600.0
2016-02-29,12.224,12.224,12.224,12.224,12.224,0.0
2016-03-01,13.2,13.5,13.2,13.4,13.4,23387900.0
2016-03-02,13.4,13.5,13.3,13.5,13.5,23779800.0
2016-03-03,13.4,13.5,13.3,13.5,13.5,14082100.0
2016-03-04,13.4,13.6,13.3,13.5,13.5,17259400.0
2016-03-07,13.4,13.5,13.4,13.5,13.5,11603700.0
2016-03-08,13.4,13.5,13.4,13.4,13.4,3741100.0
2016-03-09,13.4,13.5,13.3,13.4,13.4,9608500.0
2016-03-10,13.4,13.5,13.4,13.5,13.5,8807100.0
2016-03-11,13.4,13.5,13.4,13.5,13.5,6920600.0
2016-03-14,13.5,13.5,13.4,13.4,13.4,4772300.0
2016-03-15,13.4,13.5,13.4,13.4,13.4,8999700.0
2016-03-16,13.5,13.5,13.4,13.5,13.5,8286800.0
2016-03-17,13.5,13.5,13.4,13.4,13.4,5505600.0
2016-03-18,13.4,13.8,13.4,13.6,13.6,20066500.0
2016-03-21,13.6,13.8,13.6,13.8,13.8,8159500.0
2016-03-22,13.8,14.5,13.8,14.5,14.5,42394400.0
2016-03-23,14.5,14.5,14.2,14.3,14.3,11220300.0
2016-03-24,,,,,,
2016-03-25,14.3,14.3,14.1,14.3,14.3,8526700.0
2016-03-28,14.3,14.3,14.2,14.3,14.3,7699300.0
2016-03-29,14.2,14.3,14.2,14.3,14.3,5638500.0
2016-03-30,14.3,14.3,14.2,14.3,14.3,4405400.0
2016-03-31,14.609,14.609,14.609,14.609,14.609,0.0
2016-04-01,14.2,14.3,14.2,14.2,14.2,8446200.0
2016-04-04,14.2,14.3,14.2,14.2,14.2,6455800.0
2016-04-05,14.3,14.4,14.2,14.4,14.4,7321700.0
2016-04-07,14.4,14.7,14.3,14.6,14.6,14776500.0
2016-04-08,14.5,14.8,14.5,14.7,14.7,14285800.0
2016-04-11,14.7,14.9,14.7,14.8,14.8,10182600.0
2016-04-12,14.7,14.8,14.7,14.8,14.8,9407600.0
2016-04-18,,,,,,
2016-04-19,14.8,14.9,14.7,14.9,14.9,6605200.0
2016-04-20,14.8,15.2,14.8,15.2,15.2,24920600.0
2016-04-21,15.2,15.4,15.1,15.2,15.2,19649800.0
2016-04-22,15.2,15.3,14.7,15.0,15.0,17206700.0
2016-04-25,14.9,14.9,14.7,14.7,14.7,12433700.0
2016-04-26,14.7,14.8,14.6,14.7,14.7,5001800.0
2016-04-27,14.8,14.9,14.7,14.8,14.8,10515300.0
2016-04-28,14.8,14.9,14.8,14.9,14.9,5962400.0
2016-04-29,15.0,15.2,14.9,15.0,15.0,12643900.0
2016-05-03,14.6913,14.9,14.6913,14.9,14.9,4645900.0
2016-05-04,14.8,14.9,14.6,14.7,14.7,5181300.0
2016-05-09,14.7,14.7,14.5,14.7,14.7,6800700.0
2016-05-10,14.7,14.7,14.6,14.6,14.6,1084700.0
2016-05-11,14.6,14.7,14.6,14.7,14.7,5646100.0
2016-05-12,14.6,14.8,14.6,14.8,14.8,4826000.0
2016-05-13,14.7,14.9,14.7,14.7,14.7,8705400.0
2016-05-16,14.7,14.7,14.5,14.7,14.7,6969100.0
2016-05-17,14.6,14.7,14.6,14.7,14.7,3183600.0
2016-05-18,14.6,14.7,14.5,14.7,14.7,8454900.0
2016-05-19,14.6,14.6,14.0,14.1,14.1,18578500.0
2016-05-23,14.1,14.1,13.7,14.0,14.0,15143300.0
2016-05-24,14.0,14.0,13.8,13.8,13.8,3419500.0
2016-05-25,13.8,14.3,13.8,14.3,14.3,7378600.0
2016-05-26,14.2,14.5,14.2,14.4,14.4,3804200.0
2016-05-27,14.5,14.5,14.3,14.3,14.3,3280800.0
2016-05-30,14.4,14.4,14.1,14.4,14.4,5315100.0
2016-05-31,14.5361,14.5361,14.5361,14.5361,14.5361,0.0
2016-06-01,14.2,14.3,14.1,14.3,14.3,4065600.0
2016-06-02,14.2,14.3,14.1,14.2,14.2,6031300.0
2016-06-03,,,,,,
2016-06-06,14.4,14.6,14.3,14.6,14.6,8585800.0
2016-06-07,14.6,14.7,14.5,14.6,14.6,5339900.0
2016-06-08,14.6,14.6,14.5,14.5,14.5,3910300.0
2016-06-09,14.5,14.6,14.5,14.6,14.6,3840400.0
2016-06-10,14.6,14.7,14.5,14.6,14.6,3351000.0
2016-06-13,14.5,14.6,14.4,14.6,14.6,5929200.0
2016-06-14,14.6,14.6,14.4,14.5,14.5,4039200.0
2016-06-15,14.4,14.5,14.3,14.5,14.5,7274100.0
2016-06-16,14.4,14.4,14.2,14.2,14.2,8656000.0
2016-06-17,14.3,14.3,14.1,14.3,14.3,8385800.0
2016-06-20,14.2,14.3,14.0,14.2,14.2,10444600.0
2016-06-21,14.1,14.3,14.1,14.2,14.2,10212900.0
2016-06-22,14.2,14.2,14.0,14.0,14.0,11683000.0
2016-06-23,14.0,14.3,13.9,14.1,14.1,10512100.0
2016-06-24,14.0,14.1,13.9,14.1,14.1,11352500.0
2016-06-27,14.2,14.6,14.2,14.5,14.5,8801400.0
2016-06-28,14.5,14.8,14.5,14.6,14.6,9391600.0
2016-06-29,14.7,14.8,14.6,14.8,14.8,3397900.0
2016-06-30,14.5958,14.5958,14.5958,14.5958,14.5958,0.0
2016-07-04,14.6,14.8,14.6,14.8,14.8,11012100.0
2016-07-05,14.8,14.9,14.6,14.8,14.8,7573900.0
2016-07-06,14.8,14.9,14.7,14.8,14.8,7725600.0
2016-07-07,14.9,15.0,14.8,14.9,14.9,7362800.0
2016-07-08,14.9,14.9,14.8,14.8,14.8,2141500.0
2016-07-11,14.8,15.0,14.8,15.0,15.0,6071100.0
2016-07-12,14.9,14.9,14.7,14.7,14.7,11077800.0
2016-07-13,14.8,14.8,14.6,14.7,14.7,5679200.0
2016-07-14,14.7,14.9,14.7,14.8,14.8,3455900.0
2016-07-15,14.8,15.0,14.8,14.9,14.9,3878600.0
2016-07-20,14.9,15.0,14.8,14.9,14.9,7398500.0
2016-07-21,14.9,15.0,14.8,14.9,14.9,4803700.0
2016-07-22,15.0,15.0,14.8,15.0,15.0,2892900.0
2016-07-25,,,,,,
2016-07-26,14.9,15.0,14.9,14.9,14.9,3108300.0
2016-07-27,14.9,15.1,14.9,15.0,15.0,13491500.0
2016-07-28,15.0,15.1,14.9,15.0,15.0,4545500.0
2016-07-29,15.1,15.3,15.0,15.3,15.3,12039600.0
2016-08-01,14.5179,15.3,14.5179,15.3,15.3,9315100.0
2016-08-02,15.3,15.3,15.0,15.0,15.0,12133300.0
2016-08-03,15.1,15.2,15.0,15.0,15.0,6228300.0
2016-08-04,14.9,15.0,14.8,14.9,14.9,6157500.0
2016-08-05,14.9,15.0,14.8,14.9,14.9,5540700.0
2016-08-08,14.9,15.0,14.8,14.9,14.9,2651800.0
2016-08-09,14.9,14.9,14.8,14.8,14.8,2686100.0
2016-08-10,14.8,14.9,14.8,14.8,14.8,6130900.0
2016-08-11,14.9,15.0,14.8,15.0,15.0,4269000.0
2016-08-15,14.9,15.0,14.9,15.0,15.0,1062100.0
2016-08-16,15.0,15.0,14.9,15.0,15.0,1766900.0
2016-08-17,14.9,15.0,14.8,14.8,14.8,6502700.0
2016-08-18,14.9,14.9,14.5,14.8,14.8,19807100.0
2016-08-19,14.8,14.9,14.5,14.7,14.7,20315500.0
2016-08-22,14.7,14.7,14.5,14.6,14.6,14256900.0
2016-08-23,14.6,14.7,14.5,14.6,14.6,6145900.0
2016-08-24,14.6,14.7,14.6,14.7,14.7,4931600.0
