Date,Open,High,Low,Close,Adj Close,Volume
2013-04-05,5.04,5.04,4.93,4.93,4.93,308100.0
2013-04-09,4.95,4.95,4.84,4.84,4.84,64900.0
2013-04-10,4.8,4.8,4.7,4.72,4.72,23400.0
2013-04-11,4.73,4.81,4.73,4.81,4.81,128000.0
2013-04-12,4.81,4.81,4.8,4.81,4.81,10100.0
2013-04-17,4.85,4.92,4.81,4.88,4.88,94500.0
2013-04-18,4.86,4.86,4.84,4.85,4.85,19100.0
2013-04-19,4.85,4.9,4.84,4.9,4.9,147400.0
2013-04-22,4.91,4.91,4.84,4.86,4.86,69200.0
2013-04-23,4.86,4.86,4.71,4.71,4.71,117300.0
2013-04-24,4.72,4.72,4.7,4.72,4.72,49800.0
2013-04-25,4.7,4.78,4.7,4.78,4.78,122000.0
2013-04-26,4.81,4.9,4.81,4.9,4.9,48900.0
2013-04-29,4.92,4.92,4.92,4.92,4.92,56000.0
2013-04-30,4.92,4.92,4.91,4.91,4.91,20600.0
2013-05-02,4.91,4.92,4.89,4.89,4.89,39000.0
2013-05-03,4.87,4.87,4.84,4.84,4.84,16400.0
2013-05-07,4.84,4.93,4.84,4.93,4.93,54500.0
2013-05-08,4.94,4.95,4.91,4.91,4.91,12500.0
2013-05-09,4.87,4.87,4.87,4.87,4.87,18300.0
2013-05-10,4.86,4.87,4.86,4.87,4.87,8500.0
2013-05-13,4.86,4.87,4.85,4.85,4.85,68800.0
2013-05-14,4.83,4.89,4.83,4.88,4.88,48200.0
2013-05-15,4.91,4.94,4.91,4.93,4.93,88500.0
2013-05-16,4.95,4.99,4.93,4.96,4.96,19300.0
2013-05-17,4.96,4.99,4.96,4.99,4.99,100600.0
2013-05-20,5.01,5.04,4.97,5.03,5.03,48900.0
2013-05-21,5.07,5.07,5.03,5.03,5.03,22000.0
2013-05-22,5.04,5.06,5.03,5.03,5.03,67800.0
2013-05-23,5.01,5.01,4.91,5.0,5.0,51600.0
2013-05-27,4.94,4.94,4.91,4.91,4.91,11800.0
2013-05-28,4.92,4.95,4.92,4.95,4.95,1100.0
2013-05-29,4.99,4.99,4.92,4.95,4.95,17900.0
2013-05-30,4.9,4.93,4.9,4.93,4.93,13200.0
2013-05-31,4.93,4.93,4.83,4.83,4.83,52700.0
2013-06-03,4.79,4.82,4.73,4.73,4.73,27800.0
2013-06-04,4.75,4.75,4.75,4.75,4.75,1200.0
2013-06-05,4.78,4.78,4.75,4.75,4.75,22100.0
2013-06-06,4.7,4.7,4.58,4.58,4.58,176000.0
2013-06-07,4.55,4.63,4.54,4.63,4.63,28500.0
2013-06-10,4.73,4.76,4.73,4.74,4.74,28800.0
2013-06-11,4.72,4.72,4.52,4.52,4.52,221100.0
2013-06-12,4.45,4.62,4.45,4.59,4.59,110400.0
2013-06-13,4.45,4.45,4.34,4.44,4.44,144200.0
2013-06-14,4.55,4.55,4.51,4.55,4.55,30100.0
2013-06-17,4.5,4.52,4.5,4.52,4.52,5000.0
2013-06-18,4.53,4.57,4.46,4.46,4.46,17000.0
2013-06-19,4.44,4.44,4.37,4.42,4.42,35700.0
2013-06-20,4.34,4.34,4.3,4.31,4.31,115300.0
2013-06-21,4.24,4.3,4.18,4.3,4.3,113800.0
2013-06-24,4.23,4.23,4.09,4.09,4.09,34100.0
