Date,Open,High,Low,Close,Adj Close,Volume
2013-09-25,6.71,6.83,6.69,6.83,6.83,35500.0
2013-09-26,6.8,6.86,6.79,6.79,6.79,39300.0
2013-09-27,6.8,6.8,6.66,6.7,6.7,80700.0
2013-09-30,6.65,6.65,6.53,6.53,6.53,104600.0
2013-10-01,6.6,6.65,6.58,6.65,6.65,75100.0
2013-10-02,6.71,6.75,6.68,6.72,6.72,15900.0
2013-10-03,6.76,6.84,6.75,6.81,6.81,110400.0
2013-10-04,6.78,6.86,6.78,6.86,6.86,24600.0
2013-10-07,6.88,6.9,6.8,6.84,6.84,214500.0
2013-10-08,6.83,6.95,6.83,6.93,6.93,68800.0
2013-10-09,6.89,6.92,6.82,6.85,6.85,124900.0
2013-10-10,6.9,6.95,6.9,6.94,6.94,21200.0
2013-10-11,6.99,6.99,6.9,6.9,6.9,15800.0
2013-10-14,6.89,6.92,6.85,6.92,6.92,45200.0
2013-10-15,6.95,6.98,6.95,6.98,6.98,80700.0
2013-10-16,6.97,6.97,6.9,6.91,6.91,22700.0
2013-10-17,6.95,7.06,6.94,7.06,7.06,74300.0
2013-10-18,7.07,7.08,7.04,7.08,7.08,51300.0
2013-10-21,7.01,7.01,6.85,6.85,6.85,101900.0
2013-10-22,6.88,6.88,6.82,6.86,6.86,55700.0
2013-10-24,6.83,6.83,6.76,6.77,6.77,48300.0
2013-10-25,6.82,6.85,6.8,6.8,6.8,39600.0
2013-10-28,6.81,6.86,6.79,6.79,6.79,48900.0
2013-10-29,6.82,6.83,6.82,6.83,6.83,16100.0
2013-10-30,6.79,6.79,6.66,6.68,6.68,105300.0
2013-10-31,6.61,6.71,6.6,6.71,6.71,17500.0
2013-11-01,6.64,6.64,6.59,6.62,6.62,63600.0
2013-11-04,6.5,6.5,6.44,6.47,6.47,181200.0
2013-11-05,6.48,6.56,6.48,6.56,6.56,32700.0
2013-11-06,6.5,6.52,6.43,6.48,6.48,94900.0
2013-11-07,6.47,6.47,6.38,6.38,6.38,97000.0
2013-11-08,6.3,6.3,6.14,6.16,6.16,125400.0
2013-11-11,6.07,6.26,6.02,6.25,6.25,106700.0
2013-11-12,6.27,6.34,6.27,6.29,6.29,27900.0
2013-11-13,6.23,6.23,6.17,6.18,6.18,39600.0
2013-11-14,6.23,6.26,6.23,6.25,6.25,12900.0
2013-11-15,6.27,6.3,6.24,6.3,6.3,11400.0
2013-11-18,6.32,6.36,6.31,6.33,6.33,62300.0
2013-11-19,6.29,6.29,6.19,6.19,6.19,67200.0
2013-11-20,6.21,6.22,6.15,6.15,6.15,58300.0
2013-11-21,6.12,6.12,6.08,6.08,6.08,210400.0
2013-11-22,6.08,6.08,5.99,6.0,6.0,159300.0
2013-11-25,5.92,5.98,5.92,5.95,5.95,50700.0
2013-11-26,5.97,6.14,5.97,6.14,6.14,78900.0
2013-11-27,6.09,6.23,6.09,6.23,6.23,21200.0
2013-11-28,6.24,6.24,6.12,6.14,6.14,19200.0
2013-11-29,6.11,6.17,6.09,6.17,6.17,12400.0
2013-12-02,6.12,6.16,6.05,6.16,6.16,19500.0
2013-12-03,6.15,6.24,6.15,6.19,6.19,41400.0
2013-12-04,6.16,6.19,6.13,6.13,6.13,10700.0
2013-12-06,6.14,6.14,5.99,6.05,6.05,84500.0
2013-12-09,6.08,6.08,6.01,6.03,6.03,53200.0
2013-12-11,6.01,6.01,5.97,6.01,6.01,16100.0
2013-12-12,5.98,5.98,5.9,5.9,5.9,40500.0
2013-12-13,5.86,5.86,5.75,5.78,5.78,53800.0
2013-12-16,5.76,5.76,5.69,5.69,5.69,82600.0
2013-12-17,5.69,5.74,5.69,5.72,5.72,8500.0
2013-12-18,5.72,5.93,5.72,5.91,5.91,35700.0
2013-12-19,5.88,5.88,5.82,5.85,5.85,21200.0
2013-12-20,5.82,5.82,5.75,5.79,5.79,91700.0
2013-12-23,5.75,5.75,5.7,5.71,5.71,27000.0
2013-12-24,5.74,5.77,5.74,5.75,5.75,7200.0
2013-12-25,5.76,5.76,5.74,5.75,5.75,9500.0
2013-12-26,5.74,5.74,5.56,5.62,5.62,42100.0
2013-12-27,5.58,5.58,5.46,5.47,5.47,154800.0
2014-01-02,5.46,5.46,5.17,5.17,5.17,48900.0
2014-01-03,5.16,5.27,5.09,5.26,5.26,15900.0
2014-01-06,5.17,5.39,5.16,5.39,5.39,226400.0
2014-01-07,5.4,5.55,5.39,5.55,5.55,17000.0
2014-01-08,5.52,5.52,5.45,5.48,5.48,6200.0
2014-01-09,5.53,5.54,5.46,5.46,5.46,5700.0
2014-01-10,5.41,5.44,5.35,5.41,5.41,25600.0
2014-01-13,5.41,5.58,5.4,5.58,5.58,35900.0
2014-01-14,5.56,5.73,5.56,5.73,5.73,49200.0
2014-01-15,5.73,5.73,5.59,5.59,5.59,19200.0
2014-01-16,5.66,5.82,5.66,5.82,5.82,49000.0
2014-01-17,5.8,5.8,5.7,5.78,5.78,35000.0
2014-01-20,5.74,5.74,5.72,5.72,5.72,8900.0
2014-01-21,5.75,5.77,5.72,5.72,5.72,4000.0
2014-01-22,5.68,5.71,5.66,5.71,5.71,7400.0
2014-01-23,5.71,5.78,5.71,5.75,5.75,21900.0
2014-01-24,5.74,5.8,5.74,5.8,5.8,4200.0
2014-01-27,5.66,5.67,5.65,5.67,5.67,15000.0
2014-01-28,5.61,5.61,5.53,5.53,5.53,28300.0
2014-01-29,5.51,5.6,5.51,5.6,5.6,2900.0
2014-01-30,5.52,5.52,5.49,5.49,5.49,25100.0
2014-01-31,5.53,5.57,5.53,5.57,5.57,34300.0
2014-02-03,5.64,5.72,5.64,5.72,5.72,15700.0
2014-02-04,5.65,5.65,5.61,5.62,5.62,7900.0
2014-02-05,5.66,5.66,5.62,5.62,5.62,4100.0
2014-02-06,5.65,5.7,5.65,5.7,5.7,12500.0
2014-02-07,5.73,5.73,5.67,5.67,5.67,9800.0
2014-02-10,5.71,5.71,5.69,5.69,5.69,4000.0
2014-02-11,5.67,5.67,5.66,5.66,5.66,2000.0
2014-02-12,5.7,5.79,5.7,5.79,5.79,21900.0
2014-02-13,5.77,5.82,5.77,5.82,5.82,12000.0
2014-02-17,5.83,5.96,5.83,5.96,5.96,98900.0
2014-02-18,5.93,5.94,5.85,5.94,5.94,8900.0
2014-02-19,5.94,5.98,5.86,5.86,5.86,32800.0
2014-02-20,5.79,5.79,5.71,5.71,5.71,12300.0
2014-02-21,5.75,5.75,5.71,5.74,5.74,1600.0
2014-02-24,5.68,5.68,5.63,5.64,5.64,8900.0
2014-02-25,5.7,5.76,5.7,5.71,5.71,7500.0
2014-02-26,5.72,5.72,5.71,5.71,5.71,9000.0
2014-02-27,5.71,5.77,5.71,5.75,5.75,9100.0
2014-02-28,5.73,5.76,5.73,5.76,5.76,11300.0
2014-03-03,5.81,5.85,5.81,5.85,5.85,26000.0
2014-03-04,5.89,5.89,5.88,5.88,5.88,1500.0
2014-03-05,5.86,5.88,5.85,5.88,5.88,10400.0
2014-03-06,5.89,5.9,5.89,5.9,5.9,3300.0
2014-03-07,5.91,5.91,5.89,5.89,5.89,1100.0
2014-03-10,5.88,5.91,5.86,5.91,5.91,6500.0
2014-03-11,5.92,5.94,5.92,5.94,5.94,6700.0
