Date,Open,High,Low,Close,Adj Close,Volume
2004-02-20,5.0437,5.07922,4.72403,4.72403,4.364328,2638151.0
2004-02-23,4.72403,4.79507,4.4754,4.4754,4.134629,75211833.0
2004-02-24,4.54643,4.68851,4.33332,4.33332,4.003367,109741229.0
2004-02-25,4.36884,4.43988,3.83605,3.97813,3.675223,140193934.0
2004-02-26,4.01365,4.26228,3.94261,4.04917,3.740854,117051398.0
2004-02-27,4.08469,4.26228,4.01365,4.19124,3.872106,66125150.0
2004-03-01,4.22676,4.58195,4.22676,4.33332,4.003367,206466893.0
2004-03-02,4.36884,4.36884,4.04917,4.08469,3.773669,68795551.0
2004-03-03,4.08469,4.15572,4.01365,4.04917,3.740854,10649226.0
2004-03-04,4.04917,4.2978,4.01365,4.26228,3.937737,34955927.0
2004-03-05,4.26228,4.26228,4.26228,4.26228,3.937737,0.0
2004-03-08,4.2978,4.2978,4.08469,4.08469,3.773669,5025478.0
2004-03-09,4.08469,4.26228,4.08469,4.19124,3.872106,19253069.0
2004-03-10,4.22676,4.36884,4.08469,4.08469,3.773669,35473960.0
2004-03-11,4.08469,4.15572,4.04917,4.08469,3.773669,14706209.0
2004-03-12,4.08469,4.19124,4.01365,4.01365,3.708038,14866686.0
2004-03-15,4.04917,4.04917,3.7295,3.7295,3.445524,12097746.0
2004-03-16,3.7295,3.83605,3.7295,3.76502,3.478339,9748300.0
2004-03-17,3.83605,4.01365,3.83605,3.97813,3.675223,43261339.0
2004-03-18,3.94261,4.04917,3.87157,3.90709,3.609592,33774870.0
2004-03-19,3.90709,4.15572,3.90709,4.04917,3.740854,138279466.0
2004-03-22,4.04917,4.12021,3.97813,4.01365,3.708038,48503602.0
2004-03-23,3.97813,4.04917,3.87157,3.90709,3.609592,8879752.0
2004-03-24,3.97813,3.97813,3.87157,3.90709,3.609592,10684419.0
2004-03-25,3.90709,3.90709,3.7295,3.7295,3.445524,4905823.0
2004-03-26,3.80053,3.87157,3.7295,3.76502,3.478339,7443901.0
2004-03-29,3.7295,3.7295,3.52349,3.7295,3.445524,12894503.0
2004-03-30,3.65846,3.80053,3.62294,3.65846,3.379893,11478360.0
2004-03-31,3.7295,3.76502,3.62294,3.69398,3.412709,9527292.0
2004-04-01,3.62294,3.87157,3.62294,3.80053,3.511146,7374924.0
2004-04-02,3.80053,4.12021,3.80053,3.97813,3.675223,65270678.0
2004-04-05,4.01365,4.04917,3.90709,3.90709,3.609592,35640068.0
2004-04-06,3.90709,3.90709,3.90709,3.90709,3.609592,0.0
2004-04-07,3.94261,3.97813,3.80053,3.87157,3.576777,28225729.0
2004-04-08,4.08469,4.15572,3.83605,3.90709,3.609592,39103002.0
2004-04-09,4.15572,4.22676,4.01365,4.04917,3.740854,115473370.0
2004-04-12,4.08469,4.72403,4.04917,4.4754,4.134629,209838315.0
2004-04-13,4.4754,4.4754,4.4754,4.4754,4.134629,0.0
2004-04-14,4.4754,4.4754,4.4754,4.4754,4.134629,0.0
2004-04-15,4.4754,4.4754,4.4754,4.4754,4.134629,0.0
2004-04-16,4.54643,4.54643,4.19124,4.2978,3.970552,40675400.0
2004-04-19,4.33332,4.36884,4.15572,4.19124,3.872106,25680613.0
2004-04-20,4.22676,4.33332,4.19124,4.2978,3.970552,28842300.0
2004-04-21,4.2978,4.33332,3.90709,4.04917,3.740854,33870593.0
2004-04-22,4.01365,4.01365,3.83605,3.87157,3.576777,19423401.0
2004-04-23,3.87157,3.90709,3.7295,3.80053,3.511146,16648830.0
2004-04-26,3.7295,3.7295,3.5519,3.69398,3.412709,3230664.0
2004-04-27,3.69398,3.97813,3.69398,3.97813,3.675223,5708211.0
2004-04-28,3.97813,3.97813,3.58742,3.80053,3.511146,4938200.0
2004-04-29,3.7295,4.26228,3.69398,4.01365,3.708038,189880012.0
2004-04-30,4.01365,4.15572,3.97813,4.01365,3.708038,5589964.0
2004-05-03,4.01365,4.01365,4.01365,4.01365,3.708038,0.0
2004-05-04,4.04917,4.04917,3.90709,4.04917,3.740854,1456966.0
2004-05-05,4.04917,4.04917,4.04917,4.04917,3.740854,0.0
2004-05-06,4.08469,4.08469,3.90709,3.90709,3.609592,1527351.0
2004-05-07,3.97813,4.12021,3.87157,4.12021,3.806485,6333228.0
2004-05-10,4.12021,4.12021,3.90709,3.90709,3.609592,2773163.0
2004-05-11,3.90709,3.97813,3.90709,3.94261,3.642407,1676567.0
2004-05-12,4.01365,4.01365,3.94261,3.94261,3.642407,820687.0
2004-05-13,3.94261,3.94261,3.90709,3.90709,3.609592,1351389.0
2004-05-14,3.87157,3.94261,3.87157,3.90709,3.609592,588417.0
2004-05-17,3.69398,3.7295,3.69398,3.7295,3.445524,2443762.0
2004-05-18,3.7295,3.76502,3.69398,3.7295,3.445524,4349783.0
2004-05-19,3.83605,3.90709,3.83605,3.90709,3.609592,3118048.0
2004-05-20,3.87157,3.90709,3.76502,3.76502,3.478339,1661082.0
2004-05-21,3.90709,3.97813,3.87157,3.94261,3.642407,2266392.0
2004-05-24,3.94261,3.94261,3.83605,3.83605,3.543961,140770.0
2004-05-25,3.7295,3.7295,3.7295,3.7295,3.445524,1078296.0
2004-05-26,3.76502,3.90709,3.69398,3.7295,3.445524,7083530.0
2004-05-27,3.76502,4.26228,3.76502,4.01365,3.708038,61460043.0
2004-05-28,4.04917,4.08469,3.83605,3.83605,3.543961,29513772.0
2004-05-31,3.83605,3.97813,3.76502,3.83605,3.543961,18149435.0
2004-06-01,3.87157,4.12021,3.87157,3.87157,3.576777,91421462.0
2004-06-02,3.87157,3.87157,3.87157,3.87157,3.576777,0.0
2004-06-03,3.94261,4.04917,3.76502,3.83605,3.543961,45695246.0
2004-06-04,3.87157,3.90709,3.65846,3.69398,3.412709,18567521.0
2004-06-07,3.76502,3.80053,3.62294,3.62294,3.347078,24377086.0
2004-06-08,3.7295,3.76502,3.52349,3.52349,3.255201,32888021.0
2004-06-09,3.5519,3.58742,3.50928,3.58742,3.314263,12369432.0
2004-06-10,3.5519,3.62294,3.53769,3.53769,3.268319,23829492.0
2004-06-11,3.65846,3.87157,3.62294,3.76502,3.478339,193120508.0
2004-06-14,3.80053,3.87157,3.52349,3.52349,3.255201,167896000.0
2004-06-15,3.52349,3.58742,3.49507,3.52349,3.255201,43109307.0
2004-06-16,3.5519,3.65846,3.53769,3.5519,3.281447,95044874.0
2004-06-17,3.5519,3.62294,3.53769,3.53769,3.268319,77799180.0
2004-06-18,3.53769,3.5519,3.48086,3.48086,3.215817,33024567.0
2004-06-21,3.49507,3.53769,3.48086,3.48086,3.215817,17337194.0
2004-06-22,3.50928,3.53769,3.3672,3.40983,3.150195,56883621.0
2004-06-23,3.43824,3.45245,3.29616,3.29616,3.04518,16022405.0
2004-06-24,3.32458,3.35299,3.25354,3.26775,3.018933,37454589.0
2004-06-25,3.28196,3.29616,3.13988,3.13988,2.9008,32416442.0
2004-06-28,3.15409,3.22513,3.15409,3.1825,2.940174,53334817.0
2004-06-29,3.19671,3.32458,3.19671,3.31037,3.058308,113092955.0
2004-06-30,3.33879,3.3672,3.22513,3.22513,2.979558,82744419.0
2004-07-01,3.22513,3.22513,3.22513,3.22513,2.979558,0.0
2004-07-02,3.21092,3.28196,3.21092,3.26775,3.018933,21346315.0
2004-07-05,3.26775,3.26775,3.26775,3.26775,3.018933,0.0
2004-07-06,3.38141,3.43824,3.31037,3.33879,3.084564,82576903.0
2004-07-07,3.33879,3.33879,3.25354,3.29616,3.04518,56022110.0
2004-07-08,3.32458,3.33879,3.19671,3.19671,2.953303,41189209.0
2004-07-09,3.23933,3.29616,3.19671,3.26775,3.018933,21698239.0
2004-07-12,3.28196,3.35299,3.23933,3.23933,2.992677,66613621.0
2004-07-13,3.26775,3.26775,3.22513,3.23933,2.992677,12294824.0
2004-07-14,3.25354,3.25354,3.11147,3.13988,2.9008,28293298.0
2004-07-15,3.12567,3.25354,3.12567,3.13988,2.9008,104825551.0
2004-07-16,3.15409,3.19671,3.13988,3.13988,2.9008,31163592.0
2004-07-19,3.12567,3.12567,3.05464,3.05464,2.82205,19797848.0
2004-07-20,3.05464,3.06884,3.04043,3.04043,2.808922,8912129.0
2004-07-21,3.08305,3.15409,3.08305,3.08305,2.848297,28856377.0
2004-07-22,3.11147,3.1683,3.11147,3.12567,2.887672,35837146.0
2004-07-23,3.15409,3.15409,3.11147,3.11147,2.874553,12062554.0
2004-07-26,3.11147,3.1683,3.09726,3.12567,2.887672,50068960.0
2004-07-27,3.15409,3.1683,3.11147,3.12567,2.887672,32589589.0
2004-07-28,3.15409,3.22513,3.13988,3.1683,2.927056,114516136.0
2004-07-29,3.1825,3.1825,3.05464,3.11147,2.874553,26149376.0
2004-07-30,3.12567,3.13988,2.9836,3.11147,2.874553,41486233.0
2004-08-02,3.11147,3.11147,3.11147,3.11147,2.874553,0.0
2004-08-03,3.08305,3.11147,3.06884,3.08305,2.848297,5708211.0
2004-08-04,3.05464,3.05464,2.89835,2.91256,2.690789,9645539.0
2004-08-05,2.92677,2.94097,2.85573,2.88414,2.664533,14455639.0
2004-08-06,2.86994,2.88414,2.85573,2.86994,2.651414,16302537.0
2004-08-09,2.85573,2.88414,2.85573,2.85573,2.638286,11444575.0
2004-08-10,2.88414,2.88414,2.7989,2.7989,2.585783,7709955.0
2004-08-11,2.81311,2.81311,2.62841,2.77048,2.559527,4898785.0
2004-08-12,2.77048,2.77048,2.77048,2.77048,2.559527,0.0
2004-08-13,2.84152,2.86994,2.55737,2.55737,2.362644,3343280.0
2004-08-16,2.58578,2.64261,2.52895,2.55737,2.362644,6592244.0
2004-08-17,2.58578,2.67103,2.55737,2.58578,2.388891,66122335.0
2004-08-18,2.59999,2.64261,2.51475,2.52895,2.336388,54710137.0
2004-08-19,2.54316,2.55737,2.28742,2.4295,2.24451,41724134.0
2004-08-20,2.34425,2.40109,2.23059,2.23059,2.060746,11002558.0
2004-08-23,2.2448,2.25901,2.21639,2.2448,2.073874,5896842.0
2004-08-24,2.30163,2.30163,2.2448,2.25901,2.087002,12884649.0
2004-08-25,2.27322,2.31584,2.25901,2.27322,2.10013,62203307.0
2004-08-26,2.30163,2.35846,2.25901,2.34425,2.165751,171147779.0
2004-08-27,2.37267,2.44371,2.30163,2.34425,2.165751,224966844.0
2004-08-30,2.33005,2.34425,2.18797,2.23059,2.060746,64720269.0
2004-08-31,2.23059,2.30163,2.23059,2.28742,2.113249,103951372.0
2004-09-01,2.31584,2.37267,2.28742,2.33005,2.152633,211165785.0
2004-09-02,2.35136,2.85573,2.34425,2.74207,2.53328,639247784.0
2004-09-03,2.7989,2.82731,2.58578,2.6142,2.415147,163447678.0
2004-09-06,2.6142,2.67103,2.55737,2.55737,2.362644,48278370.0
2004-09-07,2.57158,2.74207,2.57158,2.72786,2.520152,137049139.0
2004-09-08,2.7989,3.15409,2.78469,3.05464,2.82205,998189391.0
2004-09-09,3.08305,3.32458,3.06884,3.13988,2.9008,776962786.0
2004-09-10,3.1825,3.29616,3.1825,3.23933,2.992677,607654833.0
2004-09-13,3.33879,3.35299,3.26775,3.26775,3.018933,420128535.0
2004-09-14,3.29616,3.29616,3.01201,3.08305,2.848297,243734258.0
2004-09-15,3.09726,3.21092,3.09726,3.11147,2.874553,304120217.0
2004-09-16,3.1683,3.43824,3.12567,3.43824,3.176442,913089907.0
2004-09-17,3.49507,3.83605,3.42403,3.62294,3.347078,1226583944.0
2004-09-20,3.69398,3.87157,3.62294,3.62294,3.347078,479778257.0
2004-09-21,3.65846,3.7295,3.58742,3.69398,3.412709,254947971.0
2004-09-22,3.83605,4.22676,3.83605,4.19124,3.872106,880779008.0
2004-09-23,4.19124,4.33332,3.83605,4.08469,3.773669,1140307579.0
