Date,Open,High,Low,Close,Adj Close,Volume
2008-08-07,4.16,4.17,3.95,4.16,3.865609,12333300.0
2008-08-08,4.06,4.16,4.06,4.06,3.772686,4440100.0
2008-08-11,4.19,4.32,4.16,4.17,3.874902,257500.0
2008-08-13,4.1,4.19,4.1,4.1,3.809855,3275500.0
2008-08-14,4.18,4.18,4.12,4.18,3.884193,3229600.0
2008-08-15,4.2,4.2,4.15,4.2,3.902778,467800.0
2008-08-18,4.16,4.24,4.16,4.16,3.865609,1345000.0
2008-08-19,4.13,4.15,4.11,4.13,3.837732,536900.0
2008-08-20,4.15,4.17,4.13,4.15,3.856317,311700.0
2008-08-21,4.08,4.17,4.08,4.08,3.79127,690600.0
2008-08-22,4.13,4.14,4.1,4.13,3.837732,1094100.0
2008-08-25,4.08,4.1,4.07,4.08,3.79127,237000.0
2008-08-26,4.02,4.03,3.96,4.02,3.735516,1391700.0
2008-08-27,4.06,4.06,4.0,4.06,3.772686,544000.0
2008-08-28,4.12,4.12,4.07,4.12,3.82844,822800.0
2008-08-29,4.12,4.13,4.08,4.12,3.82844,564000.0
2008-09-01,4.06,4.14,4.06,4.06,3.772686,224400.0
2008-09-02,4.0,4.05,3.98,4.0,3.716932,704200.0
2008-09-03,3.83,3.98,3.83,3.83,3.558962,2524000.0
2008-09-04,3.91,3.91,3.8,3.91,3.633301,1027700.0
2008-09-05,3.88,3.88,3.83,3.85,3.577547,213200.0
2008-09-08,3.97,3.97,3.88,3.97,3.689055,470000.0
2008-09-09,3.96,3.96,3.91,3.96,3.679762,137700.0
2008-09-10,3.91,3.95,3.91,3.91,3.633301,536000.0
2008-09-11,3.89,3.95,3.89,3.89,3.614716,352800.0
2008-09-12,3.92,3.92,3.86,3.92,3.642593,644900.0
2008-09-15,3.81,3.92,3.8,3.81,3.540377,597100.0
2008-09-16,3.71,3.71,3.64,3.71,3.447454,1674000.0
2008-09-17,3.55,3.7,3.52,3.55,3.298777,1372500.0
2008-09-18,3.52,3.56,3.32,3.52,3.2709,2252800.0
2008-09-19,3.75,3.78,3.6,3.75,3.484624,1738400.0
2008-09-22,3.7,3.81,3.7,3.7,3.438162,520500.0
2008-09-23,3.72,3.75,3.71,3.72,3.456747,564200.0
2008-09-24,3.79,3.8,3.74,3.79,3.521793,115800.0
2008-09-25,3.8,3.8,3.75,3.8,3.531085,60800.0
2008-09-26,3.8,3.8,3.78,3.8,3.531085,77600.0
2008-09-29,3.64,3.8,3.64,3.64,3.382408,266600.0
2008-09-30,3.64,3.64,3.44,3.64,3.382408,806000.0
2008-10-01,3.59,3.66,3.59,3.59,3.335946,131300.0
2008-10-02,3.6,3.63,3.6,3.6,3.345238,218700.0
2008-10-03,3.55,3.58,3.54,3.55,3.298777,64700.0
2008-10-06,3.2,3.5,3.2,3.2,2.973545,986900.0
2008-10-07,3.09,3.23,3.09,3.09,2.87133,1131300.0
2008-10-08,2.93,3.02,2.83,2.93,2.722653,1160100.0
2008-10-09,3.01,3.08,2.81,3.01,2.796991,617000.0
2008-10-10,2.72,2.8,2.7,2.72,2.527514,524900.0
2008-10-13,2.87,2.95,2.72,2.87,2.666898,1446000.0
2008-10-14,3.0,3.07,3.0,3.0,2.787699,3489900.0
2008-10-15,2.88,3.01,2.88,2.88,2.676191,73000.0
2008-10-16,2.82,2.82,2.74,2.82,2.620437,404800.0
2008-10-17,2.78,2.9,2.78,2.78,2.583267,81000.0
2008-10-20,2.82,2.82,2.77,2.82,2.620437,104700.0
2008-10-21,2.85,2.9,2.85,2.85,2.648314,112000.0
2008-10-22,2.77,2.83,2.76,2.77,2.573975,103500.0
2008-10-24,2.58,2.67,2.5,2.58,2.397421,741400.0
2008-10-27,2.23,2.5,2.21,2.23,2.07219,937500.0
2008-10-28,2.25,2.38,2.2,2.25,2.090774,1414800.0
2008-10-29,2.26,2.4,2.25,2.26,2.100066,704400.0
2008-10-30,2.38,2.4,2.3,2.38,2.211575,557500.0
