Date,Open,High,Low,Close,Adj Close,Volume
2013-03-20,5.39,5.39,5.29,5.29,5.29,1473400.0
2013-03-21,5.3,5.32,5.27,5.28,5.28,1025800.0
2013-03-22,5.24,5.25,5.04,5.1,5.1,1132600.0
2013-03-25,5.11,5.19,5.11,5.16,5.16,434100.0
2013-03-26,5.17,5.22,5.17,5.21,5.21,239100.0
2013-03-27,5.22,5.26,5.22,5.23,5.23,524200.0
2013-03-28,5.24,5.24,5.19,5.19,5.19,282700.0
2013-03-29,5.21,5.24,5.21,5.22,5.22,260700.0
2013-04-01,5.22,5.23,5.17,5.18,5.18,191900.0
2013-04-02,5.15,5.2,5.15,5.2,5.2,274200.0
2013-04-03,5.25,5.25,5.14,5.15,5.15,427200.0
2013-04-04,5.1,5.11,5.08,5.09,5.09,151200.0
2013-04-05,5.1,5.1,5.05,5.08,5.08,326400.0
2013-04-09,5.08,5.09,5.05,5.05,5.05,271600.0
2013-04-10,5.02,5.07,4.98,5.07,5.07,385900.0
2013-04-11,5.1,5.15,5.09,5.13,5.13,205600.0
2013-04-12,5.13,5.14,5.11,5.11,5.11,41500.0
2013-04-17,5.11,5.11,5.03,5.04,5.04,365300.0
2013-04-18,5.04,5.04,4.99,5.04,5.04,448900.0
2013-04-19,5.06,5.1,5.06,5.08,5.08,202300.0
2013-04-22,5.11,5.12,5.06,5.08,5.08,320900.0
2013-04-23,5.06,5.08,5.04,5.07,5.07,1498400.0
2013-04-24,5.1,5.1,5.05,5.07,5.07,216300.0
2013-04-25,5.09,5.13,5.08,5.13,5.13,609000.0
2013-04-26,5.15,5.15,5.13,5.14,5.14,222700.0
2013-04-29,5.16,5.16,5.16,5.16,5.16,522400.0
2013-04-30,5.16,5.26,5.16,5.26,5.26,1659400.0
2013-05-02,5.26,5.26,5.23,5.25,5.25,169800.0
2013-05-03,5.28,5.29,5.21,5.21,5.21,253700.0
2013-05-07,5.21,5.28,5.2,5.28,5.28,493100.0
2013-05-08,5.28,5.33,5.28,5.32,5.32,1365500.0
2013-05-09,5.35,5.36,5.33,5.36,5.36,541200.0
2013-05-10,5.39,5.42,5.35,5.42,5.42,1304200.0
2013-05-13,5.4,5.41,5.38,5.38,5.38,118200.0
2013-05-14,5.38,5.41,5.38,5.38,5.38,105700.0
2013-05-15,5.4,5.42,5.39,5.39,5.39,286200.0
2013-05-16,5.39,5.39,5.33,5.33,5.33,130200.0
2013-05-17,5.32,5.35,5.31,5.34,5.34,179500.0
2013-05-20,5.37,5.43,5.37,5.43,5.43,588200.0
2013-05-21,5.4,5.44,5.4,5.43,5.43,416100.0
2013-05-22,5.45,5.48,5.41,5.43,5.43,553200.0
2013-05-23,5.39,5.4,5.27,5.34,5.34,227300.0
2013-05-27,5.3,5.3,5.27,5.3,5.3,52800.0
2013-05-28,5.32,5.39,5.3,5.39,5.39,76700.0
2013-05-29,5.4,5.4,5.32,5.33,5.33,28200.0
2013-05-30,5.33,5.33,5.26,5.27,5.27,121400.0
2013-05-31,5.29,5.29,5.2,5.2,5.2,83000.0
2013-06-03,5.0,5.17,5.0,5.08,5.08,67300.0
2013-06-04,5.08,5.18,5.08,5.18,5.18,207000.0
2013-06-05,5.16,5.19,5.12,5.12,5.12,139300.0
2013-06-06,5.09,5.1,5.06,5.08,5.08,128600.0
2013-06-07,5.09,5.19,5.09,5.19,5.19,324700.0
2013-06-10,5.2,5.25,5.2,5.24,5.24,73900.0
2013-06-11,5.21,5.21,5.02,5.06,5.06,273200.0
2013-06-12,5.02,5.03,4.97,4.97,4.97,297600.0
2013-06-13,4.88,4.88,4.8,4.88,4.88,336200.0
2013-06-14,4.95,5.0,4.95,5.0,5.0,19500.0
2013-06-17,5.07,5.09,5.05,5.09,5.09,119100.0
2013-06-18,5.09,5.15,4.98,4.98,4.98,331100.0
2013-06-19,5.01,5.06,4.96,5.04,5.04,363800.0
2013-06-20,5.01,5.11,4.97,5.08,5.08,192300.0
2013-06-21,5.0,5.15,4.98,5.14,5.14,413600.0
