Date,Open,High,Low,Close,Adj Close,Volume
2006-05-18,2.31811,2.60512,2.11942,2.18565,0.771454,229435551.0
2006-05-19,2.20773,2.29604,1.87657,1.9428,0.685736,167496276.0
2006-05-22,1.96488,1.98696,1.78826,1.83241,0.646773,51081100.0
2006-05-23,1.81034,1.89865,1.78826,1.87657,0.66236,41876255.0
2006-05-24,1.92072,1.9428,1.85449,1.87657,0.66236,35042081.0
2006-05-25,1.87657,1.9428,1.83241,1.83241,0.646773,35052408.0
2006-05-26,1.87657,1.87657,1.85449,1.85449,0.654566,18153953.0
2006-05-29,1.85449,1.85449,1.74411,1.74411,0.615606,17617384.0
2006-05-30,1.58956,1.58956,1.41295,1.41295,0.521128,22772275.0
2006-05-31,1.34671,1.39087,1.25841,1.25841,0.464131,18538240.0
2006-06-01,1.30256,1.47918,1.28048,1.47918,0.545556,36272.0
2006-06-02,1.50126,1.50126,1.43502,1.43502,0.529269,26354464.0
2006-06-05,1.43502,1.43502,1.34671,1.34671,0.496698,9682894.0
2006-06-06,1.30256,1.41295,1.30256,1.39087,0.512985,12501.0
2006-06-07,1.39087,1.41295,1.30256,1.32464,0.488558,18298491.0
2006-06-08,1.32464,1.36879,1.28048,1.30256,0.480414,8055112.0
2006-06-09,1.32464,1.36879,1.30256,1.30256,0.480414,7826868.0
2006-06-12,,,,,,
2006-06-13,,,,,,
2006-06-14,1.28048,1.30256,1.21425,1.21425,0.447843,6180833.0
2006-06-15,1.25841,1.25841,1.14802,1.19217,0.4397,8864858.0
2006-06-16,1.21425,1.25841,1.19217,1.19217,0.4397,23983520.0
2006-06-19,1.19217,1.19217,1.12594,1.12594,0.415273,7809701.0
2006-06-20,1.12594,1.19217,1.12594,1.14802,0.423416,16253086.0
2006-06-21,1.1701,1.1701,1.14802,1.14802,0.423416,9471364.0
2006-06-22,1.1701,1.21425,1.1701,1.1701,0.43156,12760854.0
2006-06-23,1.14802,1.19217,1.14802,1.1701,0.43156,6703134.0
2006-06-26,1.1701,1.19217,1.1701,1.19217,0.4397,1931895.0
2006-06-27,1.19217,1.23633,1.1701,1.1701,0.43156,16401066.0
2006-06-28,1.1701,1.21425,1.1701,1.1701,0.43156,7775503.0
2006-06-29,1.21425,1.23633,1.19217,1.19217,0.4397,13079507.0
2006-06-30,1.23633,1.25841,1.21425,1.23633,0.455987,13413787.0
2006-07-03,1.21425,1.23633,1.21425,1.21425,0.447843,5069328.0
2006-07-04,1.21425,1.25841,1.21425,1.25841,0.464131,12820961.0
2006-07-05,1.25841,1.28048,1.21425,1.21425,0.447843,8687481.0
2006-07-06,1.21425,1.23633,1.19217,1.21425,0.447843,4773232.0
2006-07-07,1.23633,1.30256,1.21425,1.23633,0.455987,47092612.0
2006-07-10,1.23633,1.25841,1.21425,1.23633,0.455987,7159712.0
2006-07-11,,,,,,
2006-07-12,1.25841,1.36879,1.23633,1.36879,0.504841,29857385.0
2006-07-13,1.39087,1.4571,1.28048,1.28048,0.47227,74881355.0
