Date,Open,High,Low,Close,Adj Close,Volume
2014-03-31,93.550003,93.599998,93.379997,93.419998,89.82692,11100.0
2014-04-01,94.0,94.32,94.0,94.32,90.692307,3500.0
2014-04-02,94.550003,95.110001,94.550003,95.110001,91.45192,700.0
2014-04-03,,,,,,
2014-04-04,95.150002,95.160004,95.150002,95.160004,91.5,3000.0
2014-04-08,95.239998,95.239998,95.239998,95.239998,91.57692,500.0
2014-04-09,,,,,,
2014-04-10,94.309998,94.309998,94.309998,94.309998,90.682686,500.0
2014-04-11,,,,,,
2014-04-16,95.480003,95.480003,95.360001,95.379997,91.711533,8800.0
2014-04-17,95.830002,96.269997,95.830002,96.269997,92.567299,113300.0
2014-04-18,96.379997,96.379997,96.32,96.32,92.615379,3100.0
2014-04-21,96.650002,96.650002,96.650002,96.650002,92.932693,1000.0
2014-04-22,96.900002,96.900002,96.5,96.5,92.78846,400.0
2014-04-23,97.07,97.400002,97.07,97.400002,93.653847,11400.0
2014-04-24,97.400002,97.400002,97.400002,97.400002,93.653847,100.0
2014-04-25,97.050003,97.050003,97.0,97.0,93.269226,300.0
2014-04-28,96.489998,96.489998,96.489998,96.489998,92.778839,700.0
2014-04-29,,,,,,
2014-04-30,,,,,,
2014-05-02,97.150002,97.269997,97.099998,97.099998,93.365379,2000.0
2014-05-06,97.870003,97.870003,97.870003,97.870003,94.105766,100.0
2014-05-07,,,,,,
2014-05-08,,,,,,
2014-05-09,95.0,95.0,94.720001,94.720001,91.07692,1300.0
2014-05-12,94.559998,94.559998,94.559998,94.559998,90.923073,200.0
2014-05-14,97.150002,97.150002,97.150002,97.150002,93.41346,200.0
2014-05-15,95.309998,95.809998,95.309998,95.809998,92.124992,12100.0
2014-05-16,96.379997,96.379997,96.379997,96.379997,92.673073,200.0
2014-05-19,,,,,,
2014-05-20,,,,,,
2014-05-21,96.230003,96.230003,96.230003,96.230003,92.528847,200.0
2014-05-22,96.730003,96.730003,96.730003,96.730003,93.009613,500.0
2014-05-23,95.010002,95.010002,95.010002,95.010002,91.355766,300.0
2014-05-26,,,,,,
2014-05-27,,,,,,
2014-05-28,,,,,,
2014-05-29,,,,,,
2014-05-30,,,,,,
2014-06-02,,,,,,
2014-06-03,,,,,,
2014-06-04,,,,,,
2014-06-05,,,,,,
2014-06-06,,,,,,
2014-06-09,,,,,,
2014-06-10,,,,,,
2014-06-11,,,,,,
2014-06-12,,,,,,
2014-06-13,,,,,,
2014-06-16,,,,,,
2014-06-17,,,,,,
2014-06-18,,,,,,
2014-06-19,,,,,,
2014-06-20,,,,,,
