Date,Open,High,Low,Close,Adj Close,Volume
2006-01-19,3.2222,3.31925,2.1546,2.24195,2.236972,35348.0
2006-01-20,2.22254,2.25166,2.08666,2.14489,2.140127,4485.0
2006-01-23,2.1546,2.57193,2.14489,2.3196,2.314449,5977.0
2006-01-24,2.34871,2.62046,2.34871,2.44577,2.440339,7017.0
2006-01-25,2.46518,2.57193,2.37783,2.57193,2.566219,2542.0
2006-01-26,2.59135,2.96986,2.57193,2.85339,2.847054,13607.0
2006-01-27,2.96986,3.35808,2.90192,3.0475,3.040733,12811.0
2006-01-30,3.09603,3.09603,2.87281,2.91162,2.905154,2692632.0
2006-01-31,2.95045,3.07662,2.92133,2.94074,2.93421,3956.0
2006-02-01,2.94074,2.94074,2.87281,2.87281,2.866431,1109.0
2006-02-02,2.81458,2.81458,2.72722,2.72722,2.721164,1219.0
2006-02-03,2.75634,2.97956,2.75634,2.91162,2.905154,1219.0
2006-02-06,2.95045,3.28043,2.91162,3.19308,3.185989,8032.0
2006-02-07,3.29014,3.53277,3.2222,3.29014,3.282834,11841.0
2006-02-08,3.29014,3.81423,3.25131,3.53277,3.524925,15877.0
2006-02-09,3.5716,3.67835,3.42602,3.45513,3.447458,3780.0
2006-02-10,3.50366,3.67835,3.47454,3.47454,3.466825,4279.0
2006-02-13,,,,,,
2006-02-14,3.50366,3.53277,3.4066,3.42602,3.418412,1902.0
2006-02-15,3.44543,3.5716,3.44543,3.50366,3.49588,1395.0
2006-02-16,3.53277,3.77541,3.53277,3.63954,3.631458,4282.0
2006-02-17,3.67835,3.70747,3.5716,3.63954,3.631458,4793.0
2006-02-20,3.77541,4.02775,3.29014,3.29014,3.282834,19291.0
2006-02-21,3.34837,3.44543,3.31925,3.35808,3.350623,3917.0
2006-02-22,3.41631,3.44543,3.26102,3.29014,3.282834,2241.0
2006-02-23,3.29985,3.35808,3.29014,3.29014,3.282834,646.0
2006-02-24,3.29014,3.42602,3.29014,3.31925,3.311879,1141.0
2006-02-27,3.31925,3.38719,3.28043,3.29985,3.292522,208.0
2006-02-28,3.29985,3.32896,3.26102,3.26102,3.253779,471.0
2006-03-01,3.25131,3.31925,2.99897,3.13485,3.127889,306.0
2006-03-02,3.28043,3.28043,2.79516,2.84369,2.837375,3555.0
2006-03-03,2.87281,3.07662,2.87281,2.90192,2.895476,1798.0
2006-03-06,2.90192,2.91162,2.6884,2.75634,2.750219,500120.0
2006-03-07,2.85339,2.85339,2.72722,2.74664,2.740541,295.0
2006-03-08,2.79516,2.85339,2.72722,2.72722,2.721164,208.0
2006-03-09,2.72722,2.72722,2.6981,2.6981,2.692109,32.0
2006-03-10,2.65929,2.79516,2.49429,2.6981,2.692109,269.0
2006-03-13,2.75634,2.79516,2.75634,2.78545,2.779265,25.0
2006-03-14,2.81458,2.92133,2.81458,2.87281,2.866431,164.0
2006-03-15,2.91162,2.97956,2.91162,2.91162,2.905154,31.0
2006-03-16,2.94074,2.96986,2.87281,2.87281,2.866431,277.0
2006-03-17,2.94074,3.03779,2.94074,2.94074,2.93421,628.0
2006-03-20,2.94074,2.96986,2.90192,2.96986,2.963265,1073.0
2006-03-21,3.03779,3.34837,3.02809,3.25131,3.24409,1162.0
2006-03-22,3.29014,3.29014,3.07662,3.07662,3.069788,379.0
2006-03-23,2.97956,2.97956,2.97956,2.97956,2.972944,61.0
2006-03-24,2.95045,2.95045,2.92133,2.94074,2.93421,35.0
2006-03-27,3.07662,3.2222,3.07662,3.07662,3.069788,360.0
2006-03-28,3.0475,3.28043,3.0475,3.28043,3.273146,35.0
2006-03-29,3.26102,3.28043,3.15426,3.2222,3.215045,132.0
2006-03-30,3.15426,3.29014,3.15426,3.29014,3.282834,92.0
2006-03-31,3.32896,4.27039,3.32896,4.27039,4.260907,6140.0
2006-04-03,4.37714,5.31858,4.37714,5.1827,5.171192,14657.0
2006-04-04,5.46415,5.98825,4.8333,5.14387,5.132448,28712.0
2006-04-05,5.35739,5.38651,4.79448,4.79448,4.783834,14238.0
2006-04-06,,,,,,
2006-04-07,4.8333,4.90124,4.55185,4.6586,4.648255,5527.0
2006-04-10,4.68772,4.90124,4.20245,4.75566,4.7451,16333.0
2006-04-11,4.93035,5.03712,4.61979,4.72654,4.716044,8932.0
2006-04-12,4.72654,4.72654,4.20245,4.27039,4.260907,10643.0
2006-04-13,,,,,,
2006-04-14,,,,,,
2006-04-17,4.30921,4.44508,4.30921,4.30921,4.299641,4200.0
2006-04-18,4.40626,4.44508,4.20245,4.20245,4.193118,3885.0
2006-04-19,,,,,,
2006-04-20,4.27039,4.30921,4.05687,4.05687,4.047862,3368.0
2006-04-21,4.09569,4.55185,4.05687,4.40626,4.396476,10574.0
2006-04-24,4.44508,4.96918,4.40626,4.90124,4.890357,16453.0
2006-04-25,5.008,5.14387,4.40626,4.51302,4.502998,20168.0
2006-04-26,4.58096,4.6586,4.27039,4.30921,4.299641,7562.0
2006-04-27,4.33833,4.37714,4.27039,4.27039,4.260907,2353.0
2006-04-28,4.33833,4.61979,4.27039,4.37714,4.36742,9312.0
2006-05-01,,,,,,
2006-05-02,4.44508,4.44508,4.02775,4.20245,4.193118,10893.0
2006-05-03,4.27039,4.44508,3.88217,3.98893,3.980072,61788.0
2006-05-04,4.02775,4.40626,4.02775,4.20245,4.193118,32521.0
2006-05-05,,,,,,
2006-05-08,4.27039,4.30921,4.20245,4.20245,4.193118,13040.0
2006-05-09,4.23156,4.27039,4.02775,4.09569,4.086595,10815.0
2006-05-10,4.20245,4.20245,4.02775,4.05687,4.047862,8499.0
2006-05-11,4.09569,4.09569,3.9501,3.9501,3.941329,5209.0
2006-05-12,,,,,,
2006-05-15,3.81423,3.81423,3.63954,3.67835,3.670182,5245.0
2006-05-16,3.77541,3.81423,3.50366,3.77541,3.767026,9413.0
2006-05-17,3.85306,3.92099,3.63954,3.70747,3.699237,9839.0
2006-05-18,3.5716,3.67835,3.5716,3.5716,3.563669,2862482.0
2006-05-19,3.5716,3.70747,3.5716,3.5716,3.563669,3606907.0
2006-05-22,3.5716,3.60071,3.29014,3.29014,3.282834,3213.0
2006-05-23,3.29014,3.50366,3.29014,3.42602,3.418412,4614.0
2006-05-24,3.44543,3.45513,3.2222,3.23191,3.224733,3261.0
2006-05-25,3.2222,3.2222,3.13485,3.16397,3.156944,4393.0
2006-05-26,3.16397,3.23191,3.15426,3.16397,3.156944,3777.0
2006-05-29,3.16397,3.16397,2.99897,3.02809,3.021366,2654503.0
2006-05-30,3.00868,3.09603,2.94074,2.94074,2.93421,1780.0
2006-05-31,2.87281,2.87281,2.6981,2.6981,2.692109,1643.0
2006-06-01,2.72722,2.91162,2.6981,2.90192,2.895476,3634.0
2006-06-02,2.88251,3.4066,2.82428,3.31925,3.311879,13757.0
2006-06-05,3.34837,3.37749,3.15426,3.16397,3.156944,1952.0
2006-06-06,3.07662,3.13485,3.0475,3.0475,3.040733,1425.0
2006-06-07,3.06691,3.09603,3.03779,3.0475,3.040733,445.0
2006-06-08,3.03779,3.0475,2.88251,2.88251,2.876109,614.0
2006-06-09,2.92133,2.92133,2.85339,2.87281,2.866431,180.0
2006-06-12,,,,,,
2006-06-13,,,,,,
2006-06-14,2.87281,2.87281,2.65929,2.6981,2.692109,215.0
2006-06-15,2.72722,2.75634,2.57193,2.64958,2.643696,577.0
2006-06-16,2.6981,2.79516,2.6884,2.74664,2.740541,1266.0
2006-06-19,2.72722,2.75634,2.6981,2.71752,2.711486,168.0
2006-06-20,2.6981,2.6981,2.60105,2.60105,2.595274,340.0
2006-06-21,2.64958,3.02809,2.64958,2.94074,2.93421,17997.0
2006-06-22,2.99897,3.4066,2.97956,3.38719,3.379669,42014.0
2006-06-23,3.35808,3.53277,3.31925,3.53277,3.524925,36631.0
2006-06-26,3.5716,3.81423,3.17367,3.17367,3.166623,26735.0
2006-06-27,3.28043,3.60071,3.28043,3.50366,3.49588,23159.0
2006-06-28,3.53277,4.02775,3.47454,3.9501,3.941329,46639.0
2006-06-29,4.05687,4.20245,3.88217,4.20245,4.193118,25351.0
