Date,Open,High,Low,Close,Adj Close,Volume
2004-10-27,8.23821,8.95794,7.6683,7.80809,5.958183,2510259.0
2004-10-28,8.16796,8.31778,7.73784,7.88766,6.018901,81133990.0
2004-10-29,7.88766,8.0977,7.80809,7.80809,5.958183,34879800.0
2004-11-01,7.95792,8.31778,7.80809,7.95792,6.072515,68174223.0
2004-11-02,8.0977,8.16796,7.80809,7.88766,6.018901,27545222.0
2004-11-03,7.95792,8.0977,7.6683,7.80809,5.958183,32844269.0
2004-11-04,7.88766,7.88766,7.45826,7.45826,5.691235,15909416.0
2004-11-05,7.59805,7.59805,6.73853,6.73853,5.142025,23197680.0
2004-11-08,6.73853,6.76792,6.41809,6.51845,4.974087,8526294.0
2004-11-09,6.5586,6.73853,6.48834,6.62813,5.057781,5404924.0
2004-11-10,6.66828,6.80806,6.48834,6.5586,5.004724,5837503.0
2004-11-11,6.59802,6.59802,6.26827,6.30841,4.813809,3291555.0
2004-11-12,6.37866,6.62813,6.33852,6.62813,5.057781,5971280.0
2004-11-15,6.66828,7.16793,6.62813,7.1285,5.439602,17210359.0
2004-11-16,7.23818,7.23818,6.91846,6.94857,5.302302,12414057.0
2004-11-17,6.91846,7.02814,6.91846,6.94857,5.302302,1630572.0
2004-11-18,6.988,7.1285,6.94857,7.02814,5.363019,2923006.0
2004-11-19,7.16793,7.23818,7.02814,7.05825,5.385996,11558944.0
2004-11-22,6.988,6.988,6.87832,6.988,5.33239,2354000.0
2004-11-23,7.02814,7.02814,6.94857,6.94857,5.302302,769601.0
2004-11-24,7.02814,7.02814,6.91846,6.91846,5.279325,1142196.0
2004-11-25,6.988,7.16793,6.988,7.02814,5.363019,6580320.0
2004-11-26,7.0984,7.0984,6.87832,6.91846,5.279325,3027628.0
2004-11-29,6.94857,6.988,6.91846,6.988,5.33239,3057341.0
2004-11-30,6.80806,6.87832,6.76792,6.84821,5.460126,2344794.0
2004-12-01,6.80806,6.91846,6.76792,6.76792,5.39611,1615088.0
2004-12-02,6.84821,6.91846,6.73853,6.73853,5.372678,2798157.0
2004-12-03,6.76792,6.76792,6.69838,6.69838,5.340666,781598.0
2004-12-06,,,,,,
2004-12-07,6.66828,6.66828,6.4482,6.4482,5.141196,994330.0
2004-12-08,6.48834,6.48834,6.19873,6.26827,4.997736,2101512.0
2004-12-09,6.23816,6.37866,6.23816,6.30841,5.02974,1578959.0
2004-12-10,,,,,,
2004-12-13,6.30841,6.30841,6.05822,6.05822,4.830261,839907.0
2004-12-14,6.12848,6.4482,6.08833,6.08833,4.854269,6717585.0
2004-12-15,6.08833,6.26827,6.08833,6.19873,4.942292,4967756.0
2004-12-16,6.23816,6.23816,6.05822,6.08833,4.854269,2149359.0
2004-12-17,6.12848,6.30841,6.08833,6.23816,4.97373,3709765.0
2004-12-20,6.19873,6.33852,6.19873,6.26827,4.997736,2719341.0
2004-12-21,6.30841,6.5586,6.30841,6.33852,5.053747,1306301.0
2004-12-22,6.4482,6.48834,6.26827,6.26827,4.997736,513724.0
2004-12-23,6.30841,6.30841,6.16862,6.16862,4.918284,115782.0
2004-12-24,6.16862,6.19873,6.08833,6.16862,4.918284,770587.0
2004-12-27,5.94854,6.05822,5.87829,5.87829,4.686802,1046909.0
2004-12-28,5.98869,5.98869,5.87829,5.87829,4.686802,467452.0
2004-12-29,5.94854,5.94854,5.80876,5.83886,4.655365,400773.0
2004-12-30,5.83886,5.9084,5.83886,5.83886,4.655365,214052.0
2004-12-31,,,,,,
2005-01-04,5.83886,5.94854,5.80876,5.94854,4.742814,233705.0
2005-01-05,5.94854,6.08833,5.94854,6.0188,4.798832,3612815.0
2005-01-06,6.12848,6.26827,6.08833,6.26827,4.997736,5332944.0
2005-01-07,6.51845,6.73853,6.4482,6.62813,5.284655,128431.0
2005-01-10,6.69838,7.1285,6.66828,7.05825,5.627593,358051.0
2005-01-11,7.0984,7.0984,6.87832,6.87832,5.484134,11773210.0
2005-01-12,6.87832,6.94857,6.80806,6.80806,5.428114,7481606.0
2005-01-13,6.87832,6.87832,6.66828,6.69838,5.340666,82702.0
2005-01-14,6.66828,6.91846,6.59802,6.91846,5.516137,214052.0
2005-01-17,6.988,7.05825,6.91846,6.91846,5.516137,254917.0
2005-01-18,6.94857,6.988,6.87832,6.988,5.571582,19460.0
2005-01-19,7.05825,7.1285,6.91846,6.91846,5.516137,8155513.0
2005-01-20,6.91846,6.91846,6.84821,6.87832,5.484134,249079.0
2005-01-21,6.87832,6.91846,6.69838,6.73853,5.372678,110918.0
2005-01-24,6.80806,6.80806,6.59802,6.62813,5.284655,881505.0
2005-01-25,6.59802,6.73853,6.59802,6.69838,5.340666,270483.0
2005-01-26,6.76792,6.76792,6.66828,6.66828,5.316667,305511.0
2005-01-27,6.73853,6.73853,6.59802,6.59802,5.260648,486482.0
2005-01-28,6.62813,6.69838,6.62813,6.62813,5.284655,183856.0
2005-01-31,6.62813,6.66828,6.5586,6.62813,5.284655,916630.0
2005-02-01,6.62813,6.84821,6.62813,6.76792,5.39611,2427515.0
2005-02-02,6.84821,6.94857,6.76792,6.76792,5.39611,4934403.0
2005-02-03,6.87832,6.91846,6.84821,6.91846,5.516137,3074917.0
2005-02-04,6.94857,6.988,6.87832,6.94857,5.540144,4337499.0
2005-02-07,7.02814,7.05825,6.87832,6.94857,5.540144,2696603.0
2005-02-08,6.988,6.988,6.87832,6.94857,5.540144,212106.0
2005-02-09,6.94857,7.02814,6.91846,6.94857,5.540144,3067245.0
