Date,Open,High,Low,Close,Adj Close,Volume
2004-10-05,3.9,3.96,3.12,3.26,2.610563,4004074.0
2004-10-06,3.3,3.66,3.2,3.34,2.674625,408269500.0
2004-10-07,3.36,3.42,3.16,3.16,2.530484,112418500.0
2004-10-08,3.12,3.24,3.1,3.24,2.594547,54008100.0
2004-10-11,3.22,3.44,3.22,3.44,2.754704,106787600.0
2004-10-12,3.4,3.42,3.26,3.3,2.642594,49375300.0
2004-10-13,3.36,3.6,3.3,3.6,2.88283,80078800.0
2004-10-14,3.5,3.86,3.44,3.78,3.026971,137753500.0
2004-10-15,3.78,3.94,3.72,3.74,2.99494,150206300.0
2004-10-18,3.74,3.78,3.48,3.5,2.802752,54879800.0
2004-10-19,3.6,3.68,3.58,3.66,2.930877,46982200.0
2004-10-20,3.62,3.64,3.5,3.56,2.850799,38955900.0
2004-10-21,3.58,3.64,3.5,3.52,2.818768,34134700.0
2004-10-22,3.56,3.74,3.54,3.74,2.99494,44411900.0
2004-10-25,,,,,,
2004-10-26,3.7,3.7,3.6,3.64,2.914862,38971300.0
2004-10-27,3.56,3.6,3.42,3.42,2.738689,33825600.0
2004-10-28,3.52,3.56,3.42,3.46,2.77072,35636800.0
2004-10-29,3.44,3.52,3.42,3.46,2.77072,19011100.0
2004-11-01,3.48,3.5,3.4,3.42,2.738689,10328100.0
2004-11-02,3.46,3.5,3.42,3.42,2.738689,10806700.0
2004-11-03,3.46,3.56,3.44,3.46,2.77072,45249800.0
2004-11-04,3.46,3.46,3.3,3.3,2.642594,18395600.0
2004-11-05,3.36,3.38,3.02,3.02,2.418374,64783900.0
2004-11-08,3.04,3.04,2.9,2.92,2.338295,16248500.0
2004-11-09,2.94,3.12,2.92,3.12,2.498453,20514400.0
2004-11-10,3.1,3.18,3.06,3.08,2.466421,23673500.0
2004-11-11,3.08,3.1,3.0,3.0,2.402359,10190400.0
2004-11-12,3.02,3.34,3.02,3.32,2.65861,48215500.0
2004-11-15,3.38,3.56,3.38,3.54,2.834783,66802300.0
2004-11-16,3.54,3.54,3.42,3.46,2.77072,24945500.0
2004-11-17,3.48,3.5,3.38,3.42,2.738689,11000200.0
2004-11-18,3.44,3.5,3.42,3.44,2.754704,15119000.0
2004-11-19,3.48,3.52,3.44,3.48,2.786736,47548100.0
2004-11-22,3.4,3.4,3.32,3.34,2.674625,15061600.0
2004-11-23,3.38,3.4,3.36,3.38,2.706658,4637400.0
2004-11-24,3.4,3.46,3.34,3.34,2.674625,12788700.0
2004-11-25,3.38,3.5,3.38,3.44,2.754704,39232600.0
2004-11-26,3.46,3.48,3.36,3.38,2.706658,13034000.0
2004-11-29,3.42,3.48,3.38,3.48,2.786736,10240400.0
2004-11-30,3.46,3.5,3.44,3.46,2.77072,24513000.0
2004-12-01,3.48,3.64,3.44,3.6,2.88283,41683100.0
2004-12-02,3.68,3.68,3.6,3.6,2.88283,37110100.0
2004-12-03,3.62,3.64,3.56,3.56,2.850799,9601100.0
2004-12-06,,,,,,
2004-12-07,3.52,3.54,3.5,3.54,2.834783,4581000.0
2004-12-08,3.54,3.72,3.54,3.7,2.962909,54524200.0
