Date,Open,High,Low,Close,Adj Close,Volume
2005-12-06,2.54,2.58,2.34,2.4,0.903889,48228300.0
2005-12-07,2.42,2.48,2.14,2.18,0.821033,4774300.0
2005-12-08,2.2,2.38,2.18,2.32,0.873759,3105200.0
2005-12-09,2.36,2.4,2.3,2.34,0.881292,662.0
2005-12-13,2.32,2.34,2.3,2.32,0.873759,109000.0
2005-12-14,2.3,2.34,2.26,2.26,0.851162,444900.0
2005-12-15,2.26,2.3,2.26,2.28,0.858695,143100.0
2005-12-16,2.24,2.28,2.24,2.24,0.84363,118000.0
2005-12-19,2.26,2.34,2.26,2.34,0.881292,12000.0
2005-12-20,2.3,2.3,2.26,2.26,0.851162,227000.0
2005-12-21,2.24,2.3,2.24,2.26,0.851162,59200.0
2005-12-22,2.26,2.3,2.2,2.3,0.866227,68300.0
2005-12-23,2.22,2.26,2.14,2.26,0.851162,45000.0
2005-12-26,2.26,2.28,2.26,2.28,0.858695,46200.0
2005-12-27,2.3,2.32,2.3,2.32,0.873759,130300.0
2005-12-28,2.26,2.3,2.26,2.3,0.866227,60000.0
2005-12-29,2.3,2.34,2.24,2.28,0.858695,409000.0
2005-12-30,2.32,2.32,2.24,2.3,0.866227,53900.0
2006-01-03,2.3,2.3,2.24,2.24,0.84363,0.0
2006-01-04,2.3,2.3,2.28,2.28,0.858695,71000.0
2006-01-05,2.28,2.32,2.16,2.3,0.866227,209800.0
2006-01-06,2.3,2.3,2.3,2.3,0.866227,20000.0
2006-01-09,2.3,2.32,2.3,2.32,0.873759,17500.0
2006-01-10,2.3,2.32,2.16,2.32,0.873759,185600.0
2006-01-11,2.3,2.3,2.3,2.3,0.866227,18100.0
2006-01-12,2.3,2.34,2.24,2.26,0.851162,165600.0
2006-01-13,2.3,2.32,2.22,2.3,0.866227,408500.0
2006-01-16,2.26,2.3,2.24,2.3,0.866227,5700.0
2006-01-17,2.24,2.3,2.24,2.3,0.866227,11100.0
2006-01-18,2.24,2.3,2.24,2.3,0.866227,47000.0
2006-01-19,2.3,2.3,2.3,2.3,0.866227,2500.0
2006-01-20,2.3,2.36,2.3,2.36,0.888824,322600.0
2006-01-23,2.38,2.38,2.32,2.32,0.873759,2500.0
2006-01-24,2.3,2.4,2.3,2.38,0.896357,31600.0
2006-01-25,2.38,2.38,2.34,2.36,0.888824,32200.0
2006-01-26,2.4,2.4,2.3,2.38,0.896357,94000.0
2006-01-27,2.36,2.36,2.32,2.32,0.873759,0.0
2006-01-30,2.36,2.38,2.36,2.38,0.896357,52900.0
