Date,Open,High,Low,Close,Adj Close,Volume
2003-12-30,11.7029,12.054,9.53789,10.2986,3.606041,39528972.0
2003-12-31,10.4156,10.4156,9.36235,9.36235,3.278215,6145040.0
2004-01-01,,,,,,
2004-01-02,,,,,,
2004-01-05,9.42086,10.006,9.24532,9.36235,3.278215,3737951.0
2004-01-06,9.59641,9.59641,8.89423,8.89423,3.114303,2206284.0
2004-01-07,8.89423,9.1868,8.30908,8.30908,2.909414,4047275.0
2004-01-08,8.54314,8.7772,8.48463,8.7772,3.073325,2374618.0
2004-01-09,8.89423,9.01126,8.42611,8.42611,2.950392,2345993.0
2004-01-12,8.48463,8.71869,8.3676,8.42611,2.950392,1933703.0
2004-01-13,8.42611,8.60166,8.19205,8.30908,2.909414,2190476.0
2004-01-14,8.42611,8.60166,8.30908,8.48463,2.970882,2347702.0
2004-01-15,8.48463,9.59641,8.3676,9.01126,3.155281,10022699.0
2004-01-16,9.1868,9.36235,8.71869,8.83572,3.093816,4746245.0
2004-01-19,,,,,,
2004-01-20,8.54314,8.66017,8.48463,8.54314,2.991369,1468008.0
2004-01-21,8.54314,8.89423,8.30908,8.3676,2.929904,1999498.0
2004-01-22,8.42611,8.54314,8.30908,8.3676,2.929904,588314.0
2004-01-23,8.25057,8.42611,8.19205,8.42611,2.950392,755793.0
2004-01-26,,,,,,
2004-01-27,8.13354,8.25057,7.84097,8.07503,2.827461,4139133.0
2004-01-28,8.07503,8.13354,7.31433,7.31433,2.561103,788264.0
2004-01-29,,,,,,
2004-01-30,7.25582,7.25582,6.67067,6.7877,2.376704,446042.0
2004-02-02,,,,,,
2004-02-03,5.9685,6.67067,5.9685,6.67067,2.335726,411435.0
2004-02-04,6.72919,7.25582,6.72919,7.25582,2.540616,695125.0
2004-02-05,,,,,,
2004-02-06,7.72394,8.19205,7.37285,7.37285,2.581594,1914904.0
2004-02-09,7.66542,7.72394,7.43136,7.54839,2.643059,443906.0
2004-02-10,,,,,,
2004-02-11,7.72394,7.84097,7.60691,7.60691,2.66355,273436.0
2004-02-12,7.66542,7.72394,7.54839,7.60691,2.66355,444333.0
2004-02-13,,,,,,
2004-02-16,7.60691,7.66542,7.13879,7.48988,2.622572,291807.0
2004-02-17,,,,,,
2004-02-18,7.31433,7.66542,7.31433,7.48988,2.622572,248656.0
2004-02-19,,,,,,
2004-02-20,,,,,,
2004-02-23,7.08028,7.08028,7.02176,7.02176,2.45866,19226.0
2004-02-24,7.02176,7.02176,6.84622,7.02176,2.45866,236693.0
2004-02-25,,,,,,
2004-02-26,6.55364,6.67067,6.55364,6.67067,2.335726,199523.0
