Date,Open,High,Low,Close,Adj Close,Volume
2015-05-18,26.25,27.25,26.0,26.0,23.865429,134638900
2015-05-19,26.5,28.0,26.5,27.75,25.471754,115939900
2015-05-20,27.75,28.25,27.0,27.25,25.012804,77842000
2015-05-21,27.25,27.5,26.75,26.75,24.553852,32472500
2015-05-22,27.0,27.25,26.5,26.75,24.553852,19367000
2015-05-25,27.0,27.5,26.75,27.25,25.012804,35048100
2015-05-26,27.5,27.5,26.5,26.5,24.324379,18951600
2015-05-27,26.5,27.0,26.25,26.75,24.553852,11931000
2015-05-28,26.75,27.0,26.5,26.75,24.553852,8782300
2015-05-29,27.0,27.25,26.5,26.75,24.553852,20430600
2015-06-02,26.75,26.75,26.0,26.25,24.0949,20979800
2015-06-03,26.25,26.5,26.0,26.25,24.0949,10623900
2015-06-04,26.5,26.5,26.0,26.25,24.0949,9291100
2015-06-05,26.5,26.75,26.25,26.5,24.324379,12448600
2015-06-08,26.5,27.0,26.5,26.5,24.324379,11432400
2015-06-09,26.5,26.75,26.25,26.25,24.0949,13657800
2015-06-10,26.5,26.75,26.25,26.5,24.324379,8383400
2015-06-11,26.75,27.0,26.5,26.5,24.324379,11827700
2015-06-12,26.75,26.75,26.5,26.5,24.324379,2424700
2015-06-15,26.5,26.75,26.25,26.5,24.324379,5036900
2015-06-16,26.5,26.75,26.25,26.5,24.324379,4402000
2015-06-17,26.5,26.5,26.25,26.25,24.0949,2405600
2015-06-18,26.5,26.5,26.25,26.25,24.0949,6133500
2015-06-19,26.5,26.5,26.0,26.25,24.0949,8571700
2015-06-22,26.25,26.25,26.0,26.25,24.0949,6983300
2015-06-23,26.25,26.25,26.0,26.0,23.865429,2348100
2015-06-24,26.0,26.5,26.0,26.25,24.0949,5747000
2015-06-25,26.25,26.5,26.0,26.0,23.865429,3028300
2015-06-26,26.25,26.25,26.0,26.25,24.0949,2011700
2015-06-29,26.0,26.25,25.75,26.0,23.865429,7648700
2015-06-30,26.0,26.25,25.75,26.0,23.865429,4488200
2015-07-02,26.0,26.25,25.75,26.0,23.865429,4539300
2015-07-03,26.25,26.25,25.75,26.0,23.865429,2931300
2015-07-06,25.75,26.0,25.5,25.5,23.406479,3538600
2015-07-07,25.75,26.0,25.5,25.5,23.406479,1614900
2015-07-08,25.5,25.75,25.25,25.25,23.177,2534400
2015-07-09,25.5,25.5,25.0,25.25,23.177,3264500
2015-07-10,25.5,25.5,25.25,25.5,23.406479,1765800
2015-07-13,25.5,25.75,25.25,25.5,23.406479,1601900
2015-07-14,25.5,26.0,25.25,25.5,23.406479,9875400
2015-07-15,25.75,25.75,25.5,25.5,23.406479,1818300
2015-07-16,25.5,25.5,25.0,25.25,23.177,2665000
2015-07-17,25.25,25.25,24.799999,24.9,22.855736,6609600
2015-07-20,24.9,24.9,24.5,24.5,22.488579,3934900
2015-07-21,24.5,24.6,23.700001,23.799999,21.846045,7031900
2015-07-22,23.799999,24.6,23.5,24.5,22.488579,6111200
2015-07-23,24.5,24.6,24.200001,24.200001,22.213205,1785200
2015-07-24,24.200001,24.200001,23.9,23.9,21.937834,1948800
