Date,Open,High,Low,Close,Adj Close,Volume
1993-02-01,3.77,3.77,3.42,3.45,0.118368,25744302.0
1993-02-02,3.45,3.45,3.29,3.42,0.117339,9664786.0
1993-02-03,3.45,3.74,3.42,3.69,0.126602,30880169.0
1993-02-04,3.66,3.88,3.64,3.66,0.125573,29744227.0
1993-02-05,3.74,3.91,3.74,3.91,0.13415,15082783.0
1993-02-08,3.93,4.07,3.91,3.99,0.136895,12489791.0
1993-02-09,4.01,4.09,3.88,3.88,0.133121,3847724.0
1993-02-10,3.88,3.93,3.77,3.77,0.129347,4061178.0
1993-02-11,3.74,3.74,3.53,3.64,0.124887,1818992.0
1993-02-12,3.61,3.69,3.53,3.66,0.125573,1046848.0
1993-02-15,3.69,3.72,3.61,3.72,0.127631,1930359.0
1993-02-16,3.72,3.72,3.58,3.64,0.124887,905784.0
1993-02-17,3.56,3.58,3.45,3.45,0.118368,599525.0
1993-02-18,3.53,3.56,3.37,3.37,0.115623,374935.0
1993-02-19,3.34,3.56,3.34,3.5,0.120083,248719.0
1993-02-22,3.45,3.45,3.29,3.29,0.112878,683050.0
1993-02-23,3.37,3.48,3.37,3.45,0.118368,1683495.0
1993-02-24,3.5,3.56,3.39,3.39,0.116309,2184646.0
1993-02-25,3.45,3.48,3.39,3.39,0.116309,558690.0
1993-02-26,3.39,3.39,3.31,3.34,0.114594,584676.0
1993-03-01,3.31,3.31,3.18,3.21,0.110134,612518.0
1993-03-02,3.21,3.26,3.18,3.26,0.111849,709036.0
1993-03-03,3.29,3.37,3.26,3.34,0.114594,1757740.0
1993-03-04,3.31,3.37,3.29,3.34,0.114594,705323.0
1993-03-05,3.31,3.39,3.31,3.37,0.115623,1141510.0
1993-03-08,,,,,,
1993-03-09,3.37,3.42,3.37,3.42,0.117339,2320143.0
1993-03-10,3.42,3.42,3.37,3.42,0.117339,707179.0
1993-03-11,3.42,3.42,3.34,3.34,0.114594,1249165.0
1993-03-12,3.34,3.39,3.34,3.37,0.115623,1625956.0
1993-03-15,3.34,3.37,3.31,3.34,0.114594,725741.0
1993-03-16,3.34,3.39,3.34,3.39,0.116309,1540575.0
1993-03-17,3.37,3.5,3.37,3.5,0.120083,1462618.0
1993-03-18,3.5,3.56,3.5,3.56,0.122142,1828272.0
1993-03-19,3.56,3.72,3.56,3.72,0.127631,2747049.0
1993-03-22,3.72,3.72,3.5,3.53,0.121113,761007.0
1993-03-23,3.5,3.53,3.5,3.53,0.121113,519712.0
1993-03-24,3.53,3.56,3.5,3.56,0.122142,580964.0
1993-03-25,3.56,3.64,3.56,3.61,0.123857,848244.0
1993-03-26,3.64,3.64,3.56,3.58,0.122828,129928.0
1993-03-29,3.58,3.58,3.48,3.5,0.120083,376791.0
1993-03-30,3.5,3.53,3.45,3.53,0.121113,829683.0
1993-03-31,3.45,3.5,3.45,3.5,0.120083,142921.0
1993-04-01,3.5,3.5,3.5,3.5,0.120083,189324.0
1993-04-02,3.53,3.61,3.53,3.61,0.123857,807410.0
1993-04-05,3.53,3.56,3.53,3.56,0.122142,38978.0
1993-04-06,,,,,,
1993-04-07,3.45,3.53,3.45,3.53,0.121113,38978.0
1993-04-08,3.45,3.45,3.45,3.45,0.118368,81669.0
1993-04-09,3.34,3.5,3.34,3.5,0.120083,363798.0
1993-04-12,,,,,,
1993-04-13,,,,,,
1993-04-14,,,,,,
1993-04-15,3.45,3.5,3.45,3.5,0.120083,291410.0
1993-04-16,3.5,3.53,3.5,3.53,0.121113,154057.0
1993-04-19,3.5,3.58,3.5,3.58,0.122828,497439.0
1993-04-20,3.53,3.61,3.53,3.61,0.123857,941050.0
1993-04-21,3.61,3.66,3.61,3.64,0.124887,1338258.0
1993-04-22,3.61,3.66,3.58,3.66,0.125573,2214344.0
1993-04-23,3.66,3.69,3.64,3.66,0.125573,1011582.0
1993-04-26,3.66,3.66,3.66,3.66,0.125573,1728042.0
1993-04-27,3.64,3.64,3.56,3.61,0.123857,549410.0
1993-04-28,3.61,3.61,3.58,3.61,0.123857,302547.0
1993-04-29,3.58,3.58,3.56,3.58,0.122828,291410.0
1993-04-30,3.58,3.58,3.53,3.56,0.122142,324820.0
1993-05-03,,,,,,
1993-05-04,3.53,3.53,3.39,3.5,0.120083,647784.0
1993-05-05,,,,,,
1993-05-06,3.56,3.61,3.5,3.61,0.123857,1878387.0
1993-05-07,3.61,3.64,3.61,3.64,0.124887,29698.0
1993-05-10,3.64,3.64,3.64,3.64,0.124887,478877.0
1993-05-11,3.64,3.66,3.64,3.66,0.125573,269137.0
1993-05-12,3.66,3.72,3.64,3.72,0.127631,749870.0
1993-05-13,3.64,3.69,3.61,3.66,0.125573,220878.0
1993-05-14,3.66,3.69,3.56,3.66,0.125573,198604.0
1993-05-17,3.66,3.83,3.66,3.74,0.128318,2990200.0
1993-05-18,3.74,3.88,3.69,3.85,0.132092,5135868.0
1993-05-19,3.85,3.96,3.85,3.96,0.135866,5752097.0
1993-05-20,3.93,4.15,3.93,4.07,0.13964,5974831.0
1993-05-21,4.07,4.18,4.07,4.15,0.142385,3296459.0
1993-05-24,4.12,4.18,4.04,4.18,0.143414,3186948.0
1993-05-25,4.09,4.09,4.07,4.09,0.140326,1958200.0
1993-05-26,4.04,4.04,3.99,4.04,0.13861,261712.0
1993-05-27,3.99,3.99,3.99,3.99,0.136895,18561.0
1993-05-28,3.96,4.04,3.93,4.04,0.13861,42691.0
1993-05-31,4.04,4.04,3.96,3.96,0.135866,7424.0
1993-06-01,3.96,3.96,3.96,3.96,0.135866,24129.0
1993-06-02,3.93,3.93,3.83,3.83,0.131405,1015294.0
1993-06-03,3.77,3.77,3.72,3.72,0.127631,269137.0
1993-06-04,,,,,,
1993-06-07,3.66,3.77,3.61,3.77,0.129347,193036.0
1993-06-08,3.83,3.83,3.83,3.83,0.131405,3712.0
1993-06-09,3.77,3.88,3.77,3.88,0.133121,22273.0
1993-06-10,3.88,3.88,3.8,3.8,0.130376,24129.0
1993-06-11,3.83,3.83,3.83,3.83,0.131405,87237.0
1993-06-14,4.04,4.04,3.83,3.83,0.131405,85381.0
1993-06-15,3.85,3.85,3.85,3.85,0.132092,50115.0
1993-06-16,3.85,3.99,3.85,3.96,0.135866,139209.0
