Date,Open,High,Low,Close,Adj Close,Volume
2005-12-22,2.19184,2.26531,2.03265,2.03265,0.610528,118907.0
2005-12-23,2.0449,2.09388,2.00816,2.08163,0.62524,16717.0
2005-12-26,,,,,,
2005-12-27,2.09388,2.09388,2.05714,2.06939,0.621564,1805.0
2005-12-28,2.06939,2.13061,2.06939,2.09388,0.628919,9800.0
2005-12-29,2.10612,2.13061,2.09388,2.09388,0.628919,6517.0
2005-12-30,2.10612,2.10612,2.06939,2.06939,0.621564,1323.0
2006-01-03,2.08163,2.16735,2.08163,2.16735,0.650987,8183.0
2006-01-04,2.16735,2.19184,2.16735,2.16735,0.650987,6525.0
2006-01-05,2.16735,2.19184,2.1551,2.16735,0.650987,8183.0
2006-01-06,2.16735,2.17959,2.1551,2.1551,0.647307,3406.0
2006-01-09,2.1551,2.1551,2.10612,2.11837,0.636275,768.0
2006-01-10,2.11837,2.1551,2.09388,2.13061,0.639952,1519.0
2006-01-11,2.13061,2.13061,2.10612,2.10612,0.632596,1078.0
2006-01-12,2.13061,2.1551,2.09388,2.13061,0.639952,5790.0
2006-01-13,2.13061,2.13061,2.10612,2.10612,0.632596,547.0
2006-01-16,2.10612,2.10612,2.09388,2.09388,0.628919,515.0
2006-01-17,2.09388,2.10612,2.08163,2.10612,0.632596,915.0
2006-01-18,2.10612,2.14286,2.08163,2.08163,0.62524,1331.0
2006-01-19,2.13061,2.13061,2.09388,2.09388,0.628919,433.0
2006-01-20,2.11837,2.13061,2.09388,2.09388,0.628919,1160.0
2006-01-23,2.11837,2.11837,2.10612,2.10612,0.632596,531.0
2006-01-24,2.10612,2.10612,2.08163,2.08163,0.62524,229.0
2006-01-25,2.09388,2.09388,2.08163,2.08163,0.62524,956.0
2006-01-26,2.09388,2.11837,2.09388,2.09388,0.628919,1601.0
2006-01-27,2.06939,2.09388,2.06939,2.08163,0.62524,580.0
2006-01-30,,,,,,
2006-01-31,2.06939,2.09388,2.06939,2.06939,0.621564,833.0
2006-02-01,2.08163,2.08163,2.0449,2.05714,0.617884,1258.0
2006-02-02,1.99947,2.0269,1.97388,2.0269,0.608801,482.0
2006-02-03,1.99714,2.02286,1.97143,2.02286,0.607588,482.0
2006-02-06,2.02041,2.03265,2.00816,2.00816,0.603173,711.0
2006-02-07,2.00816,2.06939,2.00816,2.03265,0.610528,825.0
2006-02-08,2.05714,2.05714,2.0449,2.0449,0.614208,408.0
2006-02-09,2.0449,2.05714,2.0449,2.05714,0.617884,180.0
2006-02-10,2.0449,2.05714,2.03265,2.05714,0.617884,245.0
2006-02-13,,,,,,
2006-02-14,,,,,,
2006-02-15,2.03265,2.05714,2.03265,2.0449,0.614208,809.0
2006-02-16,2.0449,2.05714,2.03265,2.05714,0.617884,1405.0
2006-02-17,2.06939,2.11837,2.05714,2.10612,0.632596,5513.0
