Date,Open,High,Low,Close,Adj Close,Volume
2015-09-14,11.1,11.2,11.1,11.2,10.093783,358300
2015-09-15,11.2,11.2,11.1,11.2,10.093783,354500
2015-09-16,11.2,11.2,11.0,11.1,10.003661,1374100
2015-09-17,11.1,11.2,11.0,11.1,10.003661,6128600
2015-09-18,11.1,11.2,11.0,11.1,10.003661,3619800
2015-09-21,11.1,11.2,11.1,11.2,10.093783,807400
2015-09-22,11.2,11.2,11.0,11.1,10.003661,590400
2015-09-23,11.0,11.1,11.0,11.1,10.003661,1132800
2015-09-24,11.1,11.2,11.1,11.1,10.003661,430400
2015-09-25,11.1,11.2,11.1,11.2,10.093783,266400
2015-09-28,11.2,11.2,11.1,11.2,10.093783,596000
2015-09-29,11.2,11.2,11.1,11.2,10.093783,165700
2015-09-30,11.2,11.2,11.1,11.1,10.003661,270300
2015-10-01,11.2,11.2,11.1,11.2,10.093783,109100
2015-10-02,11.2,11.2,11.1,11.2,10.093783,205400
2015-10-05,11.2,11.2,11.1,11.1,10.003661,535900
2015-10-06,11.2,11.2,11.1,11.1,10.003661,2867300
2015-10-07,11.1,11.2,11.1,11.2,10.093783,198600
2015-10-08,11.2,11.2,11.1,11.2,10.093783,155500
2015-10-09,11.1,11.2,11.1,11.1,10.003661,508000
2015-10-12,11.2,11.2,11.1,11.2,10.093783,369500
2015-10-13,11.2,11.2,11.2,11.2,10.093783,34300
2015-10-14,11.2,11.2,11.1,11.1,10.003661,806100
2015-10-15,11.1,11.2,11.1,11.2,10.093783,43100
2015-10-16,11.1,11.3,11.1,11.3,10.183908,1947600
2015-10-19,11.2,11.5,11.2,11.5,10.364153,1693300
2015-10-20,11.5,11.5,11.4,11.4,10.274031,1635400
2015-10-21,11.5,11.5,11.3,11.4,10.274031,377800
2015-10-22,11.4,11.5,11.3,11.5,10.364153,2336500
2015-10-26,11.5,11.5,11.4,11.5,10.364153,772600
2015-10-27,11.4,11.6,11.4,11.4,10.274031,1693300
2015-10-28,11.5,11.5,11.4,11.5,10.364153,289100
2015-10-29,11.4,11.5,11.4,11.4,10.274031,255500
2015-10-30,11.4,11.5,11.4,11.5,10.364153,609000
2015-11-02,11.5,11.5,11.4,11.4,10.274031,1334600
2015-11-03,11.5,11.6,11.5,11.6,10.454277,513800
2015-11-04,11.6,11.6,11.5,11.5,10.364153,175100
2015-11-05,11.6,11.7,11.5,11.6,10.454277,350300
2015-11-06,11.6,11.6,11.5,11.6,10.454277,167600
2015-11-09,11.5,11.6,11.4,11.5,10.364153,979100
2015-11-10,11.5,11.8,11.5,11.8,10.634523,1164700
2015-11-11,11.8,11.8,11.5,11.6,10.454277,598500
2015-11-12,11.5,11.6,11.4,11.4,10.274031,598500
2015-11-13,11.5,11.7,11.4,11.7,10.544399,1026500
2015-11-16,11.7,12.0,11.7,11.9,10.724646,2114200
2015-11-17,12.0,12.0,11.6,11.7,10.544399,1613500
2015-11-18,11.7,11.8,11.4,11.5,10.364153,2157100
2015-11-19,11.5,11.6,11.5,11.6,10.454277,788600
2015-11-20,11.6,11.7,11.5,11.6,10.454277,1668700
2015-11-23,11.6,11.7,11.6,11.6,10.454277,634100
2015-11-24,11.5,11.6,11.4,11.5,10.527511,609000
2015-11-25,11.5,11.6,11.5,11.5,10.527511,541800
2015-11-26,11.6,11.6,11.5,11.5,10.527511,371100
2015-11-27,11.5,11.7,11.5,11.6,10.619054,472400
2015-11-30,11.7,11.9,11.6,11.8,10.802141,3135100
2015-12-01,11.8,11.8,11.6,11.7,10.710599,1242400
2015-12-02,11.8,11.8,11.6,11.7,10.710599,388500
2015-12-03,11.7,11.8,11.6,11.8,10.802141,568700
2015-12-04,11.7,11.8,11.6,11.7,10.710599,287600
2015-12-08,11.8,11.8,11.5,11.6,10.619054,1395100
2015-12-09,11.7,11.8,11.5,11.7,10.710599,1091500
2015-12-11,11.7,11.7,11.6,11.6,10.619054,425500
2015-12-14,11.6,11.7,11.4,11.4,10.435967,1252400
2015-12-15,11.4,11.6,11.4,11.5,10.527511,621300
2015-12-16,11.4,11.6,11.4,11.6,10.619054,98700
2015-12-17,11.5,11.7,11.4,11.7,10.710599,654000
2015-12-18,11.5,11.6,11.4,11.4,10.435967,824600
2015-12-21,11.4,11.5,11.3,11.4,10.435967,415400
2015-12-22,11.5,11.5,11.3,11.5,10.527511,615500
2015-12-23,11.5,11.5,11.3,11.3,10.344424,338200
2015-12-24,11.4,11.4,11.3,11.4,10.435967,835200
2015-12-25,11.4,11.4,11.4,11.4,10.435967,0
2015-12-28,11.4,11.4,11.2,11.3,10.344424,1047700
2015-12-29,11.3,11.5,11.3,11.5,10.527511,648500
2015-12-30,11.5,11.5,11.4,11.4,10.435967,168500
2016-01-04,11.4,11.6,11.4,11.5,10.527511,181000
2016-01-05,11.5,11.5,11.4,11.5,10.527511,172000
2016-01-06,11.6,11.8,11.4,11.8,10.802141,1834500
2016-01-07,11.8,11.9,11.6,11.7,10.710599,2367100
2016-01-08,11.7,11.7,11.6,11.7,10.710599,695600
2016-01-11,11.8,11.8,11.7,11.7,10.710599,1162200
2016-01-12,11.7,11.8,11.6,11.6,10.619054,2565700
2016-01-13,11.7,11.8,11.4,11.6,10.619054,2876900
2016-01-14,11.6,11.7,11.6,11.7,10.710599,380900
2016-01-15,11.6,11.7,11.6,11.6,10.619054,66100
2016-01-18,11.7,11.7,11.6,11.6,10.619054,327800
2016-01-19,11.7,11.7,11.5,11.7,10.710599,408800
2016-01-20,11.7,11.8,11.6,11.6,10.619054,954400
2016-01-21,11.7,11.8,11.6,11.7,10.710599,1129400
2016-01-22,11.6,11.8,11.6,11.8,10.802141,2614200
2016-01-25,11.8,11.8,11.7,11.8,10.802141,760000
2016-01-26,11.7,12.0,11.7,11.9,10.893684,2152200
2016-01-27,12.0,12.0,11.7,11.8,10.802141,1291500
2016-01-28,11.9,12.0,11.8,12.0,10.985229,1042500
2016-01-29,12.0,12.1,11.9,11.9,10.893684,790300
2016-02-01,12.0,12.1,11.9,12.0,10.985229,570700
2016-02-02,11.9,12.0,11.8,11.8,10.802141,977800
2016-02-03,11.8,12.0,11.8,11.9,10.893684,1091300
2016-02-04,11.9,12.1,11.8,12.1,11.076773,4207900
2016-02-05,12.1,12.3,12.1,12.2,11.168315,3088900
2016-02-08,12.3,12.4,12.2,12.3,11.259859,1884500
2016-02-09,12.4,12.4,12.2,12.2,11.168315,636000
2016-02-10,12.4,12.4,12.1,12.2,11.168315,770000
2016-02-11,12.2,12.4,12.1,12.3,11.259859,749700
2016-02-12,12.2,12.2,12.1,12.2,11.168315,806600
2016-02-15,12.1,12.3,12.1,12.3,11.259859,1517700
2016-02-16,12.3,12.4,12.2,12.3,11.259859,1961300
2016-02-17,12.3,12.3,12.2,12.3,11.259859,1587700
2016-02-18,12.3,12.4,12.3,12.4,11.351403,1554100
2016-02-19,12.4,12.4,12.3,12.4,11.351403,704300
2016-02-23,12.4,12.5,12.3,12.5,11.621012,1312300
2016-02-24,12.6,12.6,12.4,12.5,11.621012,263700
2016-02-25,12.7,12.8,12.6,12.8,11.899915,1672000
2016-02-26,12.8,13.4,12.8,12.9,11.992883,2406400
2016-02-29,13.1,13.1,12.9,13.0,12.085851,369100
2016-03-01,13.1,13.2,13.1,13.1,12.17882,764300
2016-03-02,13.2,13.3,13.0,13.3,12.364757,230000
2016-03-03,13.3,13.4,13.1,13.3,12.364757,1839700
2016-03-04,13.2,13.6,13.2,13.4,12.457724,2792400
2016-03-07,13.5,13.6,13.3,13.5,12.550693,1706600
2016-03-08,13.6,13.9,13.6,13.9,12.922564,2002600
2016-03-09,13.9,14.0,13.8,13.9,12.922564,1158300
2016-03-10,14.0,14.4,13.9,14.3,13.294436,3561800
2016-03-11,14.4,14.4,14.2,14.2,13.201467,1624800
2016-03-14,14.3,14.5,14.2,14.2,13.201467,843100
2016-03-15,14.2,14.4,14.2,14.3,13.294436,1114800
2016-03-16,14.3,14.3,13.4,13.6,12.643661,2826500
2016-03-17,13.6,14.1,13.6,13.8,12.829596,1834600
2016-03-18,13.9,13.9,13.5,13.8,12.829596,1503600
2016-03-21,13.6,14.1,13.6,14.0,13.015532,1196500
2016-03-22,13.8,14.3,13.8,14.2,13.201467,3432900
2016-03-23,14.0,14.1,14.0,14.0,13.015532,526600
2016-03-24,13.9,14.0,13.9,13.9,12.922564,409400
2016-03-25,13.9,14.1,13.9,13.9,12.922564,4394700
2016-03-28,13.8,13.9,13.8,13.9,12.922564,580300
2016-03-29,13.9,14.0,13.8,13.9,12.922564,1307800
2016-03-30,13.8,13.9,13.8,13.8,12.829596,1318300
2016-03-31,13.8,13.9,13.8,13.9,12.922564,3420600
2016-04-01,13.9,14.0,13.9,14.0,13.015532,914900
2016-04-04,14.0,14.0,13.9,13.9,12.922564,1407600
2016-04-05,14.0,14.1,13.9,14.0,13.015532,363200
2016-04-07,14.0,14.3,13.9,14.3,13.294436,3893100
2016-04-08,14.3,14.7,14.2,14.6,13.57334,4333300
2016-04-11,14.5,14.9,14.5,14.7,13.666307,2189200
2016-04-12,14.7,14.8,14.7,14.7,13.666307,674400
2016-04-18,14.7,14.9,14.6,14.9,13.852245,1801600
2016-04-19,15.0,15.0,14.8,14.9,13.852245,1544600
2016-04-20,15.0,15.0,14.8,15.0,13.945213,1673500
2016-04-21,15.0,15.1,14.9,14.9,13.852245,1880200
2016-04-22,14.9,15.0,14.7,14.7,13.666307,1138500
2016-04-25,14.7,14.8,14.3,14.3,13.294436,1292100
2016-04-26,14.1,14.3,14.1,14.2,13.201467,1743600
2016-04-27,14.2,14.5,14.2,14.3,13.294436,1346500
2016-04-28,14.3,14.3,14.2,14.3,13.294436,1223400
2016-04-29,14.3,14.3,13.9,13.9,12.922564,2816300
2016-05-03,13.9,14.1,13.9,14.1,13.1085,935500
2016-05-04,14.0,14.3,14.0,14.2,13.201467,1106100
2016-05-09,14.2,14.3,14.1,14.1,13.1085,712000
2016-05-10,14.2,14.4,14.1,14.1,13.1085,2470200
2016-05-11,14.3,14.3,14.1,14.1,13.1085,510000
2016-05-12,14.2,14.2,14.1,14.1,13.1085,485400
2016-05-13,14.0,14.2,13.9,14.0,13.015532,1394500
2016-05-16,14.0,14.1,13.7,13.7,12.736627,2199100
2016-05-17,13.7,14.1,13.7,13.8,12.829596,2162000
2016-05-18,13.8,14.0,13.6,13.6,12.643661,2030100
2016-05-19,13.6,13.8,13.1,13.2,12.271787,3595800
2016-05-23,13.2,13.3,13.0,13.3,12.364757,1222700
2016-05-24,13.4,13.4,13.0,13.1,12.17882,2162600
2016-05-25,13.1,13.2,13.0,13.1,12.17882,993700
2016-05-26,13.2,13.3,13.1,13.3,12.364757,514600
2016-05-27,13.5,13.8,13.5,13.6,12.643661,1012400
2016-05-30,13.7,13.9,13.7,13.9,12.922564,1294100
2016-05-31,13.9,13.9,13.6,13.6,12.643661,2105600
2016-06-01,13.7,13.9,13.7,13.8,12.829596,635500
2016-06-02,13.9,14.0,13.8,13.9,12.922564,491100
2016-06-03,14.0,14.0,13.8,13.9,12.922564,357000
2016-06-06,13.9,14.2,13.9,14.1,13.1085,1973200
2016-06-07,13.9,14.1,13.9,14.0,13.221829,910600
2016-06-08,13.9,14.0,13.9,14.0,13.221829,884300
2016-06-09,14.0,14.0,13.8,13.9,13.127388,187700
2016-06-10,14.0,14.1,13.8,13.9,13.127388,1029700
2016-06-13,14.0,14.0,13.9,14.0,13.221829,183100
2016-06-14,14.0,14.0,13.9,14.0,13.221829,231800
2016-06-15,14.0,14.0,13.9,13.9,13.127388,372000
2016-06-16,13.9,14.0,13.8,13.9,13.127388,567400
2016-06-17,13.9,14.0,13.9,14.0,13.221829,48400
2016-06-20,13.9,14.0,13.9,14.0,13.221829,587600
2016-06-21,14.0,14.2,14.0,14.2,13.410713,639100
2016-06-22,14.1,14.2,13.9,13.9,13.127388,658300
2016-06-23,14.0,14.1,14.0,14.1,13.316273,653200
2016-06-24,14.0,14.0,13.9,14.0,13.221829,771800
2016-06-27,14.0,14.2,14.0,14.1,13.316273,1193900
2016-06-28,14.1,14.4,14.1,14.3,13.505157,1509600
2016-06-29,14.3,14.5,14.3,14.5,13.694038,1500200
2016-06-30,14.4,14.6,14.3,14.6,13.78848,772300
2016-07-04,14.6,14.8,14.6,14.7,13.882922,1433600
2016-07-05,14.7,14.7,14.6,14.6,13.78848,121000
2016-07-06,14.6,14.7,14.6,14.6,13.78848,51400
2016-07-07,14.6,14.7,14.5,14.6,13.78848,408400
2016-07-08,14.6,14.6,14.4,14.4,13.599596,500800
