Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,2.35,2.35,2.25,2.25,0.62269,1017000.0
2000-01-05,2.2,2.2,2.13,2.15,0.595015,745000.0
2000-01-06,2.1,2.1,2.05,2.05,0.56734,472000.0
2000-01-07,2.05,2.08,2.02,2.05,0.56734,1117000.0
2000-01-10,2.08,2.1,2.02,2.08,0.575643,895000.0
2000-01-11,2.08,2.1,1.85,1.95,0.539665,1147000.0
2000-01-12,,,,,,
2000-01-13,1.98,2.02,1.95,2.02,0.559038,995000.0
2000-01-14,2.02,2.08,2.0,2.0,0.553503,152000.0
2000-01-17,2.02,2.02,1.95,2.0,0.553503,253000.0
2000-01-18,2.05,2.13,2.05,2.13,0.58948,620000.0
2000-01-19,2.13,2.13,2.05,2.08,0.575643,575000.0
2000-01-20,2.1,2.15,2.1,2.13,0.58948,586000.0
2000-01-21,2.15,2.23,2.05,2.05,0.56734,1035000.0
2000-01-24,2.05,2.05,2.0,2.02,0.559038,165000.0
2000-01-25,2.02,2.08,2.02,2.08,0.575643,181000.0
2000-01-26,2.08,2.15,2.05,2.08,0.575643,556000.0
2000-01-27,2.08,2.08,2.05,2.08,0.575643,55000.0
2000-01-28,2.13,2.13,2.08,2.08,0.575643,105000.0
2000-01-31,2.08,2.08,2.0,2.02,0.559038,389000.0
2000-02-01,,,,,,
2000-02-02,2.05,2.05,2.0,2.0,0.553503,130000.0
2000-02-03,2.02,2.02,2.0,2.0,0.553503,335000.0
2000-02-04,,,,,,
2000-02-07,2.0,2.0,1.98,1.98,0.547968,55000.0
2000-02-08,,,,,,
2000-02-09,2.0,2.1,2.0,2.05,0.56734,1196000.0
2000-02-10,2.08,2.23,2.08,2.18,0.603318,2085000.0
2000-02-11,2.23,2.3,2.23,2.23,0.617156,2212000.0
2000-02-14,2.27,2.38,2.25,2.25,0.62269,1929000.0
2000-02-15,2.33,2.35,2.15,2.15,0.595015,1787000.0
2000-02-16,2.2,2.2,2.08,2.08,0.575643,374000.0
2000-02-17,2.08,2.08,1.88,1.88,0.520293,1148000.0
2000-02-18,1.9,1.98,1.88,1.9,0.525828,464000.0
2000-02-21,,,,,,
2000-02-22,1.88,1.88,1.7,1.7,0.470477,695000.0
2000-02-23,1.75,1.8,1.75,1.75,0.484315,307000.0
2000-02-24,1.78,1.83,1.75,1.75,0.484315,774000.0
2000-02-25,1.75,1.85,1.75,1.8,0.498152,4518000.0
2000-02-28,1.75,1.75,1.65,1.65,0.45664,636000.0
2000-02-29,1.65,1.65,1.4,1.45,0.40129,970000.0
2000-03-01,1.45,1.5,1.45,1.5,0.415127,274000.0
2000-03-02,1.53,1.58,1.53,1.55,0.428965,773000.0
2000-03-03,1.58,1.65,1.5,1.5,0.415127,197000.0
2000-03-06,1.5,1.5,1.48,1.48,0.409592,110000.0
2000-03-07,1.48,1.5,1.45,1.45,0.40129,289000.0
2000-03-08,1.45,1.53,1.45,1.5,0.415127,484000.0
2000-03-09,1.53,1.58,1.5,1.55,0.428965,761000.0
2000-03-10,1.55,1.58,1.53,1.53,0.42343,729000.0
2000-03-13,1.55,1.65,1.55,1.6,0.442802,3075000.0
2000-03-14,1.63,1.73,1.63,1.68,0.464942,3163000.0
2000-03-15,1.68,1.75,1.63,1.63,0.451105,3233000.0
2000-03-16,1.65,1.7,1.65,1.65,0.45664,643000.0
2000-03-17,1.68,1.7,1.65,1.65,0.45664,1195000.0
2000-03-20,1.68,1.7,1.68,1.68,0.464942,463000.0
2000-03-21,1.7,1.7,1.65,1.65,0.45664,265000.0
2000-03-22,1.65,1.73,1.63,1.7,0.470477,533000.0
2000-03-23,1.75,2.2,1.73,2.2,0.608853,19764000.0
2000-03-24,2.27,2.27,2.05,2.08,0.575643,7824000.0
2000-03-27,2.18,2.35,2.15,2.2,0.608853,8964000.0
2000-03-28,2.2,2.25,2.15,2.15,0.595015,1496000.0
2000-03-29,2.2,2.38,2.15,2.27,0.628226,13289000.0
2000-03-30,2.3,2.33,2.08,2.08,0.575643,5431000.0
2000-03-31,2.08,2.2,2.08,2.13,0.58948,1985000.0
2000-04-03,2.15,2.25,2.13,2.15,0.595015,1266000.0
2000-04-04,2.15,2.15,2.08,2.1,0.581178,493000.0
2000-04-05,2.08,2.13,2.02,2.1,0.581178,1005000.0
2000-04-06,,,,,,
2000-04-07,2.15,2.15,2.1,2.1,0.581178,110000.0
2000-04-10,2.15,2.2,2.1,2.15,0.595015,318000.0
2000-04-11,2.18,2.33,2.15,2.27,0.628226,4147000.0
2000-04-12,2.33,2.35,2.23,2.23,0.617156,3533000.0
2000-04-13,,,,,,
2000-04-14,,,,,,
2000-04-17,2.05,2.1,2.02,2.08,0.575643,783000.0
2000-04-18,2.18,2.23,2.0,2.0,0.553503,1356000.0
2000-04-19,2.08,2.1,2.05,2.08,0.575643,441000.0
2000-04-20,2.1,2.13,2.05,2.05,0.56734,230000.0
2000-04-21,2.08,2.23,2.08,2.15,0.595015,2739000.0
2000-04-24,,,,,,
2000-04-25,2.2,2.27,2.2,2.2,0.608853,1195000.0
2000-04-26,2.25,2.25,2.1,2.18,0.603318,822000.0
2000-04-27,2.18,2.23,2.18,2.18,0.603318,886000.0
2000-04-28,2.18,2.2,2.15,2.18,0.603318,261000.0
2000-05-01,,,,,,
2000-05-02,2.23,2.25,2.18,2.2,0.608853,431000.0
2000-05-03,2.18,2.18,2.15,2.15,0.595015,318000.0
2000-05-04,,,,,,
2000-05-05,,,,,,
2000-05-08,,,,,,
