Date,Open,High,Low,Close,Adj Close,Volume
2016-09-14,3.75,4.175,3.75,4.15,4.15,782126000
2016-09-15,4.15,4.325,4.05,4.075,4.075,233576400
2016-09-16,4.15,4.2,3.95,4.0,4.0,59760600
2016-09-19,4.0,4.075,3.9,4.0,4.0,52641600
2016-09-20,3.975,4.025,3.875,3.925,3.925,42429400
2016-09-21,3.95,4.025,3.9,3.9,3.9,29489000
2016-09-22,3.975,3.975,3.9,3.9,3.9,6566800
2016-09-23,3.95,4.125,3.875,4.075,4.075,39846400
2016-09-26,4.025,4.175,4.0,4.175,4.175,27526600
2016-09-27,4.2,4.625,4.175,4.625,4.625,101169800
2016-09-28,4.6,4.675,4.45,4.6,4.6,43934200
2016-09-29,4.6,4.675,4.525,4.55,4.55,18799800
2016-09-30,4.5,4.625,4.3,4.425,4.425,34367600
2016-10-03,4.4,4.425,4.2,4.4,4.4,25005600
2016-10-04,4.425,4.425,4.325,4.375,4.375,11361200
2016-10-05,4.325,4.575,4.325,4.575,4.575,32884600
2016-10-06,4.6,4.625,4.5,4.625,4.625,12866800
2016-10-07,4.6,4.6,4.4,4.475,4.475,13363200
2016-10-10,4.025,4.225,4.025,4.175,4.175,28491600
2016-10-11,4.2,4.2,3.95,4.05,4.05,12066600
2016-10-12,4.05,4.05,3.5,3.9,3.9,38336600
2016-10-13,3.825,4.15,3.8,4.15,4.15,28240600
2016-10-14,4.35,4.45,4.25,4.375,4.375,14875000
2016-10-17,4.375,4.425,4.3,4.4,4.4,4077000
2016-10-18,4.35,4.475,4.3,4.475,4.475,5870400
2016-10-19,4.45,4.9,4.45,4.875,4.875,29358800
2016-10-20,4.925,5.1,4.8,5.1,5.1,23098600
2016-10-21,5.1,5.55,5.0,5.5,5.5,28880600
2016-10-25,5.5,5.7,5.4,5.65,5.65,21615200
2016-10-26,5.6,5.85,5.6,5.7,5.7,21175000
2016-10-27,5.7,5.7,5.35,5.6,5.6,15662200
2016-10-28,5.55,5.6,5.35,5.5,5.5,9743000
2016-10-31,5.5,5.6,5.4,5.6,5.6,5722800
2016-11-01,5.65,5.65,5.5,5.6,5.6,3739600
