Date,Open,High,Low,Close,Adj Close,Volume
2009-06-25,0.91199,0.94473,0.88861,0.88861,0.498735,373789315.0
2009-06-26,0.90264,0.90731,0.84184,0.84184,0.472485,62739184.0
2009-06-29,0.84651,0.8699,0.84184,0.84651,0.475106,22852891.0
2009-06-30,0.85119,0.86522,0.82313,0.83248,0.467232,28946924.0
2009-07-02,0.83716,0.83716,0.78104,0.78104,0.438361,17260262.0
2009-07-03,0.75765,0.79039,0.75298,0.76701,0.430486,17789248.0
2009-07-06,0.76701,0.76701,0.76701,0.76701,0.430486,0.0
2009-07-08,0.76701,0.77168,0.75298,0.75765,0.425233,4073023.0
2009-07-09,0.76701,0.81378,0.75765,0.80442,0.451483,33828608.0
2009-07-10,0.81845,0.82781,0.78104,0.78104,0.438361,25952828.0
2009-07-13,0.77636,0.78104,0.75765,0.76233,0.42786,3942167.0
2009-07-14,0.77168,0.84651,0.77168,0.84184,0.472485,55376353.0
2009-07-15,0.84184,0.85119,0.81378,0.81378,0.456736,30855894.0
2009-07-16,0.82781,0.85119,0.81845,0.82781,0.464611,46217236.0
2009-07-17,0.84184,0.84651,0.83248,0.83248,0.467232,21085256.0
2009-07-20,0.84184,0.8699,0.83716,0.84184,0.472485,24028678.0
2009-07-21,0.84184,0.85587,0.83716,0.83716,0.469858,9881181.0
2009-07-22,0.84184,0.84184,0.81845,0.81845,0.459357,10035986.0
2009-07-23,0.82781,0.83248,0.81845,0.82313,0.461984,3655864.0
2009-07-24,0.83248,0.83716,0.8091,0.82313,0.461984,4177367.0
2009-07-27,0.83248,0.84184,0.81845,0.81845,0.459357,8241196.0
2009-07-28,0.82313,0.83248,0.81845,0.81845,0.459357,1353897.0
2009-07-29,0.81845,0.83248,0.81378,0.81845,0.459357,2878635.0
2009-07-30,0.81845,0.82781,0.81845,0.81845,0.459357,2506377.0
2009-07-31,0.81845,0.83248,0.81378,0.81378,0.456736,4799150.0
2009-08-03,0.81845,0.81845,0.8091,0.81378,0.456736,2145880.0
2009-08-04,0.8091,0.81845,0.8091,0.8091,0.454109,2861743.0
2009-08-05,0.81845,0.84651,0.81845,0.83248,0.467232,28991185.0
2009-08-06,0.83248,0.84184,0.82781,0.82781,0.464611,10517718.0
2009-08-07,0.83716,0.84651,0.82781,0.82781,0.464611,11612040.0
2009-08-10,0.83716,0.83716,0.82781,0.82781,0.464611,6780176.0
2009-08-11,0.83716,0.83716,0.82781,0.83248,0.467232,4578062.0
2009-08-13,0.83248,0.85587,0.83248,0.85119,0.477733,19323394.0
2009-08-14,0.85119,0.85119,0.84184,0.84184,0.472485,9395173.0
2009-08-17,0.83716,0.84184,0.82313,0.82313,0.461984,13214821.0
2009-08-18,0.78571,0.79039,0.78571,0.78571,0.488455,3888284.0
2009-08-19,0.78571,0.79039,0.77636,0.77636,0.482642,3284889.0
2009-08-20,0.78104,0.78571,0.77636,0.78104,0.485552,1834560.0
2009-08-21,0.78104,0.78104,0.77168,0.77168,0.479733,1801419.0
2009-08-24,0.77636,0.78571,0.77636,0.78104,0.485552,842444.0
2009-08-25,0.78571,0.79974,0.78104,0.78571,0.488455,3769188.0
2009-08-26,0.79507,0.79507,0.78571,0.78571,0.488455,1147990.0
2009-08-27,0.79507,0.81845,0.78571,0.78571,0.488455,26049688.0
2009-08-28,0.79039,0.79507,0.78571,0.79039,0.491364,4461531.0
2009-08-31,0.78571,0.79507,0.78571,0.78571,0.488455,2003904.0
2009-09-01,0.78571,0.79507,0.78571,0.78571,0.488455,880931.0
2009-09-02,0.78104,0.79507,0.77636,0.78571,0.488455,2935510.0
2009-09-03,0.79039,0.80442,0.79039,0.79039,0.491364,10266268.0
2009-09-04,0.80442,0.82313,0.79507,0.79507,0.494274,33319935.0
2009-09-07,0.80442,0.8091,0.79507,0.79507,0.494274,12509649.0
2009-09-08,0.79974,0.80442,0.79507,0.79507,0.494274,5880856.0
2009-09-09,0.79974,0.79974,0.79039,0.79039,0.491364,3563494.0
2009-09-10,0.79507,0.79507,0.79039,0.79507,0.494274,2685343.0
2009-09-11,0.79507,0.81378,0.79507,0.79974,0.497177,14303797.0
2009-09-14,0.8091,0.82313,0.80442,0.80442,0.500086,37410063.0
2009-09-15,0.81378,0.81845,0.80442,0.80442,0.500086,7784908.0
2009-09-16,0.8091,0.8091,0.79507,0.79974,0.497177,8820215.0
2009-09-17,0.80442,0.8091,0.79507,0.79974,0.497177,4815400.0
2009-09-18,0.80442,0.82313,0.80442,0.80442,0.500086,16997693.0
2009-09-21,0.8091,0.81378,0.80442,0.80442,0.500086,3002222.0
2009-09-22,0.8091,0.81845,0.8091,0.81378,0.505905,11701202.0
2009-09-23,0.81845,0.86054,0.8091,0.82781,0.514627,37700642.0
2009-09-24,0.82781,0.84651,0.82313,0.82781,0.514627,17373799.0
2009-09-25,0.83716,0.87925,0.83248,0.86522,0.537884,59729051.0
2009-09-28,0.8699,0.89328,0.85587,0.86054,0.534974,67569337.0
2009-09-29,0.8699,0.88861,0.85587,0.85587,0.532071,38753911.0
2009-09-30,0.86054,0.86054,0.84184,0.85587,0.532071,6674122.0
2009-10-01,0.86054,0.86054,0.84651,0.85119,0.529162,4317417.0
2009-10-02,0.84184,0.85119,0.84184,0.85119,0.529162,3279116.0
2009-10-05,0.85119,0.85119,0.84651,0.84651,0.526253,2496969.0
2009-10-06,0.84651,0.8699,0.84651,0.85587,0.532071,13779301.0
2009-10-07,0.85587,0.86522,0.85119,0.85119,0.529162,7944202.0
2009-10-08,0.86054,0.86054,0.85587,0.85587,0.532071,4575710.0
2009-10-09,0.86054,0.86054,0.84184,0.85119,0.529162,7149012.0
2009-10-12,0.85119,0.85119,0.84651,0.84651,0.526253,2196555.0
2009-10-13,0.85119,0.86522,0.84651,0.84651,0.526253,4560956.0
2009-10-14,0.85119,0.85119,0.79974,0.81845,0.508808,7186858.0
2009-10-15,0.83716,0.83716,0.77168,0.77636,0.482642,5551576.0
2009-10-16,0.80442,0.80442,0.77636,0.79974,0.497177,1683391.0
2009-10-19,0.79974,0.81378,0.79974,0.80442,0.500086,2734735.0
2009-10-20,0.81378,0.81378,0.79974,0.80442,0.500086,1182201.0
2009-10-21,0.8091,0.81378,0.79507,0.80442,0.500086,2191209.0
2009-10-22,0.8091,0.8091,0.78571,0.79507,0.494274,1940828.0
2009-10-26,0.79507,0.79974,0.78571,0.79039,0.491364,713725.0
2009-10-27,0.79039,0.79974,0.78571,0.79974,0.497177,1852307.0
2009-10-28,0.79974,0.80442,0.79507,0.79507,0.494274,3509185.0
2009-10-29,0.79039,0.79039,0.77636,0.78104,0.485552,2574371.0
2009-10-30,0.78571,0.81845,0.78104,0.81845,0.508808,21272775.0
2009-11-02,0.8091,0.81378,0.79507,0.80442,0.500086,22358116.0
2009-11-03,0.80442,0.8091,0.79507,0.79507,0.494274,3829271.0
2009-11-04,0.79974,0.81378,0.79974,0.80442,0.500086,2423416.0
2009-11-05,0.80442,0.81845,0.79974,0.79974,0.497177,7519987.0
2009-11-06,0.80442,0.81378,0.80442,0.8091,0.502996,953843.0
2009-11-09,0.80442,0.81378,0.80442,0.8091,0.502996,1743046.0
2009-11-10,0.8091,0.8091,0.79974,0.80442,0.500086,688708.0
2009-11-11,0.8091,0.81378,0.80442,0.80442,0.500086,885421.0
2009-11-12,0.78571,0.78571,0.77168,0.77168,0.479733,14109223.0
2009-11-13,0.77168,0.77636,0.76701,0.77168,0.479733,1557666.0
2009-11-16,0.77168,0.78104,0.76701,0.77168,0.479733,1682963.0
2009-11-17,0.78104,0.78104,0.76701,0.77168,0.479733,991261.0
2009-11-18,0.76701,0.77636,0.76701,0.76701,0.476829,382735.0
2009-11-19,0.77168,0.77168,0.76233,0.77168,0.479733,915570.0
2009-11-20,0.77168,0.77636,0.77168,0.77168,0.479733,4154916.0
2009-11-23,0.77168,0.77168,0.76233,0.76233,0.47392,1431727.0
2009-11-24,0.76701,0.77636,0.76701,0.77168,0.479733,6668990.0
2009-11-25,0.77168,0.77636,0.77168,0.77636,0.482642,873234.0
2009-11-26,0.77168,0.78104,0.77168,0.77636,0.482642,1817455.0
2009-11-27,0.77168,0.78571,0.77168,0.78104,0.485552,5542382.0
2009-11-30,0.77636,0.78104,0.77168,0.78104,0.485552,470400.0
2009-12-01,0.78104,0.78104,0.77636,0.78104,0.485552,1309850.0
2009-12-02,0.78104,0.78571,0.76701,0.76701,0.476829,3149542.0
2009-12-03,0.77636,0.79974,0.77636,0.78104,0.485552,5550721.0
2009-12-04,0.79039,0.80442,0.79039,0.79507,0.494274,6852232.0
2009-12-08,0.79507,0.79974,0.79507,0.79507,0.494274,1186050.0
2009-12-09,0.79507,0.79974,0.79507,0.79507,0.494274,3142700.0
2009-12-11,0.79507,0.80442,0.79507,0.80442,0.500086,2991103.0
2009-12-14,0.79974,0.8091,0.79974,0.79974,0.497177,2421278.0
2009-12-15,0.79974,0.79974,0.79507,0.79507,0.494274,326073.0
