Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,5.6,5.7,5.5,5.5,2.104609,29506285.0
2000-01-05,5.5,5.5,5.1,5.1,1.951547,26172464.0
2000-01-06,5.2,5.3,4.9,5.0,1.913281,16001169.0
2000-01-07,5.0,5.1,4.5,4.7,1.798485,39631979.0
2000-01-10,4.9,4.9,4.5,4.5,1.721954,21153172.0
2000-01-11,4.5,4.6,4.1,4.4,1.683687,43455422.0
2000-01-12,4.3,4.4,4.2,4.3,1.645422,17586378.0
2000-01-13,4.3,4.6,4.3,4.5,1.721954,16625256.0
2000-01-14,4.6,4.6,4.4,4.5,1.721954,8152587.0
2000-01-17,4.6,4.6,4.5,4.5,1.721954,10529377.0
2000-01-18,4.6,4.9,4.5,4.9,1.875016,11974277.0
2000-01-19,4.8,5.1,4.8,5.0,1.913281,22417422.0
2000-01-20,5.1,5.2,5.0,5.0,1.913281,16688103.0
2000-01-21,5.0,5.1,4.7,4.8,1.83675,8432330.0
2000-01-24,4.7,4.9,4.7,4.8,1.83675,3798889.0
2000-01-25,4.7,4.9,4.7,4.8,1.83675,7973400.0
2000-01-26,4.8,4.9,4.8,4.8,1.83675,5809120.0
2000-01-27,4.9,4.9,4.8,4.8,1.83675,2752704.0
2000-01-28,4.8,4.9,4.8,4.8,1.83675,2535224.0
2000-01-31,4.9,5.0,4.8,4.8,1.83675,8666764.0
2000-02-01,4.9,4.9,4.8,4.8,1.83675,2885121.0
2000-02-02,4.8,4.9,4.6,4.7,1.798485,7016954.0
2000-02-03,4.8,4.8,4.5,4.6,1.760219,6426776.0
2000-02-04,4.6,4.7,4.5,4.6,1.760219,2661502.0
2000-02-07,4.7,4.8,4.6,4.6,1.760219,2959661.0
2000-02-08,4.7,4.8,4.6,4.6,1.760219,5558901.0
2000-02-09,4.7,4.7,4.4,4.4,1.683687,10877521.0
2000-02-10,4.4,4.5,4.2,4.3,1.645422,4361298.0
2000-02-11,4.3,4.4,4.1,4.2,1.607156,10075124.0
2000-02-14,4.2,4.4,4.1,4.3,1.645422,6765858.0
2000-02-15,4.3,4.4,4.2,4.2,1.607156,5408652.0
2000-02-16,4.2,4.3,4.1,4.1,1.568891,4891260.0
2000-02-17,4.1,4.2,3.9,3.9,1.49236,10366559.0
2000-02-18,3.9,4.0,3.9,4.0,1.530625,5805320.0
2000-02-21,,,,,,
2000-02-22,4.0,4.0,3.7,3.7,1.415828,7902952.0
2000-02-23,3.8,3.9,3.7,3.8,1.454094,5370652.0
2000-02-24,3.8,3.9,3.7,3.8,1.454094,7015493.0
2000-02-25,3.8,3.9,3.7,3.8,1.454094,6574686.0
2000-02-28,4.0,4.0,3.8,3.8,1.454094,14384391.0
2000-02-29,3.9,3.9,3.7,3.7,1.415828,12523239.0
2000-03-01,3.8,3.8,3.6,3.7,1.415828,8785151.0
2000-03-02,3.7,4.1,3.7,4.1,1.568891,17887752.0
2000-03-03,4.1,4.1,3.8,3.8,1.454094,8880444.0
2000-03-06,3.9,4.0,3.8,3.8,1.454094,6452792.0
2000-03-07,3.8,3.9,3.8,3.9,1.49236,2669687.0
2000-03-08,3.7,3.9,3.7,3.9,1.49236,4252850.0
2000-03-09,3.9,4.0,3.9,3.9,1.49236,3588132.0
2000-03-10,4.0,4.1,3.9,4.1,1.568891,7784566.0
2000-03-13,4.1,4.4,4.1,4.2,1.607156,18497808.0
2000-03-14,4.3,4.6,4.3,4.6,1.760219,19034493.0
2000-03-15,4.5,4.7,4.1,4.2,1.607156,20928676.0
2000-03-16,4.3,4.4,4.2,4.3,1.645422,8376790.0
2000-03-17,4.5,4.6,4.4,4.5,1.721954,14394621.0
2000-03-20,4.8,4.9,4.6,4.8,1.83675,23705057.0
2000-03-21,4.8,5.1,4.8,4.9,1.875016,22804443.0
2000-03-22,5.1,5.2,4.9,4.9,1.875016,18902368.0
2000-03-23,4.9,5.1,4.9,4.9,1.875016,8583455.0
2000-03-24,5.0,5.4,5.0,5.2,1.989812,29800058.0
2000-03-27,5.4,5.4,5.0,5.0,1.913281,17520608.0
2000-03-28,5.1,5.2,5.0,5.0,1.913281,7097925.0
2000-03-29,5.1,5.1,4.9,5.1,1.951547,20098217.0
2000-03-30,5.1,5.1,4.8,4.9,1.875016,8354575.0
2000-03-31,4.8,5.0,4.7,4.9,1.875016,9767027.0
2000-04-03,4.9,4.9,4.8,4.9,1.875016,3215142.0
2000-04-04,4.9,4.9,4.7,4.7,1.798485,11940368.0
2000-04-05,4.8,4.9,4.7,4.7,1.798485,10455130.0
2000-04-06,,,,,,
2000-04-07,4.7,4.9,4.6,4.6,1.760219,17686057.0
2000-04-10,4.7,4.8,4.6,4.6,1.760219,12466238.0
2000-04-11,4.7,4.7,4.6,4.6,1.760219,1156679.0
2000-04-12,4.6,4.9,4.6,4.9,1.875016,5327097.0
2000-04-13,,,,,,
2000-04-14,,,,,,
2000-04-17,4.6,4.7,4.5,4.6,1.760219,17720257.0
2000-04-18,4.7,4.7,4.5,4.5,1.721954,15280620.0
2000-04-19,4.6,4.6,4.5,4.6,1.760219,7466530.0
2000-04-20,4.6,4.7,4.5,4.5,1.721954,7095294.0
2000-04-21,4.6,4.7,4.5,4.5,1.721954,17970184.0
2000-04-24,4.6,4.6,4.5,4.5,1.721954,1890383.0
2000-04-25,4.5,4.6,4.5,4.5,1.721954,2464484.0
2000-04-26,4.6,4.6,4.5,4.5,1.721954,5385560.0
2000-04-27,4.6,4.7,4.6,4.6,1.760219,6199649.0
2000-04-28,4.7,4.7,4.6,4.6,1.760219,6607717.0
2000-05-01,,,,,,
