Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,2.0,2.05,1.93,1.95,0.005672,4472998.0
2000-01-05,1.93,1.93,1.83,1.83,0.005323,2337748.0
2000-01-06,1.85,1.85,1.73,1.75,0.00509,2265748.0
2000-01-07,1.8,1.8,1.73,1.73,0.005032,2470498.0
2000-01-10,1.77,1.78,1.63,1.68,0.004886,2477248.0
2000-01-11,1.72,1.72,1.62,1.65,0.004799,1583998.0
2000-01-12,1.62,1.68,1.62,1.67,0.004857,1559248.0
2000-01-13,1.67,1.7,1.67,1.68,0.004886,866250.0
2000-01-14,1.67,1.72,1.67,1.72,0.005003,2200498.0
2000-01-17,1.72,1.8,1.7,1.7,0.004944,6396747.0
2000-01-18,1.72,1.77,1.72,1.72,0.005003,10898994.0
2000-01-19,1.72,1.8,1.72,1.77,0.005148,16235992.0
2000-01-20,1.82,1.93,1.78,1.87,0.005439,36175482.0
2000-01-21,1.9,1.97,1.87,1.88,0.005468,21437990.0
2000-01-24,1.92,1.92,1.82,1.82,0.005293,3597748.0
2000-01-25,1.8,1.83,1.8,1.82,0.005293,3647248.0
2000-01-26,1.83,1.83,1.78,1.78,0.005177,882000.0
2000-01-27,1.77,1.8,1.77,1.77,0.005148,1835998.0
2000-01-28,1.75,1.75,1.72,1.72,0.005003,4733997.0
2000-01-31,1.7,1.75,1.7,1.73,0.005032,711000.0
2000-02-01,1.75,1.77,1.7,1.73,0.005032,1995748.0
2000-02-02,1.75,1.75,1.67,1.7,0.004944,3876748.0
2000-02-03,1.68,1.72,1.67,1.7,0.004944,1914748.0
2000-02-04,1.7,1.7,1.67,1.7,0.004944,738000.0
2000-02-07,1.7,1.72,1.68,1.72,0.005003,285750.0
2000-02-08,1.72,1.72,1.7,1.7,0.004944,351000.0
2000-02-09,1.7,1.7,1.65,1.67,0.004857,2661748.0
2000-02-10,1.67,1.67,1.6,1.63,0.004741,1723498.0
2000-02-11,1.63,1.7,1.6,1.67,0.004857,1113750.0
2000-02-14,1.67,1.67,1.62,1.63,0.004741,540000.0
2000-02-15,1.63,1.63,1.47,1.47,0.004275,3001498.0
2000-02-16,1.5,1.5,1.45,1.48,0.004305,1754998.0
2000-02-17,1.47,1.47,1.35,1.38,0.004014,1478250.0
2000-02-18,1.43,1.43,1.37,1.37,0.003985,886500.0
2000-02-21,,,,,,
2000-02-22,1.37,1.37,1.27,1.32,0.003839,1732498.0
2000-02-23,1.33,1.33,1.3,1.3,0.003781,1116000.0
2000-02-24,1.37,1.37,1.3,1.33,0.003868,2040748.0
2000-02-25,1.35,1.43,1.32,1.43,0.004159,2267998.0
2000-02-28,1.4,1.4,1.37,1.4,0.004072,3116248.0
2000-02-29,1.47,1.47,1.32,1.35,0.003926,5201997.0
2000-03-01,1.32,1.32,1.28,1.3,0.003781,562500.0
2000-03-02,1.3,1.33,1.3,1.33,0.003868,346500.0
2000-03-03,1.33,1.33,1.3,1.33,0.003868,1224000.0
2000-03-06,1.33,1.33,1.3,1.33,0.003868,393750.0
2000-03-07,1.27,1.33,1.27,1.32,0.003839,1959748.0
2000-03-08,1.32,1.32,1.28,1.28,0.003723,747000.0
2000-03-09,1.32,1.35,1.32,1.33,0.003868,1781998.0
2000-03-10,1.35,1.42,1.35,1.42,0.00413,1109250.0
2000-03-13,1.45,1.45,1.37,1.4,0.004072,1642498.0
2000-03-14,1.4,1.43,1.4,1.42,0.00413,1748248.0
2000-03-15,1.42,1.47,1.42,1.43,0.004159,2366998.0
2000-03-16,1.45,1.47,1.45,1.45,0.004217,933750.0
2000-03-17,1.47,1.53,1.45,1.45,0.004217,1705498.0
2000-03-20,1.48,1.48,1.43,1.43,0.004159,519750.0
2000-03-21,1.43,1.45,1.42,1.43,0.004159,798750.0
2000-03-22,1.48,1.5,1.45,1.47,0.004275,1323000.0
2000-03-23,1.52,1.63,1.5,1.62,0.004712,2720248.0
2000-03-24,1.63,1.72,1.62,1.62,0.004712,3167998.0
2000-03-27,1.67,1.7,1.67,1.68,0.004886,1988998.0
2000-03-28,1.68,1.77,1.68,1.75,0.00509,2175748.0
2000-03-29,1.77,1.78,1.72,1.75,0.00509,1892248.0
2000-03-30,1.75,1.75,1.7,1.7,0.004944,3683248.0
2000-03-31,1.57,1.63,1.57,1.6,-0.02637,1624498.0
2000-04-03,1.6,1.6,1.58,1.58,-0.026041,357750.0
2000-04-04,1.58,1.58,1.57,1.58,-0.026041,1298250.0
2000-04-05,1.53,1.65,1.53,1.63,-0.026865,3388498.0
2000-04-06,,,,,,
2000-04-07,1.63,1.63,1.62,1.62,-0.0267,1289250.0
2000-04-10,1.62,1.63,1.62,1.62,-0.0267,517500.0
2000-04-11,1.62,1.63,1.62,1.63,-0.026865,531000.0
2000-04-12,1.63,1.68,1.63,1.67,-0.027524,767250.0
2000-04-13,,,,,,
2000-04-14,,,,,,
2000-04-17,1.63,1.65,1.6,1.63,-0.026865,909000.0
2000-04-18,1.63,1.63,1.57,1.6,-0.02637,447750.0
2000-04-19,,,,,,
2000-04-20,1.62,1.65,1.53,1.65,-0.027194,67500.0
2000-04-21,1.6,1.63,1.6,1.63,-0.026865,67500.0
2000-04-24,1.62,1.62,1.6,1.6,-0.02637,247500.0
2000-04-25,1.65,1.65,1.62,1.63,-0.026865,157500.0
2000-04-26,,,,,,
2000-04-27,1.6,1.6,1.58,1.58,-0.026041,643500.0
2000-04-28,,,,,,
2000-05-01,,,,,,
2000-05-02,,,,,,
2000-05-03,1.47,1.5,1.47,1.5,-0.024722,92250.0
2000-05-04,,,,,,
2000-05-05,,,,,,
2000-05-08,,,,,,
2000-05-09,1.47,1.5,1.47,1.5,-0.024722,303750.0
2000-05-10,1.5,1.5,1.47,1.5,-0.024722,1592998.0
2000-05-11,1.47,1.47,1.42,1.43,-0.023568,101250.0
2000-05-12,1.47,1.52,1.47,1.52,-0.025052,596250.0
2000-05-15,1.5,1.5,1.48,1.5,-0.024722,1928248.0
2000-05-16,1.5,1.52,1.5,1.5,-0.024722,173250.0
2000-05-17,,,,,,
2000-05-18,1.47,1.47,1.42,1.43,-0.023568,371250.0
2000-05-19,,,,,,
2000-05-22,1.33,1.4,1.33,1.38,-0.022744,128250.0
2000-05-23,,,,,,
2000-05-24,1.33,1.33,1.32,1.33,-0.02192,276750.0
2000-05-25,1.37,1.38,1.35,1.37,-0.02258,798750.0
2000-05-26,1.33,1.37,1.32,1.35,-0.02225,1705498.0
2000-05-29,1.35,1.35,1.33,1.33,-0.02192,360000.0
2000-05-30,1.35,1.35,1.33,1.33,-0.02192,303750.0
2000-05-31,1.4,1.4,1.37,1.37,-0.02258,400500.0
2000-06-01,1.37,1.4,1.37,1.37,-0.02258,859500.0
2000-06-02,1.38,1.4,1.38,1.38,-0.022744,753750.0
2000-06-05,1.42,1.43,1.42,1.43,-0.023568,659250.0
2000-06-06,,,,,,
2000-06-07,1.43,1.47,1.43,1.45,-0.023898,398250.0
2000-06-08,,,,,,
2000-06-09,1.47,1.52,1.45,1.45,-0.023898,1255500.0
2000-06-12,1.47,1.47,1.45,1.45,-0.023898,168750.0
2000-06-13,1.43,1.43,1.38,1.4,-0.023074,1498500.0
2000-06-14,1.43,1.45,1.43,1.45,-0.023898,60750.0
2000-06-15,1.45,1.45,1.43,1.43,-0.023568,450000.0
2000-06-16,,,,,,
2000-06-19,1.43,1.43,1.4,1.4,-0.023074,317250.0
2000-06-20,1.4,1.43,1.4,1.42,-0.023404,1709998.0
2000-06-21,,,,,,
2000-06-22,1.47,1.5,1.47,1.48,-0.024392,2767498.0
2000-06-23,1.48,1.48,1.47,1.47,-0.024228,1185750.0
2000-06-26,,,,,,
2000-06-27,,,,,,
2000-06-28,1.47,1.48,1.47,1.48,-0.024392,409500.0
2000-06-29,1.48,1.48,1.45,1.45,-0.023898,1041750.0
2000-06-30,1.47,1.5,1.47,1.5,-0.024722,798750.0
2000-07-03,1.47,1.47,1.42,1.42,-0.023404,101250.0
2000-07-04,,,,,,
2000-07-05,,,,,,
2000-07-06,1.4,1.42,1.4,1.4,-0.023074,1174500.0
2000-07-07,1.42,1.45,1.42,1.43,-0.023568,191250.0
2000-07-10,1.43,1.5,1.43,1.5,-0.024722,1091250.0
2000-07-11,1.5,1.53,1.47,1.47,-0.024228,1509748.0
2000-07-12,1.5,1.53,1.5,1.5,-0.024722,1170000.0
2000-07-13,1.48,1.5,1.48,1.48,-0.024392,290250.0
2000-07-14,1.5,1.53,1.5,1.5,-0.024722,1538998.0
2000-07-17,,,,,,
2000-07-18,,,,,,
2000-07-19,,,,,,
2000-07-20,,,,,,
2000-07-21,1.47,1.57,1.47,1.57,-0.025876,389250.0
2000-07-24,1.53,1.53,1.47,1.47,-0.024228,360000.0
2000-07-25,1.47,1.47,1.45,1.47,-0.024228,360000.0
2000-07-26,,,,,,
2000-07-27,1.47,1.48,1.47,1.48,-0.024392,101250.0
2000-07-28,,,,,,
2000-07-31,,,,,,
2000-08-01,1.48,1.5,1.48,1.5,-0.024722,99000.0
2000-08-02,,,,,,
2000-08-03,1.48,1.5,1.47,1.5,-0.024722,204750.0
2000-08-04,1.52,1.57,1.5,1.5,-0.024722,315000.0
2000-08-07,,,,,,
2000-08-08,1.53,1.53,1.5,1.5,-0.024722,87750.0
2000-08-09,1.52,1.52,1.5,1.5,-0.024722,202500.0
2000-08-10,1.52,1.52,1.48,1.48,-0.024392,346500.0
2000-08-11,,,,,,
2000-08-14,,,,,,
2000-08-15,1.53,1.53,1.48,1.48,-0.024392,47250.0
2000-08-16,1.47,1.57,1.47,1.53,-0.025217,123750.0
2000-08-17,1.5,1.52,1.5,1.52,-0.025052,94500.0
2000-08-18,,,,,,
2000-08-21,,,,,,
2000-08-22,,,,,,
2000-08-23,1.47,1.47,1.4,1.43,-0.023568,189000.0
2000-08-24,,,,,,
2000-08-25,1.43,1.43,1.4,1.4,-0.023074,218250.0
2000-08-28,1.42,1.42,1.4,1.4,-0.023074,65250.0
2000-08-29,1.42,1.42,1.4,1.4,-0.023074,22500.0
2000-08-30,1.43,1.43,1.42,1.42,-0.023404,202500.0
2000-08-31,,,,,,
2000-09-01,,,,,,
2000-09-04,1.43,1.45,1.42,1.45,-0.023898,146250.0
2000-09-05,,,,,,
2000-09-06,1.43,1.43,1.4,1.4,-0.023074,54000.0
2000-09-07,,,,,,
2000-09-08,,,,,,
2000-09-11,1.4,1.4,1.37,1.37,-0.02258,135000.0
2000-09-12,1.4,1.4,1.38,1.38,-0.022744,180000.0
2000-09-13,,,,,,
2000-09-14,1.38,1.38,1.35,1.35,-0.02225,112500.0
2000-09-15,1.37,1.42,1.37,1.42,-0.023404,220500.0
2000-09-18,,,,,,
2000-09-19,,,,,,
2000-09-20,1.4,1.4,1.38,1.38,-0.022744,90000.0
2000-09-21,,,,,,
2000-09-22,1.38,1.38,1.37,1.37,-0.02258,123750.0
2000-09-25,,,,,,
2000-09-26,1.4,1.43,1.4,1.43,-0.023568,72000.0
2000-09-27,1.43,1.43,1.42,1.42,-0.023404,191250.0
2000-09-28,1.42,1.43,1.42,1.43,-0.023568,76500.0
2000-09-29,1.43,1.43,1.37,1.37,-0.02258,146250.0
2000-10-02,,,,,,
2000-10-03,1.38,1.38,1.35,1.35,-0.02225,49500.0
2000-10-04,1.35,1.42,1.35,1.42,-0.023404,267750.0
2000-10-05,1.43,1.57,1.43,1.57,-0.025876,2119498.0
2000-10-06,,,,,,
2000-10-09,1.93,1.93,1.77,1.8,-0.029667,6801747.0
2000-10-10,1.8,1.8,1.75,1.8,-0.029667,1993498.0
2000-10-11,1.77,1.78,1.77,1.77,-0.029172,1302750.0
2000-10-12,1.77,1.8,1.75,1.8,-0.029667,1633498.0
2000-10-13,1.77,1.78,1.77,1.78,-0.029337,258750.0
2000-10-16,1.77,1.77,1.75,1.77,-0.029172,371250.0
2000-10-17,1.75,1.77,1.75,1.77,-0.029172,299250.0
2000-10-18,1.77,1.78,1.75,1.77,-0.029172,389250.0
2000-10-19,1.77,1.78,1.77,1.78,-0.029337,225000.0
2000-10-20,1.78,1.78,1.77,1.77,-0.029172,686250.0
2000-10-23,,,,,,
2000-10-24,1.77,1.77,1.75,1.75,-0.028842,411750.0
2000-10-25,1.75,1.78,1.75,1.78,-0.029337,765000.0
2000-10-26,1.75,1.75,1.73,1.73,-0.028513,1329750.0
2000-10-27,,,,,,
2000-10-30,,,,,,
2000-10-31,1.73,1.75,1.73,1.73,-0.028513,54000.0
2000-11-01,1.73,1.75,1.73,1.73,-0.028513,1179000.0
2000-11-02,1.75,1.77,1.73,1.77,-0.029172,819000.0
2000-11-03,1.78,1.78,1.77,1.78,-0.029337,742500.0
2000-11-06,1.78,1.92,1.78,1.87,-0.03082,4378498.0
2000-11-07,1.9,2.02,1.87,1.97,-0.032468,10169996.0
2000-11-08,2.0,2.0,1.97,1.98,-0.032633,4805997.0
2000-11-09,1.95,1.98,1.93,1.97,-0.032468,1215000.0
2000-11-10,1.97,1.98,1.95,1.97,-0.032468,564750.0
2000-11-13,1.97,1.98,1.93,1.93,-0.031809,3836248.0
2000-11-14,1.93,1.95,1.93,1.93,-0.031809,3140998.0
2000-11-15,1.95,1.95,1.93,1.93,-0.031809,225000.0
2000-11-16,1.97,1.98,1.97,1.97,-0.032468,303750.0
2000-11-17,2.0,2.0,1.98,1.98,-0.032633,306000.0
2000-11-20,2.0,2.05,2.0,2.05,-0.033787,2490748.0
2000-11-21,2.0,2.13,2.0,2.12,-0.034941,7287747.0
2000-11-22,2.03,2.13,2.03,2.13,-0.035105,10122746.0
2000-11-23,2.12,2.17,2.12,2.13,-0.035105,12685494.0
2000-11-24,2.12,2.25,2.12,2.2,-0.036259,2931748.0
2000-11-27,2.2,2.2,2.17,2.18,-0.035929,258750.0
