Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,18.25,18.5,17.75,18.25,5.209348,64100.0
2000-01-05,18.25,18.25,18.0,18.0,5.137988,19800.0
2000-01-06,18.0,18.0,18.0,18.0,5.137988,8600.0
2000-01-07,19.75,19.75,18.25,18.25,5.209348,0.0
2000-01-10,19.5,19.5,18.5,18.5,5.280709,0.0
2000-01-11,19.0,19.0,18.5,18.5,5.280709,27700.0
2000-01-12,18.5,18.5,18.5,18.5,5.280709,8000.0
2000-01-13,19.0,19.0,19.0,19.0,5.423431,33900.0
2000-01-14,18.75,18.75,18.75,18.75,5.352071,1000.0
2000-01-17,19.0,19.0,19.0,19.0,5.423431,2000.0
2000-01-18,19.25,19.5,19.25,19.25,5.494792,11000.0
2000-01-19,19.5,19.5,19.5,19.5,5.566153,1000.0
2000-01-20,19.5,19.5,19.5,19.5,5.566153,5000.0
2000-01-21,19.5,20.0,19.5,20.0,5.708875,13000.0
2000-01-24,20.0,20.0,20.0,20.0,5.708875,7000.0
2000-01-25,19.75,19.75,19.75,19.75,5.637515,2000.0
2000-01-26,19.75,19.75,18.25,18.25,5.209348,31000.0
2000-01-27,18.5,18.75,18.5,18.75,5.352071,2000.0
2000-01-28,19.25,19.75,19.25,19.75,5.637515,6500.0
2000-01-31,19.75,19.75,19.25,19.25,5.494792,0.0
2000-02-01,20.0,20.0,19.25,19.25,5.494792,0.0
2000-02-02,19.5,19.5,19.5,19.5,5.566153,2000.0
2000-02-03,19.5,19.5,19.5,19.5,5.566153,6000.0
2000-02-04,19.5,19.5,19.5,19.5,5.566153,1000.0
2000-02-07,20.5,20.5,19.5,19.5,5.566153,0.0
2000-02-08,20.5,20.5,19.5,19.5,5.566153,0.0
2000-02-09,20.0,20.0,19.75,19.75,5.637515,0.0
2000-02-10,20.0,20.0,20.0,20.0,5.708875,2500.0
2000-02-11,20.0,20.0,20.0,20.0,5.708875,8500.0
2000-02-14,19.5,19.5,19.5,19.5,5.566153,5000.0
2000-02-15,19.75,21.5,19.75,21.5,6.137041,13300.0
2000-02-16,21.0,21.0,19.75,19.75,5.637515,0.0
2000-02-17,19.5,19.5,19.0,19.0,5.423431,3000.0
