Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,2.675,2.7,2.55,2.55,0.00183,18290000.0
2000-01-05,2.45,2.5,2.4,2.4,0.001722,10070000.0
2000-01-06,2.4125,2.4375,2.325,2.325,0.001669,6034000.0
2000-01-07,2.3625,2.375,2.35,2.3625,0.001695,5490000.0
2000-01-10,2.4,2.525,2.4,2.45,0.001758,9916000.0
2000-01-11,2.45,2.45,2.3,2.3,0.001651,4726000.0
2000-01-12,2.2875,2.3375,2.2875,2.3125,0.00166,3756000.0
2000-01-13,2.325,2.425,2.3,2.4125,0.001731,6574000.0
2000-01-14,2.4125,2.475,2.4125,2.45,0.001758,4994000.0
2000-01-17,2.5,2.6,2.4875,2.6,0.001866,12942000.0
2000-01-18,2.65,2.775,2.625,2.7,0.001938,21836000.0
2000-01-19,2.7,2.725,2.575,2.625,0.001884,25032000.0
2000-01-20,2.65,2.75,2.65,2.725,0.001956,15302000.0
2000-01-21,2.7,2.7,2.575,2.575,0.001848,25088000.0
2000-01-24,2.6,2.6,2.525,2.525,0.001812,3084000.0
2000-01-25,2.5,2.55,2.475,2.525,0.001812,15750000.0
2000-01-26,2.525,2.55,2.525,2.55,0.00183,2094000.0
2000-01-27,2.55,2.575,2.55,2.575,0.001848,1124000.0
2000-01-28,2.575,2.575,2.55,2.575,0.001848,6586000.0
2000-01-31,2.575,2.725,2.55,2.65,0.001902,6038000.0
2000-02-01,2.65,2.65,2.55,2.575,0.001848,21034000.0
2000-02-02,2.575,2.575,2.5,2.525,0.001812,5108000.0
2000-02-03,2.5,2.55,2.475,2.525,0.001812,2130000.0
2000-02-04,2.475,2.475,2.425,2.45,0.001758,5098000.0
2000-02-07,2.45,2.4625,2.4,2.4375,0.001749,5328000.0
2000-02-08,2.4375,2.45,2.4375,2.45,0.001758,6670000.0
2000-02-09,2.45,2.45,2.425,2.4375,0.001749,1864000.0
2000-02-10,2.425,2.425,2.375,2.3875,0.001713,3420000.0
2000-02-11,2.425,2.425,2.3875,2.4,0.001722,900000.0
2000-02-14,2.4,2.4125,2.325,2.325,0.001669,2810000.0
2000-02-15,2.35,2.35,2.3,2.3,0.001651,4066000.0
2000-02-16,2.3125,2.3125,2.075,2.15,0.001543,9292000.0
2000-02-17,2.15,2.15,2.0875,2.125,0.001525,4340000.0
2000-02-18,2.075,2.075,2.025,2.0625,0.00148,4102000.0
2000-02-21,2.0625,2.0625,2.0625,2.0625,0.00148,0.0
2000-02-22,2.05,2.05,2.0125,2.0375,0.001462,4760000.0
2000-02-23,2.025,2.1375,2.0125,2.125,0.001525,6720000.0
2000-02-24,2.125,2.2625,2.125,2.125,0.001525,16282000.0
2000-02-25,2.15,2.55,2.15,2.45,0.001758,19218000.0
2000-02-28,2.45,2.5,2.25,2.3125,0.00166,13114000.0
2000-02-29,2.325,2.3375,2.05,2.05,0.001471,11976000.0
2000-03-01,2.075,2.1,2.025,2.05,0.001471,4506000.0
2000-03-02,2.05,2.35,2.05,2.35,0.001686,23478000.0
2000-03-03,2.35,2.425,2.3375,2.425,0.00174,16058000.0
2000-03-06,2.4375,2.525,2.4125,2.45,0.001758,8850000.0
2000-03-07,2.4,2.45,2.3625,2.375,0.001704,6970000.0
2000-03-08,2.35,2.4875,2.3375,2.45,0.001758,8826000.0
