Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,2.8125,2.8125,2.6875,2.75,1.901447,1575600.0
2000-01-05,2.75,2.75,2.5625,2.5625,1.771803,772400.0
2000-01-06,2.625,2.625,2.5,2.5,1.728588,700400.0
2000-01-07,2.5625,2.5625,2.5625,2.5625,1.771803,383600.0
2000-01-10,2.625,2.6875,2.5,2.5625,1.771803,449600.0
2000-01-11,2.5,2.5,2.475,2.475,1.711302,326000.0
2000-01-12,2.45,2.5,2.45,2.5,1.728588,208000.0
2000-01-13,2.5625,2.5625,2.5,2.5,1.728588,270800.0
2000-01-14,2.5625,2.5625,2.5,2.5,1.728588,547600.0
2000-01-17,2.5,2.5625,2.475,2.5,1.728588,1535200.0
2000-01-18,2.5,2.75,2.5,2.5625,1.771803,4327600.0
2000-01-19,2.625,2.6875,2.625,2.625,1.815017,2341600.0
2000-01-20,2.6875,3.3125,2.625,3.0625,2.11752,19764800.0
2000-01-21,3.0625,3.125,2.75,2.8125,1.944661,5396400.0
2000-01-24,2.875,3.0625,2.8125,3.0,2.074306,5350400.0
2000-01-25,3.0,3.1875,2.9375,2.9375,2.031091,4876800.0
2000-01-26,3.0,3.0625,2.875,2.875,1.987876,1981600.0
2000-01-27,2.9375,2.9375,2.875,2.875,1.987876,792400.0
2000-01-28,2.875,3.0,2.875,2.9375,2.031091,848000.0
2000-01-31,2.875,3.0,2.875,2.875,1.987876,1283600.0
2000-02-01,2.9375,3.0,2.8125,2.8125,1.944661,1388000.0
2000-02-02,2.875,2.875,2.75,2.75,1.901447,693200.0
2000-02-03,2.8125,2.8125,2.6875,2.6875,1.858232,508000.0
2000-02-04,2.75,2.75,2.625,2.625,1.815017,578000.0
2000-02-07,2.6875,2.8125,2.6875,2.75,1.901447,2572000.0
2000-02-08,2.75,2.8125,2.6875,2.6875,1.858232,1265200.0
2000-02-09,2.6875,2.75,2.5625,2.5625,1.771803,964800.0
2000-02-10,2.625,2.625,2.5,2.5625,1.771803,860400.0
2000-02-11,2.625,2.6875,2.5625,2.5625,1.771803,2202800.0
2000-02-14,2.625,2.6875,2.625,2.625,1.815017,1396000.0
2000-02-15,2.6875,2.6875,2.5,2.5,1.728588,620400.0
2000-02-16,2.5,2.5625,2.5,2.5625,1.771803,686800.0
2000-02-17,2.5,2.5,2.475,2.475,1.711302,346800.0
2000-02-18,2.45,2.475,2.45,2.475,1.711302,355600.0
2000-02-21,2.475,2.475,2.475,2.475,1.711302,0.0
2000-02-22,2.45,2.45,2.25,2.25,1.555729,685600.0
2000-02-23,2.275,2.35,2.25,2.35,1.624872,353200.0
2000-02-24,2.35,2.4,2.25,2.25,1.555729,822000.0
2000-02-25,2.25,2.4,2.25,2.35,1.624872,1082400.0
2000-02-28,2.35,2.35,2.225,2.225,1.538443,655600.0
2000-02-29,2.25,2.25,2.1,2.1,1.452014,680800.0
2000-03-01,2.025,2.025,1.925,1.925,1.331013,482000.0
2000-03-02,1.975,2.15,1.975,2.125,1.4693,636400.0
2000-03-03,2.075,2.125,2.025,2.025,1.400156,255600.0
2000-03-06,2.0,2.0,1.975,1.975,1.365584,115600.0
2000-03-07,2.0,2.025,1.95,1.95,1.348299,489600.0
2000-03-08,1.95,1.95,1.8,1.875,1.296441,509600.0
2000-03-09,1.9,2.025,1.9,2.025,1.400156,868400.0
2000-03-10,2.05,2.075,2.05,2.075,1.434728,122000.0
2000-03-13,2.0,2.0,1.975,1.975,1.365584,93200.0
2000-03-14,2.025,2.025,1.975,2.0,1.38287,389600.0
2000-03-15,1.975,2.0,1.925,1.925,1.331013,486000.0
2000-03-16,1.95,1.975,1.925,1.925,1.331013,212000.0
2000-03-17,2.0,2.05,2.0,2.025,1.400156,570800.0
2000-03-20,2.0,2.025,1.95,2.0,1.38287,380400.0
2000-03-21,2.0,2.35,2.0,2.35,1.624872,4884800.0
2000-03-22,2.475,2.5625,2.25,2.275,1.573015,9751600.0
2000-03-23,2.325,2.35,2.275,2.3,1.590301,2039200.0
