Date,Open,High,Low,Close,Adj Close,Volume
1991-06-05,29.0,31.0,25.0,31.0,-0.149109,10780000.0
1991-06-06,32.0,34.0,32.0,34.0,-0.163539,6354000.0
1991-06-07,35.599998,37.0,33.599998,36.0,-0.173159,10929000.0
1991-06-10,36.599998,39.200001,35.599998,39.0,-0.187589,8167000.0
1991-06-11,39.400002,40.799999,37.799999,38.0,-0.182779,9922000.0
1991-06-12,38.799999,39.400002,37.599998,37.799999,-0.181817,4682000.0
1991-06-13,37.799999,39.0,37.400002,38.400002,-0.184703,3645000.0
1991-06-14,38.599998,39.0,38.0,38.599998,-0.185665,2384000.0
1991-06-17,38.400002,38.599998,37.200001,37.400002,-0.179893,2002000.0
1991-06-18,38.599998,38.599998,36.799999,37.200001,-0.178931,2537000.0
1991-06-19,37.0,37.200001,34.799999,34.799999,-0.167387,2640000.0
1991-06-20,35.0,35.799999,31.4,32.0,-0.153919,2431000.0
1991-06-21,32.799999,33.400002,30.0,32.799999,-0.157767,3462000.0
1991-06-24,32.0,32.799999,31.200001,31.4,-0.151033,2091000.0
1991-06-25,30.6,31.799999,30.0,31.0,-0.149109,2737000.0
1991-06-26,31.799999,33.799999,31.200001,33.200001,-0.159691,3689000.0
1991-06-27,34.0,35.799999,33.400002,34.599998,-0.166425,7587000.0
1991-06-28,35.0,35.400002,33.200001,33.400002,-0.160653,4680000.0
1991-07-01,,,,,,
1991-07-02,33.0,33.0,31.200001,31.4,-0.151033,4056000.0
1991-07-03,31.0,32.0,30.4,30.6,-0.147185,3459000.0
1991-07-04,31.4,31.799999,30.6,30.799999,-0.148147,2476000.0
1991-07-05,31.200001,31.799999,30.6,31.4,-0.151033,2572000.0
1991-07-08,32.0,33.599998,31.200001,33.0,-0.158729,6150000.0
1991-07-09,33.400002,33.799999,31.0,31.200001,-0.150071,5258000.0
1991-07-10,30.799999,31.4,30.4,31.0,-0.149109,3190000.0
1991-07-11,30.799999,31.799999,30.799999,31.200001,-0.150071,2873000.0
1991-07-12,31.200001,31.4,30.4,31.0,-0.149109,2318000.0
1991-07-15,31.0,32.400002,30.6,31.4,-0.151033,3280000.0
1991-07-16,31.6,31.799999,29.6,29.799999,-0.143337,2932000.0
1991-07-17,29.0,29.0,27.0,27.0,-0.129869,2956000.0
1991-07-18,25.4,25.4,24.4,24.6,-0.118325,5235000.0
1991-07-19,25.4,27.0,24.4,27.0,-0.129869,5725000.0
1991-07-22,27.4,29.6,26.6,29.6,-0.142375,6399000.0
1991-07-23,30.200001,30.6,28.0,28.4,-0.136603,5451000.0
1991-07-24,27.799999,30.0,27.4,29.0,-0.139489,5234000.0
1991-07-25,29.6,31.0,29.0,29.200001,-0.140451,5386000.0
1991-07-26,29.6,29.799999,29.200001,29.4,-0.141413,1875000.0
1991-07-29,,,,,,
1991-07-30,29.0,29.4,28.200001,28.4,-0.136603,1149000.0
1991-07-31,28.6,28.799999,27.4,27.4,-0.131793,1081000.0
1991-08-01,26.6,27.799999,26.200001,26.799999,-0.128907,1436000.0
1991-08-02,27.4,27.799999,26.6,27.799999,-0.133717,882000.0
1991-08-05,28.4,28.6,26.799999,27.0,-0.129869,969000.0
1991-08-06,27.4,27.4,26.6,26.799999,-0.128907,380000.0
1991-08-07,27.200001,27.200001,26.799999,26.799999,-0.128907,358000.0
1991-08-08,27.0,27.200001,26.0,26.4,-0.126983,410000.0
1991-08-09,25.799999,26.4,25.6,26.4,-0.140266,363000.0
1991-08-12,,,,,,
1991-08-13,26.200001,26.200001,25.200001,25.4,-0.134953,320000.0
1991-08-14,25.6,25.799999,25.200001,25.4,-0.134953,163000.0
1991-08-15,25.4,26.0,25.4,26.0,-0.138141,211000.0
1991-08-16,26.200001,26.200001,25.6,25.6,-0.136015,238000.0
1991-08-19,25.6,25.6,23.200001,24.0,-0.127514,907000.0
1991-08-20,22.0,22.200001,21.6,21.6,-0.114763,2061000.0
1991-08-21,21.6,23.4,21.4,22.6,-0.120076,2525000.0
1991-08-22,24.4,24.6,23.6,24.4,-0.12964,1747000.0
1991-08-23,24.200001,24.799999,23.4,23.6,-0.125389,939000.0
1991-08-26,23.799999,24.0,23.6,23.799999,-0.126452,258000.0
1991-08-27,24.0,24.200001,23.799999,23.799999,-0.126452,379000.0
1991-08-28,24.4,25.4,24.200001,24.799999,-0.131765,1901000.0
1991-08-29,25.200001,25.6,25.0,25.0,-0.132828,1433000.0
1991-08-30,25.4,27.4,25.4,27.4,-0.145579,3964000.0
1991-09-02,28.799999,29.799999,28.200001,29.4,-0.156205,4597000.0
1991-09-03,29.4,29.6,28.4,28.799999,-0.153017,2996000.0
1991-09-04,28.6,29.4,28.6,29.0,-0.15408,1238000.0
1991-09-05,29.200001,29.4,28.4,28.6,-0.151955,951000.0
1991-09-06,28.6,29.4,28.4,29.4,-0.156205,897000.0
1991-09-09,29.6,30.0,29.0,29.200001,-0.155143,1511000.0
1991-09-10,29.200001,29.200001,28.6,28.799999,-0.153017,424000.0
1991-09-11,28.799999,28.799999,28.4,28.6,-0.151955,295000.0
1991-09-12,28.4,28.6,28.0,28.6,-0.151955,502000.0
1991-09-13,28.6,28.6,28.0,28.200001,-0.14983,461000.0
1991-09-16,28.6,28.799999,27.799999,27.799999,-0.147704,437000.0
1991-09-17,28.200001,28.4,27.799999,28.0,-0.148767,277000.0
1991-09-18,28.200001,28.6,28.0,28.6,-0.151955,428000.0
