Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,1.29376,1.31705,1.2592,1.31705,0.151565,131269.0
2000-01-05,1.27047,1.27047,1.2592,1.27047,0.146205,144983.0
2000-01-06,1.2592,1.2592,1.21262,1.23591,0.142228,313478.0
2000-01-07,1.20135,1.21262,1.17806,1.21262,0.139548,219435.0
2000-01-10,1.31705,1.32832,1.23591,1.23591,0.142228,156739.0
2000-01-11,1.27047,1.29376,1.2592,1.2592,0.144908,333071.0
2000-01-12,1.17806,1.21262,1.17806,1.21262,0.139548,166535.0
2000-01-13,1.17806,1.21262,1.17806,1.21262,0.139548,233150.0
2000-01-14,,,,,,
2000-01-17,,,,,,
2000-01-18,1.15477,1.17806,1.15477,1.15477,0.13289,225313.0
2000-01-19,,,,,,
2000-01-20,,,,,,
2000-01-21,1.17806,1.21262,1.17806,1.21262,0.139548,1959240.0
2000-01-24,,,,,,
2000-01-25,,,,,,
2000-01-26,1.1435,1.1435,1.09692,1.09692,0.126233,286049.0
2000-01-27,,,,,,
2000-01-28,1.07438,1.17806,1.07438,1.17806,0.13557,540751.0
2000-01-31,,,,,,
2000-02-01,,,,,,
2000-02-02,1.07438,1.12021,1.07438,1.12021,0.128913,90125.0
2000-02-03,1.12021,1.17806,1.07438,1.17806,0.13557,146942.0
2000-02-04,,,,,,
2000-02-07,,,,,,
2000-02-08,,,,,,
2000-02-09,1.1435,1.15477,1.1435,1.15477,0.13289,246865.0
2000-02-10,1.17806,1.23591,1.17806,1.21262,0.139548,37225.0
2000-02-11,,,,,,
2000-02-14,1.1435,1.17806,1.1435,1.17806,0.13557,39185.0
2000-02-15,1.12021,1.12021,1.00451,1.00451,0.115598,1528206.0
2000-02-16,1.06236,1.06236,0.94741,1.01653,0.116982,1057989.0
2000-02-17,,,,,,
2000-02-18,,,,,,
2000-02-21,,,,,,
2000-02-22,0.98197,1.01653,0.95868,1.01653,0.116982,78369.0
2000-02-23,0.95868,1.01653,0.95868,1.01653,0.116982,139105.0
2000-02-24,0.98197,1.01653,0.95868,1.01653,0.116982,237068.0
2000-02-25,,,,,,
2000-02-28,1.01653,1.09692,1.00451,1.09692,0.126233,699448.0
2000-02-29,,,,,,
2000-03-01,1.07438,1.17806,1.07438,1.17806,0.13557,1116766.0
2000-03-02,,,,,,
2000-03-03,1.07438,1.20135,1.07438,1.20135,0.138251,39185.0
2000-03-06,,,,,,
2000-03-07,1.17806,1.20135,1.17806,1.20135,0.138251,117554.0
2000-03-08,1.20135,1.21262,1.20135,1.20135,0.138251,325234.0
2000-03-09,1.20135,1.21262,1.20135,1.21262,0.139548,407522.0
2000-03-10,,,,,,
2000-03-13,,,,,,
2000-03-14,,,,,,
2000-03-15,,,,,,
2000-03-16,1.20135,1.20135,1.17806,1.17806,0.13557,1959240.0
2000-03-17,,,,,,
2000-03-20,,,,,,
2000-03-21,,,,,,
2000-03-22,1.15477,1.17806,1.15477,1.17806,0.13557,29388.0
2000-03-23,,,,,,
2000-03-24,,,,,,
2000-03-27,,,,,,
2000-03-28,1.09692,1.15477,1.09692,1.15477,0.13289,88165.0
2000-03-29,,,,,,
2000-03-30,,,,,,
2000-03-31,1.15477,1.17806,1.03982,1.06236,0.122256,783695.0
2000-04-03,1.03982,1.03982,1.00451,1.00451,0.115598,250783.0
2000-04-04,,,,,,
2000-04-05,0.98197,0.98197,0.95868,0.98197,0.113005,384011.0
2000-04-06,,,,,,
2000-04-07,1.00451,1.07438,1.00451,1.07438,0.123639,43103.0
2000-04-10,,,,,,
2000-04-11,,,,,,
2000-04-12,1.01653,1.03982,0.98197,0.98197,0.113005,481972.0
2000-04-13,,,,,,
2000-04-14,,,,,,
2000-04-17,0.94741,0.98197,0.94741,0.98197,0.113005,107758.0
2000-04-18,,,,,,
2000-04-19,,,,,,
2000-04-20,,,,,,
2000-04-21,0.98197,1.01653,0.98197,1.01653,0.116982,117554.0
2000-04-24,,,,,,
2000-04-25,,,,,,
2000-04-26,1.00451,1.00451,0.98197,0.98197,0.113005,548588.0
2000-04-27,1.00451,1.07438,1.00451,1.07438,0.123639,41144.0
2000-04-28,,,,,,
2000-05-01,,,,,,
2000-05-02,0.95868,0.98197,0.94741,0.98197,0.113005,125391.0
2000-05-03,,,,,,
2000-05-04,1.00451,1.01653,1.00451,1.01653,0.116982,31348.0
2000-05-05,,,,,,
2000-05-08,,,,,,
2000-05-09,,,,,,
2000-05-10,,,,,,
2000-05-11,,,,,,
2000-05-12,,,,,,
2000-05-15,,,,,,
2000-05-16,,,,,,
2000-05-17,,,,,,
2000-05-18,,,,,,
2000-05-19,1.03982,1.06236,1.03982,1.06236,0.122256,9796.0
2000-05-22,,,,,,
2000-05-23,,,,,,
2000-05-24,,,,,,
2000-05-25,,,,,,
2000-05-26,,,,,,
2000-05-29,,,,,,
2000-05-30,,,,,,
2000-05-31,1.06236,1.07438,1.06236,1.07438,0.123639,13715.0
2000-06-01,0.95868,1.03982,0.92412,1.03982,0.119662,21552.0
2000-06-02,0.95868,0.98197,0.94741,0.94741,0.109027,88165.0
2000-06-05,1.00451,1.01653,1.00451,1.01653,0.116982,23511.0
2000-06-06,,,,,,
2000-06-07,,,,,,
2000-06-08,,,,,,
2000-06-09,0.95868,0.95868,0.92412,0.92412,0.106347,254701.0
2000-06-12,,,,,,
2000-06-13,,,,,,
2000-06-14,,,,,,
2000-06-15,0.95868,0.95868,0.90083,0.94741,0.109027,97962.0
2000-06-16,0.95868,1.00451,0.95868,1.00451,0.115598,17633.0
2000-06-19,0.94741,0.95868,0.94741,0.95868,0.110324,1195136.0
2000-06-20,0.95868,0.98197,0.95868,0.98197,0.113005,703367.0
2000-06-21,,,,,,
2000-06-22,,,,,,
2000-06-23,,,,,,
2000-06-26,,,,,,
2000-06-27,0.90083,0.92412,0.90083,0.92412,0.106347,25470.0
2000-06-28,,,,,,
2000-06-29,,,,,,
2000-06-30,,,,,,
2000-07-03,,,,,,
2000-07-04,,,,,,
2000-07-05,0.86627,0.92412,0.86627,0.92412,0.106347,43103.0
2000-07-06,,,,,,
2000-07-07,,,,,,
2000-07-10,0.98197,1.01653,0.98197,1.00451,0.115598,13715.0
2000-07-11,,,,,,
2000-07-12,,,,,,
2000-07-13,,,,,,
2000-07-14,,,,,,
2000-07-17,,,,,,
2000-07-18,0.90083,1.00451,0.90083,1.00451,0.115598,17633.0
2000-07-19,,,,,,
2000-07-20,,,,,,
2000-07-21,,,,,,
2000-07-24,1.01653,1.01653,0.92412,0.98197,0.113005,78369.0
2000-07-25,,,,,,
2000-07-26,,,,,,
2000-07-27,1.00451,1.01653,1.00451,1.01653,0.116982,9796.0
2000-07-28,,,,,,
2000-07-31,,,,,,
2000-08-01,,,,,,
