Date,Open,High,Low,Close,Adj Close,Volume
2013-06-07,5.54,6.77,5.41,6.73,6.62992,548608051.0
2013-06-10,,,,,,
2013-06-11,,,,,,
2013-06-12,6.14,6.73,6.04,6.64,6.541259,360283651.0
2013-06-13,,,,,,
2013-06-14,,,,,,
2013-06-17,,,,,,
2013-06-18,6.59,6.73,6.04,6.14,6.048694,168180760.0
2013-06-19,,,,,,
2013-06-20,,,,,,
2013-06-21,5.68,6.04,5.68,5.95,5.861519,98623580.0
2013-06-24,,,,,,
2013-06-25,,,,,,
2013-06-26,,,,,,
2013-06-27,6.04,6.23,5.86,5.86,5.772858,111707200.0
2013-06-28,,,,,,
2013-07-02,,,,,,
2013-07-03,,,,,,
2013-07-04,,,,,,
2013-07-05,,,,,,
2013-07-08,,,,,,
2013-07-09,,,,,,
2013-07-10,,,,,,
2013-07-11,,,,,,
2013-07-12,,,,,,
2013-07-15,,,,,,
2013-07-16,5.82,6.04,5.73,5.86,5.772858,111839860.0
2013-07-17,5.91,6.14,5.82,6.04,5.950181,131779340.0
2013-07-18,6.04,6.18,5.95,6.14,6.048694,151343069.0
2013-07-19,,,,,,
2013-07-23,6.32,6.36,6.04,6.27,6.176762,90886180.0
2013-07-24,,,,,,
2013-07-25,6.04,6.04,5.73,5.73,5.644791,54956000.0
2013-07-26,,,,,,
2013-07-29,,,,,,
2013-07-30,,,,,,
2013-07-31,,,,,,
2013-08-01,,,,,,
2013-08-02,,,,,,
2013-08-05,5.41,5.59,5.32,5.54,5.457617,40076960.0
2013-08-06,,,,,,
2013-08-07,5.5,5.64,5.41,5.54,5.457617,49102020.0
2013-08-08,,,,,,
2013-08-09,,,,,,
2013-08-13,,,,,,
2013-08-14,,,,,,
2013-08-15,,,,,,
2013-08-16,,,,,,
2013-08-19,,,,,,
2013-08-20,,,,,,
2013-08-21,,,,,,
2013-08-22,,,,,,
2013-08-23,,,,,,
2013-08-26,5.04,5.04,4.54,4.82,4.748323,30686040.0
2013-08-27,,,,,,
2013-08-28,,,,,,
2013-08-29,,,,,,
2013-08-30,,,,,,
2013-09-02,,,,,,
2013-09-03,,,,,,
2013-09-04,,,,,,
2013-09-05,4.39,4.54,4.32,4.54,4.472487,39649500.0
2013-09-06,,,,,,
2013-09-09,,,,,,
2013-09-10,5.27,5.32,5.04,5.23,5.152226,95162100.0
2013-09-11,,,,,,
2013-09-12,,,,,,
2013-09-13,,,,,,
2013-09-16,,,,,,
2013-09-17,,,,,,
2013-09-18,,,,,,
2013-09-19,5.59,5.82,5.5,5.54,5.457617,126666760.0
2013-09-20,,,,,,
2013-09-23,,,,,,
2013-09-24,5.32,5.54,5.23,5.23,5.152226,58192200.0
2013-09-25,5.32,5.54,5.23,5.32,5.240889,104603180.0
2013-09-26,,,,,,
