Date,Open,High,Low,Close,Adj Close,Volume
2009-06-30,10.0,10.0,10.0,10.0,10.0,0.0
2009-07-02,,,,,,
2009-07-03,,,,,,
2009-07-06,,,,,,
2009-07-08,,,,,,
2009-07-09,,,,,,
2009-07-10,,,,,,
2009-07-13,,,,,,
2009-07-14,,,,,,
2009-07-15,,,,,,
2009-07-16,,,,,,
2009-07-17,,,,,,
2009-07-20,,,,,,
2009-07-21,,,,,,
2009-07-22,,,,,,
2009-07-23,,,,,,
2009-07-24,,,,,,
2009-07-27,,,,,,
2009-07-28,,,,,,
2009-07-29,,,,,,
2009-07-30,,,,,,
2009-07-31,,,,,,
2009-08-03,,,,,,
2009-08-04,,,,,,
2009-08-05,,,,,,
2009-08-06,,,,,,
2009-08-07,,,,,,
2009-08-10,,,,,,
2009-08-11,,,,,,
2009-08-13,,,,,,
2009-08-14,,,,,,
2009-08-17,10.0,10.0,10.0,10.0,10.0,0.0
2009-08-18,10.0,10.0,10.0,10.0,10.0,0.0
2009-08-19,10.0,10.0,10.0,10.0,10.0,0.0
2009-08-20,10.0,10.0,10.0,10.0,10.0,0.0
2009-08-21,10.0,10.0,10.0,10.0,10.0,0.0
2009-08-24,10.0,10.0,10.0,10.0,10.0,0.0
2009-08-25,10.0,10.0,10.0,10.0,10.0,0.0
2009-08-26,10.0,10.0,10.0,10.0,10.0,0.0
2009-08-27,10.0,10.0,10.0,10.0,10.0,0.0
2009-08-28,10.0,10.0,10.0,10.0,10.0,0.0
2009-08-31,10.0,10.0,10.0,10.0,10.0,0.0
2009-09-01,,,,,,
2009-09-02,,,,,,
2009-09-03,,,,,,
2009-09-04,,,,,,
2009-09-07,,,,,,
2009-09-08,,,,,,
2009-09-09,,,,,,
2009-09-10,,,,,,
2009-09-11,,,,,,
2009-09-14,,,,,,
2009-09-15,,,,,,
2009-09-16,,,,,,
2009-09-17,,,,,,
2009-09-18,,,,,,
2009-09-21,,,,,,
2009-09-22,,,,,,
2009-09-23,,,,,,
2009-09-24,,,,,,
2009-09-25,,,,,,
2009-09-28,,,,,,
2009-09-29,,,,,,
2009-09-30,,,,,,
2009-10-01,,,,,,
2009-10-02,,,,,,
2009-10-05,,,,,,
2009-10-06,,,,,,
2009-10-07,10.0,10.0,10.0,10.0,10.0,0.0
2009-10-08,10.0,10.0,10.0,10.0,10.0,0.0
2009-10-09,10.0,10.0,10.0,10.0,10.0,0.0
2009-10-12,10.0,10.0,10.0,10.0,10.0,0.0
2009-10-13,10.0,10.0,10.0,10.0,10.0,0.0
