Date,Open,High,Low,Close,Adj Close,Volume
2014-12-24,12.6,12.7,12.0,12.4,12.15216,20890700.0
2014-12-25,,,,,,
2014-12-26,,,,,,
2014-12-29,,,,,,
2014-12-30,,,,,,
2015-01-05,,,,,,
2015-01-06,,,,,,
2015-01-07,,,,,,
2015-01-08,,,,,,
2015-01-09,,,,,,
2015-01-12,,,,,,
2015-01-13,,,,,,
2015-01-14,,,,,,
2015-01-15,,,,,,
2015-01-16,,,,,,
2015-01-19,,,,,,
2015-01-20,,,,,,
2015-01-21,,,,,,
2015-01-22,,,,,,
2015-01-23,,,,,,
2015-01-26,,,,,,
2015-01-27,,,,,,
2015-01-28,,,,,,
2015-01-29,,,,,,
2015-01-30,,,,,,
2015-02-02,,,,,,
2015-02-03,,,,,,
2015-02-04,,,,,,
2015-02-05,,,,,,
2015-02-06,,,,,,
2015-02-09,,,,,,
2015-02-10,,,,,,
2015-02-11,,,,,,
2015-02-12,,,,,,
2015-02-13,,,,,,
2015-02-16,,,,,,
2015-02-17,,,,,,
2015-02-18,,,,,,
2015-02-19,,,,,,
2015-02-20,20.299999,20.4,19.700001,20.1,19.698261,23357600.0
2015-02-23,,,,,,
2015-02-24,,,,,,
2015-02-25,,,,,,
2015-02-26,,,,,,
2015-02-27,,,,,,
2015-03-02,20.0,20.200001,19.6,19.799999,19.404253,18032100.0
2015-03-03,20.0,20.0,19.299999,19.6,19.208252,12767400.0
2015-03-05,19.6,19.6,19.0,19.200001,18.816248,12121500.0
2015-03-06,19.1,19.200001,18.700001,19.1,18.718246,15879600.0
2015-03-09,19.200001,19.6,19.0,19.5,19.110252,17416500.0
2015-03-10,19.6,19.700001,18.9,18.9,18.522242,16838000.0
2015-03-11,18.700001,19.6,18.6,19.200001,18.816248,21676500.0
2015-03-12,19.5,19.5,19.200001,19.4,19.012251,9286000.0
2015-03-13,19.6,20.700001,19.6,19.9,19.502256,101837900.0
2015-03-16,19.799999,19.9,19.1,19.200001,18.816248,39925600.0
2015-03-17,19.5,19.5,18.9,18.9,18.522242,19527600.0
2015-03-18,19.0,19.6,18.9,19.4,19.012251,15692200.0
2015-03-19,19.6,19.9,19.200001,19.299999,18.914248,12952200.0
2015-03-20,19.299999,19.4,19.0,19.4,19.012251,8045200.0
2015-03-23,19.6,19.6,19.0,19.0,18.620245,7652600.0
2015-03-24,19.1,19.200001,18.299999,18.799999,18.424242,16583800.0
2015-03-25,18.700001,19.1,18.700001,18.9,18.522242,5470900.0
2015-03-26,18.799999,18.799999,18.4,18.4,18.032236,7076700.0
2015-03-27,18.5,18.5,18.0,18.1,17.738234,12045300.0
2015-03-30,18.4,18.5,18.200001,18.299999,17.934235,5602200.0
2015-03-31,18.4,18.6,18.200001,18.200001,17.836235,8119100.0
2015-04-01,18.299999,19.0,18.299999,18.799999,18.424242,17368500.0
2015-04-02,18.799999,19.299999,18.799999,19.0,18.620245,13318900.0
2015-04-03,19.1,19.1,18.9,19.0,18.620245,3865000.0
2015-04-07,19.0,19.1,18.799999,18.9,18.522242,5619900.0
2015-04-08,19.0,19.299999,18.6,18.700001,18.326242,8498900.0
2015-04-09,19.0,19.1,18.799999,18.9,18.522242,5686000.0
2015-04-10,19.0,19.1,18.799999,19.0,18.620245,2852700.0
2015-04-16,19.0,19.200001,18.9,19.200001,18.816248,5816300.0
2015-04-17,19.200001,19.200001,18.9,19.0,18.620245,3310300.0
2015-04-20,18.9,19.0,18.799999,18.799999,18.424242,3931200.0
2015-04-21,18.9,19.799999,18.799999,19.6,19.208252,32662300.0
2015-04-22,19.799999,19.9,19.299999,19.4,19.012251,30100100.0
2015-04-23,19.5,19.6,19.200001,19.200001,18.816248,14932500.0
2015-04-24,19.299999,19.6,19.1,19.200001,18.816248,7499900.0
2015-04-27,19.200001,19.200001,18.9,19.0,18.747179,3377300.0
2015-04-28,19.0,19.0,18.5,19.0,18.747179,7606200.0
2015-04-29,18.799999,19.4,18.700001,19.200001,18.944519,16995300.0
2015-04-30,19.1,19.200001,18.9,18.9,18.64851,5019300.0
2015-05-04,18.9,18.9,18.9,18.9,18.64851,0.0
2015-05-06,18.9,18.9,18.299999,18.299999,18.056494,11901300.0
2015-05-07,18.299999,18.6,18.0,18.0,17.760487,7507500.0
2015-05-08,18.1,18.200001,17.200001,17.9,17.661818,17414000.0
2015-05-11,18.1,18.1,17.5,17.5,17.267139,8427300.0
2015-05-12,17.6,17.6,16.700001,16.799999,16.576452,17800800.0
2015-05-13,17.0,17.200001,16.9,17.200001,16.97113,8431700.0
2015-05-14,17.200001,17.9,17.0,17.799999,17.563147,8879800.0
2015-05-15,17.700001,18.200001,17.6,18.200001,17.957827,8133800.0
2015-05-18,18.200001,18.700001,18.1,18.5,18.253834,7626400.0
2015-05-19,18.6,18.799999,18.5,18.700001,18.451172,6415700.0
2015-05-20,18.799999,19.299999,18.700001,18.700001,18.451172,21101900.0
2015-05-21,18.9,19.0,18.700001,18.700001,18.451172,5666200.0
2015-05-22,18.9,18.9,18.4,18.6,18.352503,5838300.0
2015-05-25,18.6,18.700001,18.299999,18.299999,18.056494,3506200.0
2015-05-26,18.299999,18.4,17.9,18.0,17.760487,6413000.0
2015-05-27,17.799999,18.299999,17.6,18.200001,17.957827,7710700.0
2015-05-28,18.4,18.4,18.1,18.299999,18.056494,5214900.0
2015-05-29,18.299999,18.5,18.0,18.5,18.253834,9370600.0
2015-06-02,18.5,18.5,18.200001,18.200001,17.957827,4506700.0
2015-06-03,18.200001,18.6,18.1,18.5,18.253834,9324000.0
2015-06-04,18.799999,19.1,18.6,18.799999,18.549841,19603900.0
2015-06-05,18.9,19.0,18.700001,18.700001,18.451172,5938900.0
2015-06-08,18.799999,18.799999,18.5,18.6,18.352503,2687900.0
2015-06-09,18.700001,18.700001,18.299999,18.4,18.155163,3916100.0
2015-06-10,18.6,18.9,18.4,18.5,18.253834,5656600.0
2015-06-11,18.6,18.799999,18.5,18.700001,18.451172,5613400.0
2015-06-12,18.700001,18.799999,18.4,18.6,18.352503,4808500.0
2015-06-15,18.6,18.6,18.299999,18.5,18.253834,2034000.0
2015-06-16,18.6,18.700001,18.4,18.5,18.253834,2171700.0
2015-06-17,18.6,18.6,18.4,18.5,18.253834,3385300.0
2015-06-18,18.5,18.6,18.4,18.5,18.253834,3000000.0
2015-06-19,18.5,18.6,18.299999,18.6,18.352503,7866200.0
2015-06-22,18.6,18.700001,18.4,18.700001,18.451172,2378400.0
2015-06-23,18.700001,18.700001,18.5,18.700001,18.451172,3183400.0
2015-06-24,18.700001,19.0,18.6,19.0,18.747179,14022700.0
2015-06-25,19.0,19.6,19.0,19.5,19.240526,31621300.0
2015-06-26,19.6,19.700001,19.200001,19.200001,18.944519,12624500.0
2015-06-29,18.799999,19.299999,18.700001,19.200001,18.944519,9628700.0
2015-06-30,19.200001,19.4,18.9,19.1,18.845848,7344000.0
2015-07-02,19.1,19.299999,19.0,19.200001,18.944519,5248800.0
2015-07-03,19.1,19.200001,19.0,19.200001,18.944519,1721100.0
2015-07-06,19.0,19.1,18.700001,19.0,18.747179,3080400.0
2015-07-07,19.1,19.1,18.9,19.0,18.747179,2070700.0
2015-07-08,18.9,19.1,18.700001,19.0,18.747179,3657700.0
2015-07-09,18.9,19.4,18.9,19.200001,18.944519,8783900.0
2015-07-10,19.200001,19.299999,19.1,19.200001,18.944519,2961500.0
2015-07-13,19.200001,19.6,19.200001,19.4,19.141855,15588800.0
2015-07-14,19.5,19.5,19.1,19.200001,18.944519,8155100.0
2015-07-15,19.299999,19.299999,19.0,19.299999,19.043186,3587600.0
2015-07-16,19.299999,19.299999,18.9,19.0,18.747179,4241600.0
2015-07-17,19.1,19.1,18.9,18.9,18.64851,1412800.0
2015-07-20,19.0,19.0,18.700001,18.799999,18.549841,3461300.0
2015-07-21,18.799999,18.799999,18.200001,18.299999,18.056494,7702300.0
2015-07-22,18.299999,18.6,18.0,18.6,18.352503,4096800.0
2015-07-23,18.6,18.799999,18.4,18.700001,18.451172,2459000.0
2015-07-24,18.6,18.9,18.4,18.799999,18.549841,4611900.0
2015-07-27,18.700001,18.700001,18.1,18.6,18.352503,4487200.0
2015-07-28,18.6,18.6,18.200001,18.6,18.352503,3228200.0
2015-07-29,18.799999,19.0,18.6,18.9,18.64851,4444100.0
2015-07-31,18.9,19.299999,18.9,19.200001,18.944519,8408200.0
2015-08-03,19.1,19.1,18.799999,18.799999,18.549841,2825900.0
2015-08-04,18.799999,18.9,18.700001,18.700001,18.451172,1279600.0
2015-08-05,18.799999,18.9,18.700001,18.799999,18.549841,1736300.0
2015-08-06,18.799999,18.799999,18.5,18.6,18.352503,2719300.0
2015-08-07,18.799999,18.799999,18.5,18.5,18.253834,1744300.0
2015-08-10,18.5,18.6,18.4,18.5,18.253834,1404800.0
