Date,Open,High,Low,Close,Adj Close,Volume
2014-12-24,3.48,3.5,3.26,3.28,3.25704,1726200.0
2014-12-25,,,,,,
2014-12-26,,,,,,
2014-12-29,,,,,,
2014-12-30,,,,,,
2015-01-05,,,,,,
2015-01-06,,,,,,
2015-01-07,,,,,,
2015-01-08,,,,,,
2015-01-09,,,,,,
2015-01-12,,,,,,
2015-01-13,,,,,,
2015-01-14,,,,,,
2015-01-15,,,,,,
2015-01-16,,,,,,
2015-01-19,,,,,,
2015-01-20,,,,,,
2015-01-21,,,,,,
2015-01-22,,,,,,
2015-01-23,,,,,,
2015-01-26,,,,,,
2015-01-27,,,,,,
2015-01-28,,,,,,
2015-01-29,,,,,,
2015-01-30,,,,,,
2015-02-02,,,,,,
2015-02-03,,,,,,
2015-02-04,,,,,,
2015-02-05,,,,,,
2015-02-06,,,,,,
2015-02-09,,,,,,
2015-02-10,,,,,,
2015-02-11,,,,,,
2015-02-12,,,,,,
2015-02-13,,,,,,
2015-02-16,,,,,,
2015-02-17,,,,,,
2015-02-18,,,,,,
2015-02-19,,,,,,
2015-02-20,3.92,3.94,3.86,3.88,3.85284,873400.0
2015-02-23,,,,,,
2015-02-24,,,,,,
2015-02-25,,,,,,
2015-02-26,,,,,,
2015-02-27,,,,,,
2015-03-02,4.52,4.64,4.34,4.6,4.5678,15435000.0
2015-03-03,4.62,4.62,3.98,4.0,3.972,12349900.0
2015-03-05,4.0,4.12,3.9,4.04,4.01172,2955700.0
2015-03-06,4.04,4.1,4.02,4.08,4.05144,994900.0
2015-03-09,4.12,4.22,4.06,4.1,4.0713,6429300.0
2015-03-10,4.14,4.18,3.98,3.98,3.95214,3014300.0
2015-03-11,4.0,4.24,3.96,4.18,4.15074,8179900.0
2015-03-12,4.18,4.34,4.06,4.24,4.21032,6240200.0
2015-03-13,4.36,4.6,4.08,4.16,4.13088,35529400.0
2015-03-16,4.14,4.16,3.98,4.0,3.972,6028100.0
2015-03-17,4.02,4.08,3.88,3.9,3.8727,3923400.0
2015-03-18,3.86,4.12,3.86,4.0,3.972,4711300.0
2015-03-19,4.04,4.08,3.92,3.92,3.89256,1820400.0
2015-03-20,4.0,4.0,3.88,3.92,3.89256,1254700.0
