Date,Open,High,Low,Close,Adj Close,Volume
2016-06-21,12.3,12.8,11.3,11.3,11.127404,78375700
2016-06-22,11.3,11.9,10.1,10.2,10.044205,40669200
2016-06-23,10.6,10.9,10.1,10.2,10.044205,22356600
2016-06-24,10.0,10.6,9.9,10.5,10.339623,17788200
2016-06-27,10.7,11.1,10.5,10.7,10.536568,25404800
2016-06-28,10.7,10.8,10.0,10.3,10.142678,9928400
2016-06-29,10.4,10.7,10.3,10.3,10.142678,8261300
2016-06-30,10.4,10.7,10.2,10.2,10.044205,8653600
2016-07-04,10.2,10.6,10.0,10.1,9.945733,6590100
2016-07-05,10.2,10.4,10.0,10.2,10.044205,5031500
2016-07-06,10.3,10.6,10.2,10.3,10.142678,9662000
2016-07-07,10.3,10.3,10.0,10.0,9.84726,3428200
2016-07-08,10.1,10.2,10.0,10.0,9.84726,1573600
2016-07-11,10.1,10.3,10.0,10.0,9.84726,1777900
2016-07-12,10.0,10.5,10.0,10.2,10.044205,8849000
2016-07-13,10.2,10.2,10.0,10.0,9.84726,1866700
2016-07-14,10.1,10.3,10.0,10.0,9.84726,1872700
2016-07-15,10.1,10.1,9.85,9.95,9.798023,1849600
2016-07-20,9.9,10.1,9.9,9.95,9.798023,1169500
2016-07-21,9.95,12.9,9.95,12.9,12.702965,88172000
2016-07-22,12.8,13.3,12.0,12.3,12.11213,62537900
2016-07-25,12.5,13.5,12.2,13.4,13.195328,58526000
2016-07-26,13.5,13.6,12.8,12.9,12.702965,22091300
2016-07-27,13.0,13.2,12.5,12.7,12.506021,8069700
2016-07-28,12.7,13.5,12.6,13.5,13.293801,13661900
2016-07-29,13.6,13.9,13.0,13.0,12.801438,13884800
2016-08-01,13.0,13.3,13.0,13.0,12.801438,3646300
2016-08-02,13.0,13.0,12.3,12.4,12.210602,2081000
2016-08-03,12.2,13.0,12.2,12.8,12.604493,4049300
2016-08-04,12.9,13.2,12.7,12.8,12.604493,1976900
2016-08-05,12.9,13.4,12.8,12.9,12.702965,6912400
2016-08-08,13.2,13.8,12.8,13.8,13.589219,12755100
2016-08-09,14.0,15.2,14.0,14.7,14.475472,35180700
2016-08-10,14.7,14.8,14.2,14.2,13.983109,5054300
2016-08-11,14.3,14.7,14.0,14.5,14.278527,4702300
2016-08-15,14.5,14.9,14.1,14.9,14.672418,2380400
2016-08-16,14.9,15.1,14.6,14.8,14.573945,3010800
2016-08-17,14.8,14.9,14.2,14.8,14.573945,1326900
2016-08-18,14.5,14.7,13.7,14.1,13.884637,2214000
2016-08-19,14.1,14.1,13.7,13.8,13.589219,808200
2016-08-22,13.6,13.9,13.2,13.2,12.998384,1796000
2016-08-23,11.5,12.7,11.5,12.3,12.11213,4401500
2016-08-24,12.2,12.9,11.9,12.9,12.702965,2165400
2016-08-25,13.0,13.0,12.8,12.9,12.702965,1015800
2016-08-26,12.8,12.9,12.6,12.8,12.604493,429700
2016-08-29,12.7,12.8,12.5,12.6,12.407548,486000
2016-08-30,12.5,12.9,12.5,12.7,12.506021,404700
2016-08-31,12.7,13.6,12.7,13.5,13.293801,2033000
2016-09-01,13.7,14.4,13.4,13.7,13.490746,6901600
2016-09-02,13.5,13.7,13.2,13.4,13.195328,2225200
2016-09-05,13.4,13.4,11.5,12.9,12.702965,1655700
2016-09-06,12.9,13.3,12.8,13.3,13.096856,1080000
2016-09-07,13.3,14.2,13.3,13.6,13.392274,3484200
2016-09-08,13.5,13.6,12.7,12.8,12.604493,1939300
2016-09-09,12.6,12.7,12.1,12.4,12.210602,1062800
2016-09-12,11.9,12.8,11.9,12.4,12.210602,1077000
2016-09-13,12.7,12.9,12.5,12.8,12.604493,552800
2016-09-14,12.8,13.0,12.8,12.9,12.702965,730600
2016-09-15,13.0,13.3,12.9,13.2,12.998384,820300
2016-09-16,13.4,13.4,13.1,13.2,12.998384,340900
2016-09-19,13.4,14.5,13.3,14.5,14.278527,2762700
2016-09-20,14.1,14.4,13.7,14.4,14.180055,3068600
2016-09-21,14.4,15.8,14.3,15.5,15.263253,8069700
2016-09-22,16.0,16.700001,15.7,16.700001,16.444925,6642500
2016-09-23,16.700001,16.700001,15.3,16.299999,16.051033,5581200
2016-09-26,15.7,16.299999,15.7,16.1,15.854089,2340500
2016-09-27,16.0,16.5,15.5,15.6,15.361726,1340200
2016-09-28,15.5,15.7,14.6,14.9,14.672418,1881500
2016-09-29,14.9,15.5,14.9,15.4,15.164781,1209900
2016-09-30,15.2,15.6,14.7,14.8,14.573945,1553000
2016-10-03,15.0,15.1,14.5,14.7,14.475472,837500
2016-10-04,14.8,15.7,14.7,15.7,15.460198,1688400
2016-10-05,15.7,15.7,15.4,15.6,15.361726,657800
2016-10-06,15.6,16.200001,15.5,16.1,15.854089,2578800
2016-10-07,16.200001,16.299999,15.1,15.4,15.164781,2813900
2016-10-10,14.0,14.5,13.6,14.1,13.884637,3248400
2016-10-11,14.2,14.4,13.2,13.7,13.490746,1487800
2016-10-12,13.4,13.5,10.8,12.9,12.702965,3123900
2016-10-13,12.5,13.3,12.5,13.3,13.096856,1270900
2016-10-14,14.0,15.2,13.7,15.0,14.77089,3950000
2016-10-17,15.4,15.5,14.8,15.0,14.77089,5085600
2016-10-18,15.1,15.2,14.7,14.7,14.475472,1166500
2016-10-19,14.7,16.799999,14.7,16.6,16.346453,13695500
2016-10-20,16.4,16.4,15.6,15.6,15.361726,9044600
2016-10-21,15.6,16.200001,15.0,15.2,14.967835,6415900
2016-10-25,15.2,16.0,15.2,15.9,15.657144,2042400
2016-10-26,15.8,15.8,15.3,15.5,15.263253,932000
2016-10-27,15.2,15.3,14.6,15.1,14.869363,2893600
2016-10-28,15.1,15.1,14.3,14.4,14.180055,2754400
2016-10-31,14.3,15.1,14.3,15.1,14.869363,2550200
2016-11-01,15.0,15.2,14.6,14.8,14.573945,1210000
2016-11-02,14.8,15.1,14.7,15.1,14.869363,1150100
2016-11-03,15.1,15.1,14.8,14.8,14.573945,477100
2016-11-04,14.8,14.8,14.5,14.6,14.377,657100
2016-11-07,14.9,15.1,14.8,15.1,14.869363,743300
2016-11-08,15.1,15.2,14.8,14.9,14.672418,732700
2016-11-09,14.8,14.9,14.3,14.9,14.672418,1049600
2016-11-10,15.0,15.0,14.6,14.7,14.475472,629900
2016-11-11,14.8,15.3,14.6,14.9,14.672418,1514500
2016-11-14,14.9,14.9,14.6,14.6,14.377,547400
2016-11-15,14.6,14.7,14.3,14.4,14.180055,548300
2016-11-16,14.4,14.7,14.4,14.6,14.377,653700
2016-11-17,14.6,14.6,13.8,14.0,13.786164,1521900
2016-11-18,13.8,13.8,13.5,13.6,13.392274,759900
2016-11-21,13.6,14.2,13.6,13.9,13.687691,678200
2016-11-22,14.0,14.2,13.9,14.1,13.884637,435500
2016-11-23,14.1,14.3,14.0,14.3,14.081582,588700
2016-11-24,14.2,14.7,14.2,14.5,14.278527,875500
2016-11-25,14.5,14.6,14.4,14.5,14.278527,305000
2016-11-28,14.5,14.8,14.4,14.4,14.180055,565200
2016-11-29,14.5,14.6,14.2,14.5,14.278527,565400
2016-11-30,14.5,14.5,14.2,14.4,14.180055,956900
2016-12-01,14.3,15.3,14.3,15.0,14.77089,3459400
2016-12-02,15.1,15.2,14.4,14.8,14.573945,1841200
2016-12-06,14.8,15.8,14.7,15.6,15.361726,8496500
2016-12-07,15.6,16.0,15.4,15.5,15.263253,5938300
2016-12-08,15.7,16.200001,15.2,15.2,14.967835,9234700
2016-12-09,15.3,16.1,15.3,15.8,15.558671,5372500
2016-12-13,15.8,17.0,15.8,16.200001,15.952562,21061800
2016-12-14,16.200001,16.5,15.8,15.8,15.558671,3613500
2016-12-15,15.7,16.0,15.5,15.8,15.558671,1466300
2016-12-16,16.1,16.4,15.9,16.200001,15.952562,2646100
2016-12-19,16.4,16.4,16.1,16.1,15.854089,940700
2016-12-20,16.299999,16.299999,15.9,16.0,15.755616,1147200
2016-12-21,16.0,16.1,15.8,15.8,15.558671,502900
2016-12-22,15.8,15.8,15.5,15.5,15.263253,584900
2016-12-23,15.6,15.9,15.5,15.9,15.657144,681000
2016-12-26,16.0,16.0,15.5,15.6,15.361726,416100
2016-12-27,15.6,15.8,15.5,15.7,15.460198,229100
2016-12-28,15.7,17.299999,15.7,16.4,16.149506,12472200
2016-12-29,16.5,16.9,16.4,16.6,16.346453,3072600
2016-12-30,16.700001,17.799999,16.700001,17.5,17.232706,6581200
2017-01-04,17.5,18.299999,17.5,18.1,17.823542,5719400
2017-01-05,18.200001,18.6,17.9,18.1,17.823542,5450000
2017-01-06,18.1,18.299999,17.9,18.200001,17.922014,1423000
2017-01-09,17.9,17.9,17.299999,17.700001,17.429651,836400
2017-01-10,17.799999,17.799999,17.299999,17.5,17.232706,443400
2017-01-11,17.4,17.4,17.0,17.4,17.134232,1880000
2017-01-12,17.299999,17.6,17.200001,17.299999,17.035759,383600
2017-01-16,17.299999,17.700001,17.299999,17.4,17.134232,900000
2017-01-17,17.5,18.1,17.5,17.9,17.626595,927600
2017-01-18,18.0,18.0,17.4,17.4,17.134232,558900
2017-01-19,17.4,17.4,17.0,17.299999,17.035759,714300
2017-01-20,17.200001,17.5,17.200001,17.5,17.232706,96100
2017-01-23,17.5,17.799999,17.4,17.700001,17.429651,630600
2017-01-24,17.6,17.799999,17.5,17.799999,17.528122,421300
2017-01-25,17.799999,18.0,17.6,17.799999,17.528122,365900
2017-01-26,17.6,17.799999,17.5,17.5,17.232706,113800
2017-01-27,17.5,17.700001,17.0,17.700001,17.429651,699000
2017-01-30,17.700001,18.0,17.5,17.6,17.331179,476100
2017-01-31,17.4,17.700001,17.4,17.6,17.331179,568500
2017-02-01,17.799999,17.799999,17.6,17.6,17.331179,294200
2017-02-02,17.799999,17.799999,17.6,17.6,17.331179,135600
2017-02-03,17.6,17.700001,17.5,17.700001,17.429651,197700
2017-02-06,17.799999,18.6,17.799999,18.5,18.217432,1279000
2017-02-07,18.5,18.799999,18.200001,18.200001,17.922014,439100
2017-02-08,18.5,18.5,18.200001,18.200001,17.922014,459400
2017-02-09,18.299999,18.6,18.299999,18.299999,18.020485,467800
2017-02-10,18.6,18.6,18.299999,18.5,18.217432,97900
2017-02-13,18.5,18.5,18.5,18.5,18.217432,0
2017-02-14,18.6,18.799999,18.299999,18.5,18.217432,357900
2017-02-15,18.799999,18.799999,18.1,18.4,18.118958,425900
2017-02-16,18.6,19.1,18.0,18.299999,18.020485,1912600
2017-02-17,18.200001,18.200001,17.5,17.799999,17.528122,1031800
2017-02-20,17.9,18.1,17.700001,17.9,17.626595,1107200
2017-02-21,18.0,18.0,17.1,17.200001,16.937288,1347700
2017-02-22,17.0,17.5,17.0,17.5,17.232706,195100
2017-02-23,17.5,17.6,17.200001,17.4,17.134232,278500
2017-02-24,17.1,17.700001,17.0,17.299999,17.035759,595900
2017-02-27,17.299999,17.799999,17.0,17.6,17.331179,771600
2017-02-28,17.6,17.6,17.0,17.1,16.838816,581500
2017-03-01,17.200001,17.299999,16.299999,16.5,16.24798,1165100
2017-03-02,16.6,17.1,16.6,17.0,16.740343,1243100
2017-03-03,17.0,17.0,16.6,16.700001,16.444925,329300
2017-03-06,16.700001,16.9,16.4,16.700001,16.444925,430800
2017-03-07,16.6,16.700001,16.4,16.5,16.24798,133300
2017-03-08,16.5,16.5,15.5,16.0,15.755616,857400
2017-03-09,16.200001,16.6,16.200001,16.5,16.24798,748800
