Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,1.19263,1.31495,1.19263,1.2385,0.79551,62638382.0
2000-01-05,1.16205,1.17734,1.11618,1.13147,0.726763,24973601.0
2000-01-06,1.14676,1.17734,1.13147,1.13147,0.726763,28305812.0
2000-01-07,1.16205,1.20792,1.14676,1.17734,0.756226,15065259.0
2000-01-10,1.25379,1.34553,1.2385,1.33024,0.854436,48511637.0
2000-01-11,1.45256,1.72779,1.40669,1.72779,1.109789,157043957.0
2000-01-12,1.72779,1.77366,1.59018,1.66663,1.070505,88980512.0
2000-01-13,1.69721,1.74308,1.62076,1.63605,1.050863,44952155.0
2000-01-14,1.66663,1.95714,1.65134,1.85011,1.188358,130624981.0
2000-01-17,1.91127,1.91127,1.66663,1.68192,1.080326,150243826.0
2000-01-18,1.66663,1.74308,1.57489,1.62076,1.041042,137327010.0
2000-01-19,1.57489,1.68192,1.57489,1.63605,1.050863,64492518.0
2000-01-20,1.66663,1.66663,1.5443,1.5443,0.99193,46830816.0
2000-01-21,1.57489,1.62076,1.49843,1.52901,0.98211,152706196.0
2000-01-24,1.55959,1.57489,1.49843,1.52901,0.98211,79345221.0
2000-01-25,1.52901,1.60547,1.52901,1.60547,1.031221,62417652.0
2000-01-26,1.63605,1.63605,1.55959,1.55959,1.001752,38498652.0
2000-01-27,1.57489,1.59018,1.55959,1.57489,1.011579,25874508.0
2000-01-28,1.59018,1.62076,1.57489,1.62076,1.041042,21974938.0
2000-01-31,1.59018,1.60547,1.5443,1.55959,1.001752,20467431.0
2000-02-01,1.55959,1.66663,1.55959,1.60547,1.031221,46176800.0
2000-02-02,1.63605,1.65134,1.59018,1.60547,1.031221,28531448.0
2000-02-03,1.62076,1.63605,1.57489,1.59018,1.0214,39206624.0
2000-02-04,1.60547,1.62076,1.59018,1.60547,1.031221,11531937.0
2000-02-07,1.62076,1.62076,1.59018,1.60547,1.031221,14267359.0
2000-02-08,1.60547,1.72779,1.60547,1.72779,1.109789,74425386.0
2000-02-09,1.75837,1.83482,1.7125,1.78895,1.149074,157060307.0
2000-02-10,1.75837,1.92656,1.72779,1.92656,1.237463,131983699.0
2000-02-11,1.97243,2.0183,1.91127,1.95714,1.257105,110075798.0
2000-02-14,1.94185,1.95714,1.77366,1.77366,1.139252,44118284.0
2000-02-15,1.81953,1.85011,1.63605,1.65134,1.060684,46294523.0
2000-02-16,1.65134,1.68192,1.55959,1.55959,1.001752,28469316.0
2000-02-17,1.55959,1.59018,1.40669,1.48314,0.952646,38241951.0
2000-02-18,1.55959,1.63605,1.51372,1.63605,1.050863,48398819.0
2000-02-21,1.63605,1.63605,1.63605,1.63605,1.050863,0.0
2000-02-22,1.59018,1.62076,1.55959,1.59018,1.0214,21095286.0
2000-02-23,1.62076,1.69721,1.59018,1.66663,1.070505,28242046.0
2000-02-24,1.7125,1.8654,1.69721,1.78895,1.149074,73069938.0
2000-02-25,1.80424,1.88069,1.80424,1.81953,1.168716,33567371.0
2000-02-28,1.78895,1.80424,1.60547,1.60547,1.031221,19340888.0
2000-02-29,1.65134,1.68192,1.5443,1.57489,1.011579,16316064.0
2000-03-01,1.62076,1.65134,1.57489,1.59018,1.0214,20032510.0
2000-03-02,1.52901,1.62076,1.49843,1.60547,1.031221,19900072.0
2000-03-03,1.65134,1.65134,1.55959,1.55959,1.001752,11347178.0
2000-03-06,1.55959,1.59018,1.55959,1.59018,1.0214,3490810.0
2000-03-07,1.57489,1.65134,1.57489,1.63605,1.050863,4342666.0
2000-03-08,1.57489,1.66663,1.55959,1.65134,1.060684,18912508.0
2000-03-09,1.65134,1.80424,1.65134,1.78895,1.149074,34003927.0
2000-03-10,1.8654,1.98772,1.85011,1.95714,1.257105,74875022.0
2000-03-13,1.95714,1.95714,1.77366,1.81953,1.168716,28278017.0
2000-03-14,1.81953,2.12533,1.81953,2.04888,1.316031,57808474.0
2000-03-15,2.0183,2.03359,1.83482,1.8654,1.198179,59335602.0
2000-03-16,1.94185,2.04888,1.89598,2.0183,1.296389,45169615.0
2000-03-17,2.09475,2.11004,1.91127,1.92656,1.237463,59476215.0
2000-03-20,1.91127,2.06417,1.91127,2.06417,1.325852,42187302.0
2000-03-21,2.06417,2.20178,2.04888,2.15591,1.384778,62505944.0
2000-03-22,2.20178,2.21707,2.09475,2.09475,1.345494,50748372.0
2000-03-23,2.11004,2.23236,2.11004,2.20178,1.414242,36175260.0
2000-03-24,2.23236,2.27823,2.12533,2.15591,1.384778,32658289.0
2000-03-27,2.18649,2.18649,2.04888,2.06417,1.325852,25740435.0
2000-03-28,2.06417,2.11004,1.98772,2.0183,1.296389,14993317.0
2000-03-29,2.0183,2.04888,1.98772,2.0183,1.296389,9156224.0
2000-03-30,2.0183,2.11004,1.98772,1.98772,1.276747,32079485.0
2000-03-31,1.98772,2.0183,1.91127,2.00301,1.286568,8162120.0
2000-04-03,2.0183,2.03359,1.98772,1.98772,1.276747,6065998.0
2000-04-04,1.95714,1.95714,1.77366,1.80424,1.158895,31624944.0
2000-04-05,1.78895,1.8654,1.78895,1.83482,1.178537,15464208.0
2000-04-06,1.83482,1.83482,1.83482,1.83482,1.178537,0.0
2000-04-07,1.8654,1.91127,1.8654,1.8654,1.198179,7822031.0
2000-04-10,1.89598,1.94185,1.88069,1.91127,1.227642,7341330.0
2000-04-11,1.88069,1.88069,1.85011,1.85011,1.188358,2983948.0
2000-04-12,1.8654,1.92656,1.8654,1.88069,1.208,7805681.0
2000-04-13,1.88069,1.88069,1.88069,1.88069,1.208,0.0
2000-04-14,1.88069,1.88069,1.88069,1.88069,1.208,0.0
2000-04-17,1.7125,1.77366,1.65134,1.66663,1.070505,13696730.0
2000-04-18,1.72779,1.77366,1.65134,1.65134,1.060684,11698711.0
2000-04-19,1.7125,1.7125,1.66663,1.66663,1.070505,3883220.0
2000-04-20,1.7125,1.74308,1.69721,1.7125,1.099968,8144134.0
2000-04-21,1.72779,1.78895,1.72779,1.75837,1.129432,5699749.0
2000-04-24,1.78895,1.78895,1.72779,1.75837,1.129432,1994749.0
2000-04-25,1.75837,1.75837,1.7125,1.7125,1.099968,1713522.0
2000-04-26,1.74308,1.77366,1.72779,1.74308,1.119611,3695190.0
2000-04-27,1.72779,1.72779,1.7125,1.7125,1.099968,1079126.0
2000-04-28,1.74308,1.74308,1.68192,1.68192,1.080326,910717.0
2000-05-01,1.68192,1.68192,1.68192,1.68192,1.080326,0.0
2000-05-02,1.69721,1.7125,1.68192,1.68192,1.080326,802805.0
2000-05-03,1.66663,1.66663,1.55959,1.57489,1.011579,4762872.0
2000-05-04,1.59018,1.65134,1.59018,1.60547,1.031221,11746127.0
2000-05-05,1.60547,1.60547,1.60547,1.60547,1.031221,0.0
2000-05-08,1.63605,1.63605,1.52901,1.52901,0.98211,5470844.0
2000-05-09,1.52901,1.52901,1.52901,1.52901,0.98211,0.0
2000-05-10,1.33024,1.37611,1.2385,1.29966,0.834794,13456379.0
2000-05-11,1.25379,1.28437,1.19263,1.22321,0.785689,17794140.0
2000-05-12,1.26908,1.3914,1.26908,1.3914,0.89372,31415659.0
2000-05-15,1.42198,1.43727,1.34553,1.36082,0.874078,17009321.0
2000-05-16,1.40669,1.43727,1.3914,1.43727,0.923183,11077396.0
2000-05-17,1.43727,1.43727,1.43727,1.43727,0.923183,0.0
2000-05-18,1.37611,1.40669,1.34553,1.3914,0.89372,8968194.0
2000-05-19,1.40669,1.43727,1.3914,1.40669,0.903541,8924048.0
2000-05-22,1.37611,1.37611,1.28437,1.29966,0.834794,6016947.0
2000-05-23,1.28437,1.31495,1.25379,1.28437,0.824973,10093102.0
