Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,1.65,1.65,1.425,1.425,-0.0,0.0
2000-01-05,1.45,1.475,1.45,1.475,-0.0,30000.0
2000-01-06,1.45,1.45,1.45,1.45,-0.0,30000.0
2000-01-07,1.5,1.5,1.4,1.4,-0.0,0.0
2000-01-10,1.45,1.45,1.45,1.45,-0.0,10000.0
2000-01-11,1.575,1.575,1.4,1.4,-0.0,0.0
2000-01-12,1.5,1.5,1.4,1.4,-0.0,0.0
2000-01-13,1.425,1.425,1.425,1.425,-0.0,4000.0
2000-01-14,1.575,1.575,1.425,1.425,-0.0,0.0
2000-01-17,1.6,1.6,1.425,1.425,-0.0,0.0
2000-01-18,1.6,1.6,1.425,1.425,-0.0,0.0
2000-01-19,1.45,1.45,1.45,1.45,-0.0,20000.0
2000-01-20,1.45,1.45,1.45,1.45,-0.0,20000.0
2000-01-21,1.65,1.65,1.425,1.425,-0.0,0.0
2000-01-24,1.7,1.7,1.425,1.425,-0.0,0.0
2000-01-25,1.7,1.7,1.425,1.425,-0.0,0.0
2000-01-26,1.7,1.7,1.425,1.425,-0.0,0.0
2000-01-27,1.7,1.7,1.425,1.425,-0.0,0.0
2000-01-28,1.525,1.525,1.425,1.425,-0.0,0.0
2000-01-31,1.5,1.5,1.35,1.35,-0.0,0.0
2000-02-01,1.65,1.65,1.35,1.35,-0.0,0.0
2000-02-02,1.55,1.55,1.425,1.425,-0.0,0.0
2000-02-03,1.45,1.45,1.45,1.45,-0.0,10000.0
2000-02-04,1.45,1.45,1.45,1.45,-0.0,10000.0
2000-02-07,1.725,1.725,1.475,1.475,-0.0,0.0
2000-02-08,1.775,1.775,1.45,1.45,-0.0,0.0
2000-02-09,1.475,1.475,1.475,1.475,-0.0,20000.0
2000-02-10,1.775,1.775,1.45,1.45,-0.0,0.0
2000-02-11,1.65,1.65,1.45,1.45,-0.0,0.0
2000-02-14,1.6,1.6,1.45,1.45,-0.0,0.0
2000-02-15,1.75,1.75,1.45,1.45,-0.0,0.0
2000-02-16,1.65,1.65,1.45,1.45,-0.0,0.0
2000-02-17,1.45,1.45,1.45,1.45,-0.0,54000.0
2000-02-18,1.775,1.775,1.4,1.4,-0.0,0.0
2000-02-21,1.4,1.4,1.4,1.4,-0.0,0.0
2000-02-22,1.775,1.775,1.35,1.35,-0.0,0.0
2000-02-23,1.775,1.775,1.375,1.375,-0.0,0.0
2000-02-24,1.775,1.775,1.375,1.375,-0.0,0.0
2000-02-25,1.775,1.775,1.375,1.375,-0.0,0.0
2000-02-28,1.775,1.775,1.375,1.375,-0.0,0.0
2000-02-29,1.6,1.6,1.375,1.375,-0.0,0.0
2000-03-01,1.35,1.35,1.35,1.35,-0.0,45000.0
2000-03-02,1.5,1.5,1.3,1.3,-0.0,0.0
2000-03-03,1.45,1.45,1.275,1.275,-0.0,0.0
2000-03-06,1.425,1.425,1.3,1.3,-0.0,0.0
2000-03-07,1.425,1.425,1.225,1.225,-0.0,0.0
2000-03-08,1.4,1.425,1.4,1.425,-0.0,25000.0
2000-03-09,1.45,1.45,1.25,1.25,-0.0,0.0
2000-03-10,1.4,1.4,1.4,1.4,-0.0,20000.0
2000-03-13,1.45,1.45,1.325,1.325,-0.0,0.0
2000-03-14,1.425,1.425,1.3,1.3,-0.0,0.0
2000-03-15,1.45,1.45,1.35,1.35,-0.0,0.0
2000-03-16,1.45,1.45,1.35,1.35,-0.0,0.0
2000-03-17,1.45,1.45,1.25,1.25,-0.0,0.0
2000-03-20,1.4,1.4,1.25,1.25,-0.0,0.0
2000-03-21,1.45,1.45,1.125,1.125,-0.0,0.0
2000-03-22,1.45,1.45,1.275,1.275,-0.0,0.0
2000-03-23,1.35,1.35,1.35,1.35,-0.0,30000.0
2000-03-24,1.25,1.4,1.25,1.4,-0.0,113000.0
2000-03-27,1.4,1.4,1.35,1.35,-0.0,0.0
2000-03-28,1.4,1.4,1.35,1.35,-0.0,0.0
2000-03-29,1.45,1.45,1.325,1.325,-0.0,0.0
2000-03-30,1.4,1.4,1.35,1.35,-0.0,0.0
2000-03-31,1.4,1.4,1.35,1.35,-0.0,0.0
2000-04-03,1.4,1.4,1.3,1.3,-0.0,0.0
2000-04-04,1.4,1.4,1.4,1.4,-0.0,20000.0
2000-04-05,1.65,1.65,1.625,1.625,-0.0,110000.0
2000-04-06,1.625,1.625,1.625,1.625,-0.0,0.0
2000-04-07,1.55,1.55,1.5,1.5,-0.0,70000.0
2000-04-10,1.5,1.5,1.325,1.325,-1e-06,0.0
2000-04-11,1.5,1.5,1.25,1.25,-1e-06,0.0
2000-04-12,1.3,1.35,1.3,1.35,-1e-06,22000.0
2000-04-13,1.35,1.35,1.35,1.35,-1e-06,0.0
2000-04-14,1.35,1.35,1.35,1.35,-1e-06,0.0
2000-04-17,1.4,1.4,1.25,1.25,-1e-06,0.0
2000-04-18,1.4,1.4,1.3,1.3,-1e-06,0.0
2000-04-19,1.3,1.3,1.3,1.3,-1e-06,10000.0
2000-04-20,1.3,1.3,1.3,1.3,-1e-06,10000.0
2000-04-21,1.35,1.35,1.35,1.35,-1e-06,19000.0
2000-04-24,1.4,1.4,1.3,1.3,-1e-06,0.0
2000-04-25,1.35,1.35,1.35,1.35,-1e-06,10000.0
2000-04-26,1.4,1.4,1.35,1.35,-1e-06,0.0
2000-04-27,1.425,1.425,1.35,1.35,-1e-06,0.0
2000-04-28,1.35,1.35,1.35,1.35,-1e-06,10000.0
2000-05-01,1.35,1.35,1.35,1.35,-1e-06,0.0
2000-05-02,1.425,1.425,1.25,1.25,-1e-06,0.0
2000-05-03,1.3,1.3,1.3,1.3,-1e-06,10000.0
2000-05-04,1.25,1.25,1.25,1.25,-1e-06,3000.0
2000-05-05,1.25,1.25,1.25,1.25,-1e-06,0.0
2000-05-08,1.575,1.575,1.25,1.25,-1e-06,0.0
2000-05-09,1.25,1.25,1.25,1.25,-1e-06,0.0
2000-05-10,1.25,1.25,1.25,1.25,-1e-06,20000.0
2000-05-11,1.425,1.425,1.25,1.25,-1e-06,0.0
2000-05-12,1.6,1.6,1.25,1.25,-1e-06,0.0
2000-05-15,1.5,1.5,1.25,1.25,-1e-06,0.0
2000-05-16,1.275,1.275,1.275,1.275,-1e-06,28000.0
2000-05-17,1.275,1.275,1.275,1.275,-1e-06,0.0
2000-05-18,1.5,1.5,1.3,1.3,-1e-06,0.0
2000-05-19,1.525,1.525,1.275,1.275,-1e-06,0.0
2000-05-22,1.525,1.525,1.25,1.25,-1e-06,0.0
2000-05-23,1.5,1.5,1.25,1.25,-1e-06,0.0
2000-05-24,1.5,1.5,1.275,1.275,-1e-06,0.0
2000-05-25,1.25,1.25,1.25,1.25,-1e-06,8000.0
2000-05-26,1.3,1.3,1.3,1.3,-1e-06,10000.0
2000-05-29,1.425,1.425,1.3,1.3,-1e-06,0.0
2000-05-30,1.3,1.3,1.3,1.3,-1e-06,0.0
2000-05-31,1.45,1.45,1.325,1.325,-1e-06,111000.0
2000-06-01,1.3,1.3,1.3,1.3,-1e-06,50000.0
2000-06-02,1.375,1.425,1.375,1.4,-1e-06,78000.0
2000-06-05,1.425,1.425,1.325,1.325,-1e-06,0.0
2000-06-06,1.375,1.375,1.3,1.3,-1e-06,0.0
2000-06-07,1.3,1.3,1.3,1.3,-1e-06,102000.0
2000-06-08,1.375,1.375,1.3,1.3,-1e-06,0.0
2000-06-09,1.375,1.375,1.375,1.375,-1e-06,59000.0
2000-06-12,1.275,1.3,1.275,1.275,-1e-06,40000.0
2000-06-13,1.325,1.325,1.325,1.325,-1e-06,23000.0
2000-06-14,1.35,1.35,1.35,1.35,-1e-06,10000.0
2000-06-15,1.375,1.425,1.375,1.4,-1e-06,61000.0
2000-06-16,1.45,1.45,1.375,1.375,-1e-06,0.0
2000-06-19,1.45,1.45,1.45,1.45,-1e-06,63000.0
2000-06-20,1.5,1.5,1.45,1.45,-1e-06,0.0
2000-06-21,1.5,1.5,1.5,1.5,-1e-06,13000.0
2000-06-22,1.525,1.525,1.4,1.4,-1e-06,0.0
2000-06-23,1.55,1.55,1.375,1.375,-1e-06,0.0
